step,main_agent_pc_first_seed2 - main_success_rate
54000,0.5425
108000,0.545
162000,0.5165
216000,0.513
270000,0.484
324000,0.5
378000,0.524
432000,0.4865
486000,0.5205
540000,0.469
594000,0.46
648000,0.4295
702000,0.4635
756000,0.416
810000,0.455
864000,0.4875
918000,0.4565
972000,0.4775
1026000,0.5455
1080000,0.475
1134000,0.446
1188000,0.456
1242000,0.414
1296000,0.433
1350000,0.46
1404000,0.4515
1458000,0.478
1512000,0.518
1566000,0.462
1620000,0.5275
1674000,0.4865
1728000,0.5105
1782000,0.4985
1836000,0.4425
1890000,0.4195
1944000,0.461
1998000,0.492
2052000,0.4805
2106000,0.4165
2160000,0.462
2214000,0.3775
2268000,0.3525
2322000,0.3665
2376000,0.402
2430000,0.433
2484000,0.302
2538000,0.2825
2592000,0.3155
2646000,0.352
2700000,0.339
2754000,0.3755
2808000,0.3485
2862000,0.3635
2916000,0.313
2970000,0.3295
3024000,0.38
3078000,0.3585
3132000,0.36
3186000,0.3735
3240000,0.384
3294000,0.3735
3348000,0.3845
3402000,0.404
3456000,0.451
3510000,0.4
3564000,0.4385
3618000,0.407
3672000,0.4045
3726000,0.442
3780000,0.494
3834000,0.48
3888000,0.4755
3942000,0.4825
3996000,0.422
4050000,0.412
4104000,0.4475
4158000,0.451
4212000,0.4865
4266000,0.424
4320000,0.373
4374000,0.435
4428000,0.457
4482000,0.3965
4536000,0.5055
4590000,0.4115
4644000,0.417
4698000,0.449
4752000,0.4415
4806000,0.406
4860000,0.463
4914000,0.4525
4968000,0.462
5022000,0.411
5076000,0.3675
5130000,0.4075
5184000,0.448
5238000,0.4305
5292000,0.4305
5346000,0.4205
5400000,0.407
5454000,0.3645
5508000,0.381
5562000,0.446
5616000,0.438
5670000,0.402
5724000,0.472
5778000,0.4605
5832000,0.419
5886000,0.477
5940000,0.4835
5994000,0.4495
6048000,0.477
6102000,0.361
6156000,0.442
6210000,0.3805
6264000,0.429
6318000,0.4465
6372000,0.4785
6426000,0.452
6480000,0.459
6534000,0.5145
6588000,0.463
6642000,0.4345
6696000,0.511
6750000,0.4735
6804000,0.5615
6858000,0.464
6912000,0.4535
6966000,0.5115
7020000,0.5655
7074000,0.5645
7128000,0.565
7182000,0.552
7236000,0.5665
7290000,0.573
7344000,0.542
7398000,0.5325
7452000,0.4795
7506000,0.505
7560000,0.4805
7614000,0.5755
7668000,0.594
7722000,0.5315
7776000,0.5535
7830000,0.5525
7884000,0.5275
7938000,0.481
7992000,0.451
8046000,0.552
8100000,0.505
8154000,0.531
8208000,0.546
8262000,0.569
8316000,0.481
8370000,0.5385
8424000,0.52
8478000,0.477
8532000,0.542
8586000,0.446
8640000,0.464
8694000,0.4915
8748000,0.469
8802000,0.5035
8856000,0.4555
8910000,0.5425
8964000,0.5075
9018000,0.467
9072000,0.5685
9126000,0.513
9180000,0.507
9234000,0.4925
9288000,0.4525
9342000,0.468
9396000,0.49
9450000,0.505
9504000,0.462
9558000,0.4795
9612000,0.4855
9666000,0.4245
9720000,0.4535
9774000,0.501
9828000,0.448
9882000,0.491
9936000,0.4935
9990000,0.5395
10044000,0.492
10098000,0.4795
10152000,0.482
10206000,0.465
10260000,0.512
10314000,0.4895
10368000,0.49
10422000,0.424
10476000,0.496
10530000,0.454
10584000,0.4975
10638000,0.4785
10692000,0.5165
10746000,0.4775
10800000,0.5515
10854000,0.4795
10908000,0.467
10962000,0.522
11016000,0.4805
11070000,0.495
11124000,0.498
11178000,0.4635
11232000,0.4765
11286000,0.43
11340000,0.495
11394000,0.489
11448000,0.4665
11502000,0.469
11556000,0.543
11610000,0.4035
11664000,0.4875
11718000,0.419
11772000,0.3935
11826000,0.457
11880000,0.442
11934000,0.4275
11988000,0.406
12042000,0.4215
12096000,0.411
12150000,0.489
12204000,0.43
12258000,0.469
12312000,0.5145
12366000,0.466
12420000,0.4875
12474000,0.449
12528000,0.4155
12582000,0.4225
12636000,0.399
12690000,0.3245
12744000,0.303
12798000,0.328
12852000,0.295
12906000,0.3035
12960000,0.323
13014000,0.3155
13068000,0.367
13122000,0.307
13176000,0.298
13230000,0.283
13284000,0.3695
13338000,0.263
13392000,0.296
13446000,0.2725
13500000,0.308
13554000,0.32
13608000,0.3405
13662000,0.353
13716000,0.357
13770000,0.3385
13824000,0.3065
13878000,0.327
13932000,0.321
13986000,0.305
14040000,0.3015
14094000,0.29
14148000,0.329
14202000,0.3435
14256000,0.314
14310000,0.3255
14364000,0.3545
14418000,0.3015
14472000,0.3265
14526000,0.2845
14580000,0.3665
14634000,0.2835
14688000,0.32
14742000,0.36
14796000,0.301
14850000,0.327
14904000,0.29
14958000,0.3205
15012000,0.283
15066000,0.349
15120000,0.327
15174000,0.251
15228000,0.297
15282000,0.2875
15336000,0.2845
15390000,0.2845
15444000,0.3385
15498000,0.3165
15552000,0.274
15606000,0.3095
15660000,0.3455
15714000,0.2775
15768000,0.3125
15822000,0.296
15876000,0.36
15930000,0.34
15984000,0.3245
16038000,0.264
16092000,0.314
16146000,0.331
16200000,0.317
16254000,0.3495
16308000,0.302
16362000,0.311
16416000,0.362
16470000,0.316
16524000,0.35
16578000,0.3435
16632000,0.385
16686000,0.3275
16740000,0.299
16794000,0.304
16848000,0.313
16902000,0.2745
16956000,0.2445
17010000,0.28
17064000,0.3095
17118000,0.3065
17172000,0.255
17226000,0.312
17280000,0.359
17334000,0.319
17388000,0.3795
17442000,0.34
17496000,0.3845
17550000,0.3565
17604000,0.3505
17658000,0.3465
17712000,0.3975
17766000,0.358
17820000,0.437
17874000,0.3895
17928000,0.367
17982000,0.389
18036000,0.3265
18090000,0.3615
18144000,0.3155
18198000,0.3
18252000,0.331
18306000,0.3075
18360000,0.327
18414000,0.297
18468000,0.2985
18522000,0.2825
18576000,0.282
18630000,0.2745
18684000,0.3395
18738000,0.37
18792000,0.3055
18846000,0.3385
18900000,0.3275
18954000,0.3285
19008000,0.3045
19062000,0.252
19116000,0.358
19170000,0.2995
19224000,0.2565
19278000,0.3035
19332000,0.3315
19386000,0.3275
19440000,0.2935
19494000,0.3205
19548000,0.366
19602000,0.321
19656000,0.3365
19710000,0.335
19764000,0.3915
19818000,0.402
19872000,0.4265
19926000,0.369
19980000,0.412
20034000,0.3845
20088000,0.406
20142000,0.4525
20196000,0.3845
20250000,0.4265
20304000,0.4145
20358000,0.4345
20412000,0.4115
20466000,0.391
20520000,0.4105
20574000,0.4
20628000,0.3925
20682000,0.441
20736000,0.4025
20790000,0.3785
20844000,0.4145
20898000,0.474
20952000,0.4675
21006000,0.4335
21060000,0.381
21114000,0.418
21168000,0.4185
21222000,0.4015
21276000,0.3775
21330000,0.433
21384000,0.44
21438000,0.4
21492000,0.413
21546000,0.4365
21600000,0.37
21654000,0.4015
21708000,0.445
21762000,0.4245
21816000,0.463
21870000,0.4185
21924000,0.4635
21978000,0.4655
22032000,0.4325
22086000,0.463
22140000,0.449
22194000,0.4345
22248000,0.492
22302000,0.434
22356000,0.4185
22410000,0.441
22464000,0.4415
22518000,0.4295
22572000,0.437
22626000,0.4605
22680000,0.45
22734000,0.4995
22788000,0.489
22842000,0.4625
22896000,0.433
22950000,0.456
23004000,0.454
23058000,0.455
23112000,0.4775
23166000,0.4855
23220000,0.5135
23274000,0.4425
23328000,0.5415
23382000,0.5245
23436000,0.5185
23490000,0.4795
23544000,0.4765
23598000,0.472
23652000,0.4975
23706000,0.506
23760000,0.5245
23814000,0.537
23868000,0.526
23922000,0.48
23976000,0.4545
24030000,0.4625
24084000,0.482
24138000,0.4555
24192000,0.4175
24246000,0.442
24300000,0.4915
24354000,0.448
24408000,0.488
24462000,0.442
24516000,0.4025
24570000,0.4315
24624000,0.466
24678000,0.4815
24732000,0.4945
24786000,0.497
24840000,0.444
24894000,0.444
24948000,0.4085
25002000,0.4445
25056000,0.489
25110000,0.491
25164000,0.459
25218000,0.4375
25272000,0.522
25326000,0.4505
25380000,0.4775
25434000,0.481
25488000,0.4025
25542000,0.526
25596000,0.492
25650000,0.512
25704000,0.5155
25758000,0.457
25812000,0.4585
25866000,0.4855
25920000,0.4635
25974000,0.4805
26028000,0.4275
26082000,0.428
26136000,0.4605
26190000,0.4435
26244000,0.3705
26298000,0.375
26352000,0.3005
26406000,0.345
26460000,0.4215
26514000,0.3775
26568000,0.418
26622000,0.362
26676000,0.4105
26730000,0.371
26784000,0.384
26838000,0.4035
26892000,0.3785
26946000,0.364
27000000,0.3955
27054000,0.425
27108000,0.394
27162000,0.449
27216000,0.403
27270000,0.3925
27324000,0.405
27378000,0.431
27432000,0.48
27486000,0.4495
27540000,0.408
27594000,0.4405
27648000,0.4385
27702000,0.4555
27756000,0.409
27810000,0.421
27864000,0.4745
27918000,0.4465
27972000,0.472
28026000,0.4365
28080000,0.4685
28134000,0.439
28188000,0.424
28242000,0.456
28296000,0.453
28350000,0.3815
28404000,0.3635
28458000,0.3925
28512000,0.4045
28566000,0.437
28620000,0.4435
28674000,0.4315
28728000,0.3845
28782000,0.3745
28836000,0.441
28890000,0.429
28944000,0.408
28998000,0.411
29052000,0.499
29106000,0.442
29160000,0.4605
29214000,0.4935
29268000,0.473
29322000,0.4655
29376000,0.435
29430000,0.419
29484000,0.3865
29538000,0.3745
29592000,0.398
29646000,0.4255
29700000,0.421
29754000,0.358
29808000,0.337
29862000,0.351
29916000,0.3485
29970000,0.378
30024000,0.3575
30078000,0.3755
30132000,0.3485
30186000,0.3625
30240000,0.412
30294000,0.373
30348000,0.413
30402000,0.398
30456000,0.4265
30510000,0.4175
30564000,0.4005
30618000,0.375
30672000,0.438
30726000,0.4495
30780000,0.438
30834000,0.42
30888000,0.4135
30942000,0.3965
30996000,0.366
31050000,0.4215
31104000,0.4135
31158000,0.379
31212000,0.37
31266000,0.3875
