Step,main_agent_pc_first_seed7 - main_success_rate
54000,0.559
108000,0.543
162000,0.512
216000,0.567
270000,0.5245
324000,0.504
378000,0.5495
432000,0.4865
486000,0.5425
540000,0.505
594000,0.4975
648000,0.5055
702000,0.54
756000,0.5425
810000,0.568
864000,0.556
918000,0.4315
972000,0.471
1026000,0.5055
1080000,0.514
1134000,0.4425
1188000,0.417
1242000,0.455
1296000,0.4685
1350000,0.405
1404000,0.37
1458000,0.416
1512000,0.36
1566000,0.409
1620000,0.3865
1674000,0.3635
1728000,0.419
1782000,0.396
1836000,0.4135
1890000,0.473
1944000,0.46
1998000,0.3725
2052000,0.4065
2106000,0.397
2160000,0.378
2214000,0.355
2268000,0.325
2322000,0.3145
2376000,0.369
2430000,0.3615
2484000,0.35
2538000,0.316
2592000,0.3815
2646000,0.339
2700000,0.352
2754000,0.303
2808000,0.258
2862000,0.3075
2916000,0.2595
2970000,0.2725
3024000,0.2325
3078000,0.2615
3132000,0.3045
3186000,0.222
3240000,0.2125
3294000,0.252
3348000,0.2555
3402000,0.287
3456000,0.291
3510000,0.287
3564000,0.2695
3618000,0.222
3672000,0.2195
3726000,0.2605
3780000,0.2395
3834000,0.3145
3888000,0.277
3942000,0.3195
3996000,0.3445
4050000,0.29
4104000,0.345
4158000,0.335
4212000,0.355
4266000,0.321
4320000,0.3445
4374000,0.318
4428000,0.289
4482000,0.272
4536000,0.311
4590000,0.243
4644000,0.287
4698000,0.282
4752000,0.265
4806000,0.264
4860000,0.255
4914000,0.254
4968000,0.2785
5022000,0.27
5076000,0.2455
5130000,0.29
5184000,0.278
5238000,0.2775
5292000,0.296
5346000,0.286
5400000,0.285
5454000,0.2945
5508000,0.3315
5562000,0.316
5616000,0.33
5670000,0.354
5724000,0.31
5778000,0.256
5832000,0.336
5886000,0.3375
5940000,0.312
5994000,0.3025
6048000,0.34
6102000,0.3685
6156000,0.3235
6210000,0.3275
6264000,0.314
6318000,0.3385
6372000,0.323
6426000,0.339
6480000,0.3615
6534000,0.355
6588000,0.3745
6642000,0.3505
6696000,0.288
6750000,0.3035
6804000,0.2735
6858000,0.2935
6912000,0.353
6966000,0.363
7020000,0.3135
7074000,0.302
7128000,0.313
7182000,0.361
7236000,0.3655
7290000,0.3465
7344000,0.2485
7398000,0.3095
7452000,0.3395
7506000,0.339
7560000,0.355
7614000,0.3175
7668000,0.3
7722000,0.313
7776000,0.338
7830000,0.337
7884000,0.2795
7938000,0.298
7992000,0.327
8046000,0.32
8100000,0.3275
8154000,0.382
8208000,0.327
8262000,0.342
8316000,0.3035
8370000,0.3195
8424000,0.3735
8478000,0.381
8532000,0.355
8586000,0.4025
8640000,0.3815
8694000,0.3675
8748000,0.402
8802000,0.366
8856000,0.368
8910000,0.358
8964000,0.4175
9018000,0.412
9072000,0.433
9126000,0.3965
9180000,0.3715
9234000,0.3765
9288000,0.3715
9342000,0.3615
9396000,0.357
9450000,0.3975
9504000,0.404
9558000,0.338
9612000,0.3295
9666000,0.328
9720000,0.324
9774000,0.346
9828000,0.4565
9882000,0.3675
9936000,0.3705
9990000,0.4375
10044000,0.3835
10098000,0.363
10152000,0.404
