"Step","amigo_pb_2agents_seed3 - 2cover_rate_1step"
"60000","0.034"
"120000","0.033"
"180000","0.027"
"240000","0.025"
"300000","0.036"
"360000","0.035"
"420000","0.039"
"480000","0.032"
"540000","0.04"
"600000","0.017"
"660000","0.029"
"720000","0.038"
"780000","0.028"
"840000","0.028"
"900000","0.039"
"960000","0.028"
"1020000","0.04"
"1080000","0.027"
"1140000","0.028"
"1200000","0.025"
"1260000","0.026"
"1320000","0.032"
"1380000","0.033"
"1440000","0.038"
"1500000","0.029"
"1560000","0.027"
"1620000","0.044"
"1680000","0.035"
"1740000","0.032"
"1800000","0.033"
"1860000","0.032"
"1920000","0.027"
"1980000","0.027"
"2040000","0.029"
"2100000","0.019"
"2160000","0.022"
"2220000","0.038"
"2280000","0.035"
"2340000","0.035"
"2400000","0.029"
"2460000","0.027"
"2520000","0.021"
"2580000","0.034"
"2640000","0.033"
"2700000","0.032"
"2760000","0.027"
"2820000","0.035"
"2880000","0.037"
"2940000","0.029"
"3000000","0.035"
"3060000","0.025"
"3120000","0.026"
"3180000","0.027"
"3240000","0.032"
"3300000","0.029"
"3360000","0.03"
"3420000","0.033"
"3480000","0.039"
"3540000","0.046"
"3600000","0.044"
"3660000","0.043"
"3720000","0.037"
"3780000","0.027"
"3840000","0.036"
"3900000","0.038"
"3960000","0.035"
"4020000","0.031"
"4080000","0.042"
"4140000","0.033"
"4200000","0.026"
"4260000","0.035"
"4320000","0.027"
"4380000","0.036"
"4440000","0.033"
"4500000","0.035"
"4560000","0.032"
"4620000","0.037"
"4680000","0.026"
"4740000","0.028"
"4800000","0.036"
"4860000","0.028"
"4920000","0.03"
"4980000","0.04"
"5040000","0.041"
"5100000","0.035"
"5160000","0.035"
"5220000","0.023"
"5280000","0.027"
"5340000","0.029"
"5400000","0.028"
"5460000","0.033"
"5520000","0.045"
"5580000","0.029"
"5640000","0.026"
"5700000","0.026"
"5760000","0.027"
"5820000","0.033"
"5880000","0.026"
"5940000","0.036"
"6000000","0.03"
"6060000","0.042"
"6120000","0.037"
"6180000","0.029"
"6240000","0.03"
"6300000","0.029"
"6360000","0.035"
"6420000","0.029"
"6480000","0.034"
"6540000","0.038"
"6600000","0.034"
"6660000","0.037"
"6720000","0.026"
"6780000","0.036"
"6840000","0.031"
"6900000","0.037"
"6960000","0.035"
"7020000","0.025"
"7080000","0.026"
"7140000","0.036"
"7200000","0.034"
"7260000","0.037"
"7320000","0.03"
"7380000","0.035"
"7440000","0.04"
"7500000","0.039"
"7560000","0.034"
"7620000","0.029"
"7680000","0.028"
"7740000","0.025"
"7800000","0.03"
"7860000","0.038"
"7920000","0.031"
"7980000","0.048"
"8040000","0.04"
"8100000","0.041"
"8160000","0.04"
"8220000","0.029"
"8280000","0.042"
"8340000","0.044"
