"Step","amigo_pb_addinitialtasks_seed1 - 2cover_rate_5step"
"60000","0.034"
"120000","0.028"
"180000","0.033"
"240000","0.035"
"300000","0.024"
"360000","0.03"
"420000","0.026"
"480000","0.033"
"540000","0.026"
"600000","0.023"
"660000","0.034"
"720000","0.025"
"780000","0.027"
"840000","0.04"
"900000","0.033"
"960000","0.034"
"1020000","0.034"
"1080000","0.029"
"1140000","0.028"
"1200000","0.033"
"1260000","0.028"
"1320000","0.028"
"1380000","0.029"
"1440000","0.037"
"1500000","0.033"
"1560000","0.022"
"1620000","0.037"
"1680000","0.035"
"1740000","0.043"
"1800000","0.037"
"1860000","0.03"
"1920000","0.03"
"1980000","0.032"
"2040000","0.033"
"2100000","0.028"
"2160000","0.021"
"2220000","0.045"
"2280000","0.031"
"2340000","0.028"
"2400000","0.035"
"2460000","0.039"
"2520000","0.035"
"2580000","0.035"
"2640000","0.024"
"2700000","0.038"
"2760000","0.033"
"2820000","0.028"
"2880000","0.031"
"2940000","0.032"
"3000000","0.034"
"3060000","0.031"
"3120000","0.038"
"3180000","0.039"
"3240000","0.024"
"3300000","0.031"
"3360000","0.02"
"3420000","0.037"
"3480000","0.03"
"3540000","0.0306"
"3600000","0.036"
"3660000","0.03"
"3720000","0.029"
"3780000","0.035"
"3840000","0.031"
"3900000","0.033"
"3960000","0.038"
"4020000","0.032"
"4080000","0.035"
"4140000","0.032"
"4200000","0.023"
"4260000","0.035"
"4320000","0.031"
"4380000","0.032"
"4440000","0.039"
"4500000","0.034"
"4560000","0.035"
"4620000","0.025"
"4680000","0.034"
"4740000","0.032"
"4800000","0.03"
"4860000","0.029"
"4920000","0.039"
"4980000","0.043"
"5040000","0.031"
"5100000","0.033"
"5160000","0.031"
"5220000","0.034"
"5280000","0.026"
"5340000","0.028"
"5400000","0.039"
"5460000","0.044"
"5520000","0.039"
"5580000","0.037"
"5640000","0.036"
"5700000","0.043"
"5760000","0.029"
"5820000","0.032"
"5880000","0.028"
"5940000","0.039"
"6000000","0.032"
"6060000","0.033"
"6120000","0.035"
"6180000","0.035"
"6240000","0.028"
"6300000","0.03"
"6360000","0.032"
"6420000","0.032"
"6480000","0.032"
"6540000","0.041"
"6600000","0.037"
"6660000","0.046"
"6720000","0.023"
"6780000","0.03"
"6840000","0.026"
"6900000","0.033"
"6960000","0.039"
