"Step","amigo_pb_teacherhorizon10_seed1 - 4cover_rate_5step"
"60000","0.0665"
"120000","0.0555"
"180000","0.0635"
"240000","0.0585"
"300000","0.0555"
"360000","0.06"
"420000","0.068"
"480000","0.0575"
"540000","0.0635"
"600000","0.0675"
"660000","0.057"
"720000","0.0725"
"780000","0.0705"
"840000","0.066"
"900000","0.0625"
"960000","0.064"
"1020000","0.061"
"1080000","0.063"
"1140000","0.0625"
"1200000","0.066"
"1260000","0.071"
"1320000","0.07"
"1380000","0.07"
"1440000","0.06"
"1500000","0.0688"
"1560000","0.0654"
"1620000","0.0653"
"1680000","0.0693"
"1740000","0.064"
"1800000","0.0665"
"1860000","0.0539"
"1920000","0.0665"
"1980000","0.0737"
"2040000","0.065"
"2100000","0.0725"
"2160000","0.065"
"2220000","0.0645"
"2280000","0.064"
"2340000","0.073"
"2400000","0.0565"
"2460000","0.059"
"2520000","0.068"
"2580000","0.0605"
"2640000","0.0635"
"2700000","0.0654"
"2760000","0.06559999999999999"
"2820000","0.0682"
"2880000","0.054"
"2940000","0.0705"
"3000000","0.0715"
"3060000","0.0585"
"3120000","0.059"
"3180000","0.0695"
"3240000","0.0635"
"3300000","0.056"
"3360000","0.0645"
"3420000","0.0665"
"3480000","0.0665"
"3540000","0.062"
"3600000","0.068"
"3660000","0.066"
"3720000","0.066"
"3780000","0.0685"
"3840000","0.062"
"3900000","0.0605"
"3960000","0.074"
"4020000","0.0615"
"4080000","0.067"
"4140000","0.0689"
"4200000","0.064"
"4260000","0.0765"
"4320000","0.0665"
"4380000","0.058"
"4440000","0.0665"
"4500000","0.0625"
"4560000","0.0593"
"4620000","0.0655"
"4680000","0.074"
"4740000","0.0727"
"4800000","0.0705"
"4860000","0.0635"
"4920000","0.0765"
"4980000","0.0658"
"5040000","0.0525"
"5100000","0.0621"
"5160000","0.0745"
"5220000","0.06520000000000001"
"5280000","0.07379999999999999"
"5340000","0.068"
"5400000","0.0655"
"5460000","0.062299999999999994"
"5520000","0.069"
"5580000","0.067"
"5640000","0.0701"
"5700000","0.0673"
"5760000","0.075"
"5820000","0.0762"
"5880000","0.0685"
"5940000","0.0722"
"6000000","0.066"
"6060000","0.0767"
"6120000","0.07909999999999999"
"6180000","0.0721"
"6240000","0.0735"
"6300000","0.07909999999999999"
"6360000","0.0696"
"6420000","0.0841"
"6480000","0.0721"
"6540000","0.0737"
"6600000","0.0719"
"6660000","0.076"
"6720000","0.0855"
"6780000","0.0654"
"6840000","0.0808"
"6900000","0.0823"
"6960000","0.07"
"7020000","0.0804"
"7080000","0.07840000000000001"
"7140000","0.0707"
"7200000","0.0775"
"7260000","0.0765"
"7320000","0.0904"
"7380000","0.07379999999999999"
"7440000","0.0858"
"7500000","0.07959999999999999"
"7560000","0.08270000000000001"
"7620000","0.07519999999999999"
"7680000","0.08419999999999998"
"7740000","0.0778"
"7800000","0.0832"
"7860000","0.07959999999999999"
"7920000","0.0852"
"7980000","0.06609999999999999"
"8040000","0.0736"
"8100000","0.0731"
"8160000","0.07640000000000001"
"8220000","0.0892"
"8280000","0.0761"
"8340000","0.078"
"8400000","0.0722"
"8460000","0.0785"
"8520000","0.079"
"8580000","0.0753"
"8640000","0.0829"
"8700000","0.076"
"8760000","0.0812"
"8820000","0.07490000000000001"
"8880000","0.0729"
"8940000","0.07"
"9000000","0.0765"
"9060000","0.0832"
"9120000","0.0842"
"9180000","0.0787"
"9240000","0.0868"
"9300000","0.058"
"9360000","0.075"
"9420000","0.0761"
"9480000","0.072"
"9540000","0.0717"
"9600000","0.0745"
"9660000","0.0801"
"9720000","0.0914"
"9780000","0.0746"
"9840000","0.0839"
"9900000","0.095"
"9960000","0.0903"
"10020000","0.08990000000000001"
"10080000","0.0916"
"10140000","0.08669999999999999"
"10200000","0.0875"
"10260000","0.0927"
"10320000","0.0783"
"10380000","0.0906"
"10440000","0.0907"
"10500000","0.0879"
"10560000","0.1"
"10620000","0.0839"
"10680000","0.0978"
"10740000","0.081"
"10800000","0.0907"
"10860000","0.0817"
"10920000","0.0808"
"10980000","0.0881"
"11040000","0.0859"
"11100000","0.0819"
"11160000","0.0751"
"11220000","0.087"
"11280000","0.0889"
"11340000","0.07579999999999999"
"11400000","0.087"
"11460000","0.1035"
"11520000","0.094"
"11580000","0.0815"
"11640000","0.0937"
"11700000","0.093"
"11760000","0.1048"
"11820000","0.109"
"11880000","0.1071"
"11940000","0.1"
"12000000","0.1056"
"12060000","0.0919"
"12120000","0.1068"
"12180000","0.0928"
"12240000","0.0972"
"12300000","0.0919"
"12360000","0.0936"
"12420000","0.1085"
"12480000","0.0908"
"12540000","0.0967"
"12600000","0.0987"
"12660000","0.092"
"12720000","0.0999"
"12780000","0.0946"
"12840000","0.0989"
"12900000","0.1062"
"12960000","0.1096"
"13020000","0.0972"
"13080000","0.0956"
"13140000","0.1039"
"13200000","0.1162"
"13260000","0.1122"
"13320000","0.1025"
"13380000","0.1089"
"13440000","0.1053"
