"Step","amigo_map66_teacherhorizon20_seed2 - training_cover_rate"
"0","0.0052"
"35000","0.0055"
"70000","0.0074"
"105000","0.0038"
"140000","0.005300000000000001"
"175000","0.0064"
"210000","0.0036000000000000003"
"245000","0.004600000000000001"
"280000","0.006"
"315000","0.006699999999999999"
"350000","0.0040999999999999995"
"385000","0.0053"
"420000","0.006600000000000001"
"455000","0.0048"
"490000","0.0034"
"525000","0.0045"
"560000","0.004600000000000001"
"595000","0.0038"
"630000","0.0016"
"665000","0.0040999999999999995"
"700000","0.0035999999999999995"
"735000","0.006300000000000001"
"770000","0.0035"
"805000","0.0044"
"840000","0.0043"
"875000","0.0039"
"910000","0.0048"
"945000","0.0021000000000000003"
"980000","0.0035"
"1015000","0.0033000000000000004"
"1050000","0.002599999999999999"
"1085000","0.0029"
"1120000","0.0021000000000000003"
"1155000","0.0017"
"1190000","0.0031"
"1225000","0.0012"
"1260000","0.0012"
"1295000","0.0016"
"1330000","0.0008999999999999999"
"1365000","0.0006000000000000001"
"1400000","0.0007000000000000001"
"1435000","0.0007"
"1470000","0.0004"
"1505000","0.0017"
"1540000","0.0008"
"1575000","0.0013"
"1610000","0.0006000000000000001"
"1645000","0.0004"
"1680000","0.0004"
"1715000","0.0005"
"1750000","0.0008999999999999999"
"1785000","0"
"1820000","0.0004"
"1855000","0.0004"
"1890000","0.0007"
"1925000","0.0005"
"1960000","0.0011"
"1995000","0"
"2030000","0.0006"
"2065000","0.0005"
"2100000","0.0008"
"2135000","0.0001"
"2170000","0"
"2205000","0.0007"
"2240000","0.0004"
"2275000","0.0006000000000000001"
"2310000","0.00030000000000000003"
"2345000","0.0001"
"2380000","0.0006000000000000001"
"2415000","0.0003"
"2450000","0.0001"
"2485000","0.001"
"2520000","0.0002"
"2555000","0.0001"
"2590000","0"
"2625000","0.0002"
"2660000","0.0001"
"2695000","0.0007"
"2730000","0.0004"
"2765000","0"
"2800000","0.0001"
"2835000","0.0011"
"2870000","0.0004"
"2905000","0.0002"
"2940000","0.0017"
"2975000","0.001"
"3010000","0.0011"
"3045000","0.0009"
"3080000","0.0011"
"3115000","0.0001"
"3150000","0.00030000000000000003"
"3185000","0.0013"
"3220000","0.00030000000000000003"
"3255000","0.0005"
"3290000","0.00030000000000000003"
"3325000","0.0005"
"3360000","0.0001"
"3395000","0.0005"
"3430000","0.0002"
"3465000","0.0004"
"3500000","0"
"3535000","0.0008"
"3570000","0.0008999999999999999"
"3605000","0"
"3640000","0.0001"
"3675000","0.00030000000000000003"
"3710000","0"
"3745000","0.0006000000000000001"
"3780000","0.0001"
"3815000","0.0002"
"3850000","0"
"3885000","0"
"3920000","0"
"3955000","0.0004"
"3990000","0.0004"
"4025000","0.0005"
"4060000","0.00030000000000000003"
"4095000","0"
"4130000","0.0011"
"4165000","0.0002"
"4200000","0"
"4235000","0.0011"
"4270000","0.0004"
"4305000","0.00030000000000000003"
"4340000","0.0004"
"4375000","0.0008999999999999999"
"4410000","0.0002"
"4445000","0"
"4480000","0.0005"
"4515000","0.00030000000000000003"
"4550000","0.0004"
"4585000","0"
"4620000","0"
"4655000","0.0002"
"4690000","0"
"4725000","0.0007"
"4760000","0.0004"
"4795000","0"
"4830000","0.0001"
"4865000","0.00030000000000000003"
"4900000","0.001"
"4935000","0.0002"
"4970000","0"
"5005000","0.0003"
"5040000","0.0001"
"5075000","0"
"5110000","0.0001"
"5145000","0.0006"
"5180000","0.0008"
"5215000","0.0002"
"5250000","0.0008"
