step,main_box_pc_first_seed2 - main_success_rate
54000,0.5375
108000,0.5375
162000,0.486
216000,0.494
270000,0.528
324000,0.5065
378000,0.525
432000,0.572
486000,0.5635
540000,0.52
594000,0.569
648000,0.4865
702000,0.494
756000,0.581
810000,0.544
864000,0.5845
918000,0.5635
972000,0.578
1026000,0.642
1080000,0.606
1134000,0.5525
1188000,0.6045
1242000,0.7165
1296000,0.6265
1350000,0.649
1404000,0.622
1458000,0.611
1512000,0.6045
1566000,0.517
1620000,0.576
1674000,0.525
1728000,0.556
1782000,0.51
1836000,0.6555
1890000,0.5365
1944000,0.5435
1998000,0.6095
2052000,0.572
2106000,0.5785
2160000,0.569
2214000,0.535
2268000,0.562
2322000,0.448
2376000,0.533
2430000,0.5285
2484000,0.581
2538000,0.596
2592000,0.585
2646000,0.5785
2700000,0.638
2754000,0.57
2808000,0.612
2862000,0.595
2916000,0.602
2970000,0.5705
3024000,0.616
3078000,0.6675
3132000,0.589
3186000,0.6195
3240000,0.5925
3294000,0.603
3348000,0.5905
3402000,0.623
3456000,0.599
3510000,0.5545
3564000,0.5285
3618000,0.515
3672000,0.5095
3726000,0.507
3780000,0.534
3834000,0.5075
3888000,0.566
3942000,0.541
3996000,0.584
4050000,0.543
4104000,0.5635
4158000,0.54
4212000,0.546
4266000,0.549
4320000,0.5245
4374000,0.5055
4428000,0.545
4482000,0.518
4536000,0.518
4590000,0.5035
4644000,0.537
4698000,0.639
4752000,0.608
4806000,0.5745
4860000,0.5955
4914000,0.5525
4968000,0.503
5022000,0.5175
5076000,0.509
5130000,0.4525
5184000,0.482
5238000,0.493
5292000,0.494
5346000,0.477
5400000,0.3955
5454000,0.4255
5508000,0.4675
5562000,0.3825
5616000,0.48
5670000,0.407
5724000,0.501
5778000,0.5275
5832000,0.43
5886000,0.4495
5940000,0.4215
5994000,0.443
6048000,0.5155
6102000,0.446
6156000,0.5015
6210000,0.477
6264000,0.5275
6318000,0.4765
6372000,0.4325
6426000,0.494
6480000,0.5345
6534000,0.532
6588000,0.535
6642000,0.5295
6696000,0.5745
6750000,0.5155
6804000,0.532
6858000,0.582
6912000,0.566
6966000,0.604
7020000,0.6335
7074000,0.594
7128000,0.552
7182000,0.5505
7236000,0.5585
7290000,0.547
7344000,0.5185
7398000,0.5485
7452000,0.539
7506000,0.5375
7560000,0.502
7614000,0.5125
7668000,0.5445
7722000,0.508
7776000,0.543
7830000,0.55
7884000,0.5275
7938000,0.543
7992000,0.6255
8046000,0.5985
8100000,0.573
8154000,0.552
8208000,0.521
8262000,0.5385
8316000,0.4695
8370000,0.5
8424000,0.486
8478000,0.419
8532000,0.51
8586000,0.4695
8640000,0.456
8694000,0.424
8748000,0.461
8802000,0.4665
8856000,0.471
8910000,0.52
8964000,0.5235
9018000,0.555
9072000,0.538
9126000,0.5525
9180000,0.473
9234000,0.4855
9288000,0.482
9342000,0.4455
9396000,0.4275
9450000,0.462
9504000,0.4975
9558000,0.482
9612000,0.4575
9666000,0.4805
9720000,0.426
9774000,0.453
9828000,0.4015
9882000,0.3865
9936000,0.3965
9990000,0.415
10044000,0.3975
10098000,0.39
10152000,0.394
10206000,0.376
10260000,0.411
10314000,0.4455
10368000,0.4135
10422000,0.421
10476000,0.4095
10530000,0.3915
10584000,0.4135
10638000,0.48
10692000,0.399
10746000,0.4165
10800000,0.355
10854000,0.395
10908000,0.3755
10962000,0.395
11016000,0.3935
11070000,0.3735
11124000,0.451
11178000,0.4695
11232000,0.4925
11286000,0.468
11340000,0.5455
11394000,0.49
11448000,0.479
11502000,0.416
11556000,0.477
11610000,0.507
11664000,0.486
11718000,0.4605
11772000,0.4655
11826000,0.485
11880000,0.445
11934000,0.503
11988000,0.4815
12042000,0.4815
12096000,0.4505
12150000,0.488
12204000,0.504
12258000,0.4785
12312000,0.4845
12366000,0.483
12420000,0.459
12474000,0.446
12528000,0.457
12582000,0.424
12636000,0.483
12690000,0.484
