Step,main_box_pc_first_seed7 - main_success_rate
54000,0.514
108000,0.511
162000,0.49
216000,0.413
270000,0.4205
324000,0.3855
378000,0.3555
432000,0.365
486000,0.372
540000,0.4065
594000,0.3455
648000,0.3235
702000,0.314
756000,0.283
810000,0.4325
864000,0.4665
918000,0.4425
972000,0.412
1026000,0.4085
1080000,0.3935
1134000,0.4335
1188000,0.4255
1242000,0.426
1296000,0.4685
1350000,0.4265
1404000,0.379
1458000,0.3955
1512000,0.373
1566000,0.334
1620000,0.3925
1674000,0.35
1728000,0.3165
1782000,0.326
1836000,0.3595
1890000,0.341
1944000,0.3115
1998000,0.3345
2052000,0.2985
2106000,0.269
2160000,0.283
2214000,0.3575
2268000,0.379
2322000,0.35
2376000,0.2845
2430000,0.3195
2484000,0.3735
2538000,0.2325
2592000,0.282
2646000,0.2975
2700000,0.274
2754000,0.3295
2808000,0.3025
2862000,0.344
2916000,0.378
2970000,0.2725
3024000,0.2965
3078000,0.367
3132000,0.317
3186000,0.329
3240000,0.269
3294000,0.2285
3348000,0.3135
3402000,0.2555
3456000,0.269
3510000,0.2585
3564000,0.194
3618000,0.298
3672000,0.269
3726000,0.3015
3780000,0.411
3834000,0.285
3888000,0.264
3942000,0.241
3996000,0.241
4050000,0.272
4104000,0.2605
4158000,0.271
4212000,0.309
4266000,0.2815
4320000,0.328
4374000,0.351
4428000,0.368
4482000,0.373
4536000,0.333
4590000,0.3275
4644000,0.3075
4698000,0.3515
4752000,0.307
4806000,0.28
4860000,0.2625
4914000,0.3605
4968000,0.3695
5022000,0.391
5076000,0.3135
5130000,0.3925
5184000,0.3385
5238000,0.412
5292000,0.368
5346000,0.3275
5400000,0.3485
5454000,0.318
5508000,0.317
5562000,0.3675
5616000,0.412
5670000,0.392
5724000,0.3505
5778000,0.3335
5832000,0.3765
5886000,0.4165
5940000,0.387
5994000,0.378
6048000,0.279
6102000,0.3325
6156000,0.321
6210000,0.385
6264000,0.347
6318000,0.3535
6372000,0.3515
6426000,0.3235
6480000,0.3675
6534000,0.429
6588000,0.4545
6642000,0.3565
6696000,0.415
6750000,0.354
6804000,0.3215
6858000,0.36
6912000,0.4165
6966000,0.3805
7020000,0.3275
7074000,0.406
7128000,0.3495
7182000,0.379
7236000,0.3905
7290000,0.3335
7344000,0.3555
7398000,0.39
7452000,0.3125
7506000,0.34
7560000,0.3385
7614000,0.3075
7668000,0.2825
7722000,0.3195
7776000,0.301
7830000,0.3445
7884000,0.3085
7938000,0.2855
7992000,0.314
8046000,0.2755
8100000,0.2525
8154000,0.2555
8208000,0.285
8262000,0.3555
8316000,0.3705
8370000,0.429
8424000,0.3305
8478000,0.3345
8532000,0.329
8586000,0.336
8640000,0.2515
8694000,0.272
8748000,0.31
8802000,0.3045
8856000,0.3215
8910000,0.2355
8964000,0.277
9018000,0.266
9072000,0.342
9126000,0.307
9180000,0.2445
9234000,0.1945
9288000,0.1925
9342000,0.2075
9396000,0.3015
9450000,0.2615
9504000,0.244
