"Step","main_box_pc_first_seed3 - main_return_rate"
"54000","0.4465"
"108000","0.3875"
"162000","0.4635"
"216000","0.4375"
"270000","0.411"
"324000","0.4365"
"378000","0.447"
"432000","0.372"
"486000","0.391"
"540000","0.4065"
"594000","0.418"
"648000","0.355"
"702000","0.381"
"756000","0.3375"
"810000","0.332"
"864000","0.281"
"918000","0.3195"
"972000","0.2715"
"1026000","0.2655"
"1080000","0.26"
"1134000","0.2775"
"1188000","0.2945"
"1242000","0.2925"
"1296000","0.2705"
"1350000","0.3425"
"1404000","0.3145"
"1458000","0.313"
"1512000","0.3735"
"1566000","0.276"
"1620000","0.2695"
"1674000","0.305"
"1728000","0.273"
"1782000","0.214"
"1836000","0.21"
"1890000","0.178"
"1944000","0.2085"
"1998000","0.1705"
"2052000","0.218"
"2106000","0.2125"
"2160000","0.199"
"2214000","0.1535"
"2268000","0.1435"
"2322000","0.182"
"2376000","0.1285"
"2430000","0.185"
"2484000","0.1675"
"2538000","0.157"
"2592000","0.185"
"2646000","0.203"
"2700000","0.215"
"2754000","0.221"
"2808000","0.1795"
"2862000","0.1675"
"2916000","0.1215"
"2970000","0.148"
"3024000","0.135"
"3078000","0.109"
"3132000","0.1565"
"3186000","0.1205"
"3240000","0.151"
"3294000","0.131"
"3348000","0.107"
"3402000","0.096"
"3456000","0.119"
"3510000","0.109"
"3564000","0.14"
"3618000","0.1425"
"3672000","0.159"
"3726000","0.134"
"3780000","0.227"
"3834000","0.2215"
"3888000","0.2585"
"3942000","0.2275"
"3996000","0.233"
"4050000","0.167"
"4104000","0.2635"
"4158000","0.2755"
"4212000","0.289"
"4266000","0.281"
"4320000","0.2585"
"4374000","0.2875"
"4428000","0.2805"
"4482000","0.3145"
"4536000","0.244"
"4590000","0.2185"
"4644000","0.279"
"4698000","0.3065"
"4752000","0.364"
"4806000","0.369"
"4860000","0.299"
"4914000","0.299"
"4968000","0.2285"
"5022000","0.283"
"5076000","0.2605"
"5130000","0.287"
"5184000","0.2775"
"5238000","0.2595"
"5292000","0.2665"
"5346000","0.3155"
"5400000","0.2835"
"5454000","0.3355"
"5508000","0.287"
"5562000","0.263"
"5616000","0.2775"
"5670000","0.2405"
"5724000","0.229"
"5778000","0.2395"
"5832000","0.23"
"5886000","0.2185"
"5940000","0.1815"
"5994000","0.2025"
"6048000","0.21"
"6102000","0.169"
"6156000","0.176"
"6210000","0.2305"
"6264000","0.203"
"6318000","0.191"
"6372000","0.222"
"6426000","0.256"
"6480000","0.223"
"6534000","0.1895"
"6588000","0.163"
"6642000","0.146"
"6696000","0.1405"
"6750000","0.1655"
"6804000","0.195"
"6858000","0.1835"
"6912000","0.145"
"6966000","0.161"
"7020000","0.1965"
"7074000","0.215"
"7128000","0.2185"
"7182000","0.2285"
"7236000","0.1685"
"7290000","0.244"
"7344000","0.2055"
"7398000","0.2325"
"7452000","0.195"
"7506000","0.2195"
"7560000","0.1375"
"7614000","0.141"
"7668000","0.187"
"7722000","0.178"
"7776000","0.158"
"7830000","0.1705"
"7884000","0.169"
"7938000","0.186"
"7992000","0.166"
"8046000","0.198"
"8100000","0.1675"
"8154000","0.135"
"8208000","0.1575"
"8262000","0.187"
"8316000","0.1945"
"8370000","0.1795"
"8424000","0.1435"
"8478000","0.182"
"8532000","0.1245"
"8586000","0.1225"
"8640000","0.148"
"8694000","0.112"
"8748000","0.1295"
"8802000","0.1205"
"8856000","0.1245"
"8910000","0.1215"
"8964000","0.1345"
"9018000","0.135"
"9072000","0.108"
"9126000","0.151"
"9180000","0.168"
"9234000","0.1385"
"9288000","0.181"
"9342000","0.199"
"9396000","0.1905"
"9450000","0.1745"
"9504000","0.193"
"9558000","0.1945"
"9612000","0.223"
"9666000","0.2565"
"9720000","0.2405"
"9774000","0.2195"
"9828000","0.2345"
"9882000","0.297"
"9936000","0.294"
"9990000","0.3075"
"10044000","0.3265"
"10098000","0.261"
"10152000","0.296"
"10206000","0.2685"
"10260000","0.302"
"10314000","0.324"
"10368000","0.333"
"10422000","0.345"
"10476000","0.2985"
"10530000","0.2865"
"10584000","0.2585"
"10638000","0.2955"
"10692000","0.3165"
"10746000","0.3005"
"10800000","0.29"
"10854000","0.287"
"10908000","0.279"
"10962000","0.272"
"11016000","0.256"
"11070000","0.2515"
"11124000","0.27"
"11178000","0.2285"
"11232000","0.2155"
"11286000","0.2525"
"11340000","0.228"
"11394000","0.247"
"11448000","0.2815"
"11502000","0.253"
"11556000","0.191"
"11610000","0.1995"
"11664000","0.2695"
"11718000","0.253"
"11772000","0.195"
"11826000","0.272"
"11880000","0.283"
"11934000","0.3545"
"11988000","0.316"
"12042000","0.381"
"12096000","0.333"
"12150000","0.328"
"12204000","0.369"
"12258000","0.3135"
"12312000","0.295"
"12366000","0.295"
"12420000","0.302"
"12474000","0.2445"
"12528000","0.2685"
"12582000","0.2575"
"12636000","0.2795"
"12690000","0.279"
"12744000","0.2525"
"12798000","0.2805"
"12852000","0.271"
"12906000","0.266"
"12960000","0.2725"
"13014000","0.2245"
"13068000","0.2735"
"13122000","0.2425"
"13176000","0.2895"
"13230000","0.292"
"13284000","0.318"
"13338000","0.3545"
"13392000","0.2835"
"13446000","0.3105"
"13500000","0.272"
"13554000","0.259"
"13608000","0.259"
"13662000","0.2705"
"13716000","0.29"
"13770000","0.197"
"13824000","0.23"
"13878000","0.3"
"13932000","0.2825"
"13986000","0.336"
"14040000","0.2795"
"14094000","0.244"
"14148000","0.235"
"14202000","0.326"
"14256000","0.301"
"14310000","0.3385"
"14364000","0.319"
"14418000","0.305"
"14472000","0.3195"
"14526000","0.284"
"14580000","0.31"
"14634000","0.289"
"14688000","0.266"
"14742000","0.2575"
"14796000","0.2615"
"14850000","0.365"
"14904000","0.3465"
"14958000","0.3095"
"15012000","0.3265"
"15066000","0.357"
"15120000","0.3475"
"15174000","0.3215"
"15228000","0.261"
"15282000","0.2255"
"15336000","0.287"
"15390000","0.242"
"15444000","0.259"
"15498000","0.2675"
"15552000","0.2835"
"15606000","0.2575"
"15660000","0.27"
"15714000","0.2755"
"15768000","0.2935"
"15822000","0.2855"
"15876000","0.281"
"15930000","0.2655"
"15984000","0.275"
"16038000","0.2675"
"16092000","0.2565"
"16146000","0.2615"
"16200000","0.26"
"16254000","0.3185"
"16308000","0.303"
"16362000","0.272"
"16416000","0.2895"
"16470000","0.291"
"16524000","0.3245"
"16578000","0.315"
"16632000","0.295"
"16686000","0.302"
"16740000","0.237"
"16794000","0.2625"
"16848000","0.287"
"16902000","0.298"
"16956000","0.2905"
"17010000","0.3025"
"17064000","0.2875"
"17118000","0.3605"
"17172000","0.343"
"17226000","0.3265"
"17280000","0.3405"
"17334000","0.3235"
"17388000","0.4235"
"17442000","0.349"
"17496000","0.349"
"17550000","0.362"
"17604000","0.339"
"17658000","0.2915"
"17712000","0.2675"
"17766000","0.3165"
"17820000","0.3415"
"17874000","0.404"
"17928000","0.3635"
"17982000","0.33"
"18036000","0.3315"
"18090000","0.2935"
"18144000","0.3305"
"18198000","0.2885"
"18252000","0.307"
"18306000","0.3635"
"18360000","0.366"
"18414000","0.375"
"18468000","0.373"
"18522000","0.3105"
"18576000","0.3865"
"18630000","0.3965"
"18684000","0.3235"
"18738000","0.3595"
"18792000","0.355"
"18846000","0.281"
"18900000","0.2885"
"18954000","0.3045"
"19008000","0.2275"
"19062000","0.234"
"19116000","0.239"
"19170000","0.2465"
"19224000","0.31"
"19278000","0.2725"
"19332000","0.3295"
"19386000","0.2795"
"19440000","0.2815"
"19494000","0.302"
"19548000","0.287"
"19602000","0.303"
"19656000","0.2895"
"19710000","0.3015"
"19764000","0.2525"
"19818000","0.246"
"19872000","0.2495"
"19926000","0.1805"
"19980000","0.2015"
"20034000","0.199"
"20088000","0.175"
"20142000","0.192"
"20196000","0.1795"
"20250000","0.19"
"20304000","0.1905"
"20358000","0.215"
"20412000","0.204"
"20466000","0.201"
"20520000","0.1745"
"20574000","0.2425"
"20628000","0.1975"
"20682000","0.1745"
"20736000","0.203"
"20790000","0.2225"
"20844000","0.2295"
"20898000","0.2105"
"20952000","0.249"
"21006000","0.2785"
"21060000","0.264"
"21114000","0.3045"
"21168000","0.2745"
"21222000","0.2365"
"21276000","0.265"
"21330000","0.2585"
"21384000","0.2425"
"21438000","0.207"
"21492000","0.2455"
"21546000","0.286"
"21600000","0.2015"
"21654000","0.2645"
"21708000","0.261"
"21762000","0.2695"
"21816000","0.2645"
"21870000","0.26"
"21924000","0.2285"
"21978000","0.238"
"22032000","0.277"
"22086000","0.27"
"22140000","0.3005"
"22194000","0.314"
"22248000","0.265"
"22302000","0.39"
"22356000","0.2985"
"22410000","0.2965"
"22464000","0.222"
"22518000","0.364"
"22572000","0.357"
"22626000","0.3615"
"22680000","0.343"
"22734000","0.3525"
"22788000","0.3635"
"22842000","0.391"
"22896000","0.455"
"22950000","0.44"
"23004000","0.48"
"23058000","0.427"
"23112000","0.3765"
"23166000","0.348"
"23220000","0.342"
"23274000","0.3715"
"23328000","0.427"
"23382000","0.4635"
"23436000","0.4155"
"23490000","0.442"
"23544000","0.495"
"23598000","0.46"
"23652000","0.421"
"23706000","0.4625"
"23760000","0.487"
"23814000","0.465"
"23868000","0.4065"
"23922000","0.447"
"23976000","0.4575"
"24030000","0.517"
"24084000","0.4755"
"24138000","0.432"
"24192000","0.4525"
"24246000","0.481"
"24300000","0.479"
"24354000","0.49"
"24408000","0.4055"
"24462000","0.439"
"24516000","0.512"
"24570000","0.5155"
"24624000","0.5185"
"24678000","0.499"
"24732000","0.4445"
"24786000","0.42"
"24840000","0.409"
