"Step","Boxlocking_2agent2box_all_return_reverse_threshold0.5_seed1 - test_return_rate"
"31200","0"
"62400","0"
"93600","0"
"124800","0"
"156000","0"
"187200","0"
"218400","0"
"249600","0"
"280800","0"
"312000","0"
"343200","0"
"374400","0.005"
"405600","0.003"
"436800","0"
"468000","0"
"499200","0"
"530400","0.004"
"561600","0.008"
"592800","0.003"
"624000","0.002"
"655200","0.013"
"686400","0.011"
"717600","0.023"
"748800","0.024"
"780000","0.023"
"811200","0.021"
"842400","0.013"
"873600","0.02"
"904800","0.019"
"936000","0.018"
"967200","0.02"
"998400","0.032"
"1029600","0.013"
"1060800","0.023"
"1092000","0.022"
"1123200","0.039"
"1154400","0.02"
"1185600","0.019"
"1216800","0.032"
"1248000","0.021"
"1279200","0.04"
"1310400","0.026"
"1341600","0.04"
"1372800","0.029"
"1404000","0.02"
"1435200","0.014"
"1466400","0.02"
"1497600","0.036"
"1528800","0.022"
"1560000","0.025"
"1591200","0.04"
"1622400","0.033"
"1653600","0.044"
"1684800","0.027"
"1716000","0.033"
"1747200","0.03"
"1778400","0.024"
"1809600","0.031"
"1840800","0.016"
"1872000","0.04"
"1903200","0.048"
"1934400","0.036"
"1965600","0.032"
"1996800","0.037"
"2028000","0.042"
"2059200","0.022"
"2090400","0.037"
"2121600","0.044"
"2152800","0.03"
"2184000","0.023"
"2215200","0.026"
"2246400","0.033"
"2277600","0.029"
"2308800","0.02"
"2340000","0.018"
"2371200","0.031"
"2402400","0.025"
"2433600","0.028"
"2464800","0.017"
"2496000","0.025"
"2527200","0.008"
"2558400","0.031"
"2589600","0.03"
"2620800","0.03"
"2652000","0.025"
"2683200","0.016"
"2714400","0.011"
"2745600","0.02"
"2776800","0.021"
"2808000","0.015"
"2839200","0.027"
"2870400","0.017"
"2901600","0.031"
"2932800","0.012"
"2964000","0.028"
"2995200","0.02"
"3026400","0.022"
"3057600","0.021"
"3088800","0.019"
"3120000","0.01"
"3151200","0.023"
"3182400","0.023"
"3213600","0.027"
"3244800","0.026"
"3276000","0.01"
"3307200","0.006"
"3338400","0.026"
"3369600","0.025"
"3400800","0.024"
"3432000","0.015"
"3463200","0.014"
"3494400","0.018"
"3525600","0.021"
"3556800","0.018"
"3588000","0.019"
"3619200","0.015"
"3650400","0.03"
"3681600","0.028"
"3712800","0.012"
"3744000","0.004"
"3775200","0.014"
"3806400","0.012"
"3837600","0.018"
"3868800","0.007"
"3900000","0.012"
"3931200","0.025"
"3962400","0.01"
"3993600","0.01"
"4024800","0.002"
"4056000","0.011"
"4087200","0.013"
"4118400","0.002"
"4149600","0.008"
"4180800","0.005"
"4212000","0.008"
"4243200","0.001"
"4274400","0.005"
"4305600","0.002"
"4336800","0.006"
"4368000","0.002"
"4399200","0.005"
"4430400","0.011"
"4461600","0.005"
"4492800","0.007"
"4524000","0.001"
"4555200","0.005"
"4586400","0.002"
"4617600","0.003"
"4648800","0.013"
"4680000","0.015"
"4711200","0.008"
"4742400","0.002"
"4773600","0.006"
"4804800","0.01"
"4836000","0.002"
"4867200","0.008"
"4898400","0.006"
"4929600","0.011"
"4960800","0.013"
"4992000","0.014"
"5023200","0.012"
"5054400","0.007"
"5085600","0.017"
"5116800","0.008"
"5148000","0.003"
"5179200","0.008"
"5210400","0.016"
"5241600","0.004"
"5272800","0.009"
"5304000","0.007"
"5335200","0.005"
"5366400","0.013"
"5397600","0.003"
"5428800","0.017"
"5460000","0.012"
"5491200","0.005"
"5522400","0.005"
"5553600","0.008"
"5584800","0.019"
"5616000","0.01"
"5647200","0.002"
"5678400","0.008"
"5709600","0.003"
"5740800","0.008"
"5772000","0.006"
"5803200","0.004"
"5834400","0.007"
"5865600","0.005"
"5896800","0.011"
"5928000","0.013"
"5959200","0.003"
"5990400","0.003"
"6021600","0.013"
"6052800","0.01"
"6084000","0.012"
"6115200","0.013"
"6146400","0.005"
"6177600","0.006"
"6208800","0.009"
"6240000","0.007"
"6271200","0.017"
"6302400","0.006"
"6333600","0.018"
"6364800","0.003"
"6396000","0.003"
"6427200","0.013"
"6458400","0.005"
"6489600","0.002"
"6520800","0.006"
"6552000","0.017"
"6583200","0.007"
"6614400","0.003"
"6645600","0.004"
"6676800","0.01"
"6708000","0.008"
"6739200","0.004"
"6770400","0.009"
"6801600","0.007"
"6832800","0.006"
"6864000","0.007"
"6895200","0.009"
"6926400","0.002"
"6957600","0.008"
"6988800","0.013"
"7020000","0.006"
"7051200","0.006"
"7082400","0.002"
"7113600","0.003"
"7144800","0.005"
"7176000","0.005"
"7207200","0.01"
"7238400","0.004"
"7269600","0.008"
"7300800","0.001"
"7332000","0"
"7363200","0.004"
"7394400","0.013"
"7425600","0.003"
"7456800","0.014"
"7488000","0.004"
"7519200","0.011"
"7550400","0.015"
"7581600","0.014"
"7612800","0.013"
"7644000","0.02"
"7675200","0.005"
"7706400","0.022"
"7737600","0.018"
"7768800","0"
"7800000","0.008"
"7831200","0.014"
"7862400","0.005"
"7893600","0.008"
"7924800","0.004"
"7956000","0.003"
"7987200","0.006"
"8018400","0.016"
"8049600","0.012"
"8080800","0.001"
"8112000","0.005"
"8143200","0.012"
"8174400","0.006"
"8205600","0.003"
"8236800","0.006"
"8268000","0.01"
"8299200","0.013"
"8330400","0.006"
"8361600","0.008"
"8392800","0.015"
"8424000","0.004"
"8455200","0.013"
"8486400","0.008"
"8517600","0.003"
"8548800","0.004"
"8580000","0.008"
"8611200","0.005"
"8642400","0.001"
"8673600","0.002"
"8704800","0.006"
"8736000","0.007"
"8767200","0.005"
"8798400","0.002"
"8829600","0.008"
"8860800","0"
"8892000","0.011"
"8923200","0.015"
"8954400","0.012"
"8985600","0"
"9016800","0"
"9048000","0.007"
"9079200","0.004"
"9110400","0.012"
"9141600","0.012"
"9172800","0.002"
"9204000","0"
"9235200","0.006"
"9266400","0.007"
"9297600","0.007"
"9328800","0.003"
"9360000","0.006"
"9391200","0.003"
"9422400","0.011"
"9453600","0.003"
"9484800","0.001"
"9516000","0.004"
"9547200","0.004"
"9578400","0"
"9609600","0.009"
"9640800","0.009"
"9672000","0.005"
"9703200","0"
"9734400","0.014"
"9765600","0.007"
"9796800","0"
"9828000","0.013"
"9859200","0.003"
"9890400","0.005"
"9921600","0.02"
"9952800","0.004"
