"Step","reverse-goal_seed1 - test_success_rate","reverse-goal_seed1 - test_success_rate__MIN","reverse-goal_seed1 - test_success_rate__MAX","ours_seed2 - test_success_rate","ours_seed2 - test_success_rate__MIN","ours_seed2 - test_success_rate__MAX","ours_seed1 - test_success_rate","ours_seed1 - test_success_rate__MIN","ours_seed1 - test_success_rate__MAX","ours_seed3 - test_success_rate","ours_seed3 - test_success_rate__MIN","ours_seed3 - test_success_rate__MAX"
"31200","0","0","0","","","","","","","","",""
"62400","0","0","0","","","","","","","","",""
"93600","0","0","0","0","0","0","0","0","0","0","0","0"
"124800","0","0","0","","","","","","","","",""
"156000","0","0","0","","","","","","","","",""
"187200","0","0","0","0","0","0","0","0","0","0","0","0"
"218400","0","0","0","","","","","","","","",""
"249600","0","0","0","","","","","","","","",""
"280800","0","0","0","0.003","0.003","0.003","0","0","0","0","0","0"
"312000","0","0","0","","","","","","","","",""
"343200","0","0","0","","","","","","","","",""
"374400","0","0","0","0","0","0","0","0","0","0","0","0"
"405600","0","0","0","","","","","","","","",""
"436800","0","0","0","","","","","","","","",""
"468000","0","0","0","0","0","0","0","0","0","0","0","0"
"499200","0","0","0","","","","","","","","",""
"530400","0","0","0","","","","","","","","",""
"561600","0","0","0","0","0","0","0","0","0","0","0","0"
"592800","0","0","0","","","","","","","","",""
"624000","0","0","0","","","","","","","","",""
"655200","0","0","0","0","0","0","0","0","0","0","0","0"
"686400","0","0","0","","","","","","","","",""
"717600","0","0","0","","","","","","","","",""
"748800","0","0","0","0","0","0","0","0","0","0","0","0"
"780000","0","0","0","","","","","","","","",""
"811200","0","0","0","","","","","","","","",""
"842400","0","0","0","0","0","0","0.005","0.005","0.005","0","0","0"
"873600","0","0","0","","","","","","","","",""
"904800","0","0","0","","","","","","","","",""
"936000","0","0","0","0","0","0","0","0","0","0","0","0"
"967200","0","0","0","","","","","","","","",""
"998400","0","0","0","","","","","","","","",""
"1029600","0","0","0","0","0","0","0","0","0","0","0","0"
"1060800","0","0","0","","","","","","","","",""
"1092000","0","0","0","","","","","","","","",""
"1123200","0","0","0","0","0","0","0","0","0","0","0","0"
"1154400","0","0","0","","","","","","","","",""
"1185600","0","0","0","","","","","","","","",""
"1216800","0","0","0","0","0","0","0","0","0","0","0","0"
"1248000","0","0","0","","","","","","","","",""
"1279200","0","0","0","","","","","","","","",""
"1310400","0","0","0","0","0","0","0","0","0","0","0","0"
"1341600","0","0","0","","","","","","","","",""
"1372800","0","0","0","","","","","","","","",""
"1404000","0","0","0","0","0","0","0","0","0","0.005","0.005","0.005"
"1435200","0","0","0","","","","","","","","",""
"1466400","0","0","0","","","","","","","","",""
"1497600","0","0","0","0","0","0","0","0","0","0.002","0.002","0.002"
"1528800","0","0","0","","","","","","","","",""
"1560000","0","0","0","","","","","","","","",""
"1591200","0","0","0","0","0","0","0","0","0","0","0","0"
"1622400","0","0","0","","","","","","","","",""
"1653600","0","0","0","","","","","","","","",""
"1684800","0","0","0","0.005","0.005","0.005","0","0","0","0","0","0"
"1716000","0","0","0","","","","","","","","",""
"1747200","0","0","0","","","","","","","","",""
"1778400","0","0","0","0","0","0","0","0","0","0","0","0"
"1809600","0","0","0","","","","","","","","",""
"1840800","0","0","0","","","","","","","","",""
"1872000","0","0","0","0","0","0","0","0","0","0","0","0"
"1903200","0","0","0","","","","","","","","",""
"1934400","0","0","0","","","","","","","","",""
"1965600","0","0","0","0","0","0","0","0","0","0","0","0"
"1996800","0","0","0","","","","","","","","",""
"2028000","0","0","0","","","","","","","","",""
"2059200","0","0","0","0","0","0","0","0","0","0","0","0"
"2090400","0","0","0","","","","","","","","",""
"2121600","0","0","0","","","","","","","","",""
"2152800","0","0","0","0","0","0","0.01","0.01","0.01","0","0","0"
"2184000","0","0","0","","","","","","","","",""
"2215200","0","0","0","","","","","","","","",""
"2246400","0","0","0","0.005","0.005","0.005","0","0","0","0.001","0.001","0.001"
"2277600","0","0","0","","","","","","","","",""
"2308800","0","0","0","","","","","","","","",""
"2340000","0","0","0","0","0","0","0.005","0.005","0.005","0","0","0"
"2371200","0","0","0","","","","","","","","",""
"2402400","0","0","0","","","","","","","","",""
"2433600","0","0","0","0","0","0","0.011","0.011","0.011","0.003","0.003","0.003"
"2464800","0","0","0","","","","","","","","",""
"2496000","0","0","0","","","","","","","","",""
"2527200","0","0","0","0","0","0","0.006","0.006","0.006","0","0","0"
"2558400","0","0","0","","","","","","","","",""
"2589600","0","0","0","","","","","","","","",""
"2620800","0","0","0","0","0","0","0.008","0.008","0.008","0","0","0"
"2652000","0","0","0","","","","","","","","",""
"2683200","0","0","0","","","","","","","","",""
"2714400","0","0","0","0","0","0","0.019","0.019","0.019","0.005","0.005","0.005"
"2745600","0","0","0","","","","","","","","",""
"2776800","0.005","0.005","0.005","","","","","","","","",""
"2808000","0","0","0","0","0","0","0.005","0.005","0.005","0","0","0"
"2839200","0","0","0","","","","","","","","",""
"2870400","0","0","0","","","","","","","","",""
"2901600","0","0","0","0.005","0.005","0.005","0.013","0.013","0.013","0.004","0.004","0.004"
"2932800","0","0","0","","","","","","","","",""
"2964000","0","0","0","","","","","","","","",""
"2995200","0","0","0","0","0","0","0.01","0.01","0.01","0","0","0"
"3026400","0","0","0","","","","","","","","",""
"3057600","0.022","0.022","0.022","","","","","","","","",""
"3088800","0.02","0.02","0.02","0.005","0.005","0.005","0.011","0.011","0.011","0.003","0.003","0.003"
"3120000","0.007","0.007","0.007","","","","","","","","",""
"3151200","0.003","0.003","0.003","","","","","","","","",""
"3182400","0.005","0.005","0.005","0.002","0.002","0.002","0.02","0.02","0.02","0.004","0.004","0.004"
"3213600","0.031","0.031","0.031","","","","","","","","",""
"3244800","0.018","0.018","0.018","","","","","","","","",""
"3276000","0.028","0.028","0.028","0.004","0.004","0.004","0.017","0.017","0.017","0.002","0.002","0.002"
"3307200","0.01","0.01","0.01","","","","","","","","",""
"3338400","0.013","0.013","0.013","","","","","","","","",""
"3369600","0.006","0.006","0.006","0.005","0.005","0.005","0.02","0.02","0.02","0.008","0.008","0.008"
"3400800","0.013","0.013","0.013","","","","","","","","",""
"3432000","0.004","0.004","0.004","","","","","","","","",""
"3463200","0.005","0.005","0.005","0.002","0.002","0.002","0.02","0.02","0.02","0.006","0.006","0.006"
"3494400","0.013","0.013","0.013","","","","","","","","",""
"3525600","0","0","0","","","","","","","","",""
"3556800","0","0","0","0.008","0.008","0.008","0.007","0.007","0.007","0.021","0.021","0.021"
"3588000","0","0","0","","","","","","","","",""
"3619200","0","0","0","","","","","","","","",""
