"Step","ours_seed1 - test_success_rate","ours_seed1 - test_success_rate__MIN","ours_seed1 - test_success_rate__MAX"
"93600","0","0","0"
"187200","0","0","0"
"280800","0","0","0"
"374400","0","0","0"
"468000","0","0","0"
"561600","0","0","0"
"655200","0","0","0"
"748800","0","0","0"
"842400","0.005","0.005","0.005"
"936000","0","0","0"
"1029600","0","0","0"
"1123200","0","0","0"
"1216800","0","0","0"
"1310400","0","0","0"
"1404000","0","0","0"
"1497600","0","0","0"
"1591200","0","0","0"
"1684800","0","0","0"
"1778400","0","0","0"
"1872000","0","0","0"
"1965600","0","0","0"
"2059200","0","0","0"
"2152800","0.01","0.01","0.01"
"2246400","0","0","0"
"2340000","0.005","0.005","0.005"
"2433600","0.011","0.011","0.011"
"2527200","0.006","0.006","0.006"
"2620800","0.008","0.008","0.008"
"2714400","0.019","0.019","0.019"
"2808000","0.005","0.005","0.005"
"2901600","0.013","0.013","0.013"
"2995200","0.01","0.01","0.01"
"3088800","0.011","0.011","0.011"
"3182400","0.02","0.02","0.02"
"3276000","0.017","0.017","0.017"
"3369600","0.02","0.02","0.02"
"3463200","0.02","0.02","0.02"
"3556800","0.007","0.007","0.007"
"3650400","0.023","0.023","0.023"
"3744000","0.008","0.008","0.008"
"3837600","0.018","0.018","0.018"
"3931200","0.011","0.011","0.011"
"4024800","0.004","0.004","0.004"
"4118400","0.008","0.008","0.008"
"4212000","0.015","0.015","0.015"
"4305600","0.009","0.009","0.009"
"4399200","0.016","0.016","0.016"
"4492800","0.007","0.007","0.007"
"4586400","0.022","0.022","0.022"
"4680000","0.022","0.022","0.022"
"4773600","0.026","0.026","0.026"
"4867200","0.028","0.028","0.028"
"4960800","0.035","0.035","0.035"
"5054400","0.021","0.021","0.021"
"5148000","0.024","0.024","0.024"
"5241600","0.023","0.023","0.023"
"5335200","0.018","0.018","0.018"
"5428800","0.025","0.025","0.025"
"5522400","0.027","0.027","0.027"
"5616000","0.031","0.031","0.031"
"5709600","0.035","0.035","0.035"
"5803200","0.031","0.031","0.031"
"5896800","0.043","0.043","0.043"
"5990400","0.035","0.035","0.035"
"6084000","0.041","0.041","0.041"
"6177600","0.041","0.041","0.041"
"6271200","0.036","0.036","0.036"
"6364800","0.041","0.041","0.041"
"6458400","0.03","0.03","0.03"
"6552000","0.036","0.036","0.036"
"6645600","0.056","0.056","0.056"
"6739200","0.023","0.023","0.023"
"6832800","0.028","0.028","0.028"
"6926400","0.047","0.047","0.047"
"7020000","0.029","0.029","0.029"
"7113600","0.043","0.043","0.043"
"7207200","0.042","0.042","0.042"
"7300800","0.061","0.061","0.061"
"7394400","0.032","0.032","0.032"
"7488000","0.024","0.024","0.024"
"7581600","0.031","0.031","0.031"
"7675200","0.031","0.031","0.031"
"7768800","0.037","0.037","0.037"
"7862400","0.029","0.029","0.029"
"7956000","0.039","0.039","0.039"
"8049600","0.018","0.018","0.018"
"8143200","0.039","0.039","0.039"
"8236800","0.037","0.037","0.037"
"8330400","0.034","0.034","0.034"
"8424000","0.055","0.055","0.055"
"8517600","0.048","0.048","0.048"
"8611200","0.041","0.041","0.041"
"8704800","0.025","0.025","0.025"
"8798400","0.037","0.037","0.037"
"8892000","0.036","0.036","0.036"
"8985600","0.054","0.054","0.054"
"9079200","0.021","0.021","0.021"
"9172800","0.062","0.062","0.062"
"9266400","0.035","0.035","0.035"
"9360000","0.045","0.045","0.045"
"9453600","0.035","0.035","0.035"
"9547200","0.032","0.032","0.032"
"9640800","0.038","0.038","0.038"
"9734400","0.026","0.026","0.026"
"9828000","0.029","0.029","0.029"
"9921600","0.055","0.055","0.055"
"10015200","0.038","0.038","0.038"
"10108800","0.035","0.035","0.035"
"10202400","0.041","0.041","0.041"
"10296000","0.042","0.042","0.042"
"10389600","0.038","0.038","0.038"
"10483200","0.049","0.049","0.049"
"10576800","0.044","0.044","0.044"
"10670400","0.052","0.052","0.052"
"10764000","0.022","0.022","0.022"
"10857600","0.056","0.056","0.056"
"10951200","0.041","0.041","0.041"
"11044800","0.033","0.033","0.033"
"11138400","0.028","0.028","0.028"
"11232000","0.054","0.054","0.054"
"11325600","0.067","0.067","0.067"
"11419200","0.076","0.076","0.076"
"11512800","0.082","0.082","0.082"
"11606400","0.07","0.07","0.07"
"11700000","0.055","0.055","0.055"
"11793600","0.09","0.09","0.09"
"11887200","0.048","0.048","0.048"
"11980800","0.107","0.107","0.107"
"12074400","0.086","0.086","0.086"
"12168000","0.114","0.114","0.114"
"12261600","0.161","0.161","0.161"
"12355200","0.123","0.123","0.123"
"12448800","0.113","0.113","0.113"
"12542400","0.143","0.143","0.143"
"12636000","0.124","0.124","0.124"
"12729600","0.149","0.149","0.149"
"12823200","0.076","0.076","0.076"
"12916800","0.15","0.15","0.15"
"13010400","0.123","0.123","0.123"
"13104000","0.137","0.137","0.137"
"13197600","0.108","0.108","0.108"
"13291200","0.107","0.107","0.107"
"13384800","0.092","0.092","0.092"
"13478400","0.119","0.119","0.119"
"13572000","0.113","0.113","0.113"
"13665600","0.124","0.124","0.124"
"13759200","0.14","0.14","0.14"
"13852800","0.179","0.179","0.179"
"13946400","0.115","0.115","0.115"
"14040000","0.12","0.12","0.12"
"14133600","0.155","0.155","0.155"
"14227200","0.156","0.156","0.156"
"14320800","0.159","0.159","0.159"
"14414400","0.148","0.148","0.148"
"14508000","0.175","0.175","0.175"
"14601600","0.165","0.165","0.165"
"14695200","0.222","0.222","0.222"
"14788800","0.137","0.137","0.137"
"14882400","0.174","0.174","0.174"
"14976000","0.216","0.216","0.216"
"15069600","0.217","0.217","0.217"
"15163200","0.15","0.15","0.15"
