"Step","test_seed1 - test_success_rate","test_seed1 - test_success_rate__MIN","test_seed1 - test_success_rate__MAX"
"93600","0","0","0"
"187200","0","0","0"
"280800","0","0","0"
"374400","0","0","0"
"468000","0","0","0"
"561600","0","0","0"
"655200","0","0","0"
"748800","0","0","0"
"842400","0","0","0"
"936000","0","0","0"
"1029600","0","0","0"
"1123200","0","0","0"
"1216800","0","0","0"
"1310400","0","0","0"
"1404000","0.005","0.005","0.005"
"1497600","0.002","0.002","0.002"
"1591200","0","0","0"
"1684800","0","0","0"
"1778400","0","0","0"
"1872000","0","0","0"
"1965600","0","0","0"
"2059200","0","0","0"
"2152800","0","0","0"
"2246400","0.001","0.001","0.001"
"2340000","0","0","0"
"2433600","0.003","0.003","0.003"
"2527200","0","0","0"
"2620800","0","0","0"
"2714400","0.005","0.005","0.005"
"2808000","0","0","0"
"2901600","0.004","0.004","0.004"
"2995200","0","0","0"
"3088800","0.003","0.003","0.003"
"3182400","0.004","0.004","0.004"
"3276000","0.002","0.002","0.002"
"3369600","0.008","0.008","0.008"
"3463200","0.006","0.006","0.006"
"3556800","0.021","0.021","0.021"
"3650400","0.002","0.002","0.002"
"3744000","0.013","0.013","0.013"
"3837600","0.02","0.02","0.02"
"3931200","0.011","0.011","0.011"
"4024800","0","0","0"
"4118400","0.014","0.014","0.014"
"4212000","0.022","0.022","0.022"
"4305600","0.02","0.02","0.02"
"4399200","0.014","0.014","0.014"
"4492800","0.016","0.016","0.016"
"4586400","0.017","0.017","0.017"
"4680000","0.025","0.025","0.025"
"4773600","0.011","0.011","0.011"
"4867200","0.003","0.003","0.003"
"4960800","0.022","0.022","0.022"
"5054400","0.013","0.013","0.013"
"5148000","0.014","0.014","0.014"
"5241600","0.022","0.022","0.022"
"5335200","0.009","0.009","0.009"
"5428800","0.012","0.012","0.012"
"5522400","0.023","0.023","0.023"
"5616000","0.009","0.009","0.009"
"5709600","0.008","0.008","0.008"
"5803200","0.016","0.016","0.016"
"5896800","0.019","0.019","0.019"
"5990400","0.015","0.015","0.015"
"6084000","0.029","0.029","0.029"
"6177600","0.026","0.026","0.026"
"6271200","0.027","0.027","0.027"
"6364800","0.013","0.013","0.013"
"6458400","0.027","0.027","0.027"
"6552000","0.011","0.011","0.011"
"6645600","0.032","0.032","0.032"
"6739200","0.019","0.019","0.019"
"6832800","0.02","0.02","0.02"
"6926400","0.031","0.031","0.031"
"7020000","0.013","0.013","0.013"
"7113600","0.029","0.029","0.029"
"7207200","0.029","0.029","0.029"
"7300800","0.028","0.028","0.028"
"7394400","0.019","0.019","0.019"
"7488000","0.037","0.037","0.037"
"7581600","0.021","0.021","0.021"
"7675200","0.03","0.03","0.03"
"7768800","0.024","0.024","0.024"
"7862400","0.05","0.05","0.05"
"7956000","0.04","0.04","0.04"
"8049600","0.031","0.031","0.031"
"8143200","0.032","0.032","0.032"
"8236800","0.031","0.031","0.031"
"8330400","0.023","0.023","0.023"
"8424000","0.025","0.025","0.025"
"8517600","0.041","0.041","0.041"
"8611200","0.041","0.041","0.041"
"8704800","0.038","0.038","0.038"
"8798400","0.044","0.044","0.044"
"8892000","0.044","0.044","0.044"
"8985600","0.052","0.052","0.052"
"9079200","0.042","0.042","0.042"
"9172800","0.056","0.056","0.056"
"9266400","0.049","0.049","0.049"
"9360000","0.034","0.034","0.034"
"9453600","0.049","0.049","0.049"
"9547200","0.037","0.037","0.037"
"9640800","0.029","0.029","0.029"
"9734400","0.034","0.034","0.034"
"9828000","0.03","0.03","0.03"
"9921600","0.051","0.051","0.051"
"10015200","0.031","0.031","0.031"
"10108800","0.028","0.028","0.028"
"10202400","0.038","0.038","0.038"
"10296000","0.032","0.032","0.032"
"10389600","0.032","0.032","0.032"
"10483200","0.035","0.035","0.035"
"10576800","0.048","0.048","0.048"
"10670400","0.046","0.046","0.046"
"10764000","0.028","0.028","0.028"
"10857600","0.045","0.045","0.045"
"10951200","0.052","0.052","0.052"
"11044800","0.043","0.043","0.043"
"11138400","0.018","0.018","0.018"
"11232000","0.033","0.033","0.033"
"11325600","0.048","0.048","0.048"
"11419200","0.041","0.041","0.041"
"11512800","0.034","0.034","0.034"
"11606400","0.046","0.046","0.046"
"11700000","0.031","0.031","0.031"
"11793600","0.045","0.045","0.045"
"11887200","0.028","0.028","0.028"
"11980800","0.028","0.028","0.028"
"12074400","0.039","0.039","0.039"
"12168000","0.053","0.053","0.053"
"12261600","0.03","0.03","0.03"
"12355200","0.056","0.056","0.056"
"12448800","0.059","0.059","0.059"
"12542400","0.054","0.054","0.054"
"12636000","0.033","0.033","0.033"
"12729600","0.042","0.042","0.042"
"12823200","0.039","0.039","0.039"
"12916800","0.048","0.048","0.048"
"13010400","0.045","0.045","0.045"
"13104000","0.06","0.06","0.06"
"13197600","0.048","0.048","0.048"
"13291200","0.042","0.042","0.042"
"13384800","0.026","0.026","0.026"
"13478400","0.036","0.036","0.036"
"13572000","0.044","0.044","0.044"
"13665600","0.041","0.041","0.041"
"13759200","0.049","0.049","0.049"
"13852800","0.027","0.027","0.027"
"13946400","0.039","0.039","0.039"
"14040000","0.037","0.037","0.037"
"14133600","0.044","0.044","0.044"
"14227200","0.044","0.044","0.044"
"14320800","0.057","0.057","0.057"
"14414400","0.037","0.037","0.037"
"14508000","0.048","0.048","0.048"
"14601600","0.044","0.044","0.044"
"14695200","0.042","0.042","0.042"
"14788800","0.043","0.043","0.043"
"14882400","0.052","0.052","0.052"
"14976000","0.047","0.047","0.047"
"15069600","0.052","0.052","0.052"
"15163200","0.069","0.069","0.069"
"15256800","0.052","0.052","0.052"
"15350400","0.036","0.036","0.036"
