Step,decay_fre300_pb_minibatch8_woclip_seed2 - 4cover_rate
0,0.6113
341640,0.59
683280,0.6219
1024920,0.6295
1366560,0.6293
1708200,0.6244
2049840,0.6216
2391480,0.635
2733120,0.6273
3074760,0.6284
3416400,0.6085
3758040,0.6452
4099680,0.6291
4441320,0.6219
4782960,0.6374
5124600,0.6417
5466240,0.6335
5807880,0.6409
6149520,0.63
6491160,0.6503
6832800,0.6604
7174440,0.6362
7516080,0.6627
7857720,0.6443
8199360,0.6602
8541000,0.6769
8882640,0.6632
9224280,0.6585
9565920,0.6595
9907560,0.667
10249200,0.6602
10590840,0.6825
10932480,0.6724
11274120,0.6834
11615760,0.6766
11957400,0.6846
12299040,0.6903
12640680,0.6962
12982320,0.6685
13323960,0.674
13665600,0.6641
14007240,0.6755
14348880,0.6665
14690520,0.6922
15032160,0.6783
15373800,0.6685
15715440,0.6841
16057080,0.6761
16398720,0.6633
16740360,0.6806
17082000,0.6839
17423640,0.6883
17765280,0.6847
18106920,0.6824
18448560,0.6896
18790200,0.6776
19131840,0.6952
19473480,0.6989
19815120,0.6886
20156760,0.7155
20498400,0.7033
20840040,0.7053
21181680,0.6999
21523320,0.7106
21864960,0.7037
22206600,0.7184
22548240,0.7202
22889880,0.732
23231520,0.7128
23573160,0.7292
23914800,0.7274
24256440,0.7455
24598080,0.7346
24939720,0.7302
25281360,0.7345
25623000,0.728
25964640,0.7398
26306280,0.7331
26647920,0.7304
26989560,0.7431
27331200,0.7329
27672840,0.7305
28014480,0.7408
28356120,0.7387
28697760,0.7518
29039400,0.7456
29381040,0.7456
29722680,0.7473
30064320,0.7467
30405960,0.75
30747600,0.7348
31089240,0.7308
31430880,0.7386
31772520,0.7476
32114160,0.7601
32455800,0.7542
32797440,0.7563
33139080,0.7401
33480720,0.7371
33822360,0.7524
34164000,0.7476
34488000,0.747
34812000,0.7514
35136000,0.7522
35460000,0.7709
35784000,0.7641
36108000,0.7603
36432000,0.7653
36756000,0.7519
37080000,0.7696
37404000,0.7651
37728000,0.7654
38052000,0.7809
38376000,0.7804
38700000,0.7718
39024000,0.7682
39348000,0.7562
39672000,0.7374
39996000,0.7484
40320000,0.7523
40644000,0.755
40968000,0.7552
41292000,0.7597
41616000,0.7668
41940000,0.7274
42264000,0.7272
42588000,0.7472
42912000,0.7454
43236000,0.7517
43560000,0.7506
43884000,0.7534
44208000,0.7456
44532000,0.7354
44856000,0.7603
45180000,0.7483
45504000,0.7524
45828000,0.737
46152000,0.7492
46476000,0.7356
46800000,0.7493
47124000,0.7424
47448000,0.7474
47772000,0.7493
48096000,0.7522
48420000,0.7464
48744000,0.7525
49068000,0.7529
49392000,0.7545
49716000,0.7548
50040000,0.7471
50364000,0.7524
50688000,0.7492
51012000,0.7674
51336000,0.7588
51660000,0.7683
51984000,0.7593
52308000,0.7509
52632000,0.7688
52956000,0.7625
53280000,0.7702
53604000,0.7726
53928000,0.7668
54252000,0.7705
54576000,0.7732
54900000,0.7535
55224000,0.7632
55548000,0.7696
55872000,0.7677
56196000,0.7592
56520000,0.759
56844000,0.7738
57168000,0.7687
57492000,0.7765
57816000,0.7717
58140000,0.7859
58464000,0.7778
58788000,0.7738
59112000,0.7816
59436000,0.771
59760000,0.7729
60084000,0.7727
60408000,0.7681
60732000,0.7725
61056000,0.7743
61380000,0.7739
61704000,0.7835
62028000,0.7859
62352000,0.7693
62676000,0.7682
63000000,0.7738
63324000,0.7853
63648000,0.7854
63972000,0.778
64296000,0.7864
64620000,0.7862
64944000,0.7985
65268000,0.7754
65592000,0.7731
65916000,0.7787
66240000,0.7833
66564000,0.7778
66870360,0.784
67176720,0.7734
67483080,0.7947
67789440,0.7772
68095800,0.7856
68402160,0.774
68708520,0.7811
69014880,0.7667
69321240,0.7811
69627600,0.7863
69933960,0.7834
70240320,0.7977
70546680,0.7833
70853040,0.7974
71159400,0.7795
71465760,0.7987
71772120,0.8019
72078480,0.8073
72384840,0.8068
72691200,0.8077
72997560,0.8044
73303920,0.8119
73610280,0.7993
73916640,0.8091
74223000,0.7827
74529360,0.7965
74835720,0.794
75142080,0.7919
75448440,0.7931
75754800,0.8063
76061160,0.7925
76367520,0.7865
76673880,0.7956
76980240,0.7826
77286600,0.7761
77592960,0.7875
77899320,0.7781
78205680,0.7982
78512040,0.7826
78818400,0.786
79124760,0.787
79431120,0.7856
79737480,0.7989
80043840,0.7821
80350200,0.7645
80656560,0.7757
80962920,0.7821
81269280,0.7666
81575640,0.788
81882000,0.8066
82188360,0.7756
82494720,0.7831
82801080,0.7792
83107440,0.7576
83413800,0.7864
83720160,0.7732
84026520,0.7663
84332880,0.7737
84639240,0.763
84945600,0.7553
85251960,0.7304
85558320,0.756
85864680,0.7541
86171040,0.7684
86477400,0.7909
86783760,0.7617
87090120,0.7763
87396480,0.771
87702840,0.7574
88009200,0.7579
88315560,0.786
88621920,0.7639
88928280,0.7667
