"Step","diversified_novelty_parentsampling_badinit_pb_seed2 - cover_rate_5step"
"180000","0.118"
"360000","0.13019999999999998"
"540000","0.098"
"720000","0.101"
"900000","0.11"
"1080000","0.111"
"1260000","0.131"
"1440000","0.133"
"1620000","0.128"
"1800000","0.127"
"1980000","0.128"
"2160000","0.131"
"2340000","0.117"
"2520000","0.1124"
"2700000","0.134"
"2880000","0.131"
"3060000","0.115"
"3240000","0.13119999999999998"
"3420000","0.151"
"3600000","0.156"
"3780000","0.181"
"3960000","0.171"
"4140000","0.198"
"4320000","0.186"
"4500000","0.183"
"4680000","0.193"
"4860000","0.185"
"5040000","0.202"
"5220000","0.1958"
"5400000","0.184"
"5580000","0.1922"
"5760000","0.1706"
"5940000","0.176"
"6120000","0.1956"
"6300000","0.2124"
"6480000","0.18"
"6660000","0.202"
"6840000","0.212"
"7020000","0.2148"
"7200000","0.191"
"7380000","0.194"
"7560000","0.1758"
"7740000","0.188"
"7920000","0.174"
"8100000","0.188"
"8280000","0.194"
"8460000","0.213"
"8640000","0.207"
"8820000","0.218"
"9000000","0.1702"
"9180000","0.2196"
"9360000","0.2106"
"9540000","0.211"
"9720000","0.216"
"9900000","0.2212"
"10080000","0.19"
"10260000","0.205"
"10440000","0.223"
"10620000","0.23"
"10800000","0.2196"
"10980000","0.231"
"11160000","0.2132"
"11340000","0.2008"
"11520000","0.222"
"11700000","0.2346"
"11880000","0.266"
"12060000","0.2406"
"12240000","0.221"
"12420000","0.2358"
"12600000","0.2372"
"12780000","0.2412"
"12960000","0.2314"
"13140000","0.235"
"13320000","0.2136"
"13500000","0.2376"
"13680000","0.25880000000000003"
"13860000","0.242"
"14040000","0.263"
"14220000","0.2252"
"14400000","0.2586"
"14580000","0.262"
"14760000","0.2696"
"14940000","0.2862"
"15120000","0.276"
"15300000","0.2698"
"15480000","0.2734"
"15660000","0.2694"
"15840000","0.28320000000000006"
"16020000","0.29860000000000003"
"16200000","0.3078"
"16380000","0.29860000000000003"
"16560000","0.2964"
"16740000","0.27879999999999994"
"16920000","0.29979999999999996"
"17100000","0.2984"
"17280000","0.30060000000000003"
"17460000","0.26020000000000004"
"17640000","0.30760000000000004"
"17820000","0.288"
"18000000","0.2984"
"18180000","0.2916"
"18360000","0.3212"
"18540000","0.3088"
"18720000","0.31060000000000004"
"18900000","0.32780000000000004"
"19080000","0.334"
"19260000","0.3232"
"19440000","0.3198"
"19620000","0.32880000000000004"
"19800000","0.3088"
"19980000","0.3442"
"20160000","0.3408"
"20340000","0.313"
"20520000","0.32"
"20700000","0.2964"
"20880000","0.31520000000000004"
"21060000","0.3172"
"21240000","0.31760000000000005"
"21420000","0.31420000000000003"
"21600000","0.32320000000000004"
"21780000","0.30119999999999997"
"21960000","0.30019999999999997"
"22140000","0.30739999999999995"
"22320000","0.32039999999999996"
"22500000","0.326"
"22680000","0.30140000000000006"
"22860000","0.35240000000000005"
"23040000","0.3372"
"23220000","0.3406"
"23400000","0.3408"
"23580000","0.3676"
"23760000","0.3578"
"23940000","0.3896"
"24120000","0.35960000000000003"
"24300000","0.3706"
"24480000","0.355"
"24660000","0.341"
"24840000","0.3654"
"25020000","0.3458"
"25200000","0.354"
"25380000","0.3956"
"25560000","0.3608"
"25740000","0.4026"
"25920000","0.3736"
"26100000","0.3538"
"26280000","0.338"
"26460000","0.373"
"26640000","0.3456"
"26820000","0.337"
"27000000","0.3936"
"27180000","0.3878"
"27360000","0.3738"
"27540000","0.371"
"27720000","0.3754"
"27900000","0.3832"
"28080000","0.3696"
"28260000","0.3854"
"28440000","0.3844"
"28620000","0.3994"
"28800000","0.3812"
"28980000","0.3852"
"29160000","0.4078"
"29340000","0.3798"
"29520000","0.358"
"29700000","0.3864"
"29880000","0.3826"
"30060000","0.3902000000000001"
"30240000","0.3318"
"30420000","0.3412"
"30600000","0.3188"
"30780000","0.3356"
"30960000","0.3472"
"31140000","0.3402"
"31320000","0.3226"
"31500000","0.32039999999999996"
"31680000","0.34619999999999995"
"31860000","0.3693999999999999"
"32040000","0.36040000000000005"
"32220000","0.377"
"32400000","0.394"
"32580000","0.375"
"32760000","0.35740000000000005"
"32940000","0.366"
"33120000","0.3918"
"33300000","0.32259999999999994"
"33480000","0.3723999999999999"
"33660000","0.4056"
"33840000","0.36"
"34020000","0.354"
"34200000","0.3638"
"34380000","0.4152"
"34560000","0.41620000000000007"
"34740000","0.377"
"34920000","0.39920000000000005"
"35100000","0.385"
"35280000","0.3598"
"35460000","0.4268"
"35640000","0.385"
"35820000","0.4098"
"36000000","0.3964"
"36180000","0.40520000000000006"
"36360000","0.3854"
"36540000","0.3894"
"36720000","0.4328"
"36900000","0.4238"
"37080000","0.3756"
"37260000","0.407"
"37440000","0.4154"
"37620000","0.4052"
"37800000","0.4238"
"37980000","0.3916"
"38160000","0.385"
"38340000","0.415"
"38520000","0.4406000000000001"
"38700000","0.421"
"38880000","0.4292"
"39060000","0.4074"
"39240000","0.4562"
"39420000","0.45979999999999993"
"39600000","0.4512000000000001"
"39780000","0.4914"
"39960000","0.4704"
"40140000","0.4672"
"40320000","0.4456"
"40500000","0.4512"
"40680000","0.4294"
"40860000","0.4342"
"41040000","0.437"
"41220000","0.438"
"41400000","0.4343999999999999"
"41580000","0.4498"
"41760000","0.4998000000000001"
