"Step","diversified_novelty_parentsampling_sp3_leftup_rightdown_seed4 - cover_rate_5step","diversified_novelty_parentsampling_sp3_leftup_rightdown_seed3 - cover_rate_5step","diversified_novelty_parentsampling_sp3_leftup_rightdown_seed2 - cover_rate_5step","diversified_novelty_parentsampling_sp3_leftup_rightdown_seed1 - cover_rate_5step"
"105000","0.0032","0.0040999999999999995","0.0033","0.0095"
"210000","0.0025","0.004","0.0054","0.0121"
"315000","0.0105","0.0107","0.0070999999999999995","0.0145"
"420000","0.0095","0.0115","0.0134","0.0209"
"525000","0.0102","0.0098","0.0114","0.022"
"630000","0.008199999999999999","0.0104","0.0128","0.0353"
"735000","0.0086","0.019","0.0145","0.0321"
"840000","0.0101","0.0209","0.0122","0.0387"
"945000","0.01","0.03509999999999999","0.0114","0.046099999999999995"
"1050000","0.0097","0.0572","0.015","0.055"
"1155000","0.012600000000000002","0.07239999999999999","0.0181","0.07869999999999999"
"1260000","0.014","0.0707","0.017","0.08580000000000002"
"1365000","0.0166","0.1027","0.0231","0.0908"
"1470000","0.0246","0.1133","0.032600000000000004","0.1129"
"1575000","0.031700000000000006","0.13019999999999998","0.03509999999999999","0.12940000000000002"
"1680000","0.0479","0.13570000000000002","0.0445","0.13610000000000003"
"1785000","0.0609","0.1482","0.0694","0.1446"
"1890000","0.075","0.1422","0.07690000000000001","0.1469"
"1995000","0.0936","0.1571","0.07959999999999999","0.1756"
"2100000","0.1017","0.1579","0.0938","0.17239999999999997"
"2205000","0.1153","0.1515","0.1196","0.1955"
"2310000","0.1377","0.142","0.1437","0.1911"
"2415000","0.1215","0.1638","0.155","0.2122"
"2520000","0.15180000000000002","0.1551","0.16240000000000002","0.2134"
"2625000","0.171","0.15969999999999998","0.2028","0.2116"
"2730000","0.1712","0.16369999999999998","0.2242","0.2176"
"2835000","0.1661","0.1699","0.2304","0.20289999999999997"
"2940000","0.17610000000000003","0.17","0.2525","0.2097"
"3045000","0.195","0.167","0.2632","0.2372"
"3150000","0.1762","0.1642","0.25939999999999996","0.2235"
"3255000","0.1957","0.1917","0.25980000000000003","0.23760000000000003"
"3360000","0.1944","0.1625","0.2692","0.2288"
"3465000","0.2209","0.1865","0.2758","0.2308"
"3570000","0.2269","0.171","0.265","0.2287"
"3675000","0.223","0.1767","0.2734","0.2283"
"3780000","0.2222","0.1804","0.2585","0.248"
"3885000","0.2193","0.174","0.2481","0.2617"
"3990000","0.2212","0.1848","0.24420000000000003","0.26880000000000004"
"4095000","0.2113","0.17239999999999997","0.2582","0.266"
"4200000","0.2295","0.1727","0.2706","0.25780000000000003"
"4305000","0.2106","0.2012","0.2535","0.26080000000000003"
