"Step","diversified_novelty_pb - cover_rate_5step","diversified_novelty_pb_seed2 - cover_rate_5step","diversified_novelty_pb_seed3 - cover_rate_5step"
"180000","0.125","0.131","0.119"
"360000","0.126","0.121","0.125"
"540000","0.126","0.115","0.132"
"720000","0.109","0.122","0.12"
"900000","0.094","0.118","0.093"
"1080000","0.101","0.111","0.124"
"1260000","0.111","0.134","0.126"
"1440000","0.113","0.146","0.114"
"1620000","0.122","0.139","0.103"
"1800000","0.121","0.14","0.134"
"1980000","0.11","0.13","0.135"
"2160000","0.123","0.132","0.1638"
"2340000","0.113","0.116","0.1604"
"2520000","0.12","0.134","0.2266"
"2700000","0.137","0.144","0.2038"
"2880000","0.102","0.164","0.2144"
"3060000","0.136","0.19","0.2526"
"3240000","0.129","0.1968","0.29919999999999997"
"3420000","0.128","0.2204","0.3048"
"3600000","0.15","0.2158","0.3356"
"3780000","0.14980000000000002","0.2788","0.3552"
"3960000","0.1474","0.2858","0.33879999999999993"
"4140000","0.153","0.2866","0.347"
"4320000","0.1458","0.308","0.3733999999999999"
"4500000","0.133","0.31579999999999997","0.3494"
"4680000","0.146","0.32280000000000003","0.3984"
"4860000","0.126","0.31039999999999995","0.3908"
"5040000","0.122","0.3398","0.4272"
"5220000","0.123","0.34479999999999994","0.4752"
"5400000","0.124","0.3626","0.4766"
"5580000","0.125","0.3868","0.4878"
"5760000","0.124","0.3566","0.4982"
"5940000","0.15","0.3636","0.504"
"6120000","0.1462","0.3945999999999999","0.5167999999999999"
"6300000","0.175","0.3894","0.5628"
"6480000","0.219","0.3664","0.5452"
"6660000","0.2326","0.3816000000000001","0.5834"
"6840000","0.2164","0.3942000000000001","0.5862"
"7020000","0.2268","0.3962000000000001","0.5848"
"7200000","0.2382","0.409","0.6088000000000001"
"7380000","0.25780000000000003","0.3864","0.6354"
"7560000","0.2504","0.4028","0.6404"
"7740000","0.258","0.4346","0.6272000000000001"
"7920000","0.269","0.4104","0.6524000000000001"
"8100000","0.2782","0.445","0.6447999999999999"
"8280000","0.2738","0.39979999999999993","0.6658"
"8460000","0.323","0.45979999999999993","0.6995999999999999"
"8640000","0.3182","0.4134","0.6816"
"8820000","0.31639999999999996","0.4342","0.6978"
"9000000","0.3054","0.459","0.6582"
"9180000","0.32639999999999997","0.4912","0.6748"
"9360000","0.3416","0.4726","0.7068"
"9540000","0.34","0.4906","0.6961999999999999"
"9720000","0.3408","0.4806","0.6886"
"9900000","0.31860000000000005","0.4694","0.698"
"10080000","0.3738","0.4816","0.713"
"10260000","0.3436","0.4946","0.704"
"10440000","0.3406","0.5126","0.721"
"10620000","0.3574","0.476","0.7416"
"10800000","0.3544","0.4844","0.7406"
"10980000","0.3728","0.5198","0.7298"
"11160000","0.359","0.516","0.7556"
"11340000","0.3564","0.5428000000000001","0.779"
"11520000","0.3693999999999999","0.521","0.7534"
"11700000","0.3882","0.5718","0.76"
"11880000","0.3888","0.5575999999999999","0.7774"
"12060000","0.3906","0.5455999999999999","0.786"
"12240000","0.3732","0.541","0.7864"
"12420000","0.368","0.5474","0.802"
"12600000","0.3784","0.5585999999999999","0.7686000000000001"
"12780000","0.3922000000000001","0.5418","0.7968000000000001"
"12960000","0.3994","0.568","0.8174000000000001"
"13140000","0.395","0.5712","0.7864"
"13320000","0.4154","0.5708","0.7808"
"13500000","0.404","0.5722","0.7895999999999999"
"13680000","0.4176","0.5655999999999999","0.822"
"13860000","0.4246","0.5695999999999999","0.8396"
"14040000","0.3786","0.5775999999999999","0.8228"
"14220000","0.423","0.5751999999999999","0.819"
"14400000","0.4186","0.6202","0.8416"
"14580000","0.3956","0.6085999999999999","0.8338000000000001"
"14760000","0.4296","0.5882000000000001","0.85"
"14940000","0.4024","0.5908","0.841"
"15120000","0.4038","0.6136","0.8552000000000001"
"15300000","0.454","0.5992000000000001","0.8642000000000001"
"15480000","0.4012","0.6286","0.8652000000000001"
"15660000","0.41220000000000007","0.5922000000000001","0.8704000000000001"
"15840000","0.3946","0.639","0.876"
"16020000","0.4538","0.6412","0.8718"
"16200000","0.4142","0.6615999999999999","0.8717999999999999"
"16380000","0.4292","0.6356","0.8854"
"16560000","0.4484","0.652","0.8977999999999999"
"16740000","0.4284","0.6587999999999999","0.8878"
"16920000","0.41","0.6632","0.9056"
"17100000","0.4504","0.6704","0.8976"
