"Step","diversified_pb - cover_rate_5step","diversified_pb_seed2 - cover_rate_5step","diversified_pb_seed3 - cover_rate_5step"
"180000","0.125","0.131","0.119"
"360000","0.119","0.14","0.123"
"540000","0.111","0.114","0.114"
"720000","0.089","0.129","0.122"
"900000","0.097","0.112","0.1"
"1080000","0.096","0.107","0.124"
"1260000","0.11","0.143","0.119"
"1440000","0.12","0.144","0.104"
"1620000","0.098","0.139","0.113"
"1800000","0.122","0.13","0.125"
"1980000","0.121","0.139","0.122"
"2160000","0.115","0.139","0.134"
"2340000","0.108","0.1394","0.115"
"2520000","0.117","0.1646","0.156"
"2700000","0.138","0.1774","0.131"
"2880000","0.095","0.2144","0.1452"
"3060000","0.138","0.1976","0.1812"
"3240000","0.121","0.2374","0.2206"
"3420000","0.128","0.25","0.2312"
"3600000","0.143","0.25","0.2828"
"3780000","0.136","0.2856","0.3034"
"3960000","0.135","0.2876","0.2856"
"4140000","0.1546","0.258","0.31260000000000004"
"4320000","0.145","0.2816","0.32620000000000005"
"4500000","0.13","0.296","0.35120000000000007"
"4680000","0.144","0.3058","0.38059999999999994"
"4860000","0.125","0.308","0.3644"
"5040000","0.141","0.318","0.381"
"5220000","0.151","0.344","0.41379999999999995"
"5400000","0.126","0.3466","0.4186"
"5580000","0.149","0.357","0.3998"
"5760000","0.1794","0.3524","0.4132"
"5940000","0.175","0.355","0.411"
"6120000","0.1986","0.3607999999999999","0.4192"
"6300000","0.225","0.3634","0.414"
"6480000","0.2326","0.3384","0.4342"
"6660000","0.25","0.361","0.4278"
"6840000","0.247","0.383","0.4104"
"7020000","0.2424","0.3882000000000001","0.426"
"7200000","0.2426","0.4114","0.4016"
"7380000","0.3092","0.4216","0.441"
"7560000","0.2892","0.4252","0.4456"
"7740000","0.27820000000000006","0.4006","0.4322"
"7920000","0.28","0.4248","0.4292"
"8100000","0.2982","0.4064","0.437"
"8280000","0.30619999999999997","0.4414","0.43"
"8460000","0.3334","0.4372","0.4615999999999999"
"8640000","0.3642","0.4542","0.4322"
"8820000","0.32219999999999993","0.4588","0.4572"
"9000000","0.31560000000000005","0.448","0.43040000000000006"
"9180000","0.3424","0.4918","0.425"
"9360000","0.3452","0.4584","0.4326"
"9540000","0.3812","0.456","0.4422"
"9720000","0.3618","0.4836","0.4418"
"9900000","0.342","0.4608","0.456"
"10080000","0.3424","0.4454","0.4802"
"10260000","0.35559999999999997","0.46620000000000006","0.4752"
"10440000","0.357","0.496","0.4566"
"10620000","0.3626","0.4532","0.4454"
"10800000","0.3804","0.4847999999999999","0.4592"
"10980000","0.4074","0.4616","0.476"
"11160000","0.3818","0.4466","0.4838"
"11340000","0.3768","0.4614","0.4916"
"11520000","0.3856","0.468","0.4924"
"11700000","0.4138","0.4708","0.504"
"11880000","0.419","0.5042000000000001","0.4978"
"12060000","0.418","0.485","0.5108"
"12240000","0.4167999999999999","0.4774","0.4816"
"12420000","0.40879999999999994","0.4986","0.486"
"12600000","0.4208","0.513","0.521"
"12780000","0.4302","0.495","0.4973999999999999"
"12960000","0.45","0.4837999999999999","0.515"
"13140000","0.4526","0.496","0.5306000000000001"
"13320000","0.4787999999999999","0.4918","0.5154000000000001"
"13500000","0.451","0.5184000000000001","0.5"
"13680000","0.4822","0.489","0.508"
"13860000","0.5016","0.4848","0.4838"
"14040000","0.461","0.5332","0.5172"
"14220000","0.4752","0.5224","0.48"
"14400000","0.4962","0.5246000000000001","0.5037999999999999"
"14580000","0.521","0.5444000000000001","0.5247999999999999"
"14760000","0.5227999999999999","0.5142","0.5182"
"14940000","0.5142","0.5366000000000001","0.5332"
"15120000","0.5378000000000001","0.5728","0.5254"
"15300000","0.4943999999999999","0.5656","0.5336000000000001"
"15480000","0.5232","0.5286","0.534"
"15660000","0.5146000000000001","0.5735999999999999","0.5548"
"15840000","0.5128","0.5602","0.5624"
"16020000","0.5076","0.567","0.5562"
"16200000","0.5276000000000001","0.604","0.5287999999999999"
"16380000","0.5337999999999999","0.5808","0.5566"
"16560000","0.529","0.5655999999999999","0.5478"
"16740000","0.5292","0.595","0.5594"
"16920000","0.5392","0.5828","0.5636"
"17100000","0.5592","0.6004","0.5536"
"17280000","0.5212","0.6038","0.5638"
"17460000","0.5412","0.5972000000000001","0.564"
"17640000","0.5474","0.618","0.5806"
"17820000","0.536","0.621","0.5882"
"18000000","0.551","0.6305999999999999","0.5425999999999999"
"18180000","0.548","0.6154","0.5672"
"18360000","0.5476","0.6112000000000001","0.568"
"18540000","0.5541999999999999","0.5795999999999999","0.5905999999999999"
"18720000","0.5494","0.5963999999999999","0.5902000000000001"
"18900000","0.5516","0.6123999999999999","0.5722"
"19080000","0.57","0.6537999999999999","0.579"
"19260000","0.569","0.5934","0.5792"
"19440000","0.558","0.6304","0.579"
"19620000","0.563","0.6456000000000001","0.5658"
"19800000","0.574","0.638","0.5918"
"19980000","0.5756","0.651","0.5764000000000001"
"20160000","0.5954","0.6342000000000001","0.5722"
"20340000","0.595","0.6347999999999999","0.5618"
"20520000","0.5952000000000001","0.6496","0.5585999999999999"
"20700000","0.5742","0.6442","0.5852"
"20880000","0.6063999999999999","0.6497999999999999","0.587"
"21060000","0.6148","0.6574000000000001","0.5634"
"21240000","0.5942000000000001","0.6452","0.554"
"21420000","0.5872","0.6496000000000001","0.561"
"21600000","0.5858","0.6628","0.5572"
"21780000","0.6072000000000001","0.657","0.5766"
"21960000","0.611","0.6841999999999999","0.5972000000000001"
"22140000","0.5886","0.6821999999999999","0.6006"
"22320000","0.6215999999999999","0.6582","0.6083999999999999"
"22500000","0.6058","0.7028","0.607"
"22680000","0.6287999999999999","0.7163999999999999","0.615"
"22860000","0.6148","0.6934","0.6116"
"23040000","0.6065999999999999","0.6695999999999999","0.6058000000000001"
"23220000","0.6314000000000001","0.6932","0.614"
