"Step","diversified_sp - cover_rate_5step","diversified_sp_seed2 - cover_rate_5step","diversified_sp_seed3 - cover_rate_5step"
"105000","0","0","0.0001"
"210000","0.0015","0.002","0"
"315000","0.0065","0.0022","0.0005"
"420000","0.005","0.0072","0.0022"
"525000","0.0065","0.007300000000000001","0.0026"
"630000","0.0105","0.008","0.0035999999999999995"
"735000","0.008","0.0055","0.005900000000000001"
"840000","0.0129","0.006","0.0093"
"945000","0.025299999999999996","0.0103","0.0101"
"1050000","0.0517","0.016399999999999998","0.0151"
"1155000","0.0603","0.0613","0.0935"
"1260000","0.10069999999999998","0.1399","0.1121"
"1365000","0.1402","0.1467","0.1793"
"1470000","0.22","0.14139999999999997","0.2705"
"1575000","0.2345","0.1748","0.31329999999999997"
"1680000","0.254","0.17510000000000003","0.32689999999999997"
"1785000","0.3073","0.2528","0.3235"
"1890000","0.33039999999999997","0.2772","0.33809999999999996"
"1995000","0.3205","0.3078","0.3335"
"2100000","0.31610000000000005","0.3028","0.3391"
"2205000","0.2935","0.32989999999999997","0.3531"
"2310000","0.31220000000000003","0.3259","0.355"
"2415000","0.32439999999999997","0.345","0.3468"
"2520000","0.3391","0.35270000000000007","0.33730000000000004"
"2625000","0.32289999999999996","0.3346","0.3457"
"2730000","0.32839999999999997","0.3353","0.3317"
"2835000","0.34","0.34079999999999994","0.3627"
"2940000","0.31360000000000005","0.3481","0.3582"
"3045000","0.3175","0.3424","0.3896"
"3150000","0.3375","0.33970000000000006","0.3875"
"3255000","0.35529999999999995","0.3663","0.3852"
"3360000","0.3696","0.3651","0.3884"
"3465000","0.367","0.3768","0.4064"
"3570000","0.3736","0.3691","0.3903"
"3675000","0.3668","0.3706","0.4027"
"3780000","0.378","0.4015","0.4181"
"3885000","0.3849","0.3962000000000001","0.4285"
"3990000","0.3853","0.3836","0.4285"
"4095000","0.3978","0.4202","0.467"
"4200000","0.4155","0.429","0.4504"
"4305000","0.3952000000000001","0.4153","0.4793"
"4410000","0.3975","0.4432","0.5014"
"4515000","0.392","0.4408000000000001","0.513"
"4620000","0.42640000000000006","0.4271","0.5161999999999999"
"4725000","0.4276","0.4404","0.5206000000000001"
"4830000","0.4204","0.4231","0.5347999999999999"
"4935000","0.4128","0.4704","0.5612999999999999"
"5040000","0.4016","0.4628","0.5608"
"5145000","0.401","0.4704","0.5817"
"5250000","0.4157","0.47020000000000006","0.5787"
"5355000","0.4442","0.4656","0.5768"
"5460000","0.4602","0.4664","0.5699"
"5565000","0.4521","0.5021","0.5735999999999999"
"5670000","0.46920000000000006","0.4887","0.5829"
"5775000","0.4604","0.4845","0.5579000000000001"
"5880000","0.4836","0.5017","0.579"
"5985000","0.4881","0.5015","0.5718000000000001"
"6090000","0.525","0.5227","0.5765"
"6195000","0.5286000000000001","0.517","0.5962999999999999"
"6300000","0.5264","0.5501","0.5784000000000001"
"6405000","0.5532","0.5187","0.6134"
"6510000","0.5396","0.5413000000000001","0.6166"
"6615000","0.5622999999999999","0.5439","0.605"
"6720000","0.5625999999999999","0.5425","0.587"
"6825000","0.5710999999999999","0.5363","0.6122000000000001"
"6930000","0.5622","0.5233","0.6064"
"7035000","0.5472","0.5448","0.6335999999999999"
"7140000","0.5368999999999999","0.554","0.6364"
"7245000","0.5516","0.5723","0.6356"
"7350000","0.554","0.5681","0.6249"
"7455000","0.5705","0.5667000000000001","0.6495"
"7560000","0.5670999999999999","0.5787","0.6294"
"7665000","0.6005999999999999","0.5759000000000001","0.6280999999999999"
"7770000","0.5918","0.5888","0.6498999999999999"
"7875000","0.6229","0.5982999999999999","0.6421"
"7980000","0.6127999999999999","0.5848","0.6688"
"8085000","0.6102000000000001","0.5963999999999999","0.6474"
"8190000","0.6141","0.5702999999999999","0.6447"
"8295000","0.64","0.5595999999999999","0.6403"
"8400000","0.6273","0.5664000000000001","0.6723000000000001"
"8505000","0.6537000000000001","0.5942000000000001","0.6710999999999999"
"8610000","0.6264000000000001","0.566","0.6737000000000001"
"8715000","0.6354","0.6032000000000001","0.6889000000000001"
"8820000","0.6447999999999999","0.6100999999999999","0.6991999999999999"
"8925000","0.6422","0.6029","0.7021000000000001"
"9030000","0.622","0.5988999999999999","0.6888999999999998"
"9135000","0.649","0.6119","0.7229"
"9240000","0.6588999999999999","0.6262000000000001","0.6951"
"9345000","0.6424000000000001","0.6229000000000001","0.7035"
"9450000","0.6445","0.6332000000000001","0.6972999999999999"
"9555000","0.6834","0.6326","0.7313999999999999"
"9660000","0.6897000000000001","0.629","0.7085"
"9765000","0.6653","0.6417999999999999","0.7135"
"9870000","0.679","0.6414","0.7066"
"9975000","0.674","0.6497999999999999","0.7147"
"10080000","0.6842","0.6337","0.7162000000000001"
"10185000","0.6979999999999998","0.6811999999999999","0.7094000000000001"
"10290000","0.6866","0.656","0.7007000000000001"
"10395000","0.6865","0.6573","0.7028"
"10500000","0.7115999999999999","0.6971","0.6975"
"10605000","0.6999000000000001","0.6745","0.7174"
"10710000","0.6922999999999999","0.6889","0.7065999999999999"
"10815000","0.7072","0.6777000000000001","0.7044000000000001"
"10920000","0.7036","0.67","0.6975"
"11025000","0.7018","0.6925999999999999","0.7034000000000001"
"11130000","0.7166","0.6986","0.7384"
"11235000","0.7002999999999999","0.6702","0.7244"
"11340000","0.706","0.6827000000000001","0.7217"
"11445000","0.7228000000000001","0.6879000000000001","0.7052"
"11550000","0.7329","0.7096","0.7139"
"11655000","0.7188","0.7208","0.7135"
"11760000","0.7175999999999999","0.7143999999999999","0.7153999999999999"
"11865000","0.7404","0.721","0.7264"
"11970000","0.742","0.7021999999999999","0.7225999999999999"
"12075000","0.7222000000000001","0.7277","0.7145"
"12180000","0.7315","0.7305999999999999","0.73"
"12285000","0.7317","0.737","0.7394000000000001"
"12390000","0.7485","0.733","0.7111000000000001"
"12495000","0.7547","0.7185","0.721"
"12600000","0.7384","0.7290999999999999","0.7187"
"12705000","0.7444","0.7273","0.7406"
"12810000","0.7649","0.7316","0.7444"
"12915000","0.7539000000000001","0.7457","0.7567999999999999"
"13020000","0.7723","0.7567999999999999","0.7365"
"13125000","0.7636999999999999","0.7524000000000001","0.7589000000000001"
"13230000","0.7607999999999999","0.7445999999999999","0.7500999999999999"
"13335000","0.7606","0.7422000000000001","0.7577"
"13440000","0.7407999999999999","0.7379000000000001","0.7661"
"13545000","0.7647999999999999","0.7457","0.7573"
"13650000","0.7746","0.7644000000000001","0.7587"
"13755000","0.7659","0.7525","0.7676000000000001"
"13860000","0.7909","0.7505","0.7644"
"13965000","0.7777999999999999","0.751","0.7788999999999999"
"14070000","0.8002","0.7600999999999999","0.773"
"14175000","0.8024","0.767","0.7714"
"14280000","0.7847999999999999","0.7686","0.7741999999999999"
"14385000","0.7956","0.7553000000000001","0.7672"
"14490000","0.795","0.7634","0.7696000000000001"
"14595000","0.7843","0.7767000000000001","0.7774000000000001"
"14700000","0.7823","0.7770999999999999","0.771"
"14805000","0.809","0.765","0.7734"
"14910000","0.8002","0.7727999999999999","0.7717999999999999"
"15015000","0.7966","0.7838","0.7781999999999999"
"15120000","0.8070999999999999","0.7891","0.7803"
"15225000","0.8091","0.8138","0.7676"
"15330000","0.8218","0.7903000000000001","0.7707"
"15435000","0.8209000000000001","0.7895999999999999","0.7703"
"15540000","0.8232999999999999","0.7868999999999999","0.7915"
"15645000","0.8299000000000001","0.7991","0.7893"
"15750000","0.8464","0.797","0.7808999999999999"
"15855000","0.8445","0.7968","0.7998"
"15960000","0.8408","0.7765","0.7893"
"16065000","0.846","0.7922","0.8169000000000001"
"16170000","0.8369000000000001","0.794","0.8006"
"16275000","0.8418","0.8014000000000001","0.7918000000000001"
"16380000","0.8427","0.8209","0.8087000000000001"
"16485000","0.8569","0.8019","0.8116"
"16590000","0.8563999999999999","0.7936","0.8047"
"16695000","0.8692000000000001","0.8097000000000001","0.8022999999999999"
"16800000","0.8647999999999999","0.8152","0.8074"
"16905000","0.8682000000000001","0.8017","0.8174000000000001"
"17010000","0.8702000000000001","0.8035","0.8072999999999999"
"17115000","0.8851","0.8194","0.8027000000000001"
"17220000","0.8787999999999999","0.8155","0.7988000000000001"
"17325000","0.8885","0.8331000000000001","0.8085999999999999"
"17430000","0.8752000000000001","0.8244","0.8236"
"17535000","0.8755","0.7974000000000001","0.8111000000000002"
"17640000","0.885","0.8309","0.8309999999999998"
"17745000","0.8923000000000001","0.7955","0.8312999999999999"
"17850000","0.8854000000000001","0.6126000000000001","0.8225"
"17955000","0.8976000000000001","0.6051","0.8436"
"18060000","0.8862000000000001","0.5952999999999999","0.8451000000000001"
"18165000","0.8947999999999999","0.621","0.838"
"18270000","0.8933","0.6209000000000001","0.8413999999999999"
"18375000","0.8987999999999999","0.6392","0.8630999999999999"
"18480000","0.8947999999999999","0.6379","0.8376"
"18585000","0.8967","0.638","0.8480999999999999"
"18690000","0.9078","0.6439","0.8362999999999999"
"18795000","0.9122","0.6464","0.858"
"18900000","0.9171","0.678","0.8452000000000001"
"19005000","0.9097","0.6597000000000001","0.8394999999999999"
"19110000","0.9185","0.6432","0.8372999999999999"
"19215000","0.9141","0.6614","0.8499000000000001"
"19320000","0.9212","0.6621","0.8411000000000001"
"19425000","0.9168","0.6642","0.8538"
"19530000","0.9211","0.6785","0.8560999999999999"
"19635000","0.9388","0.6885","0.8605999999999999"
"19740000","0.9365","0.6748999999999999","0.8623000000000001"
"19845000","0.9286","0.682","0.8569"
"19950000","0.9359","0.6855","0.864"
"20055000","0.9449","0.7121","0.8677999999999999"
"20160000","0.9222","0.6834000000000001","0.8646"
"20265000","0.9391","0.695","0.8669"
"20370000","0.9441","0.71","0.8567"
"20475000","0.9396","0.7095","0.8729"
"20580000","0.9451","0.697","0.8766999999999999"
"20685000","0.9352","0.7241000000000001","0.861"
"20790000","0.9492","0.731","0.8756"
"20895000","0.9561","0.7239000000000001","0.8789000000000001"
"21000000","0.9521","0.7376","0.8702000000000001"
"21105000","0.9473","0.7410999999999999","0.8629"
"21210000","0.9457","0.7349000000000001","0.8779000000000001"
"21315000","0.9476","0.7598","0.8824"
"21420000","0.9453","0.7407","0.8926000000000001"
"21525000","0.9506","0.7685","0.8885"
"21630000","0.958","0.7547999999999999","0.8927"
"21735000","0.9509","0.7535999999999999","0.8879"
"21840000","0.9578","0.7647999999999999","0.8789"
"21945000","0.9521","0.7575","0.8987999999999999"
"22050000","0.9602","0.75","0.8949000000000001"
"22155000","0.9656","0.8037000000000001","0.8897"
"22260000","0.9682","0.7975","0.9041"
"22365000","0.9646","0.7850999999999999","0.8963"
"22470000","0.9636","0.7736000000000001","0.9001"
