"Step","diversified_sp3_leftup_rightdown_seed3 - cover_rate_5step","diversified_sp3_leftup_rightdown_seed2 - cover_rate_5step","diversified_sp3_leftup_rightdown_seed1 - cover_rate_5step"
"105000","0.0040999999999999995","0.0033","0.0095"
"210000","0.004","0.0054","0.0121"
"315000","0.0107","0.0070999999999999995","0.0145"
"420000","0.0115","0.0134","0.0209"
"525000","0.0098","0.0114","0.022"
"630000","0.0104","0.0128","0.0353"
"735000","0.019","0.0145","0.0321"
"840000","0.0209","0.0122","0.0387"
"945000","0.032100000000000004","0.0114","0.0401"
"1050000","0.0432","0.015","0.046"
"1155000","0.0609","0.0184","0.06380000000000001"
"1260000","0.0581","0.0214","0.0677"
"1365000","0.0861","0.022900000000000004","0.065"
"1470000","0.087","0.0295","0.08919999999999999"
"1575000","0.1032","0.038200000000000005","0.1055"
"1680000","0.0949","0.0442","0.1166"
"1785000","0.1109","0.0707","0.1341"
"1890000","0.1232","0.0891","0.1362"
"1995000","0.15","0.0847","0.1521"
"2100000","0.16160000000000002","0.1054","0.15159999999999998"
"2205000","0.15389999999999998","0.1096","0.1768"
"2310000","0.1407","0.1238","0.1813"
"2415000","0.1606","0.1355","0.1992"
"2520000","0.16379999999999997","0.1362","0.2066"
"2625000","0.1675","0.1817","0.2047"
"2730000","0.1819","0.198","0.22860000000000005"
"2835000","0.16160000000000002","0.2053","0.217"
"2940000","0.1683","0.2146","0.2199"
"3045000","0.15230000000000002","0.2262","0.2385"
"3150000","0.168","0.2199","0.2332"
"3255000","0.1711","0.2238","0.249"
"3360000","0.1573","0.2072","0.2426"
"3465000","0.1632","0.2315","0.2388"
"3570000","0.1613","0.2231","0.24110000000000004"
"3675000","0.16079999999999997","0.2418","0.2375"
"3780000","0.1665","0.23810000000000003","0.2548"
"3885000","0.1682","0.2251","0.248"
"3990000","0.1804","0.2324","0.26170000000000004"
"4095000","0.16589999999999996","0.2469","0.25880000000000003"
"4200000","0.1705","0.2597","0.2593"
"4305000","0.1787","0.23789999999999997","0.2515"
"4410000","0.1826","0.2394","0.2777"
"4515000","0.1655","0.2192","0.26589999999999997"
"4620000","0.1797","0.2195","0.27279999999999993"
"4725000","0.1664","0.2222","0.2917"
"4830000","0.1595","0.2398","0.2742"
"4935000","0.1505","0.221","0.2799"
"5040000","0.14170000000000002","0.2648","0.28390000000000004"
"5145000","0.1623","0.2273","0.2813"
"5250000","0.1636","0.26530000000000004","0.2682"
"5355000","0.1575","0.2477","0.2891"
"5460000","0.1608","0.2448","0.29990000000000006"
"5565000","0.15940000000000004","0.2547","0.294"
"5670000","0.1412","0.26339999999999997","0.3015"
"5775000","0.14830000000000002","0.2435","0.2861"
"5880000","0.174","0.2418","0.2701"
"5985000","0.1806","0.2479","0.2924"
"6090000","0.17189999999999997","0.25560000000000005","0.27370000000000005"
"6195000","0.15610000000000002","0.23789999999999997","0.2853"
"6300000","0.169","0.2351","0.298"
"6405000","0.1745","0.2557","0.298"
"6510000","0.1723","0.2515","0.30939999999999995"
"6615000","0.1761","0.2385","0.32989999999999997"
"6720000","0.1655","0.2675","0.29579999999999995"
"6825000","0.1911","0.2523","0.3222"
"6930000","0.2041","0.2462","0.30670000000000003"
"7035000","0.1933","0.2535","0.31010000000000004"
"7140000","0.2044","0.2458","0.29930000000000007"
"7245000","0.2058","0.25470000000000004","0.2992"
"7350000","0.1909","0.273","0.2928"
"7455000","0.1988","0.2383","0.2873"
"7560000","0.202","0.2485","0.3014"
"7665000","0.2101","0.2352","0.3246"
"7770000","0.1993","0.2277","0.30010000000000003"
"7875000","0.1795","0.25789999999999996","0.3182"
"7980000","0.1746","0.241","0.3211"
"8085000","0.2214","0.2528","0.3197"
"8190000","0.2293","0.2529","0.3205"
"8295000","0.2101","0.2485","0.3138"
"8400000","0.2049","0.252","0.31260000000000004"
"8505000","0.1927","0.2476","0.3257"
"8610000","0.2021","0.2466","0.32220000000000004"
"8715000","0.2335","0.23989999999999995","0.31710000000000005"
"8820000","0.2287","0.24120000000000005","0.3285"
"8925000","0.2358","0.2264","0.31880000000000003"
"9030000","0.2362","0.2235","0.3391"
"9135000","0.239","0.2288","0.33520000000000005"
"9240000","0.2365","0.2391","0.3283"
"9345000","0.2285","0.2428","0.32880000000000004"
"9450000","0.227","0.2335","0.3556"
"9555000","0.2346","0.2248","0.33790000000000003"
"9660000","0.2377","0.2304","0.3394"
"9765000","0.2142","0.23660000000000003","0.32570000000000005"
"9870000","0.2456","0.2631","0.344"
"9975000","0.2305","0.2429","0.3219"
"10080000","0.25889999999999996","0.26480000000000004","0.32689999999999997"
"10185000","0.2371","0.2463","0.3376"
"10290000","0.2244","0.26880000000000004","0.33820000000000006"
"10395000","0.2482","0.2422","0.3332"
"10500000","0.2401","0.24490000000000003","0.334"
"10605000","0.2334","0.2368","0.3175"
"10710000","0.2336","0.2435","0.3403"
"10815000","0.2432","0.23639999999999997","0.3394"
"10920000","0.2552","0.25570000000000004","0.328"
"11025000","0.25839999999999996","0.24110000000000004","0.31930000000000003"
"11130000","0.26130000000000003","0.2288","0.32"
"11235000","0.27640000000000003","0.2475","0.35290000000000005"
"11340000","0.2803","0.2544","0.3162"
"11445000","0.2525","0.2736","0.33179999999999993"
"11550000","0.26680000000000004","0.2675","0.33970000000000006"
"11655000","0.2695","0.2666","0.332"
"11760000","0.2596","0.2495","0.32320000000000004"
"11865000","0.25299999999999995","0.2593","0.3506"
"11970000","0.2552","0.26830000000000004","0.332"
"12075000","0.2726","0.27179999999999993","0.3642"
"12180000","0.2806","0.2612","0.346"
"12285000","0.2596","0.2724","0.325"
"12390000","0.26589999999999997","0.2826","0.30939999999999995"
"12495000","0.2872","0.2653","0.3365"
"12600000","0.2607","0.2651","0.3638"
"12705000","0.27840000000000004","0.2714","0.32689999999999997"
"12810000","0.28379999999999994","0.2919","0.33070000000000005"
"12915000","0.2808","0.2591","0.3491"
"13020000","0.26380000000000003","0.2842","0.34370000000000006"
"13125000","0.2785","0.2716","0.34420000000000006"
"13230000","0.2765","0.2806","0.3556"
"13335000","0.28020000000000006","0.30260000000000004","0.33790000000000003"
"13440000","0.30670000000000003","0.2705","0.3352"
"13545000","0.30010000000000003","0.2633","0.3399"
"13650000","0.29410000000000003","0.26439999999999997","0.3474"
"13755000","0.2949","0.27729999999999994","0.3381"
"13860000","0.314","0.2726","0.3289"
"13965000","0.32139999999999996","0.2581","0.3408"
"14070000","0.3303000000000001","0.2785","0.34229999999999994"
"14175000","0.30910000000000004","0.2947000000000001","0.348"
"14280000","0.31360000000000005","0.2952","0.34"
"14385000","0.31989999999999996","0.2925","0.3495"
"14490000","0.3039","0.3014","0.352"
"14595000","0.3161","0.2959","0.3364"
"14700000","0.3019","0.2984","0.34920000000000007"
"14805000","0.2935","0.274","0.3291"
"14910000","0.2824","0.3025","0.3395"
"15015000","0.289","0.30540000000000006","0.3441"
"15120000","0.3152","0.3049","0.34229999999999994"
"15225000","0.32020000000000004","0.31770000000000004","0.3632"
"15330000","0.30360000000000004","0.29610000000000003","0.3552"
"15435000","0.30429999999999996","0.29440000000000005","0.3406"
"15540000","0.3295","0.30029999999999996","0.3721"
"15645000","0.3211","0.31060000000000004","0.347"
"15750000","0.3232","0.3118","0.3482"
"15855000","0.3098","0.301","0.3478"
"15960000","0.327","0.3174","0.3438"
"16065000","0.31189999999999996","0.3349","0.3618"
"16170000","0.34","0.3205","0.34459999999999996"
"16275000","0.3358","0.3321","0.337"
"16380000","0.3444","0.329","0.34409999999999996"
"16485000","0.33440000000000003","0.306","0.3635"
"16590000","0.3445","0.3138","0.3437"
"16695000","0.336","0.32330000000000003","0.34179999999999994"
"16800000","0.343","0.3431","0.3484"
"16905000","0.32859999999999995","0.3283","0.3374"
"17010000","0.3522","0.3291","0.3404"
"17115000","0.3623","0.30190000000000006","0.345"
"17220000","0.343","0.33570000000000005","0.3564"
"17325000","0.34879999999999994","0.3577","0.35229999999999995"
"17430000","0.3468","0.3352","0.3414"
"17535000","0.35729999999999995","0.33070000000000005","0.3536"
"17640000","0.35259999999999997","0.35960000000000003","0.3576"
"17745000","0.3538","0.34679999999999994","0.35919999999999996"
"17850000","0.34059999999999996","0.3564","0.3675"
"17955000","0.34870000000000007","0.3658","0.3676"
"18060000","0.3524","0.3706","0.3483"
"18165000","0.364","0.3404","0.3631"
"18270000","0.344","0.36790000000000006","0.3542"
"18375000","0.34579999999999994","0.3468","0.35440000000000005"
"18480000","0.3706","0.3678","0.3523"
"18585000","0.35","0.3686","0.37"
"18690000","0.3782","0.3668","0.35710000000000003"
"18795000","0.3817","0.3496","0.3644"
"18900000","0.3855","0.3606","0.365"
"19005000","0.3606","0.3702","0.3461"
"19110000","0.372","0.3649","0.35420000000000007"
"19215000","0.3665","0.3741","0.3637"
"19320000","0.3713999999999999","0.37","0.3681"
"19425000","0.3773","0.389","0.3721"
"19530000","0.3781999999999999","0.3701","0.36280000000000007"
"19635000","0.3727","0.3813","0.3499"
"19740000","0.3821","0.40320000000000006","0.3646"
"19845000","0.3667","0.3942000000000001","0.3561"
"19950000","0.3685","0.414","0.343"
"20055000","0.34320000000000006","0.4125","0.3607"
"20160000","0.4011","0.4254","0.3759"
"20265000","0.3793","0.4223","0.3707"
"20370000","0.4060000000000001","0.4321","0.3616"
"20475000","0.394","0.4346","0.3823"
"20580000","0.3728","0.4068","0.3548"
"20685000","0.4279","0.4273","0.35379999999999995"
"20790000","0.4375","0.4279","0.3525"
"20895000","0.4328999999999999","0.4322","0.3708"
"21000000","0.4128","0.4488","0.3611"
"21105000","0.41470000000000007","0.4272","0.33920000000000006"
"21210000","0.4448","0.4596","0.3657"
"21315000","0.40529999999999994","0.4429","0.3561"
"21420000","0.4178","0.4444","0.3643"
"21525000","0.4229","0.4432","0.3695"
"21630000","0.4413","0.467","0.3543"
"21735000","0.4188","0.457","0.35290000000000005"
"21840000","0.4283","0.4542","0.3723"
"21945000","0.4404","0.4525","0.35869999999999996"
"22050000","0.4538","0.4521","0.36030000000000006"
"22155000","0.4498","0.4586","0.3631"
"22260000","0.4498","0.4839","0.3637"
"22365000","0.458","0.4747","0.364"
"22470000","0.4608","0.4838","0.379"
"22575000","0.4605","0.4886","0.366"
"22680000","0.4626","0.4983","0.3636"
"22785000","0.4419","0.488","0.3635"
"22890000","0.4535","0.4885","0.3763"
"22995000","0.4699","0.5083","0.3743"
"23100000","0.4444","0.5077","0.3631"
"23205000","0.4561","0.4975","0.3813"
"23310000","0.4376","0.5072000000000001","0.3635"
"23415000","0.4521","0.479","0.3752"
"23520000","0.4751","0.5004","0.3643"
"23625000","0.4351","0.5206000000000001","0.3525"
"23730000","0.4076","0.5337","0.37"
"23835000","0.4423","0.5293","0.3637"
"23940000","0.4286","0.5118","0.3644"
"24045000","0.4443","0.495","0.3787"
"24150000","0.4435","0.5181999999999999","0.3754"
"24255000","0.4570999999999999","0.5093","0.4013"
"24360000","0.46","0.5207999999999999","0.3726"
"24465000","0.4556","0.5385","0.3718999999999999"
"24570000","0.4606","0.5327","0.3794"
"24675000","0.4522","0.5455999999999999","0.3712"
"24780000","0.4699","0.5214","0.3833"
"24885000","0.4438000000000001","0.5508","0.3733"
"24990000","0.4644","0.5470999999999999","0.3837"
"25095000","0.4651","0.5412","0.3823"
"25200000","0.4741","0.5342","0.3839"
"25305000","0.46720000000000006","0.5548","0.3783"
"25410000","0.4705","0.5545","0.3785"
"25515000","0.4645","0.5741","0.39729999999999993"
"25620000","0.4778","0.5564","0.3794"
"25725000","0.4801","0.58","0.3698999999999999"
"25830000","0.4526","0.5802999999999999","0.3848"
"25935000","0.4937","0.5518","0.3615"
"26040000","0.4905","0.5637000000000001","0.3826"
"26145000","0.453","0.561","0.3954"
"26250000","0.49440000000000006","0.5814000000000001","0.3798"
"26355000","0.4905","0.5815999999999999","0.3769"
"26460000","0.48580000000000007","0.5952000000000001","0.402"
"26565000","0.4845","0.5792999999999999","0.3895"
"26670000","0.49040000000000006","0.5559","0.3713999999999999"
"26775000","0.4865","0.5928","0.3776000000000001"
"26880000","0.5167","0.5751","0.4029"
"26985000","0.5183","0.5687000000000001","0.3839"
"27090000","0.5049000000000001","0.5802999999999999","0.3617"
"27195000","0.5273000000000001","0.5985999999999999","0.4135"
"27300000","0.5187","0.6011","0.3902"
"27405000","0.5235","0.609","0.3871"
"27510000","0.5127999999999999","0.6184000000000001","0.40820000000000006"
"27615000","0.5293","0.6029","0.3859"
"27720000","0.5091","0.593","0.388"
"27825000","0.4942","0.6181","0.3851"
"27930000","0.5078","0.5704000000000001","0.425"
"28035000","0.5239000000000001","0.6038","0.40670000000000006"
"28140000","0.522","0.5752999999999999","0.4154000000000001"
"28245000","0.5231","0.5731","0.4355"
"28350000","0.5351999999999999","0.5925","0.4276"
"28455000","0.5411","0.5990999999999999","0.4252"
"28560000","0.5222","0.6093000000000001","0.4279"
"28665000","0.53","0.6344000000000001","0.4362"
"28770000","0.5267","0.6253","0.4066"
"28875000","0.5424000000000001","0.6192000000000001","0.415"
"28980000","0.5173000000000001","0.6136","0.4446"
"29085000","0.5448999999999999","0.622","0.4556"
"29190000","0.554","0.6267","0.4427"
"29295000","0.5271","0.6154","0.4492"
"29400000","0.5567","0.5972000000000001","0.4570999999999999"
"29505000","0.5658000000000001","0.6082000000000001","0.449"
"29610000","0.5619","0.6566000000000001","0.4427"
"29715000","0.5614","0.629","0.428"
"29820000","0.5613","0.6436","0.4351"
"29925000","0.5538","0.6287999999999999","0.4296"
"30030000","0.5607000000000001","0.6233","0.422"
"30135000","0.5518","0.6493000000000001","0.4371"
"30240000","0.5598","0.6464000000000001","0.4368"
"30345000","0.573","0.6334","0.4601"
"30450000","0.5467000000000001","0.6307999999999999","0.4549"
"30555000","0.5507000000000001","0.6404000000000001","0.4458000000000001"
"30660000","0.5605","0.64","0.4459"
"30765000","0.5685999999999999","0.6275","0.4404"
"30870000","0.5548000000000001","0.6345","0.457"
"30975000","0.5752999999999999","0.6415","0.4684"
"31080000","0.5883999999999998","0.6412","0.4535"
"31185000","0.569","0.6465","0.46629999999999994"
"31290000","0.5674","0.6489","0.4968"
"31395000","0.5775999999999999","0.6459","0.46720000000000006"
"31500000","0.5669000000000001","0.6549","0.4785"
"31605000","0.5709000000000001","0.6526","0.4632"
"31710000","0.5965","0.6424","0.4696"
"31815000","0.5651","0.651","0.4563"
"31920000","0.5574","0.639","0.4694"
"32025000","0.5955","0.641","0.4779"
"32130000","0.5888000000000001","0.628","0.4539"
"32235000","0.5705","0.6692","0.47470000000000007"
"32340000","0.591","0.6634000000000001","0.4614"
"32445000","0.5669","0.6584","0.4695"
"32550000","0.5605999999999999","0.6603","0.4784"
"32655000","0.5916","0.6628","0.4633"
"32760000","0.6009","0.6434000000000001","0.4914"
"32865000","0.5625","0.635","0.4837999999999999"
"32970000","0.5906","0.6626000000000001","0.4988"
"33075000","0.5953999999999999","0.6379000000000001","0.4668"
"33180000","0.5948000000000001","0.6484000000000001","0.4868"
"33285000","0.5907","0.6704","0.4862999999999999"
"33390000","0.5914","0.6494000000000001","0.4813"
"33495000","0.5869000000000001","0.6446000000000001","0.5055"
"33600000","0.619","0.6353000000000001","0.4932"
"33705000","0.593","0.6141","0.47"
"33810000","0.6007","0.6332","0.4849"
"33915000","0.5747000000000001","0.6617999999999999","0.5109"
"34020000","0.5951000000000001","0.6379","0.4948999999999999"
"34125000","0.5988","0.6485","0.485"
"34230000","0.5982999999999999","0.6657000000000001","0.5088"
"34335000","0.6091","0.6215999999999999","0.5067"
"34440000","0.5992999999999999","0.6592","0.5"
"34545000","0.6102","0.6597000000000001","0.5164000000000001"
"34650000","0.6038000000000001","0.6719","0.5282"
"34755000","0.6049","0.6664000000000001","0.5247"
"34860000","0.6181","0.6847","0.5246000000000001"
"34965000","0.6177","0.6688","0.5071"
"35070000","0.6071","0.6848","0.5321"
"35175000","0.5977","0.6628","0.513"
"35280000","0.6102000000000001","0.6752999999999999","0.5392"
"35385000","0.6252000000000001","0.6660999999999999","0.5341"
"35490000","0.6152000000000001","0.6606000000000001","0.5342"
"35595000","0.6083999999999999","0.6616000000000001","0.5439"
"35700000","0.6304","0.6647000000000001","0.536"
"35805000","0.6423","0.6513","0.5537000000000001"
