"Step","diversified_sp3_leftup_rightdown_seed4 - cover_rate_5step"
"105000","0.0032"
"210000","0.0025"
"315000","0.0105"
"420000","0.0095"
"525000","0.0102"
"630000","0.008199999999999999"
"735000","0.0086"
"840000","0.0101"
"945000","0.01"
"1050000","0.0092"
"1155000","0.0112"
"1260000","0.015"
"1365000","0.0169"
"1470000","0.0144"
"1575000","0.0191"
"1664040","0.0188"
"1746150","0.0395"
"1827420","0.046200000000000005"
"1908900","0.05709999999999999"
"2013900","0.0359"
"2118900","0.0469"
"2200170","0.049100000000000005"
"2305170","0.0536"
"2410170","0.07319999999999999"
"2515170","0.0663"
"2620170","0.0824"
"2725170","0.08220000000000001"
"2830170","0.1066"
"2935170","0.11980000000000002"
"3040170","0.1025"
"3145170","0.1253"
"3250170","0.117"
"3355170","0.13710000000000003"
"3460170","0.12719999999999998"
"3565170","0.1185"
"3670170","0.1181"
"3775170","0.1202"
"3880170","0.12030000000000002"
"3985170","0.1137"
"4090170","0.1242"
"4195170","0.1208"
"4300170","0.1252"
"4405170","0.1171"
"4510170","0.1278"
"4615170","0.13190000000000002"
"4720170","0.14260000000000003"
"4825170","0.12630000000000002"
"4930170","0.16210000000000002"
"5035170","0.15159999999999998"
"5140170","0.1425"
"5245170","0.138"
"5350170","0.14989999999999998"
"5455170","0.1421"
"5560170","0.14809999999999998"
"5665170","0.15080000000000002"
"5770170","0.1423"
"5875170","0.1226"
"5980170","0.1328"
"6085170","0.1625"
"6190170","0.1641"
"6295170","0.176"
"6400170","0.16369999999999998"
"6505170","0.15960000000000002"
"6610170","0.1682"
"6715170","0.1806"
"6820170","0.17510000000000003"
"6925170","0.1758"
"7030170","0.15080000000000002"
"7135170","0.17210000000000003"
"7240170","0.1661"
"7345170","0.1628"
"7450170","0.15630000000000002"
"7555170","0.1736"
"7660170","0.1957"
"7765170","0.1927"
"7870170","0.2011"
"7975170","0.1854"
"8080170","0.1961"
"8185170","0.1853"
"8290170","0.16390000000000002"
"8395170","0.184"
"8500170","0.1846"
"8605170","0.1879"
"8710170","0.1777"
"8815170","0.1965"
"8920170","0.1942"
"9025170","0.1854"
"9130170","0.1906"
"9235170","0.1963"
"9340170","0.199"
"9445170","0.2102"
"9550170","0.208"
"9655170","0.1886"
"9760170","0.20789999999999997"
"9865170","0.2192"
"9970170","0.2086"
"10075170","0.204"
"10180170","0.2091"
"10285170","0.1958"
"10390170","0.2162"
"10495170","0.2293"
"10600170","0.2148"
"10705170","0.20389999999999997"
"10810170","0.1903"
"10915170","0.2307"
"11020170","0.2137"
"11125170","0.214"
"11230170","0.2109"
"11335170","0.2055"
"11440170","0.2053"
"11545170","0.2099"
"11650170","0.1974"
"11755170","0.1875"
"11860170","0.19"
"11965170","0.2123"
"12070170","0.20689999999999997"
"12175170","0.1919"
"12280170","0.2029"
"12385170","0.1913"
"12490170","0.2135"
"12595170","0.2116"
"12700170","0.2328"
"12805170","0.2007"
"12910170","0.2043"
"13015170","0.2221"
"13120170","0.2074"
"13225170","0.2223"
"13330170","0.2117"
"13435170","0.1839"
"13540170","0.2183"
"13645170","0.216"
"13750170","0.2068"
"13855170","0.2234"
"13960170","0.2275"
"14065170","0.2174"
"14170170","0.1912"
"14275170","0.24"
"14380170","0.2212"
"14485170","0.2189"
"14590170","0.2248"
"14695170","0.211"
"14800170","0.2115"
"14905170","0.1988"
"15010170","0.2143"
"15115170","0.19710000000000005"
"15220170","0.20410000000000003"
"15325170","0.2198"
"15430170","0.1993"
"15535170","0.1982"
"15640170","0.2148"
"15745170","0.1805"
"15850170","0.2088"
"15955170","0.1981"
"16060170","0.1667"
"16165170","0.19"
"16270170","0.1789"
"16375170","0.195"
"16480170","0.1958"
"16585170","0.2067"
"16690170","0.1928"
"16795170","0.19629999999999995"
"16900170","0.1931"
"17005170","0.2186"
"17110170","0.2226"
"17215170","0.2029"
"17320170","0.2055"
"17425170","0.20139999999999997"
"17530170","0.2169"
"17635170","0.2116"
"17740170","0.192"
"17845170","0.2003"
"17950170","0.2072"
"18055170","0.2065"
"18160170","0.2042"
"18265170","0.1978"
"18370170","0.2031"
"18475170","0.2237"
"18580170","0.2145"
"18685170","0.2018"
"18790170","0.1989"
"18895170","0.209"
"19000170","0.2032"
"19105170","0.1998"
"19210170","0.21"
"19315170","0.1975"
"19420170","0.2059"
"19525170","0.2125"
"19630170","0.2146"
"19735170","0.2255"
"19840170","0.22989999999999997"
"19945170","0.2252"
"20050170","0.2274"
"20155170","0.2499"
"20260170","0.2543"
