Step,reverse-6floor-seed2 - test_success_rate,ours-6floor-seed1 - test_success_rate
31200,0,
62400,0,
93600,0,0
124800,0,
156000,0,
187200,0,0
218400,0,
249600,0,
280800,0,0
312000,0,
343200,0,
374400,0,0
405600,0,
436800,0,
468000,0,0
499200,0,
530400,0,
561600,0,0
592800,0,
624000,0,
655200,0,0
686400,0,
717600,0,
748800,0,0
780000,0,
811200,0,
842400,0,0.005
873600,0,
904800,0,
936000,0,0
967200,0,
998400,0,
1029600,0,0
1060800,0,
1092000,0,
1123200,0,0
1154400,0,
1185600,0,
1216800,0,0
1248000,0,
1279200,0,
1310400,0,0
1341600,0,
1372800,0,
1404000,0,0
1435200,0,
1466400,0,
1497600,0,0
1528800,0,
1560000,0,
1591200,0,0
1622400,0,
1653600,0,
1684800,0,0
1716000,0,
1747200,0,
1778400,0,0
1809600,0,
1840800,0,
1872000,0,0
1903200,0,
1934400,0,
1965600,0,0
1996800,0,
2028000,0,
2059200,0,0
2090400,0,
2121600,0,
2152800,0,0.01
2184000,0,
2215200,0,
2246400,0,0
2277600,0,
2308800,0,
2340000,0,0.005
2371200,0,
2402400,0,
2433600,0,0.011
2464800,0,
2496000,0,
2527200,0,0.006
2558400,0,
2589600,0,
2620800,0,0.008
2652000,0,
2683200,0,
2714400,0,0.019
2745600,0,
2776800,0.005,
2808000,0,0.005
2839200,0,
2870400,0,
2901600,0,0.013
2932800,0,
2964000,0,
2995200,0,0.01
3026400,0,
3057600,0.022,
3088800,0.02,0.011
3120000,0.007,
3151200,0.003,
3182400,0.005,0.02
3213600,0.031,
3244800,0.018,
3276000,0.028,0.017
3307200,0.01,
3338400,0.013,
3369600,0.006,0.02
3400800,0.013,
3432000,0.004,
3463200,0.005,0.02
3494400,0.013,
3525600,0,
3556800,0,0.007
3588000,0,
3619200,0,
3650400,0,0.023
3681600,0,
3712800,0,
3744000,0,0.008
3775200,0,
3806400,0,
3837600,0.001,0.018
3868800,0.001,
3900000,0,
3931200,0,0.011
3962400,0,
3993600,0,
4024800,0,0.004
4056000,0,
4087200,0,
4118400,0.005,0.008
4149600,0,
4180800,0.005,
4212000,0,0.015
4243200,0.011,
4274400,0.016,
4305600,0,0.009
4336800,0,
4368000,0,
4399200,0,0.016
4430400,0.009,
4461600,0.019,
4492800,0.006,0.007
4524000,0.008,
4555200,0.007,
4586400,0.002,0.022
4617600,0.006,
4648800,0.005,
4680000,0.008,0.022
4711200,0.002,
4742400,0.01,
4773600,0.003,0.026
4804800,0.011,
4836000,0.01,
4867200,0.008,0.028
4898400,0.008,
4929600,0.022,
4960800,0.008,0.035
4992000,0.006,
5023200,0.008,
5054400,0.015,0.021
5085600,0.025,
5116800,0.01,
5148000,0.023,0.024
5179200,0.021,
5210400,0.019,
5241600,0.005,0.023
5272800,0.008,
5304000,0.016,
5335200,0.014,0.018
5366400,0.014,
5397600,0.011,
5428800,0.018,0.025
5460000,0.009,
5491200,0.021,
5522400,0.015,0.027
5553600,0.014,
5584800,0.029,
5616000,0.013,0.031
5647200,0.023,
5678400,0.017,
5709600,0.01,0.035
5740800,0.013,
5772000,0.012,
5803200,0.011,0.031
5834400,0.037,
5865600,0.028,
5896800,0.022,0.043
5928000,0.019,
5959200,0.018,
5990400,0.01,0.035
6021600,0.023,
6052800,0.026,
6084000,0.02,0.041
6115200,0.019,
6146400,0.02,
6177600,0.01,0.041
6208800,0.023,
6240000,0.017,
6271200,0.023,0.036
6302400,0.015,
6333600,0.02,
6364800,0.027,0.041
6396000,0.009,
6427200,0.013,
6458400,0.009,0.03
6489600,0.006,
6520800,0.025,
6552000,0.017,0.036
6583200,0.014,
6614400,0.008,
6645600,0.018,0.056
6676800,0.008,
6708000,0.008,
6739200,0.01,0.023
6770400,0.004,
6801600,0.008,
6832800,0.017,0.028
6864000,0.009,
6895200,0.022,
6926400,0.013,0.047
6957600,0.015,
6988800,0.018,
7020000,0.017,0.029
7051200,0.022,
7082400,0.015,
7113600,0.017,0.043
7144800,0.014,
7176000,0.017,
7207200,0.006,0.042
7238400,0.021,
7269600,0.028,
7300800,0.019,0.061
7332000,0.012,
7363200,0.014,
7394400,0.013,0.032
7425600,0.028,
7456800,0.025,
7488000,0.01,0.024
7519200,0.021,
7550400,0.02,
7581600,0.03,0.031
7612800,0.013,
7644000,0.017,
7675200,0.023,0.031
7706400,0.015,
7737600,0.013,
7768800,0.014,0.037
7800000,0.025,
7831200,0.008,
7862400,0.014,0.029
7893600,0.014,
7924800,0.019,
7956000,0.017,0.039
7987200,0.025,
8018400,0.024,
8049600,0.024,0.018
8080800,0.017,
8112000,0.029,
8143200,0.026,0.039
8174400,0.035,
8205600,0.021,
8236800,0.016,0.037
8268000,0.02,
8299200,0.019,
8330400,0.025,0.034
8361600,0.017,
8392800,0.019,
8424000,0.019,0.055
8455200,0.016,
8486400,0.009,
8517600,0.019,0.048
8548800,0.012,
8580000,0.016,
8611200,0.028,0.041
8642400,0.011,
8673600,0.025,
8704800,0.013,0.025
8736000,0.013,
8767200,0.006,
8798400,0.012,0.037
8829600,0.017,
8860800,0.013,
8892000,0.012,0.036
8923200,0.021,
8954400,0.022,
8985600,0.011,0.054
9016800,0.022,
9048000,0.012,
9079200,0.016,0.021
9110400,0.026,
9141600,0.013,
9172800,0.025,0.062
9204000,0.022,
9235200,0.033,
9266400,0.024,0.035
9297600,0.02,
9328800,0.016,
9360000,0.017,0.045
9391200,0.017,
9422400,0.015,
9453600,0.02,0.035
9484800,0.017,
9516000,0.024,
9547200,0.012,0.032
9578400,0.024,
9609600,0.005,
9640800,0.012,0.038
9672000,0.01,
9703200,0.013,
9734400,0.015,0.026
9765600,0.017,
9796800,0.019,
9828000,0.01,0.029
9859200,0.013,
9890400,0.019,
9921600,0.012,0.055
9952800,0.011,
9984000,0.009,
10015200,0.005,0.038
10046400,0.025,
10077600,0.017,
10108800,0.014,0.035
10140000,0.025,
10171200,0.018,
10202400,0.018,0.041
10233600,0.012,
10264800,0.012,
10296000,0.014,0.042
10327200,0.02,
10358400,0.019,
10389600,0.013,0.038
10420800,0.018,
10452000,0.011,
10483200,0.015,0.049
10514400,0.019,
10545600,0.019,
10576800,0.019,0.044
10608000,0.009,
10639200,0.009,
10670400,0.005,0.052
10701600,0.013,
