"Step","gan_pb_4agents_seed1 - cover_rate_5step"
"120000","0.062"
"240000","0.0635"
"360000","0.0665"
"480000","0.0575"
"600000","0.0625"
"720000","0.062"
"840000","0.0585"
"960000","0.068"
"1080000","0.0665"
"1200000","0.061"
"1320000","0.0605"
"1440000","0.068"
"1560000","0.0625"
"1680000","0.0715"
"1800000","0.0625"
"1920000","0.0625"
"2040000","0.0575"
"2160000","0.0655"
"2280000","0.06409999999999999"
"2400000","0.066"
"2520000","0.0616"
"2640000","0.0735"
"2760000","0.068"
"2880000","0.069"
"3000000","0.0782"
"3120000","0.08170000000000001"
"3240000","0.0819"
"3360000","0.0608"
"3480000","0.0732"
"3600000","0.07"
"3720000","0.0724"
"3840000","0.0611"
"3960000","0.0684"
"4080000","0.0629"
"4200000","0.0685"
"4320000","0.075"
"4440000","0.0701"
"4560000","0.0711"
"4680000","0.067"
"4800000","0.08220000000000001"
"4920000","0.08159999999999999"
"5040000","0.06659999999999999"
"5160000","0.0731"
"5280000","0.07180000000000002"
"5400000","0.0632"
"5520000","0.0725"
"5640000","0.0655"
"5760000","0.0695"
"5880000","0.0699"
"6000000","0.0648"
"6120000","0.0665"
"6240000","0.069"
"6360000","0.071"
"6480000","0.055"
"6600000","0.07330000000000002"
"6720000","0.0583"
"6840000","0.06509999999999999"
"6960000","0.0621"
"7080000","0.0703"
"7200000","0.061"
"7320000","0.0606"
"7440000","0.059"
"7560000","0.0685"
"7680000","0.0683"
"7800000","0.0701"
"7920000","0.0582"
"8040000","0.0569"
"8160000","0.059"
"8280000","0.0619"
"8400000","0.0722"
"8520000","0.0615"
"8640000","0.0571"
"8760000","0.0635"
"8880000","0.061"
"9000000","0.0561"
"9120000","0.0688"
"9240000","0.0535"
"9360000","0.0579"
"9480000","0.0647"
"9600000","0.057"
"9720000","0.07490000000000001"
"9840000","0.0692"
"9960000","0.0699"
"10080000","0.0634"
"10200000","0.0674"
"10320000","0.06659999999999999"
"10440000","0.067"
"10560000","0.0715"
"10680000","0.0607"
"10800000","0.0629"
"10920000","0.0566"
"11040000","0.0625"
"11160000","0.0591"
"11280000","0.0582"
"11400000","0.0554"
"11520000","0.0643"
"11640000","0.0724"
"11760000","0.0529"
"11880000","0.0532"
"12000000","0.0722"
"12120000","0.057699999999999994"
"12240000","0.07"
"12360000","0.073"
"12480000","0.06459999999999999"
"12600000","0.0546"
"12720000","0.055299999999999995"
"12840000","0.0679"
"12960000","0.0694"
"13080000","0.0541"
"13200000","0.058100000000000006"
"13320000","0.0619"
"13440000","0.0691"
"13560000","0.067"
"13680000","0.05849999999999999"
"13800000","0.0687"
"13920000","0.0712"
"14040000","0.0717"
"14160000","0.06670000000000001"
"14280000","0.0692"
"14400000","0.06409999999999999"
"14520000","0.084"
"14640000","0.0726"
"14760000","0.0654"
"14880000","0.0772"
"15000000","0.0719"
"15120000","0.0715"
"15240000","0.0884"
"15360000","0.085"
"15480000","0.079"
"15600000","0.0706"
"15720000","0.083"
