"Step","gan_pb_2agents_seed2 - cover_rate_5step"
"120000","0.027"
"240000","0.033"
"360000","0.033"
"480000","0.028"
"600000","0.032"
"720000","0.029"
"840000","0.036"
"960000","0.032"
"1080000","0.033"
"1200000","0.034"
"1320000","0.032"
"1440000","0.053"
"1560000","0.032"
"1680000","0.039"
"1800000","0.027"
"1920000","0.032"
"2040000","0.037"
"2160000","0.023"
"2280000","0.03"
"2400000","0.034"
"2520000","0.037"
"2640000","0.024"
"2760000","0.032"
"2880000","0.04"
"3000000","0.029"
"3120000","0.035"
"3240000","0.039"
"3360000","0.043"
"3480000","0.035"
"3600000","0.034"
"3720000","0.046"
"3840000","0.034"
"3960000","0.025"
"4080000","0.029"
"4200000","0.037"
"4320000","0.036"
"4440000","0.024"
"4560000","0.033"
"4680000","0.031"
"4800000","0.038"
"4920000","0.036"
"5040000","0.032"
"5160000","0.035"
"5280000","0.031"
"5400000","0.033"
"5520000","0.022"
"5640000","0.032799999999999996"
"5760000","0.037"
"5880000","0.031"
"6000000","0.038"
"6120000","0.036"
"6240000","0.023"
"6360000","0.027399999999999997"
"6480000","0.032600000000000004"
"6600000","0.0408"
"6720000","0.028"
"6840000","0.033"
"6960000","0.034"
"7080000","0.0348"
"7200000","0.04"
"7320000","0.0282"
"7440000","0.027"
"7560000","0.029"
"7680000","0.037"
"7800000","0.03"
"7920000","0.039"
"8040000","0.0366"
"8160000","0.0482"
"8280000","0.0346"
"8400000","0.0422"
"8520000","0.0378"
"8640000","0.037"
"8760000","0.036"
"8880000","0.043"
"9000000","0.0408"
"9120000","0.048"
"9240000","0.0386"
"9360000","0.039200000000000006"
"9480000","0.0418"
"9600000","0.039"
"9720000","0.041"
"9840000","0.0402"
"9960000","0.043"
"10080000","0.038"
"10200000","0.039799999999999995"
"10320000","0.046799999999999994"
"10440000","0.039"
"10560000","0.042"
"10680000","0.046"
"10800000","0.042"
"10920000","0.043"
"11040000","0.039"
"11160000","0.046200000000000005"
"11280000","0.04"
"11400000","0.046"
"11520000","0.043"
"11640000","0.039"
"11760000","0.037"
"11880000","0.038"
"12000000","0.037"
"12120000","0.039"
"12240000","0.042"
"12360000","0.043"
"12480000","0.052"
"12600000","0.035"
"12720000","0.036"
"12840000","0.049"
"12960000","0.04"
"13080000","0.0404"
"13200000","0.048"
"13320000","0.041"
"13440000","0.038"
"13560000","0.041"
"13680000","0.049"
"13800000","0.0402"
"13920000","0.024"
"14040000","0.0324"
"14160000","0.0384"
"14280000","0.038"
"14400000","0.039"
"14520000","0.0422"
"14640000","0.046"
"14760000","0.056"
"14880000","0.039"
"15000000","0.0488"
"15120000","0.041"
"15240000","0.0426"
"15360000","0.047"
"15480000","0.0414"
"15600000","0.056"
"15720000","0.036"
"15840000","0.046200000000000005"
"15960000","0.0442"
"16080000","0.051"
"16200000","0.033"
"16320000","0.044"
"16440000","0.047"
"16560000","0.043"
"16680000","0.0466"
"16800000","0.0456"
"16920000","0.057"
"17040000","0.0528"
"17160000","0.0574"
"17280000","0.037"
"17400000","0.045"
"17520000","0.061"
"17640000","0.044"
"17760000","0.0412"
"17880000","0.055"
"18000000","0.054"
"18120000","0.0366"
"18240000","0.054200000000000005"
"18360000","0.0484"
"18480000","0.041"
"18600000","0.0476"
"18720000","0.0556"
"18840000","0.04"
"18960000","0.0334"
"19080000","0.047200000000000006"
"19200000","0.0452"
"19320000","0.056"
"19440000","0.028"
"19560000","0.0412"
"19680000","0.0454"
"19800000","0.0544"
"19920000","0.046"
"20040000","0.0562"
"20160000","0.039200000000000006"
"20280000","0.0442"
"20400000","0.0498"
"20520000","0.046799999999999994"
"20640000","0.0528"
"20760000","0.0532"
"20880000","0.0508"
"21000000","0.0588"
"21120000","0.0648"
