"Step","gan_pb_addinitialtasks_seed2 - cover_rate_5step"
"120000","0.032"
"240000","0.031"
"360000","0.029"
"480000","0.027"
"600000","0.035"
"720000","0.033"
"840000","0.039"
"960000","0.033"
"1080000","0.036"
"1200000","0.033"
"1320000","0.033"
"1440000","0.042"
"1560000","0.035"
"1680000","0.044"
"1800000","0.032600000000000004"
"1920000","0.033"
"2040000","0.037"
"2160000","0.028"
"2280000","0.038200000000000005"
"2400000","0.041"
"2520000","0.051"
"2640000","0.035"
"2760000","0.052"
"2880000","0.0504"
"3000000","0.051"
"3120000","0.055"
"3240000","0.045"
"3360000","0.052"
"3480000","0.058"
"3600000","0.05"
"3720000","0.06"
"3840000","0.046799999999999994"
"3960000","0.049"
"4080000","0.053"
"4200000","0.0488"
"4320000","0.06"
"4440000","0.044"
"4560000","0.048"
"4680000","0.062"
"4800000","0.06"
"4920000","0.06"
"5040000","0.07080000000000002"
"5160000","0.0674"
"5280000","0.075"
"5400000","0.087"
"5520000","0.076"
"5640000","0.075"
"5760000","0.077"
"5880000","0.067"
"6000000","0.085"
"6120000","0.076"
"6240000","0.073"
"6360000","0.0692"
"6480000","0.0808"
"6600000","0.081"
"6720000","0.071"
"6840000","0.09"
"6960000","0.077"
"7080000","0.079"
"7200000","0.073"
"7320000","0.072"
"7440000","0.062"
"7560000","0.065"
"7680000","0.0696"
"7800000","0.07940000000000001"
"7920000","0.086"
"8040000","0.07540000000000001"
"8160000","0.084"
"8280000","0.06420000000000001"
"8400000","0.072"
"8520000","0.0722"
"8640000","0.074"
"8760000","0.07"
"8880000","0.0824"
"9000000","0.071"
"9120000","0.0898"
"9240000","0.07740000000000001"
"9360000","0.084"
"9480000","0.0716"
"9600000","0.075"
"9720000","0.0616"
"9840000","0.081"
"9960000","0.091"
"10080000","0.08"
"10200000","0.089"
"10320000","0.091"
"10440000","0.098"
"10560000","0.0834"
"10680000","0.098"
"10800000","0.073"
"10920000","0.089"
"11040000","0.08059999999999999"
"11160000","0.0918"
"11280000","0.074"
"11400000","0.0814"
"11520000","0.081"
