"Step","gan_pb_4agents_seed3 - cover_rate_1step"
"120000","0.063"
"240000","0.061"
"360000","0.0495"
"480000","0.063"
"600000","0.0595"
"720000","0.0665"
"840000","0.068"
"960000","0.073"
"1080000","0.06"
"1200000","0.0635"
"1320000","0.08"
"1440000","0.06"
"1560000","0.068"
"1680000","0.0695"
"1800000","0.069"
"1920000","0.076"
"2040000","0.071"
"2160000","0.0725"
"2280000","0.06"
"2400000","0.059"
"2520000","0.062"
"2640000","0.059"
"2760000","0.064"
"2880000","0.066"
"3000000","0.0625"
"3120000","0.058"
"3240000","0.0715"
"3360000","0.055"
"3480000","0.058"
"3600000","0.0715"
"3720000","0.0595"
"3840000","0.069"
"3960000","0.067"
"4080000","0.066"
"4200000","0.0685"
"4320000","0.0645"
"4440000","0.066"
"4560000","0.0685"
"4680000","0.072"
"4800000","0.062"
"4920000","0.0665"
"5040000","0.0645"
"5160000","0.0575"
"5280000","0.0705"
"5400000","0.0635"
"5520000","0.0705"
"5640000","0.061"
"5760000","0.0585"
"5880000","0.074"
"6000000","0.0625"
"6120000","0.065"
"6240000","0.063"
"6360000","0.074"
"6480000","0.066"
"6600000","0.062"
"6720000","0.066"
"6840000","0.0565"
"6960000","0.0645"
"7080000","0.0635"
"7200000","0.061"
"7320000","0.063"
"7440000","0.057"
"7560000","0.0715"
"7680000","0.059"
"7800000","0.0565"
"7920000","0.061"
"8040000","0.0555"
"8160000","0.0715"
"8280000","0.061"
"8400000","0.073"
"8520000","0.057"
"8640000","0.0645"
"8760000","0.0745"
"8880000","0.0735"
"9000000","0.06"
"9120000","0.065"
"9240000","0.063"
"9360000","0.06"
"9480000","0.0625"
"9600000","0.0715"
"9720000","0.058"
"9840000","0.0645"
"9960000","0.067"
"10080000","0.07"
"10200000","0.057"
"10320000","0.0735"
"10440000","0.0585"
"10560000","0.0635"
"10680000","0.06"
"10800000","0.0595"
"10920000","0.071"
"11040000","0.0605"
"11160000","0.061"
"11280000","0.067"
"11400000","0.069"
"11520000","0.07"
"11640000","0.065"
"11760000","0.0715"
"11880000","0.0755"
"12000000","0.0625"
"12120000","0.0635"
"12240000","0.069"
"12360000","0.077"
"12480000","0.0685"
"12600000","0.069"
"12720000","0.0715"
"12840000","0.0665"
"12960000","0.071"
"13080000","0.074"
"13200000","0.07"
"13320000","0.069"
"13440000","0.067"
"13560000","0.0745"
"13680000","0.076"
"13800000","0.073"
"13920000","0.071"
"14040000","0.0715"
"14160000","0.0715"
"14280000","0.0735"
"14400000","0.073"
"14520000","0.078"
"14640000","0.0765"
"14760000","0.089"
"14880000","0.0705"
"15000000","0.0755"
"15120000","0.0705"
"15240000","0.0715"
"15360000","0.0745"
"15480000","0.0845"
"15600000","0.0725"
"15720000","0.083"
"15840000","0.0665"
"15960000","0.083"
"16080000","0.0725"
"16200000","0.0745"
"16320000","0.0785"
"16440000","0.0775"
"16560000","0.071"
"16680000","0.085"
"16800000","0.0785"
"16920000","0.074"
"17040000","0.076"
"17160000","0.072"
"17280000","0.0705"
"17400000","0.0675"
"17520000","0.0735"
"17640000","0.083"
"17760000","0.075"
"17880000","0.0825"
"18000000","0.086"
"18120000","0.0785"
"18240000","0.081"
"18360000","0.0835"
"18480000","0.086"
"18600000","0.09"
"18720000","0.076"
"18840000","0.081"
"18960000","0.085"
