"Step","gan_sp_4agents_seed3 - 4cover_rate_1step"
"70000","0.001"
"140000","0.0005"
"210000","0"
"280000","0.0005"
"350000","0"
"420000","0"
"490000","0"
"560000","0"
"630000","0"
"700000","0.0005"
"770000","0"
"840000","0.0015"
"910000","0.0085"
"980000","0.0185"
"1050000","0.0185"
"1120000","0.0325"
"1190000","0.0415"
"1260000","0.0445"
"1330000","0.0445"
"1400000","0.044"
"1470000","0.049"
"1540000","0.0535"
"1610000","0.035"
"1680000","0.046"
"1750000","0.037"
"1820000","0.0425"
"1890000","0.0455"
"1960000","0.043"
"2030000","0.037"
"2100000","0.038"
"2170000","0.038"
"2240000","0.0445"
"2310000","0.035"
"2380000","0.043"
"2450000","0.0585"
"2520000","0.0655"
"2590000","0.076"
"2660000","0.09"
"2730000","0.1195"
"2800000","0.135"
"2870000","0.1425"
"2940000","0.1655"
"3010000","0.1775"
"3080000","0.184"
"3150000","0.2185"
"3220000","0.222"
"3290000","0.2305"
"3360000","0.249"
"3430000","0.2545"
"3500000","0.2475"
"3570000","0.2475"
"3640000","0.2615"
"3710000","0.266"
"3780000","0.2685"
"3850000","0.253"
"3920000","0.2435"
"3990000","0.2405"
"4060000","0.2225"
"4130000","0.233"
"4200000","0.241"
"4270000","0.237"
"4340000","0.2355"
"4410000","0.244"
"4480000","0.2545"
"4550000","0.2475"
"4620000","0.2565"
"4690000","0.2525"
"4760000","0.236"
"4830000","0.2355"
"4900000","0.245"
"4970000","0.2675"
"5040000","0.295"
"5110000","0.299"
"5180000","0.3175"
"5250000","0.2975"
"5320000","0.309"
"5390000","0.3005"
"5460000","0.294"
"5530000","0.2985"
"5600000","0.3035"
"5670000","0.3255"
"5740000","0.32"
"5810000","0.33"
"5880000","0.3375"
"5950000","0.3465"
"6020000","0.3685"
"6090000","0.364"
"6160000","0.362"
"6230000","0.368"
"6300000","0.3865"
"6370000","0.378"
"6440000","0.3705"
"6510000","0.368"
"6580000","0.359"
"6650000","0.3415"
"6720000","0.339"
"6790000","0.3295"
"6860000","0.3125"
"6930000","0.3295"
"7000000","0.3245"
"7070000","0.3125"
"7140000","0.3195"
"7210000","0.3035"
"7280000","0.3255"
"7350000","0.32"
"7420000","0.327"
"7490000","0.3185"
"7560000","0.34"
"7630000","0.313"
"7700000","0.302"
"7770000","0.315"
"7840000","0.311"
"7910000","0.2865"
"7980000","0.281"
"8050000","0.3"
"8120000","0.286"
"8190000","0.292"
"8260000","0.27"
"8330000","0.254"
"8400000","0.251"
"8470000","0.271"
"8540000","0.2655"
"8610000","0.271"
"8680000","0.2775"
"8750000","0.2755"
"8820000","0.26"
"8890000","0.2605"
"8960000","0.2645"
"9030000","0.2655"
"9100000","0.2575"
"9170000","0.262"
"9240000","0.2675"
"9310000","0.268"
"9380000","0.2825"
"9450000","0.273"
"9520000","0.286"
"9590000","0.2895"
"9660000","0.2975"
"9730000","0.3095"
"9800000","0.289"
"9870000","0.2875"
"9940000","0.2995"
"10010000","0.3085"
"10080000","0.323"
"10150000","0.3045"
"10220000","0.292"
"10290000","0.305"
"10360000","0.306"
"10430000","0.299"
"10500000","0.3"
"10570000","0.3045"
"10640000","0.283"
"10710000","0.2925"
"10780000","0.3195"
"10850000","0.301"
"10920000","0.33"
"10990000","0.339"
"11060000","0.3565"
"11130000","0.338"
"11200000","0.358"
"11270000","0.3425"
"11340000","0.3295"
"11410000","0.341"
"11480000","0.3545"
"11550000","0.3345"
"11620000","0.344"
"11690000","0.3525"
"11760000","0.351"
"11830000","0.352"
"11900000","0.349"
"11970000","0.3485"
"12040000","0.338"
"12110000","0.363"
"12180000","0.3785"
"12250000","0.387"
"12320000","0.3685"
"12390000","0.3815"
"12460000","0.3595"
"12530000","0.367"
"12600000","0.361"
"12670000","0.349"
"12740000","0.327"
"12810000","0.3405"
"12880000","0.316"
"12950000","0.3255"
"13020000","0.345"
"13090000","0.336"
"13160000","0.358"
"13230000","0.3595"
"13300000","0.356"
"13370000","0.355"
"13440000","0.358"
"13510000","0.3715"
"13580000","0.357"
"13650000","0.3815"
"13720000","0.371"
"13790000","0.3665"
"13860000","0.3865"
"13930000","0.407"
"14000000","0.3955"
"14070000","0.3625"
"14140000","0.3805"
"14210000","0.396"
"14280000","0.4165"
"14350000","0.3965"
"14420000","0.4375"
"14490000","0.437"
"14560000","0.442"
"14630000","0.452"
"14700000","0.4475"
"14770000","0.4595"
"14840000","0.4385"
"14910000","0.439"
"14980000","0.4495"
"15050000","0.4465"
"15120000","0.444"
"15190000","0.4415"
"15260000","0.431"
"15330000","0.422"
"15400000","0.4375"
"15470000","0.437"
"15540000","0.4285"
"15610000","0.42"
"15680000","0.4405"
"15750000","0.415"
"15820000","0.4195"
"15890000","0.444"
"15960000","0.419"
"16030000","0.4465"
"16100000","0.421"
"16170000","0.437"
"16240000","0.4245"
"16310000","0.429"
"16380000","0.4145"
"16450000","0.4225"
"16520000","0.437"
"16590000","0.4355"
"16660000","0.4325"
"16730000","0.457"
"16800000","0.457"
"16870000","0.4575"
"16940000","0.476"
"17010000","0.479"
"17080000","0.5035"
"17150000","0.485"
"17220000","0.459"
"17290000","0.495"
"17360000","0.503"
"17430000","0.4925"
"17500000","0.478"
"17570000","0.476"
"17640000","0.4965"
"17710000","0.507"
"17780000","0.4825"
"17850000","0.4905"
"17920000","0.4905"
"17990000","0.4585"
"18060000","0.4565"
"18130000","0.4715"
"18200000","0.466"
"18270000","0.462"
"18340000","0.4665"
"18410000","0.4655"
"18480000","0.455"
"18550000","0.471"
"18620000","0.456"
"18690000","0.4615"
"18760000","0.4585"
