"Step","gan_sp_4agents_addeasycase_seed2 - 4cover_rate_5step"
"70000","0.005900000000000001"
"140000","0.0004"
"210000","0.0015"
"280000","0.0028000000000000004"
"350000","0.0024"
"420000","0.0029"
"490000","0.0031"
"560000","0.019"
"630000","0.0178"
"700000","0.016200000000000003"
"770000","0.0089"
"840000","0.0121"
"910000","0.039900000000000005"
"980000","0.1189"
"1050000","0.132"
"1120000","0.1325"
"1190000","0.1127"
"1260000","0.1005"
"1330000","0.1175"
"1400000","0.1343"
"1470000","0.1673"
"1540000","0.1827"
"1610000","0.2206"
"1680000","0.23510000000000003"
"1750000","0.2383"
"1820000","0.2601"
"1890000","0.2821"
"1960000","0.30619999999999997"
"2030000","0.32220000000000004"
"2100000","0.3445"
"2170000","0.3565"
"2240000","0.3791000000000001"
"2310000","0.3783"
"2380000","0.3873"
"2450000","0.40670000000000006"
"2520000","0.4199000000000001"
"2590000","0.4241"
"2660000","0.4302"
"2730000","0.4378000000000001"
"2800000","0.41429999999999995"
"2870000","0.4288"
"2940000","0.433"
"3010000","0.4333999999999999"
"3080000","0.4295"
"3150000","0.4516"
"3220000","0.4575"
"3290000","0.4428"
"3360000","0.4525"
"3430000","0.4543"
"3500000","0.4428"
"3570000","0.4498"
"3640000","0.4619"
"3710000","0.4606"
"3780000","0.4616"
"3850000","0.4542"
"3920000","0.4485"
"3990000","0.4598"
"4060000","0.4537"
"4130000","0.4505"
"4200000","0.4442"
"4270000","0.4448"
"4340000","0.4527000000000001"
"4410000","0.4579"
"4480000","0.4488"
"4550000","0.4539"
"4620000","0.4488"
"4690000","0.4587000000000001"
"4760000","0.4631"
"4830000","0.46970000000000006"
"4900000","0.4677"
"4970000","0.4674"
"5040000","0.4753"
"5110000","0.4654"
"5180000","0.4735"
"5250000","0.4566"
"5320000","0.4695"
"5390000","0.4775"
"5460000","0.4738"
"5530000","0.466"
"5600000","0.4683"
"5670000","0.46279999999999993"
"5740000","0.4744"
"5810000","0.46079999999999993"
"5880000","0.4846"
"5950000","0.4671"
"6020000","0.4742"
"6090000","0.4792999999999999"
"6160000","0.4812999999999999"
"6230000","0.4736"
"6300000","0.4846"
"6370000","0.4731"
"6440000","0.4966"
"6510000","0.4746"
"6580000","0.47320000000000007"
"6650000","0.4778"
"6720000","0.47230000000000005"
"6790000","0.4727"
"6860000","0.4646"
"6930000","0.4709"
"7000000","0.4806"
"7070000","0.4753"
"7140000","0.4837"
"7210000","0.4656"
"7280000","0.4791"
"7350000","0.4856"
"7420000","0.499"
"7490000","0.4909"
"7560000","0.492"
"7630000","0.4903"
"7700000","0.5133"
"7770000","0.4867"
"7840000","0.486"
"7910000","0.4947"
"7980000","0.4923"
"8050000","0.49090000000000006"
"8120000","0.4903"
"8190000","0.4861"
"8260000","0.482"
"8330000","0.5243"
"8400000","0.508"
"8470000","0.5112"
"8540000","0.4824"
"8610000","0.4977"
"8680000","0.5013"
"8750000","0.5156999999999999"
"8820000","0.4972"
"8890000","0.4895"
"8960000","0.4679"
"9030000","0.4764"
"9100000","0.4955"
"9170000","0.4825"
"9240000","0.4831"
"9310000","0.485"
"9380000","0.4901"
"9450000","0.4665"
"9520000","0.4695"
"9590000","0.4594"
"9660000","0.4725"
"9730000","0.4784"
"9800000","0.4917"
"9870000","0.4695"
"9940000","0.4722"
"10010000","0.4804000000000001"
"10080000","0.4719"
"10150000","0.4574"
"10220000","0.4512000000000001"
"10290000","0.4558"
"10360000","0.446"
"10430000","0.436"
"10500000","0.4292"
"10570000","0.4525"
"10640000","0.453"
"10710000","0.4485"
"10780000","0.4563"
"10850000","0.4688000000000001"
"10920000","0.4544"
"10990000","0.4507000000000001"
"11060000","0.4556"
"11130000","0.4794000000000001"
"11200000","0.4883"
"11270000","0.4885"
"11340000","0.4846"
"11410000","0.4562000000000001"
"11480000","0.4919"
"11550000","0.486"
"11620000","0.4828"
"11690000","0.47370000000000007"
"11760000","0.4518"
"11830000","0.4749"
"11900000","0.46"
"11970000","0.4764"
"12040000","0.4711999999999999"
"12110000","0.479"
"12180000","0.4604"
"12250000","0.4714"
"12320000","0.4551"
"12390000","0.4491"
"12460000","0.47170000000000006"
"12530000","0.47020000000000006"
"12600000","0.4749"
"12670000","0.4674"
"12740000","0.47270000000000006"
"12810000","0.47229999999999994"
"12880000","0.4765"
"12950000","0.4744"
"13020000","0.4709"
"13090000","0.4678"
"13160000","0.4604"
"13230000","0.4802"
"13300000","0.4905"
"13370000","0.4744"
"13440000","0.4715"
"13510000","0.4852999999999999"
"13580000","0.5031"
"13650000","0.496"
"13720000","0.4832"
"13790000","0.4968"
"13860000","0.5151"
"13930000","0.5043"
"14000000","0.5039"
"14070000","0.507"
"14140000","0.5075000000000001"
"14210000","0.5184"
"14280000","0.5213999999999999"
"14350000","0.5233000000000001"
"14420000","0.5207"
"14490000","0.5322"
"14560000","0.5408999999999999"
"14630000","0.5354000000000001"
"14700000","0.5144000000000001"
"14770000","0.5146000000000001"
"14840000","0.4879"
"14910000","0.5043"
"14980000","0.5021"
"15050000","0.5037"
"15120000","0.5169"
"15190000","0.5055"
"15260000","0.5046"
"15330000","0.5189"
"15400000","0.5278999999999999"
"15470000","0.5179"
"15540000","0.5133"
"15610000","0.5244000000000001"
"15680000","0.5392"
"15750000","0.5299"
"15820000","0.5464"
"15890000","0.5403000000000001"
"15960000","0.5448999999999999"
"16030000","0.5579000000000001"
"16100000","0.5499"
"16170000","0.5469"
"16240000","0.5441"
"16310000","0.5388"
"16380000","0.5848"
"16450000","0.5705999999999999"
"16520000","0.5664"
"16590000","0.5632999999999999"
"16660000","0.5565"
"16730000","0.5608"
"16800000","0.5745"
"16870000","0.5537000000000001"
"16940000","0.5505"
"17010000","0.5576"
"17080000","0.5599"
"17150000","0.573"
"17220000","0.5664"
"17290000","0.5785999999999999"
"17360000","0.5731"
"17430000","0.584"
"17500000","0.6006999999999999"
"17570000","0.5943999999999999"
"17640000","0.5869"
"17710000","0.597"
"17780000","0.5989"
"17850000","0.6136"
"17920000","0.6007"
"17990000","0.5966999999999999"
"18060000","0.5837"
"18130000","0.596"
"18200000","0.5761000000000001"
"18270000","0.5852999999999999"
"18340000","0.5957"
"18410000","0.5842"
"18480000","0.5887"
"18550000","0.5901000000000001"
"18620000","0.5634000000000001"
"18690000","0.5785"
"18760000","0.5655999999999999"
"18830000","0.5738"
"18900000","0.5732999999999999"
"18970000","0.5732999999999999"
"19040000","0.5789"
"19110000","0.5726"
"19180000","0.5669000000000001"
"19250000","0.5873999999999999"
"19320000","0.5779"
"19390000","0.5728"
"19460000","0.5647000000000001"
"19530000","0.5679"
"19600000","0.5818"
"19670000","0.5557000000000001"
"19740000","0.5689"
"19810000","0.5628"
"19880000","0.5706"
"19950000","0.5571"
"20020000","0.5668"
"20090000","0.5544"
"20160000","0.5640999999999999"
"20230000","0.5682999999999999"
"20300000","0.5602999999999999"
"20370000","0.5498999999999999"
"20440000","0.5782999999999999"
"20510000","0.5582999999999999"
"20580000","0.5801000000000001"
"20650000","0.5919000000000001"
"20720000","0.588"
"20790000","0.5975999999999999"
"20860000","0.5798"
"20930000","0.5953999999999999"
"21000000","0.5854"
"21070000","0.5795"
"21140000","0.5952000000000001"
"21210000","0.588"
"21280000","0.5781999999999999"
"21350000","0.5822"
"21420000","0.5877"
"21490000","0.5886"
"21560000","0.5838"
"21630000","0.591"
"21700000","0.5912"
"21770000","0.5835999999999999"
"21840000","0.5924"
"21910000","0.5976"
"21980000","0.6097"
"22050000","0.6097"
"22120000","0.5942"
"22190000","0.6053"
"22260000","0.6383"
"22330000","0.6346"
"22400000","0.6417999999999999"
"22470000","0.643"
"22540000","0.6427"
"22610000","0.639"
"22680000","0.6407"
"22750000","0.6477999999999999"
"22820000","0.6195"
"22890000","0.6307"
"22960000","0.6577999999999999"
"23030000","0.6507999999999999"
"23100000","0.6407999999999999"
"23170000","0.6497999999999999"
"23240000","0.6614"
"23310000","0.6531999999999999"
"23380000","0.6379000000000001"
"23450000","0.6633"
"23520000","0.6567000000000001"
"23590000","0.6479"
"23660000","0.6573"
"23730000","0.6530999999999999"
"23800000","0.6525"
"23870000","0.6469"
"23940000","0.6389"
"24010000","0.6314000000000001"
"24080000","0.6444"
"24150000","0.6312000000000001"
"24220000","0.6571"
"24290000","0.6649"
"24360000","0.6638999999999999"
"24430000","0.6678999999999999"
"24500000","0.6547999999999999"
"24570000","0.649"
"24640000","0.659"
"24710000","0.6565"
"24780000","0.6713"
"24850000","0.6491999999999999"
"24920000","0.6596000000000001"
"24990000","0.6769"
"25060000","0.6757000000000001"
"25130000","0.6754000000000001"
"25200000","0.6421999999999999"
"25270000","0.6591"
"25340000","0.6666000000000001"
"25410000","0.6677000000000001"
"25480000","0.6556000000000002"
"25550000","0.6407"
"25620000","0.6484"
"25690000","0.6688"
"25760000","0.678"
"25830000","0.655"
"25900000","0.6840999999999999"
"25970000","0.6637000000000001"
"26040000","0.6665"
"26110000","0.6742"
"26180000","0.6646"
"26250000","0.678"
"26320000","0.6929"
"26390000","0.6898"
"26460000","0.6775"
"26530000","0.7036"
"26600000","0.7006"
"26670000","0.684"
"26740000","0.6885"
"26810000","0.6904"
"26880000","0.7005"
"26950000","0.6865"
"27020000","0.6888000000000001"
"27090000","0.682"
"27160000","0.677"
"27230000","0.6991"
"27300000","0.7009"
"27370000","0.6878"
"27440000","0.6882999999999999"
"27510000","0.6957000000000001"
"27580000","0.6979"
"27650000","0.7029"
"27720000","0.6882"
"27790000","0.7065"
"27860000","0.713"
"27930000","0.7037"
"28000000","0.7148"
"28070000","0.7297"
"28140000","0.7127"
"28210000","0.706"
"28280000","0.7165"
"28350000","0.7157"
"28420000","0.71"
"28490000","0.7191000000000001"
"28560000","0.7079"
"28630000","0.6995"
"28700000","0.7061000000000002"
"28770000","0.71"
"28840000","0.691"
"28910000","0.7088"
"28980000","0.7087"
"29050000","0.7131000000000001"
"29120000","0.7107"
"29190000","0.7139000000000001"
"29260000","0.6950999999999999"
"29330000","0.6799000000000001"
"29400000","0.6820999999999999"
"29470000","0.6977000000000001"
"29540000","0.7137"
"29610000","0.7071000000000001"
"29680000","0.725"
"29750000","0.7298"
"29820000","0.729"
"29890000","0.7399"
"29960000","0.7389"
"30030000","0.7423"
"30100000","0.7279"
"30170000","0.7425"
"30240000","0.7313"
"30310000","0.7346999999999999"
"30380000","0.752"
"30450000","0.7317"
"30520000","0.7271"
"30590000","0.7545999999999999"
"30660000","0.7379"
"30730000","0.7445"
"30800000","0.7323"
"30870000","0.7296999999999999"
"30940000","0.7353"
"31010000","0.7470999999999999"
"31080000","0.7347"
"31150000","0.752"
"31220000","0.7521"
"31290000","0.7387999999999999"
"31360000","0.7401"
"31430000","0.7407"
"31500000","0.7582000000000001"
"31570000","0.7647999999999999"
"31640000","0.7750999999999999"
"31710000","0.7882"
"31780000","0.7878000000000001"
"31850000","0.7856000000000002"
"31920000","0.7957000000000001"
"31990000","0.801"
"32060000","0.8075999999999999"
"32130000","0.7677"
"32200000","0.7726000000000001"
"32270000","0.7888"
"32340000","0.7905999999999999"
"32410000","0.8099"
"32480000","0.8069000000000001"
"32550000","0.8332999999999999"
"32620000","0.8219"
"32690000","0.8245"
"32760000","0.8277"
"32830000","0.8319"
"32900000","0.849"
"32970000","0.8421"
"33040000","0.8543"
"33110000","0.8481000000000001"
"33180000","0.8515999999999999"
"33250000","0.86"
"33320000","0.8566"
"33390000","0.8627999999999999"
"33460000","0.8538"
"33530000","0.8635"
"33600000","0.8734000000000001"
"33670000","0.8673999999999998"
"33740000","0.855"
"33810000","0.8556"
"33880000","0.851"
"33950000","0.8603"
"34020000","0.8766"
"34090000","0.8787999999999999"
"34160000","0.8912"
"34230000","0.8902"
"34300000","0.9022"
"34370000","0.9055"
"34440000","0.9122"
"34510000","0.9088"
"34580000","0.9138"
"34650000","0.8973000000000001"
"34720000","0.8979"
"34790000","0.8871"
"34860000","0.8837"
"34930000","0.8982"
"35000000","0.8919"
"35070000","0.9035"
"35140000","0.903"
"35210000","0.9072"
"35280000","0.9139"
"35350000","0.9103"
"35420000","0.8997"
"35490000","0.9057"
"35560000","0.9083"
"35630000","0.9032"
"35700000","0.8984000000000001"
"35770000","0.9063"
"35840000","0.914"
"35910000","0.9094"
"35980000","0.9077"
"36050000","0.9097"
"36120000","0.9142"
"36190000","0.9021"
"36260000","0.906"
"36330000","0.9132"
"36400000","0.9097"
"36470000","0.9169"
"36540000","0.9159"
"36610000","0.9321"
"36680000","0.9283"
"36750000","0.9379"
"36820000","0.952"
"36890000","0.953"
"36960000","0.9508"
"37030000","0.9566"
"37100000","0.9615"
"37170000","0.9596"
"37240000","0.9592"
"37310000","0.9468"
"37380000","0.9453"
"37450000","0.9495"
"37520000","0.9547"
"37590000","0.9494"
"37660000","0.9487"
"37730000","0.943"
"37800000","0.9405"
"37870000","0.9403"
"37940000","0.9403"
"38010000","0.9219"
"38080000","0.9363"
"38150000","0.9392"
"38220000","0.9357"
"38290000","0.946"
"38360000","0.9501"
"38430000","0.9373"
"38500000","0.94"
"38570000","0.9465"
"38640000","0.9386"
"38710000","0.9332"
"38780000","0.9431"
"38850000","0.9272"
"38920000","0.9366"
"38990000","0.9342"
"39060000","0.9263"
"39130000","0.9203"
"39200000","0.9293"
"39270000","0.9189"
"39340000","0.9084"
"39410000","0.9077"
"39480000","0.9146"
"39550000","0.9133"
"39620000","0.9142"
"39690000","0.9168"
"39760000","0.9241"
"39830000","0.9271"
"39900000","0.9169"
"39970000","0.9336"
