"Step","unif_pb_2agents_seed1 - 2cover_rate"
"60000","0.031"
"120000","0.026"
"180000","0.03"
"240000","0.032"
"300000","0.023"
"360000","0.03"
"420000","0.026"
"480000","0.03"
"540000","0.019"
"600000","0.024"
"660000","0.033"
"720000","0.021"
"780000","0.025"
"840000","0.031"
"900000","0.039"
"960000","0.036"
"1020000","0.033"
"1080000","0.029"
"1140000","0.031"
"1200000","0.034"
"1260000","0.03"
"1320000","0.031"
"1380000","0.03"
"1440000","0.038"
"1500000","0.033"
"1560000","0.023"
"1620000","0.037"
"1680000","0.034"
"1740000","0.04"
"1800000","0.031"
"1860000","0.033"
"1920000","0.031"
"1980000","0.026"
"2040000","0.033"
"2100000","0.027"
"2160000","0.026"
"2220000","0.046"
"2280000","0.026"
"2340000","0.027"
"2400000","0.036"
"2460000","0.039"
"2520000","0.033"
"2580000","0.037"
"2640000","0.024"
"2700000","0.035"
"2760000","0.029"
"2820000","0.031"
"2880000","0.034"
"2940000","0.03"
"3000000","0.032"
"3060000","0.033"
"3120000","0.034"
"3180000","0.033"
"3240000","0.02"
"3300000","0.029"
"3360000","0.018"
"3420000","0.036"
"3480000","0.029"
"3540000","0.028"
"3600000","0.031"
"3660000","0.031"
"3720000","0.027"
"3780000","0.035"
"3840000","0.035"
"3900000","0.034"
"3960000","0.033"
"4020000","0.034"
"4080000","0.039"
"4140000","0.032"
"4200000","0.027"
"4260000","0.035"
"4320000","0.033"
"4380000","0.036"
"4440000","0.036"
"4500000","0.033"
"4560000","0.03"
"4620000","0.027"
"4680000","0.036"
"4740000","0.028"
"4800000","0.027"
"4860000","0.029"
"4920000","0.039"
"4980000","0.04"
"5040000","0.03"
"5100000","0.034"
"5160000","0.028"
"5220000","0.034"
"5280000","0.026"
"5340000","0.03"
"5400000","0.035"
"5460000","0.046"
"5520000","0.035"
"5580000","0.032"
"5640000","0.041"
"5700000","0.039"
"5760000","0.028"
"5820000","0.033"
"5880000","0.029"
"5940000","0.031"
"6000000","0.028"
"6060000","0.036"
"6120000","0.027"
"6180000","0.037"
"6240000","0.028"
"6300000","0.027"
"6360000","0.028"
"6420000","0.039"
"6480000","0.035"
"6540000","0.036"
"6600000","0.034"
"6660000","0.042"
"6720000","0.023"
"6780000","0.028"
"6840000","0.028"
"6900000","0.028"
"6960000","0.032"
"7020000","0.022"
"7080000","0.037"
"7140000","0.031"
"7200000","0.033"
"7260000","0.045"
"7320000","0.037"
"7380000","0.03"
"7440000","0.034"
"7500000","0.036"
"7560000","0.028"
"7620000","0.029"
"7680000","0.023"
"7740000","0.036"
"7800000","0.024"
"7860000","0.033"
"7920000","0.041"
"7980000","0.027"
"8040000","0.039"
"8100000","0.022"
"8160000","0.029"
"8220000","0.025"
"8280000","0.035"
"8340000","0.024"
"8400000","0.032"
"8460000","0.036"
"8520000","0.028"
"8580000","0.039"
"8640000","0.034"
"8700000","0.036"
"8760000","0.026"
"8820000","0.027"
"8880000","0.033"
"8940000","0.04"
"9000000","0.034"
"9060000","0.048"
"9120000","0.024"
"9180000","0.03"
"9240000","0.037"
"9300000","0.038"
"9360000","0.025"
"9420000","0.025"
"9480000","0.027"
"9540000","0.034"
"9600000","0.036"
"9660000","0.041"
"9720000","0.039"
"9780000","0.027"
"9840000","0.027"
"9900000","0.036"
"9960000","0.033"
"10020000","0.027"
"10080000","0.028"
"10140000","0.039"
"10200000","0.03"
"10260000","0.032"
"10320000","0.019"
"10380000","0.034"
"10440000","0.027"
"10500000","0.042"
"10560000","0.034"
"10620000","0.025"
"10680000","0.031"
"10740000","0.035"
"10800000","0.027"
"10860000","0.028"
"10920000","0.031"
"10980000","0.04"
"11040000","0.041"
"11100000","0.028"
"11160000","0.031"
"11220000","0.036"
"11280000","0.031"
"11340000","0.041"
"11400000","0.037"
"11460000","0.028"
"11520000","0.031"
"11580000","0.035"
"11640000","0.037"
"11700000","0.034"
"11760000","0.023"
"11820000","0.038"
"11880000","0.032"
"11940000","0.034"
"12000000","0.031"
"12060000","0.035"
"12120000","0.033"
"12180000","0.027"
"12240000","0.034"
"12300000","0.027"
"12360000","0.036"
"12420000","0.033"
"12480000","0.038"
"12540000","0.026"
"12600000","0.028"
"12660000","0.037"
"12720000","0.036"
"12780000","0.02"
"12840000","0.02"
"12900000","0.037"
"12960000","0.032"
"13020000","0.029"
"13080000","0.026"
"13140000","0.029"
"13200000","0.032"
