"Step","sp_4agents_seed2 - 4cover_rate"
"35000","0.0022"
"70000","0.0027"
"105000","0.0037"
"140000","0.0046"
"175000","0.0028"
"210000","0.0006"
"245000","0.003"
"280000","0.0011"
"315000","0.0007"
"350000","0.002"
"385000","0.0029"
"420000","0.0025"
"455000","0.0040999999999999995"
"490000","0.007000000000000001"
"525000","0.0097"
"560000","0.006300000000000001"
"595000","0.0032"
"630000","0.002"
"665000","0.0001"
"700000","0.0015"
"735000","0.002"
"770000","0.0001"
"805000","0.0015"
"840000","0.0006"
"875000","0.0006"
"910000","0.0009"
"945000","0.0014"
"980000","0.0004"
"1015000","0.0017"
"1050000","0.0007"
"1085000","0.0021000000000000003"
"1120000","0.0023"
"1155000","0.0017"
"1190000","0.0009"
"1225000","0"
"1260000","0.001"
"1295000","0.0017999999999999995"
"1330000","0.0033"
"1365000","0.001"
"1400000","0.0013"
"1435000","0"
"1470000","0.0015"
"1505000","0.0021000000000000003"
"1540000","0.003"
"1575000","0.0055"
"1610000","0.005"
"1645000","0.0025"
"1680000","0.0035999999999999995"
"1715000","0.002099999999999999"
"1750000","0.0039"
"1785000","0.0014"
"1820000","0.0005"
"1855000","0.0005"
"1890000","0.0001"
"1925000","0"
"1960000","0"
"1995000","0"
"2030000","0"
"2065000","0"
"2100000","0"
"2135000","0.0004"
"2170000","0"
"2205000","0.0007"
"2240000","0"
"2275000","0"
"2310000","0"
"2345000","0"
"2380000","0.0007"
"2415000","0"
"2450000","0.001"
"2485000","0.0001"
"2520000","0"
"2555000","0.0005"
"2590000","0.0005"
"2625000","0"
"2660000","0"
"2695000","0.0003"
"2730000","0.0005"
"2765000","0.0014000000000000002"
"2800000","0.0015"
"2835000","0"
"2870000","0"
"2905000","0"
"2940000","0"
"2975000","0"
"3010000","0"
"3045000","0.0003"
"3080000","0.0001"
"3115000","0"
"3150000","0"
"3185000","0"
"3220000","0"
"3255000","0"
"3290000","0"
"3325000","0"
"3360000","0"
"3395000","0"
"3430000","0.0001"
"3465000","0.0007"
"3500000","0.001"
"3535000","0.0006"
"3570000","0"
"3605000","0"
"3640000","0.0005"
"3675000","0.0007"
"3710000","0"
"3745000","0"
"3780000","0.0005"
"3815000","0.0001"
"3850000","0"
"3885000","0"
"3920000","0.0005"
"3955000","0"
"3990000","0.0001"
"4025000","0"
"4060000","0"
"4095000","0.0005"
"4130000","0.0005"
"4165000","0"
"4200000","0"
"4235000","0"
"4270000","0"
"4305000","0"
"4340000","0"
