"Step","mix4n8_bound90_seed3 - 8cover_rate"
"22470000","0.84475"
"22680000","0.82175"
"22890000","0.8235"
"23100000","0.817"
"23310000","0.82625"
"23520000","0.84075"
"23730000","0.832"
"23940000","0.8205"
"24150000","0.81525"
"24360000","0.83"
"24570000","0.819"
"24780000","0.82"
"24990000","0.81175"
"25200000","0.81825"
"25410000","0.81825"
"25620000","0.8245"
"25830000","0.82625"
"26040000","0.85"
"26250000","0.845"
"26460000","0.85425"
"26670000","0.84725"
"26880000","0.859"
"27090000","0.849"
"27300000","0.85725"
"27510000","0.857"
"27720000","0.84725"
"27930000","0.821"
"28140000","0.833"
"28350000","0.84275"
"28560000","0.8425"
"28770000","0.83375"
"28980000","0.83325"
"29190000","0.8245"
"29400000","0.81625"
"29610000","0.841"
"29820000","0.84825"
"30030000","0.83525"
"30240000","0.8415"
"30450000","0.84875"
"30660000","0.83875"
"30870000","0.84275"
"31080000","0.848"
"31290000","0.84025"
"31500000","0.8405"
"31710000","0.847"
"31920000","0.85075"
"32130000","0.864"
"32340000","0.85975"
"32550000","0.86"
"32760000","0.885"
"32970000","0.877"
"33180000","0.865"
"33390000","0.877"
"33600000","0.87325"
"33810000","0.8885"
"34020000","0.8565"
"34230000","0.846"
"34440000","0.857"
"34650000","0.87025"
"34860000","0.858"
"35070000","0.8595"
"35280000","0.856"
"35490000","0.86425"
"35700000","0.8695"
"35910000","0.8775"
"36120000","0.86725"
"36330000","0.871"
"36540000","0.86425"
"36750000","0.855"
"36960000","0.8555"
"37170000","0.866"
"37380000","0.87"
"37590000","0.864"
"37800000","0.8675"
"38010000","0.885"
"38220000","0.891"
"38430000","0.88175"
"38640000","0.88025"
"38850000","0.8775"
"39060000","0.88675"
"39270000","0.89125"
"39480000","0.89"
"39690000","0.88925"
"39900000","0.89075"
"40110000","0.887"
"40320000","0.85175"
"40530000","0.861"
"40740000","0.8735"
"40950000","0.86825"
"41160000","0.8755"
"41370000","0.8675"
"41580000","0.86775"
"41790000","0.87475"
"42000000","0.8775"
"42210000","0.877"
"42420000","0.87"
"42630000","0.8815"
"42840000","0.87625"
"43050000","0.8805"
"43260000","0.8735"
"43470000","0.8805"
"43680000","0.88225"
"43890000","0.88575"
"44100000","0.8895"
"44310000","0.89"
"44520000","0.879"
"44730000","0.8885"
"44940000","0.8845"
"45150000","0.8995"
"45360000","0.88775"
"45570000","0.89275"
"45780000","0.88225"
"45990000","0.88975"
"46200000","0.88975"
"46410000","0.884"
"46620000","0.89125"
"46830000","0.896"
"47040000","0.90075"
"47250000","0.8985"
"47460000","0.8945"
"47670000","0.88225"
"47880000","0.89125"
"48090000","0.89725"
"48300000","0.88675"
"48510000","0.8885"
"48720000","0.88475"
"48930000","0.8905"
"49140000","0.8965"
"49350000","0.89125"
"49560000","0.89275"
"49770000","0.89975"
"49980000","0.89425"
"50190000","0.8905"
"50400000","0.90025"
"50610000","0.9065"
"50820000","0.90125"
"51030000","0.886"
"51240000","0.88675"
"51450000","0.898"
"51660000","0.90225"
"51870000","0.9145"
"52080000","0.90975"
"52290000","0.9075"
"52500000","0.90725"
"52710000","0.896"
"52920000","0.90075"
"53130000","0.90875"
"53340000","0.90275"
"53550000","0.9045"
"53760000","0.915"
"53970000","0.9165"
"54180000","0.91325"
"54390000","0.9055"
"54600000","0.912"
"54810000","0.91375"
"55020000","0.92225"
"55230000","0.92175"
"55440000","0.909"
"55650000","0.9065"
"55860000","0.91025"
"56070000","0.91875"
"56280000","0.934"
"56490000","0.92225"
"56700000","0.93475"
"56910000","0.9335"
"57120000","0.948"
"57330000","0.94125"
"57540000","0.947"
"57750000","0.9555"
"57960000","0.95625"
"58170000","0.95875"
"58380000","0.95725"
"58590000","0.956"
"58800000","0.96"
"59010000","0.9535"
"59220000","0.95375"
"59430000","0.954"
"59640000","0.96275"
"59850000","0.9585"
"60060000","0.95875"
"60270000","0.96525"
"60480000","0.9625"
"60690000","0.95925"
"60900000","0.958"
"61110000","0.964"
"61320000","0.96"
"61530000","0.96575"
"61740000","0.9605"
"61950000","0.95825"
"62160000","0.9565"
"62370000","0.959"
"62580000","0.96375"
"62790000","0.96375"
"63000000","0.96075"
"63210000","0.95875"
"63420000","0.95675"
"63630000","0.95675"
"63840000","0.94725"
"64050000","0.95775"
"64260000","0.9545"
"64470000","0.96475"
"64680000","0.947"
"64890000","0.95625"
"65100000","0.95325"
"65310000","0.95875"
"65520000","0.9545"
"65730000","0.95175"
"65940000","0.959"
"66150000","0.957"
"66360000","0.97125"
"66570000","0.9695"
"66780000","0.9725"
"66990000","0.97225"
"67200000","0.9665"
"67410000","0.97"
"67620000","0.969"
"67830000","0.9775"
"68040000","0.97125"
"68250000","0.9785"
"68460000","0.9785"
"68670000","0.97725"
"68880000","0.97425"
"69090000","0.9785"
"69300000","0.972"
"69510000","0.977"
"69720000","0.97525"
"69930000","0.97625"
"70140000","0.97675"
"70350000","0.9755"
"70560000","0.974"
"70770000","0.9795"
"70980000","0.977"
"71190000","0.97675"
"71400000","0.9765"
"71610000","0.9795"
"71820000","0.97775"
"72030000","0.97475"
"72240000","0.9745"
"72450000","0.97175"
"72660000","0.98075"
"72870000","0.97925"
"73080000","0.97625"
"73290000","0.97575"
"73500000","0.98225"
"73710000","0.9815"
"73920000","0.97575"
"74130000","0.9805"
"74340000","0.981"
"74550000","0.9705"
"74760000","0.96925"
"74970000","0.97275"
"75180000","0.979"
"75390000","0.9815"
"75600000","0.98425"
"75810000","0.97375"
"76020000","0.97125"
"76230000","0.98"
"76440000","0.9815"
"76650000","0.9835"
"76860000","0.983"
"77070000","0.983"
"77280000","0.98725"
"77490000","0.98625"
"77700000","0.98575"
"77910000","0.97775"
"78120000","0.98825"
"78330000","0.981"
"78540000","0.98025"
"78750000","0.9785"
"78960000","0.9855"
"79170000","0.985"
"79380000","0.98125"
"79590000","0.9855"
"79800000","0.98325"
"80010000","0.9855"
"80220000","0.9865"
"80430000","0.98725"
"80640000","0.9865"
"80850000","0.98625"
"81060000","0.99125"
"81270000","0.99"
"81480000","0.989"
"81690000","0.99025"
"81900000","0.99"
"82110000","0.98875"
"82320000","0.988"
"82530000","0.9915"
"82740000","0.99325"
"82950000","0.99025"
"83160000","0.99225"
"83370000","0.99225"
"83580000","0.991"
"83790000","0.993"
"84000000","0.9935"
"84210000","0.99275"
"84420000","0.9895"
"84630000","0.99225"
"84840000","0.99375"
"85050000","0.99525"
"85260000","0.99575"
"85470000","0.9925"
"85680000","0.99325"
"85890000","0.9915"
"86100000","0.9935"
"86310000","0.9865"
"86520000","0.994"
