"Step","mixed_ratio55_0.9_load_optimizer_seed1 - 8cover_rate"
"157290","0.8218499999999999"
"314580","0.8188999999999999"
"471870","0.80855"
"629160","0.81355"
"786450","0.82075"
"943740","0.80315"
"1101030","0.8074499999999999"
"1258320","0.802"
"1415610","0.79125"
"1572900","0.79615"
"1730190","0.7924000000000001"
"1887480","0.7929499999999999"
"2044770","0.80475"
"2202060","0.8095500000000001"
"2359350","0.82095"
"2516640","0.8292"
"2673930","0.83485"
"2831220","0.8319500000000001"
"2988510","0.81925"
"3145800","0.8120499999999999"
"3303090","0.8172"
"3460380","0.8109500000000001"
"3617670","0.79475"
"3774960","0.79565"
"3932250","0.7945999999999999"
"4089540","0.78555"
"4246830","0.79165"
"4404120","0.7914500000000001"
"4561410","0.7905999999999999"
"4718700","0.79855"
"4875990","0.81585"
"5033280","0.8217000000000001"
"5190570","0.8308"
"5347860","0.848"
"5505150","0.8242999999999999"
"5662440","0.8292999999999999"
"5819730","0.8313499999999999"
"5977020","0.8392999999999999"
"6134310","0.8447"
"6291600","0.85225"
"6448890","0.8566999999999999"
"6606180","0.8499"
"6763470","0.8536499999999999"
"6920760","0.8412999999999999"
"7078050","0.8341999999999999"
"7235340","0.8488499999999999"
"7392630","0.8544"
"7549920","0.8508999999999999"
"7707210","0.85745"
"7864500","0.86775"
"8021790","0.87305"
"8179080","0.86985"
"8336370","0.8726"
"8493660","0.8745499999999999"
"8650950","0.88375"
"8808240","0.88215"
"8965530","0.90115"
"9070530","0.90175"
"9175530","0.91"
"9280530","0.9097"
"9385530","0.91685"
"9490530","0.92085"
"9595530","0.91325"
"9700530","0.917"
"9805530","0.9215"
"9910530","0.92435"
"10015530","0.9207"
"10120530","0.91725"
"10225530","0.9205"
"10330530","0.91555"
"10435530","0.92355"
"10540530","0.90815"
"10645530","0.9031"
"10750530","0.9096499999999998"
"10855530","0.90615"
"10960530","0.9054"
"11065530","0.89155"
"11170530","0.8993"
"11275530","0.9047"
"11380530","0.90135"
"11485530","0.9065"
"11590530","0.9006"
"11695530","0.9027"
"11800530","0.90455"
"11905530","0.8853499999999999"
"12010530","0.8966"
"12115530","0.89315"
"12220530","0.8990999999999999"
"12325530","0.8973"
"12430530","0.90935"
"12535530","0.90655"
"12640530","0.91675"
"12745530","0.9063"
"12850530","0.9166"
"12955530","0.90855"
"13060530","0.92265"
"13165530","0.9243"
"13270530","0.92295"
"13375530","0.9078"
"13480530","0.9019"
"13585530","0.90935"
"13690530","0.91925"
"13795530","0.9252"
"13900530","0.9202"
"14005530","0.9264"
"14110530","0.9287"
"14215530","0.92575"
"14320530","0.9355"
"14425530","0.939"
"14530530","0.93355"
"14635530","0.9416"
"14740530","0.92995"
"14845530","0.9384"
"14950530","0.93755"
"15055530","0.92615"
"15160530","0.93125"
"15265530","0.9353"
"15370530","0.91705"
"15475530","0.9185"
"15580530","0.91005"
"15685530","0.9376"
"15790530","0.9467"
"15895530","0.94635"
"16000530","0.94345"
"16105530","0.93475"
"16210530","0.93585"
"16315530","0.93475"
"16420530","0.9417"
"16525530","0.93625"
"16630530","0.93455"
"16735530","0.93755"
"16840530","0.94115"
"16945530","0.9356"
"17050530","0.9394"
"17155530","0.94095"
"17260530","0.9488"
"17365530","0.9445"
"17470530","0.93755"
"17575530","0.94905"
"17680530","0.9523"
"17785530","0.962"
"17890530","0.9611"
"17995530","0.954"
"18100530","0.96335"
"18205530","0.9584"
"18310530","0.95105"
"18415530","0.95765"
"18520530","0.95845"
"18625530","0.96275"
"18730530","0.964"
"18835530","0.9622"
"18940530","0.9563"
"19045530","0.96085"
"19150530","0.96375"
"19255530","0.96285"
"19360530","0.9639"
"19465530","0.96655"
"19570530","0.9708"
"19675530","0.9726"
"19780530","0.9631"
"19885530","0.9623"
"19990530","0.97355"
"20095530","0.9733"
"20200530","0.9713"
"20305530","0.9688"
"20410530","0.97"
"20515530","0.9708"
"20620530","0.97345"
"20725530","0.9723"
"20830530","0.8469500000000001"
"20935530","0.8617"
"21040530","0.8737"
"21145530","0.8743500000000001"
"21250530","0.8824"
"21355530","0.891"
"21460530","0.8970999999999999"
"21565530","0.90495"
"21670530","0.9053"
"21775530","0.91015"
"21880530","0.9066"
"21985530","0.90445"
"22090530","0.8968499999999999"
"22195530","0.9085"
"22300530","0.9191"
"22405530","0.92465"
"22510530","0.93095"
"22615530","0.92265"
"22720530","0.9229"
"22825530","0.9227"
"22930530","0.92585"
"23035530","0.9254"
"23140530","0.93655"
"23245530","0.9318"
"23350530","0.9382"
"23455530","0.9439"
"23560530","0.94605"
"23665530","0.94665"
"23770530","0.9486"
"23875530","0.93895"
"23980530","0.9387"
"24085530","0.9406"
"24190530","0.9426"
"24295530","0.93995"
"24400530","0.937"
"24505530","0.93595"
"24610530","0.9399"
"24715530","0.95915"
"24820530","0.95485"
"24925530","0.9549"
"25030530","0.9518"
"25135530","0.95545"
"25240530","0.95365"
"25345530","0.9479"
"25450530","0.954"
"25555530","0.9534"
"25660530","0.971"
"25765530","0.96605"
"25870530","0.96465"
"25975530","0.9701"
"26080530","0.97345"
"26185530","0.9825"
"26290530","0.9771"
"26395530","0.9749"
"26500530","0.97765"
"26605530","0.9794"
"26710530","0.9813"
"26815530","0.98305"
"26920530","0.97925"
"27025530","0.9768"
"27130530","0.96755"
"27235530","0.97125"
"27340530","0.97405"
"27445530","0.9741"
"27550530","0.9742"
"27655530","0.96245"
"27760530","0.96105"
"27865530","0.96605"
"27970530","0.97265"
"28075530","0.96945"
"28180530","0.96855"
"28285530","0.9677"
"28390530","0.9664"
"28495530","0.96255"
"28600530","0.9759"
"28705530","0.9789"
"28810530","0.9785"
"28915530","0.97825"
"29020530","0.97355"
"29125530","0.9775"
"29230530","0.9744"
"29335530","0.96735"
"29440530","0.96345"
"29545530","0.95905"
"29650530","0.9589"
"29755530","0.9599"
"29860530","0.9643"
"29965530","0.96265"
"30070530","0.9645"
"30175530","0.96625"
"30280530","0.96005"
"30385530","0.9637"
"30490530","0.9756"
"30595530","0.97565"
"30700530","0.9682"
"30805530","0.9722"
"30910530","0.97075"
"31015530","0.9749"
