"Step","mix4n8_samebatch_seed2 - 8cover_rate"
"26302500","0.89835"
"26460000","0.8526"
"26617500","0.8402000000000001"
"26775000","0.8585999999999999"
"26932500","0.8475999999999999"
"27090000","0.8198499999999999"
"27247500","0.8120999999999999"
"27405000","0.6838500000000001"
"27562500","0.6702"
"27720000","0.7165999999999999"
"27877500","0.7433"
"28035000","0.7402000000000001"
"28192500","0.77355"
"28350000","0.7642"
"28507500","0.8165"
"28665000","0.82555"
"28822500","0.82765"
"28980000","0.8566999999999999"
"29137500","0.84345"
"29295000","0.8352999999999999"
"29452500","0.83415"
"29610000","0.8262"
"29767500","0.8405"
"29925000","0.84745"
"30082500","0.8503499999999999"
"30240000","0.8622000000000001"
"30397500","0.8579"
"30555000","0.8687999999999999"
"30712500","0.8591500000000001"
"30870000","0.8961999999999999"
"31027500","0.8791"
"31185000","0.8876499999999999"
"31342500","0.8722000000000001"
"31500000","0.869"
"31657500","0.8588"
"31815000","0.8571"
"31972500","0.8727999999999999"
"32130000","0.8780500000000001"
"32287500","0.881"
"32445000","0.8912"
"32602500","0.891"
"32760000","0.90745"
"32917500","0.92505"
"33075000","0.9179"
"33232500","0.9227"
"33390000","0.9206"
"33547500","0.9169"
"33705000","0.90775"
"33862500","0.9075"
"34020000","0.90465"
"34177500","0.90825"
"34335000","0.9061"
"34492500","0.9123"
"34650000","0.90115"
"34807500","0.92"
"34965000","0.9114"
"35122500","0.899"
"35280000","0.8779"
"35437500","0.86605"
"35595000","0.8832000000000001"
"35752500","0.8934500000000001"
"35910000","0.88895"
"36067500","0.87735"
"36225000","0.87135"
"36382500","0.8721"
"36540000","0.89425"
"36697500","0.8932"
"36855000","0.89275"
"37012500","0.8159"
"37170000","0.68725"
"37327500","0.7265"
"37485000","0.7467999999999999"
"37642500","0.7657999999999999"
"37800000","0.77345"
"37957500","0.77855"
"38115000","0.7936499999999999"
"38272500","0.8149"
"38430000","0.8294499999999999"
"38587500","0.82365"
"38745000","0.8412"
"38902500","0.8676"
"39060000","0.8525"
"39217500","0.8558"
"39375000","0.8596"
"39532500","0.7686"
"39690000","0.7907000000000001"
"39847500","0.7946"
"40005000","0.78995"
"40162500","0.8274"
"40320000","0.82655"
"40477500","0.84"
"40635000","0.8308"
"40792500","0.81185"
"40950000","0.8295"
"41107500","0.84125"
"41265000","0.84875"
"41422500","0.8493499999999999"
"41580000","0.8706499999999999"
"41737500","0.8767"
"41895000","0.8675499999999999"
"42052500","0.8707"
"42210000","0.8644000000000001"
"42367500","0.87295"
"42525000","0.8743"
"42682500","0.8629"
"42840000","0.8614499999999999"
"42997500","0.8569"
"43155000","0.87125"
"43312500","0.8726499999999999"
"43470000","0.8874"
"43627500","0.8897999999999999"
"43785000","0.88805"
"43942500","0.8857999999999999"
"44100000","0.88325"
"44257500","0.89895"
"44415000","0.8936000000000001"
"44572500","0.8887"
"44730000","0.8930499999999999"
"44887500","0.88915"
"45045000","0.88895"
"45202500","0.9055"
"45360000","0.9058"
"45517500","0.9051"
"45675000","0.90785"
"45832500","0.90145"
"45990000","0.8884500000000001"
"46147500","0.89385"
"46305000","0.9043"
"46462500","0.8905"
"46620000","0.8623"
"46777500","0.8569500000000001"
"46935000","0.86025"
"47092500","0.8684499999999999"
"47250000","0.87285"
"47407500","0.8837999999999999"
"47565000","0.88655"
"47722500","0.8836"
"47880000","0.90515"
"48037500","0.90655"
"48195000","0.89575"
"48352500","0.90825"
"48510000","0.90715"
"48667500","0.8971"
"48825000","0.90765"
"48982500","0.91595"
"49140000","0.91415"
"49297500","0.9085"
