"Step","ours-6floor-seed1 - test_lock_rate","ours-6floor-seed1 - test_lock_rate__MIN","ours-6floor-seed1 - test_lock_rate__MAX"
"93600","0.085","0.085","0.085"
"187200","0.06","0.06","0.06"
"280800","0.05","0.05","0.05"
"374400","0.055","0.055","0.055"
"468000","0.05","0.05","0.05"
"561600","0.06","0.06","0.06"
"655200","0.04","0.04","0.04"
"748800","0.03","0.03","0.03"
"842400","0.165","0.165","0.165"
"936000","0.07","0.07","0.07"
"1029600","0.015","0.015","0.015"
"1123200","0.075","0.075","0.075"
"1216800","0.07","0.07","0.07"
"1310400","0.055","0.055","0.055"
"1404000","0.08","0.08","0.08"
"1497600","0.11","0.11","0.11"
"1591200","0.055","0.055","0.055"
"1684800","0.305","0.305","0.305"
"1778400","0.225","0.225","0.225"
"1872000","0.25","0.25","0.25"
"1965600","0.32","0.32","0.32"
"2059200","0.285","0.285","0.285"
"2152800","0.3","0.3","0.3"
"2246400","0.325","0.325","0.325"
"2340000","0.395","0.395","0.395"
"2433600","0.53","0.53","0.53"
"2527200","0.706","0.706","0.706"
"2620800","0.71","0.71","0.71"
"2714400","0.667","0.667","0.667"
"2808000","0.67","0.67","0.67"
"2901600","0.737","0.737","0.737"
"2995200","0.74","0.74","0.74"
"3088800","0.839","0.839","0.839"
"3182400","0.846","0.846","0.846"
"3276000","0.77","0.77","0.77"
"3369600","0.834","0.834","0.834"
"3463200","0.825","0.825","0.825"
"3556800","0.88","0.88","0.88"
"3650400","0.875","0.875","0.875"
"3744000","0.856","0.856","0.856"
"3837600","0.725","0.725","0.725"
"3931200","0.805","0.805","0.805"
"4024800","0.641","0.641","0.641"
"4118400","0.685","0.685","0.685"
"4212000","0.805","0.805","0.805"
"4305600","0.73","0.73","0.73"
"4399200","0.74","0.74","0.74"
"4492800","0.722","0.722","0.722"
"4586400","0.816","0.816","0.816"
"4680000","0.807","0.807","0.807"
"4773600","0.837","0.837","0.837"
"4867200","0.847","0.847","0.847"
"4960800","0.81","0.81","0.81"
"5054400","0.773","0.773","0.773"
"5148000","0.79","0.79","0.79"
"5241600","0.782","0.782","0.782"
"5335200","0.76","0.76","0.76"
"5428800","0.867","0.867","0.867"
"5522400","0.83","0.83","0.83"
"5616000","0.899","0.899","0.899"
"5709600","0.88","0.88","0.88"
"5803200","0.877","0.877","0.877"
"5896800","0.905","0.905","0.905"
"5990400","0.91","0.91","0.91"
"6084000","0.93","0.93","0.93"
"6177600","0.892","0.892","0.892"
"6271200","0.915","0.915","0.915"
"6364800","0.93","0.93","0.93"
"6458400","0.945","0.945","0.945"
"6552000","0.895","0.895","0.895"
"6645600","0.955","0.955","0.955"
"6739200","0.858","0.858","0.858"
"6832800","0.945","0.945","0.945"
"6926400","0.923","0.923","0.923"
"7020000","0.91","0.91","0.91"
"7113600","0.94","0.94","0.94"
"7207200","0.922","0.922","0.922"
"7300800","0.943","0.943","0.943"
"7394400","0.93","0.93","0.93"
"7488000","0.929","0.929","0.929"
"7581600","0.945","0.945","0.945"
"7675200","0.93","0.93","0.93"
"7768800","0.925","0.925","0.925"
"7862400","0.949","0.949","0.949"
"7956000","0.937","0.937","0.937"
"8049600","0.925","0.925","0.925"
"8143200","0.935","0.935","0.935"
"8236800","0.9","0.9","0.9"
"8330400","0.93","0.93","0.93"
"8424000","0.937","0.937","0.937"
"8517600","0.945","0.945","0.945"
"8611200","0.92","0.92","0.92"
"8704800","0.905","0.905","0.905"
"8798400","0.905","0.905","0.905"
"8892000","0.907","0.907","0.907"
"8985600","0.89","0.89","0.89"
"9079200","0.865","0.865","0.865"
"9172800","0.905","0.905","0.905"
"9266400","0.926","0.926","0.926"
"9360000","0.917","0.917","0.917"
"9453600","0.925","0.925","0.925"
"9547200","0.88","0.88","0.88"
"9640800","0.93","0.93","0.93"
"9734400","0.975","0.975","0.975"
"9828000","0.96","0.96","0.96"
"9921600","0.895","0.895","0.895"
"10015200","0.92","0.92","0.92"
"10108800","0.868","0.868","0.868"
"10202400","0.865","0.865","0.865"
"10296000","0.91","0.91","0.91"
"10389600","0.815","0.815","0.815"
"10483200","0.83","0.83","0.83"
"10576800","0.855","0.855","0.855"
"10670400","0.81","0.81","0.81"
"10764000","0.821","0.821","0.821"
"10857600","0.79","0.79","0.79"
"10951200","0.785","0.785","0.785"
"11044800","0.875","0.875","0.875"
"11138400","0.894","0.894","0.894"
"11232000","0.825","0.825","0.825"
"11325600","0.91","0.91","0.91"
"11419200","0.824","0.824","0.824"
"11512800","0.84","0.84","0.84"
"11606400","0.84","0.84","0.84"
"11700000","0.825","0.825","0.825"
"11793600","0.814","0.814","0.814"
"11887200","0.768","0.768","0.768"
"11980800","0.8","0.8","0.8"
"12074400","0.813","0.813","0.813"
"12168000","0.772","0.772","0.772"
"12261600","0.822","0.822","0.822"
"12355200","0.8","0.8","0.8"
"12448800","0.83","0.83","0.83"
"12542400","0.745","0.745","0.745"
"12636000","0.784","0.784","0.784"
"12729600","0.816","0.816","0.816"
"12823200","0.712","0.712","0.712"
"12916800","0.757","0.757","0.757"
"13010400","0.77","0.77","0.77"
"13104000","0.792","0.792","0.792"
"13197600","0.689","0.689","0.689"
"13291200","0.759","0.759","0.759"
"13384800","0.781","0.781","0.781"
"13478400","0.742","0.742","0.742"
"13572000","0.78","0.78","0.78"
"13665600","0.79","0.79","0.79"
"13759200","0.795","0.795","0.795"
"13852800","0.805","0.805","0.805"
"13946400","0.755","0.755","0.755"
"14040000","0.849","0.849","0.849"
"14133600","0.795","0.795","0.795"
"14227200","0.845","0.845","0.845"
"14320800","0.782","0.782","0.782"
"14414400","0.815","0.815","0.815"
"14508000","0.84","0.84","0.84"
"14601600","0.77","0.77","0.77"
"14695200","0.781","0.781","0.781"
"14788800","0.765","0.765","0.765"
"14882400","0.79","0.79","0.79"
"14976000","0.8","0.8","0.8"
"15069600","0.763","0.763","0.763"
"15163200","0.771","0.771","0.771"
"15256800","0.8","0.8","0.8"
"15350400","0.8","0.8","0.8"
"15444000","0.785","0.785","0.785"
"15537600","0.83","0.83","0.83"
"15631200","0.748","0.748","0.748"
"15724800","0.75","0.75","0.75"
"15818400","0.718","0.718","0.718"
"15912000","0.825","0.825","0.825"
"16005600","0.795","0.795","0.795"
"16099200","0.765","0.765","0.765"
"16192800","0.775","0.775","0.775"
"16286400","0.785","0.785","0.785"
"16380000","0.785","0.785","0.785"
"16473600","0.785","0.785","0.785"
"16567200","0.745","0.745","0.745"
"16660800","0.835","0.835","0.835"
"16754400","0.785","0.785","0.785"
"16848000","0.797","0.797","0.797"
"16941600","0.826","0.826","0.826"
"17035200","0.818","0.818","0.818"
"17128800","0.83","0.83","0.83"
"17222400","0.845","0.845","0.845"
"17316000","0.827","0.827","0.827"
"17409600","0.78","0.78","0.78"
"17503200","0.82","0.82","0.82"
"17596800","0.84","0.84","0.84"
"17690400","0.825","0.825","0.825"
"17784000","0.811","0.811","0.811"
"17877600","0.82","0.82","0.82"
"17971200","0.82","0.82","0.82"
"18064800","0.842","0.842","0.842"
"18158400","0.885","0.885","0.885"
"18252000","0.8","0.8","0.8"
"18345600","0.845","0.845","0.845"
"18439200","0.8","0.8","0.8"
"18532800","0.82","0.82","0.82"
"18626400","0.795","0.795","0.795"
"18720000","0.795","0.795","0.795"
"18813600","0.845","0.845","0.845"
"18907200","0.87","0.87","0.87"
"19000800","0.81","0.81","0.81"
"19094400","0.855","0.855","0.855"
"19188000","0.75","0.75","0.75"
"19281600","0.827","0.827","0.827"
