"Step","pb_4agents_seed2 - 4cover_rate"
"60000","0.0599"
"120000","0.051"
"180000","0.056"
"240000","0.0645"
"300000","0.0575"
"360000","0.0445"
"420000","0.0614"
"480000","0.0557"
"540000","0.056"
"600000","0.0645"
"660000","0.061"
"720000","0.0697"
"780000","0.0575"
"840000","0.063"
"900000","0.05"
"960000","0.0684"
"1020000","0.059"
"1080000","0.063"
"1140000","0.0625"
"1200000","0.0679"
"1260000","0.062"
"1320000","0.0655"
"1380000","0.07"
"1440000","0.07"
"1500000","0.0595"
"1560000","0.0705"
"1620000","0.0525"
"1680000","0.0655"
"1740000","0.0535"
"1800000","0.0625"
"1860000","0.056"
"1920000","0.0715"
"1980000","0.0715"
"2040000","0.063"
"2100000","0.069"
"2160000","0.063"
"2220000","0.063"
"2280000","0.0565"
"2340000","0.068"
"2400000","0.063"
"2460000","0.0585"
"2520000","0.076"
"2580000","0.0775"
"2640000","0.0685"
"2700000","0.0668"
"2760000","0.0655"
"2820000","0.0673"
"2880000","0.06"
"2940000","0.0545"
"3000000","0.061"
"3060000","0.073"
"3120000","0.061"
"3180000","0.058"
"3240000","0.0695"
"3300000","0.06620000000000001"
"3360000","0.0645"
"3420000","0.062299999999999994"
"3480000","0.0605"
"3540000","0.065"
"3600000","0.0605"
"3660000","0.071"
"3720000","0.0655"
"3780000","0.0579"
"3840000","0.066"
"3900000","0.0575"
"3960000","0.0565"
"4020000","0.0525"
"4080000","0.055"
"4140000","0.068"
"4200000","0.076"
"4260000","0.063"
"4320000","0.065"
"4380000","0.063"
"4440000","0.0725"
"4500000","0.07490000000000001"
"4560000","0.071"
"4620000","0.0635"
"4680000","0.06670000000000001"
"4740000","0.068"
"4800000","0.072"
"4860000","0.0735"
"4920000","0.059"
"4980000","0.0805"
"5040000","0.064"
"5100000","0.07"
"5160000","0.0725"
"5220000","0.0705"
"5280000","0.0692"
"5340000","0.0715"
"5400000","0.068"
"5460000","0.065"
"5520000","0.0625"
"5580000","0.0803"
"5640000","0.071"
"5700000","0.0654"
"5760000","0.07640000000000001"
"5820000","0.0735"
"5880000","0.0751"
"5940000","0.0735"
"6000000","0.06720000000000001"
"6060000","0.0861"
"6120000","0.0795"
"6180000","0.0752"
"6240000","0.0761"
"6300000","0.0919"
"6360000","0.067"
"6420000","0.076"
"6480000","0.0895"
"6540000","0.0857"
"6600000","0.0914"
"6660000","0.0797"
"6720000","0.0799"
"6780000","0.0715"
"6840000","0.0755"
"6900000","0.0762"
"6960000","0.08059999999999999"
"7020000","0.07730000000000001"
"7080000","0.0705"
"7140000","0.069"
"7200000","0.07690000000000001"
"7260000","0.081"
"7320000","0.081"
"7380000","0.0819"
"7440000","0.08109999999999999"
"7500000","0.0895"
"7560000","0.0752"
"7620000","0.07469999999999999"
"7680000","0.08209999999999999"
"7740000","0.0823"
"7800000","0.084"
"7860000","0.0846"
"7920000","0.0821"
"7980000","0.077"
"8040000","0.07629999999999999"
"8100000","0.0839"
"8160000","0.0825"
"8220000","0.07809999999999999"
"8280000","0.0916"
"8340000","0.0729"
"8400000","0.0835"
"8460000","0.0854"
"8520000","0.08059999999999999"
"8580000","0.087"
"8640000","0.0858"
"8700000","0.08220000000000001"
"8760000","0.0855"
"8820000","0.0783"
"8880000","0.0845"
"8940000","0.0858"
"9000000","0.07709999999999999"
"9060000","0.0818"
"9120000","0.0877"
"9180000","0.0904"
"9240000","0.0726"
"9300000","0.0815"
"9360000","0.0795"
"9420000","0.0855"
"9480000","0.083"
"9540000","0.083"
"9600000","0.0838"
"9660000","0.0915"
"9720000","0.07959999999999999"
"9780000","0.079"
"9840000","0.083"
"9900000","0.0829"
"9960000","0.081"
"10020000","0.1009"
"10080000","0.089"
"10140000","0.0819"
"10200000","0.076"
"10260000","0.0851"
"10320000","0.0735"
"10380000","0.0715"
"10440000","0.0805"
"10500000","0.0785"
"10560000","0.0719"
"10620000","0.08"
"10680000","0.068"
"10740000","0.0751"
"10800000","0.075"
"10860000","0.0777"
"10920000","0.074"
"10980000","0.0731"
"11040000","0.068"
"11100000","0.078"
"11160000","0.0795"
"11220000","0.0751"
"11280000","0.08259999999999999"
"11340000","0.07640000000000001"
"11400000","0.0675"
"11460000","0.078"
"11520000","0.08270000000000001"
"11580000","0.0635"
"11640000","0.08170000000000001"
"11700000","0.0865"
"11760000","0.0765"
"11820000","0.0814"
"11880000","0.0945"
"11940000","0.075"
"12000000","0.084"
"12060000","0.0765"
"12120000","0.075"
"12180000","0.0835"
"12240000","0.0876"
"12300000","0.07390000000000001"
"12360000","0.0875"
"12420000","0.07970000000000001"
"12480000","0.0755"
"12540000","0.0799"
"12600000","0.0782"
"12660000","0.0728"
"12720000","0.0765"
"12780000","0.0835"
"12840000","0.0815"
"12900000","0.071"
"12960000","0.075"
"13020000","0.067"
"13080000","0.075"
"13140000","0.0736"
"13200000","0.0814"
