"Step","pb_uniform_from_activeAndsolve_seed1 - 2cover_rate_5step"
"180000","0.029"
"360000","0.036"
"540000","0.034"
"720000","0.03"
"900000","0.033"
"1080000","0.027"
"1260000","0.033"
"1440000","0.036"
"1620000","0.031"
"1800000","0.0376"
"1980000","0.033"
"2160000","0.04"
"2340000","0.025"
"2520000","0.046"
"2700000","0.0376"
"2880000","0.044"
"3060000","0.056"
"3240000","0.06"
"3420000","0.0614"
"3600000","0.0928"
"3780000","0.0906"
"3960000","0.0916"
"4140000","0.1054"
"4320000","0.1298"
"4500000","0.15539999999999998"
"4680000","0.1864"
"4860000","0.1992"
"5040000","0.194"
"5220000","0.204"
"5400000","0.1784"
"5580000","0.1966"
"5760000","0.1932"
"5940000","0.22839999999999996"
"6120000","0.2024"
"6300000","0.2324"
"6480000","0.2308"
"6660000","0.2596"
"6840000","0.2446"
"7020000","0.23460000000000003"
"7200000","0.2234"
"7380000","0.2014"
"7560000","0.2174"
"7740000","0.2272"
"7920000","0.233"
"8100000","0.2442"
"8280000","0.2464"
"8460000","0.25659999999999994"
"8640000","0.25880000000000003"
"8820000","0.2424"
"9000000","0.2648"
"9180000","0.30779999999999996"
"9360000","0.2694"
"9540000","0.259"
"9720000","0.27079999999999993"
"9900000","0.2894"
"10080000","0.281"
"10260000","0.31460000000000005"
"10440000","0.30119999999999997"
"10620000","0.33720000000000006"
"10800000","0.315"
"10980000","0.316"
"11160000","0.3342"
"11340000","0.34879999999999994"
"11520000","0.3326"
"11700000","0.3554"
"11880000","0.357"
"12060000","0.35960000000000003"
"12240000","0.3686"
"12420000","0.3703999999999999"
"12600000","0.3504"
"12780000","0.3298"
"12960000","0.3324"
"13140000","0.3588"
"13320000","0.3564"
"13500000","0.3814"
"13680000","0.3298"
"13860000","0.3876"
"14040000","0.35660000000000003"
"14220000","0.3713999999999999"
"14400000","0.3836"
"14580000","0.3934"
"14760000","0.3874"
"14940000","0.4094"
"15120000","0.4094"
"15300000","0.4136"
"15480000","0.4018"
"15660000","0.3982"
"15840000","0.3864"
"16020000","0.4104"
"16200000","0.4164"
"16380000","0.3886"
"16560000","0.3682"
"16740000","0.4152"
"16920000","0.4152"
"17100000","0.406"
"17280000","0.4208"
"17460000","0.3808"
"17640000","0.391"
"17820000","0.4118"
"18000000","0.4234"
"18180000","0.4218"
"18360000","0.4572000000000001"
"18540000","0.4518"
"18720000","0.4462"
"18900000","0.462"
"19080000","0.4328"
"19260000","0.46"
"19440000","0.4562000000000001"
"19620000","0.4576"
"19800000","0.4436000000000001"
"19980000","0.46120000000000005"
"20160000","0.4442"
"20340000","0.4766"
"20520000","0.4608"
"20700000","0.4876"
"20880000","0.5152"
"21060000","0.5085999999999999"
"21240000","0.4928"
"21420000","0.5048"
"21600000","0.4764"
"21780000","0.4988"
"21960000","0.527"
"22140000","0.556"
"22320000","0.5307999999999999"
"22500000","0.4964"
"22680000","0.5366000000000001"
"22860000","0.5646"
"23040000","0.5632"
"23220000","0.5488000000000001"
"23400000","0.5197999999999999"
"23580000","0.5204"
"23760000","0.5776"
"23940000","0.5775999999999999"
"24120000","0.5682"
"24300000","0.579"
"24480000","0.5776"
"24660000","0.5448"
"24840000","0.5898000000000001"
"25020000","0.5898"
"25200000","0.5838"
"25380000","0.5571999999999999"
"25560000","0.6052000000000001"
"25740000","0.59"
"25920000","0.572"
"26100000","0.5874000000000001"
"26280000","0.5814"
"26460000","0.5602"
"26640000","0.5872"
"26820000","0.6184"
"27000000","0.5698"
"27180000","0.6018"
"27360000","0.607"
"27540000","0.6"
"27720000","0.61"
"27900000","0.5944"
"28080000","0.5946"
"28260000","0.5954"
"28440000","0.607"
"28620000","0.6225999999999999"
"28800000","0.5934"
"28980000","0.6008"
"29160000","0.6176"
"29340000","0.6085999999999999"
"29520000","0.6262000000000001"
"29700000","0.6307999999999999"
"29880000","0.6344000000000001"
"30060000","0.6104"
"30240000","0.6388"
"30420000","0.659"
"30600000","0.6287999999999999"
"30780000","0.667"
"30960000","0.633"
"31140000","0.6434000000000001"
"31320000","0.631"
"31500000","0.6402"
"31680000","0.655"
"31860000","0.6397999999999999"
"32040000","0.6472"
"32220000","0.6496000000000001"
"32400000","0.647"
"32580000","0.662"
"32760000","0.6486000000000001"
"32940000","0.636"
"33120000","0.6587999999999999"
"33300000","0.6692"
"33480000","0.6514000000000001"
"33660000","0.6502"
"33840000","0.6688000000000001"
"34020000","0.6705999999999999"
"34200000","0.671"
"34380000","0.6592"
"34560000","0.673"
"34740000","0.6724"
"34920000","0.6818"
"35100000","0.687"
"35280000","0.6724"
"35460000","0.6782"
"35640000","0.6662"
"35820000","0.6868"
"36000000","0.6794"
"36180000","0.6958"
"36360000","0.6776"
"36540000","0.6382000000000001"
"36720000","0.671"
"36900000","0.698"
"37080000","0.696"
"37260000","0.7068"
"37440000","0.689"
"37620000","0.6968"
"37800000","0.7074"
"37980000","0.6838"
"38160000","0.6858"
"38340000","0.7232000000000001"
"38520000","0.6988"
"38700000","0.6886"
"38880000","0.7386"
"39060000","0.7153999999999999"
"39240000","0.7102"
"39420000","0.7353999999999999"
"39600000","0.7245999999999999"
"39780000","0.731"
"39960000","0.7214"
"40140000","0.724"
"40320000","0.726"
"40500000","0.7232000000000001"
"40680000","0.728"
"40860000","0.714"
"41040000","0.7447999999999999"
"41220000","0.7342000000000001"
"41400000","0.7038"
"41580000","0.6952"
"41760000","0.7142000000000001"
"41940000","0.6925999999999999"
"42120000","0.6754"
"42300000","0.688"
"42480000","0.699"
"42660000","0.73"
"42840000","0.7072"
"43020000","0.7407999999999999"
"43200000","0.727"
"43380000","0.704"
"43560000","0.7036"
"43740000","0.7303999999999999"
"43920000","0.7166"
"44100000","0.7115999999999999"
"44280000","0.7312000000000001"
"44460000","0.7275999999999999"
"44640000","0.7415999999999999"
"44820000","0.7272000000000001"
"45000000","0.7055999999999999"
"45180000","0.7123999999999999"
"45360000","0.7263999999999999"
"45540000","0.733"
"45720000","0.7136000000000001"
"45900000","0.7193999999999999"
"46080000","0.7226"
"46260000","0.7278"
"46440000","0.7372000000000001"
"46620000","0.726"
"46800000","0.7322000000000001"
