"Step","pb_wo_evaluation_expandfromactive_seed2 - 2cover_rate_5step"
"180000","0.0354"
"360000","0.037"
"540000","0.028"
"720000","0.031"
"900000","0.038"
"1080000","0.035"
"1260000","0.036"
"1440000","0.052"
"1620000","0.064"
"1800000","0.067"
"1980000","0.0994"
"2160000","0.1024"
"2340000","0.0932"
"2520000","0.11880000000000002"
"2700000","0.1648"
"2880000","0.1826"
"3060000","0.2152"
"3240000","0.2322"
"3420000","0.25279999999999997"
"3600000","0.2716"
"3780000","0.32339999999999997"
"3960000","0.3406"
"4140000","0.347"
"4320000","0.3532"
"4500000","0.3904"
"4680000","0.3704"
"4860000","0.36540000000000006"
"5040000","0.4076"
"5220000","0.4126"
"5400000","0.4328"
"5580000","0.4076"
"5760000","0.4323999999999999"
"5940000","0.4152"
"6120000","0.4428"
"6300000","0.4514"
"6480000","0.4615999999999999"
"6660000","0.4702"
"6840000","0.464"
"7020000","0.4759999999999999"
"7200000","0.4702"
"7380000","0.4642"
"7560000","0.477"
"7740000","0.495"
"7920000","0.4822"
"8100000","0.4852"
"8280000","0.4764"
"8460000","0.4914"
"8640000","0.5242"
"8820000","0.5067999999999999"
"9000000","0.4928"
"9180000","0.5044"
"9360000","0.5247999999999999"
"9540000","0.5264"
"9720000","0.5254"
"9900000","0.5174000000000001"
"10080000","0.5127999999999999"
"10260000","0.5307999999999999"
"10440000","0.5222"
"10620000","0.547"
"10800000","0.5526"
"10980000","0.5556"
"11160000","0.5478"
"11340000","0.554"
"11520000","0.5495999999999999"
"11700000","0.5738"
"11880000","0.5794"
"12060000","0.5558"
"12240000","0.5764"
"12420000","0.5724"
"12600000","0.5844"
"12780000","0.5876"
"12960000","0.6018"
"13140000","0.5912000000000001"
"13320000","0.5728"
"13500000","0.5715999999999999"
"13680000","0.614"
"13860000","0.5883999999999999"
"14040000","0.5572"
"14220000","0.5942000000000001"
"14400000","0.5722"
"14580000","0.5884000000000001"
"14760000","0.6008000000000001"
"14940000","0.6093999999999999"
"15120000","0.6052000000000001"
"15300000","0.6048"
"15480000","0.6227999999999999"
"15660000","0.6234"
"15840000","0.6002000000000001"
"16020000","0.6444"
"16200000","0.6228"
"16380000","0.6352000000000001"
"16560000","0.6474"
"16740000","0.637"
"16920000","0.6132000000000001"
"17100000","0.6514000000000001"
"17280000","0.658"
"17460000","0.625"
"17640000","0.6354"
"17820000","0.6446000000000001"
"18000000","0.6474"
"18180000","0.6457999999999999"
"18360000","0.6542"
"18540000","0.6546000000000001"
"18720000","0.682"
"18900000","0.6506000000000001"
"19080000","0.6634"
"19260000","0.631"
"19440000","0.6776"
"19620000","0.6506000000000001"
"19800000","0.6838"
"19980000","0.6768"
"20160000","0.694"
"20340000","0.7034"
"20520000","0.7038"
"20700000","0.6798"
"20880000","0.7012"
"21060000","0.6636"
"21240000","0.71"
"21420000","0.7004000000000001"
"21600000","0.7004000000000001"
"21780000","0.7152000000000001"
"21960000","0.717"
"22140000","0.6946"
"22320000","0.7436"
"22500000","0.7273999999999999"
"22680000","0.723"
"22860000","0.7238"
"23040000","0.7223999999999999"
"23220000","0.7432"
"23400000","0.7158000000000001"
"23580000","0.72"
"23760000","0.7457999999999999"
"23940000","0.7326000000000001"
"24120000","0.7508"
"24300000","0.748"
"24480000","0.7338"
"24660000","0.7432000000000001"
"24840000","0.756"
"25020000","0.6672"
"25200000","0.6836"
"25380000","0.666"
"25560000","0.6942"
"25740000","0.6948"
"25920000","0.695"
"26100000","0.6844"
"26280000","0.704"
"26460000","0.719"
"26640000","0.7194"
"26820000","0.7272000000000001"
"27000000","0.7358"
