"Step","pc_pb_seed2 - 4cover_rate"
"60000","0.047200000000000006"
"120000","0.0555"
"180000","0.069"
"240000","0.0625"
"300000","0.069"
"360000","0.0565"
"420000","0.0585"
"480000","0.047"
"540000","0.059"
"600000","0.0625"
"660000","0.067"
"720000","0.06"
"780000","0.0565"
"840000","0.07"
"900000","0.065"
"960000","0.0675"
"1020000","0.0625"
"1080000","0.0615"
"1140000","0.071"
"1200000","0.0505"
"1260000","0.0625"
"1320000","0.064"
"1380000","0.0575"
"1440000","0.0605"
"1500000","0.06"
"1560000","0.052"
"1620000","0.067"
"1680000","0.06"
"1740000","0.062"
"1800000","0.0645"
"1860000","0.071"
"1920000","0.067"
"1980000","0.061"
"2040000","0.0675"
"2100000","0.0585"
"2160000","0.0555"
"2220000","0.06"
"2280000","0.065"
"2340000","0.0675"
"2400000","0.068"
"2460000","0.0625"
"2520000","0.0645"
"2580000","0.074"
"2640000","0.069"
"2700000","0.0675"
"2760000","0.0545"
"2820000","0.059"
"2880000","0.0575"
"2940000","0.0665"
"3000000","0.0595"
"3060000","0.063"
"3120000","0.0705"
"3180000","0.0615"
"3240000","0.059"
"3300000","0.0645"
"3360000","0.07"
"3420000","0.066"
"3480000","0.0715"
"3540000","0.061"
"3600000","0.0632"
"3660000","0.0725"
"3720000","0.0612"
"3780000","0.066"
"3840000","0.0612"
"3900000","0.06570000000000001"
"3960000","0.065"
"4020000","0.0655"
"4080000","0.0705"
"4140000","0.0655"
"4200000","0.0645"
"4260000","0.0565"
"4320000","0.069"
"4380000","0.0695"
"4440000","0.0605"
"4500000","0.0695"
"4560000","0.0577"
"4620000","0.0755"
"4680000","0.073"
"4740000","0.0555"
"4800000","0.064"
"4860000","0.059"
"4920000","0.0602"
"4980000","0.066"
"5040000","0.0585"
"5100000","0.06"
"5160000","0.057"
"5220000","0.071"
"5280000","0.0555"
"5340000","0.064"
"5400000","0.064"
"5460000","0.0685"
"5520000","0.068"
"5580000","0.0655"
"5640000","0.066"
"5700000","0.062"
"5760000","0.0668"
"5820000","0.0655"
"5880000","0.0615"
"5940000","0.069"
"6000000","0.0705"
"6060000","0.068"
"6120000","0.0695"
"6180000","0.063"
"6240000","0.0659"
"6300000","0.0551"
"6360000","0.06559999999999999"
"6420000","0.0665"
"6480000","0.072"
"6540000","0.0735"
"6600000","0.071"
"6660000","0.0675"
"6720000","0.0645"
"6780000","0.0625"
"6840000","0.069"
"6900000","0.0655"
"6960000","0.064"
"7020000","0.0679"
"7080000","0.0665"
"7140000","0.0635"
"7200000","0.0605"
"7260000","0.0636"
"7320000","0.061799999999999994"
"7380000","0.0685"
"7440000","0.07"
"7500000","0.0655"
"7560000","0.066"
"7620000","0.0705"
"7680000","0.0705"
"7740000","0.075"
"7800000","0.064"
"7860000","0.0697"
"7920000","0.067"
"7980000","0.062200000000000005"
"8040000","0.0635"
"8100000","0.0721"
"8160000","0.0715"
"8220000","0.0638"
"8280000","0.0625"
"8340000","0.0715"
"8400000","0.081"
"8460000","0.063"
"8520000","0.065"
"8580000","0.0585"
"8640000","0.0775"
"8700000","0.063"
"8760000","0.0645"
"8820000","0.0566"
"8880000","0.061700000000000005"
"8940000","0.0635"
"9000000","0.061"
"9060000","0.0593"
"9120000","0.067"
"9180000","0.0565"
"9240000","0.064"
"9300000","0.055"
"9360000","0.059"
"9420000","0.0635"
"9480000","0.07379999999999999"
"9540000","0.0684"
"9600000","0.064"
"9660000","0.07659999999999999"
"9720000","0.0653"
"9780000","0.067"
"9840000","0.0635"
"9900000","0.0685"
"9960000","0.066"
"10020000","0.072"
"10080000","0.0655"
"10140000","0.0665"
"10200000","0.0655"
"10260000","0.07"
"10320000","0.061"
"10380000","0.0635"
"10440000","0.074"
"10500000","0.0685"
"10560000","0.062"
"10620000","0.0625"
"10680000","0.07"
"10740000","0.079"
"10800000","0.0675"
"10860000","0.0681"
"10920000","0.058"
"10980000","0.0605"
"11040000","0.0705"
"11100000","0.059"
"11160000","0.06"
"11220000","0.068"
"11280000","0.062"
"11340000","0.0635"
"11400000","0.068"
"11460000","0.0715"
"11520000","0.076"
"11580000","0.061"
"11640000","0.0734"
"11700000","0.062"
"11760000","0.0635"
"11820000","0.0665"
"11880000","0.0655"
"11940000","0.0675"
"12000000","0.063"
"12060000","0.0694"
"12120000","0.0635"
"12180000","0.061"
"12240000","0.0715"
"12300000","0.0685"
"12360000","0.0595"
"12420000","0.067"
"12480000","0.0575"
"12540000","0.0545"
"12600000","0.062"
"12660000","0.0615"
"12720000","0.063"
"12780000","0.0755"
"12840000","0.0665"
"12900000","0.067"
"12960000","0.068"
"13020000","0.056"
"13080000","0.052"
"13140000","0.0605"
"13200000","0.0695"
"13260000","0.0645"
"13320000","0.07"
"13380000","0.061"
"13440000","0.0605"
"13500000","0.0595"
"13560000","0.0545"
"13620000","0.0795"
"13680000","0.0665"
"13740000","0.0795"
"13800000","0.061"
"13860000","0.0685"
"13920000","0.0685"
"13980000","0.061"
"14040000","0.074"
"14100000","0.0635"
"14160000","0.0755"
"14220000","0.0585"
"14280000","0.0705"
"14340000","0.069"
"14400000","0.0724"
"14460000","0.0635"
"14520000","0.0703"
"14580000","0.059"
"14640000","0.0585"
"14700000","0.0565"
"14760000","0.068"
"14820000","0.0705"
"14880000","0.06559999999999999"
"14940000","0.0595"
"15000000","0.0685"
"15060000","0.0585"
"15120000","0.0563"
"15180000","0.0684"
"15240000","0.0645"
"15300000","0.0605"
"15360000","0.065"
"15420000","0.0715"
"15480000","0.055"
"15540000","0.0785"
"15600000","0.059"
"15660000","0.065"
"15720000","0.0645"
"15780000","0.0585"
"15840000","0.0785"
"15900000","0.0685"
"15960000","0.0635"
"16020000","0.0575"
"16080000","0.068"
"16140000","0.0693"
"16200000","0.059"
"16260000","0.0675"
"16320000","0.059"
"16380000","0.077"
"16440000","0.063"
"16500000","0.0665"
"16560000","0.063"
"16620000","0.0605"
"16680000","0.061"
"16740000","0.07479999999999999"
"16800000","0.066"
"16860000","0.065"
"16920000","0.0675"
"16980000","0.054"
"17040000","0.0665"
"17100000","0.0665"
"17160000","0.07"
"17220000","0.0626"
"17280000","0.0637"
"17340000","0.0722"
"17400000","0.0644"
"17460000","0.0735"
"17520000","0.0655"
"17580000","0.06570000000000001"
"17640000","0.0655"
"17700000","0.063"
"17760000","0.0745"
"17820000","0.0658"
"17880000","0.058"
"17940000","0.064"
"18000000","0.0695"
"18060000","0.082"
"18120000","0.057"
"18180000","0.0545"
"18240000","0.0628"
"18300000","0.067"
"18360000","0.0645"
"18420000","0.064"
"18480000","0.0605"
"18540000","0.0675"
"18600000","0.072"
"18660000","0.0741"
"18720000","0.06"
"18780000","0.066"
"18840000","0.0685"
"18900000","0.062"
"18960000","0.067"
"19020000","0.055"
"19080000","0.0625"
"19140000","0.0555"
"19200000","0.0675"
"19260000","0.068"
"19320000","0.0665"
"19380000","0.059"
"19440000","0.0695"
"19500000","0.0705"
"19560000","0.0675"
"19620000","0.067"
"19680000","0.0755"
"19740000","0.0645"
"19800000","0.0655"
"19860000","0.0715"
"19920000","0.068"
"19980000","0.061"
"20040000","0.0615"
"20100000","0.07"
"20160000","0.069"
"20220000","0.057"
"20280000","0.0615"
"20340000","0.068"
"20400000","0.0675"
"20460000","0.066"
"20520000","0.056"
"20580000","0.068"
"20640000","0.06"
"20700000","0.0665"
"20760000","0.0555"
"20820000","0.0625"
"20880000","0.066"
"20940000","0.069"
"21000000","0.0605"
"21060000","0.0635"
"21120000","0.056"
"21180000","0.0765"
"21240000","0.06659999999999999"
"21300000","0.065"
"21360000","0.0675"
"21420000","0.0705"
"21480000","0.068"
"21540000","0.059"
"21600000","0.0675"
"21660000","0.0665"
"21720000","0.0705"
"21780000","0.06459999999999999"
"21840000","0.063"
"21900000","0.0615"
"21960000","0.0632"
"22020000","0.072"
"22080000","0.0655"
"22140000","0.0625"
"22200000","0.063"
"22260000","0.0665"
"22320000","0.0605"
"22380000","0.064"
"22440000","0.074"
"22500000","0.0675"
"22560000","0.0685"
"22620000","0.072"
"22680000","0.0745"
"22740000","0.0585"
"22800000","0.0695"
"22860000","0.0625"
"22920000","0.0645"
"22980000","0.056"
"23040000","0.06"
"23100000","0.0685"
"23160000","0.069"
"23220000","0.062"
"23280000","0.0655"
"23340000","0.068"
"23400000","0.07"
"23460000","0.063"
"23520000","0.06"
"23580000","0.0645"
"23640000","0.068"
"23700000","0.0725"
"23760000","0.0595"
"23820000","0.052"
"23880000","0.0745"
"23940000","0.0705"
"24000000","0.0625"
"24060000","0.0655"
"24120000","0.07"
"24180000","0.061"
"24240000","0.0615"
"24300000","0.067"
"24360000","0.0665"
"24420000","0.055"
"24480000","0.061"
"24540000","0.07"
"24600000","0.074"
"24660000","0.0735"
"24720000","0.062"
"24780000","0.061"
"24840000","0.0735"
"24900000","0.066"
"24960000","0.0545"
"25020000","0.0665"
"25080000","0.064"
"25140000","0.0525"
"25200000","0.0675"
"25260000","0.0725"
"25320000","0.062"
"25380000","0.069"
"25440000","0.0645"
"25500000","0.0565"
"25560000","0.064"
"25620000","0.067"
"25680000","0.0595"
"25740000","0.06"
"25800000","0.0585"
"25860000","0.0615"
"25920000","0.0625"
"25980000","0.062"
"26040000","0.059"
"26100000","0.067"
"26160000","0.0635"
"26220000","0.0685"
"26280000","0.0615"
"26340000","0.066"
"26400000","0.067"
"26460000","0.062"
"26520000","0.0625"
"26580000","0.0565"
"26640000","0.062"
"26700000","0.06509999999999999"
"26760000","0.0715"
"26820000","0.0645"
"26880000","0.0705"
"26940000","0.0705"
"27000000","0.072"
"27060000","0.0575"
"27120000","0.0635"
"27180000","0.062"
"27240000","0.0715"
"27300000","0.0685"
"27360000","0.068"
"27420000","0.0615"
"27480000","0.0633"
"27540000","0.071"
"27600000","0.064"
"27660000","0.073"
"27720000","0.0545"
"27780000","0.0635"
"27840000","0.0695"
"27900000","0.0665"
"27960000","0.064"
"28020000","0.0705"
"28080000","0.0705"
"28140000","0.055"
"28200000","0.0645"
"28260000","0.055"
"28320000","0.059"
"28380000","0.0705"
"28440000","0.0605"
"28500000","0.072"
"28560000","0.0685"
"28620000","0.069"
"28680000","0.072"
"28740000","0.0655"
"28800000","0.066"
"28860000","0.071"
"28920000","0.0575"
"28980000","0.0635"
"29040000","0.066"
"29100000","0.07"
"29160000","0.067"
"29220000","0.068"
"29280000","0.057"
"29340000","0.0635"
"29400000","0.06"
"29460000","0.071"
"29520000","0.074"
"29580000","0.0703"
"29640000","0.07"
"29700000","0.0721"
"29760000","0.0695"
"29820000","0.0615"
"29880000","0.062"
"29940000","0.0745"
"30000000","0.0755"
"30060000","0.065"
"30120000","0.0755"
"30180000","0.0705"
"30240000","0.072"
"30300000","0.0663"
"30360000","0.0658"
"30420000","0.059"
"30480000","0.072"
"30540000","0.0625"
"30600000","0.0565"
"30660000","0.0645"
"30720000","0.072"
"30780000","0.067"
"30840000","0.067"
"30900000","0.0635"
"30960000","0.062"
"31020000","0.0675"
"31080000","0.061"
"31140000","0.071"
"31200000","0.061"
"31260000","0.0714"
"31320000","0.069"
"31380000","0.0715"
"31440000","0.0599"
"31500000","0.0637"
"31560000","0.0585"
"31620000","0.0595"
"31680000","0.0525"
"31740000","0.073"
"31800000","0.05709999999999999"
"31860000","0.073"
"31920000","0.0635"
"31980000","0.073"
"32040000","0.074"
"32100000","0.061"
"32160000","0.0565"
"32220000","0.0613"
"32280000","0.064"
"32340000","0.0575"
"32400000","0.07130000000000002"
"32460000","0.064"
"32520000","0.056"
"32580000","0.0637"
"32640000","0.0747"
"32700000","0.064"
"32760000","0.069"
"32820000","0.053"
"32880000","0.0645"
"32940000","0.07"
"33000000","0.063"
"33060000","0.0705"
"33120000","0.0761"
