"Step","phase_sp_ppotrue_seed1 - 8cover_rate"
"105000","0.84325"
"210000","0.826"
"315000","0.816"
"420000","0.79925"
"525000","0.8012999999999999"
"630000","0.7901"
"735000","0.8132999999999999"
"840000","0.80885"
"945000","0.8088500000000001"
"1050000","0.82605"
"1155000","0.8196500000000001"
"1260000","0.7988"
"1365000","0.7977"
"1470000","0.8089"
"1575000","0.8140999999999999"
"1680000","0.8359"
"1785000","0.82575"
"1890000","0.83865"
"1995000","0.8291"
"2100000","0.83415"
"2205000","0.847"
"2310000","0.8501000000000001"
"2415000","0.84975"
"2520000","0.8605"
"2625000","0.86095"
"2730000","0.8636999999999999"
"2835000","0.8736499999999999"
"2940000","0.88465"
"3045000","0.8761"
"3150000","0.8672000000000001"
"3255000","0.8723"
"3360000","0.8716499999999999"
"3465000","0.8689499999999999"
"3570000","0.8807"
"3675000","0.9008999999999998"
"3780000","0.87995"
"3885000","0.8831"
"3990000","0.88965"
"4095000","0.8865"
"4200000","0.8863499999999999"
"4305000","0.88535"
"4410000","0.8997"
"4515000","0.8847999999999999"
"4620000","0.8886499999999999"
"4725000","0.8920999999999999"
"4830000","0.89295"
"4935000","0.8990499999999999"
"5040000","0.88095"
"5145000","0.8903"
"5250000","0.9026"
"5355000","0.90315"
"5460000","0.91005"
"5565000","0.9011"
"5670000","0.91505"
"5775000","0.90745"
"5880000","0.90895"
"5985000","0.9136"
"6090000","0.92365"
"6195000","0.9281"
"6300000","0.9278"
"6405000","0.9319"
"6510000","0.928"
"6615000","0.9213"
"6720000","0.92185"
"6825000","0.92785"
"6930000","0.9305"
"7035000","0.9327"
"7140000","0.93115"
"7245000","0.9276"
"7350000","0.92795"
"7455000","0.92835"
"7560000","0.9327"
"7665000","0.9148"
"7770000","0.9262"
"7875000","0.9213"
"7980000","0.93195"
"8085000","0.92295"
"8190000","0.9176"
"8295000","0.9084"
"8400000","0.9241"
"8505000","0.9303"
"8610000","0.9212"
"8715000","0.927"
"8820000","0.92055"
"8925000","0.9158999999999998"
"9030000","0.9156"
"9135000","0.92"
"9240000","0.9199"
"9345000","0.91825"
"9450000","0.92925"
"9555000","0.91615"
"9660000","0.9192"
"9765000","0.9089"
"9870000","0.9088"
"9975000","0.9209"
"10080000","0.90955"
"10185000","0.91315"
"10290000","0.91395"
"10395000","0.92585"
"10500000","0.9295"
"10605000","0.92545"
"10710000","0.92985"
"10815000","0.9488"
"10920000","0.95405"
"11025000","0.9536"
"11130000","0.9563"
"11235000","0.94425"
"11340000","0.9484"
"11445000","0.9351"
"11550000","0.9586"
"11655000","0.95065"
"11760000","0.952"
"11865000","0.95525"
"11970000","0.94605"
"12075000","0.95285"
"12180000","0.9485"
"12285000","0.9507"
"12390000","0.95"
"12495000","0.93365"
"12600000","0.94135"
"12705000","0.94875"
"12810000","0.93575"
"12915000","0.945"
