"Step","reverse-6floor-seed2 - test_lock_rate","reverse-6floor-seed2 - test_lock_rate__MIN","reverse-6floor-seed2 - test_lock_rate__MAX"
"31200","0.14","0.14","0.14"
"62400","0.22","0.22","0.22"
"93600","0.055","0.055","0.055"
"124800","0.055","0.055","0.055"
"156000","0.095","0.095","0.095"
"187200","0.03","0.03","0.03"
"218400","0.045","0.045","0.045"
"249600","0.06","0.06","0.06"
"280800","0.025","0.025","0.025"
"312000","0.075","0.075","0.075"
"343200","0.079","0.079","0.079"
"374400","0.05","0.05","0.05"
"405600","0.06","0.06","0.06"
"436800","0.065","0.065","0.065"
"468000","0.12","0.12","0.12"
"499200","0.13","0.13","0.13"
"530400","0.09","0.09","0.09"
"561600","0.06","0.06","0.06"
"592800","0.05","0.05","0.05"
"624000","0.06","0.06","0.06"
"655200","0.105","0.105","0.105"
"686400","0.125","0.125","0.125"
"717600","0.115","0.115","0.115"
"748800","0.02","0.02","0.02"
"780000","0.06","0.06","0.06"
"811200","0.06","0.06","0.06"
"842400","0.09","0.09","0.09"
"873600","0.065","0.065","0.065"
"904800","0.065","0.065","0.065"
"936000","0.025","0.025","0.025"
"967200","0.03","0.03","0.03"
"998400","0.03","0.03","0.03"
"1029600","0.03","0.03","0.03"
"1060800","0.035","0.035","0.035"
"1092000","0.025","0.025","0.025"
"1123200","0.03","0.03","0.03"
"1154400","0.035","0.035","0.035"
"1185600","0.03","0.03","0.03"
"1216800","0.05","0.05","0.05"
"1248000","0.04","0.04","0.04"
"1279200","0.045","0.045","0.045"
"1310400","0.025","0.025","0.025"
"1341600","0.06","0.06","0.06"
"1372800","0.03","0.03","0.03"
"1404000","0.045","0.045","0.045"
"1435200","0.035","0.035","0.035"
"1466400","0.02","0.02","0.02"
"1497600","0.025","0.025","0.025"
"1528800","0","0","0"
"1560000","0.015","0.015","0.015"
"1591200","0.035","0.035","0.035"
"1622400","0.035","0.035","0.035"
"1653600","0.03","0.03","0.03"
"1684800","0.04","0.04","0.04"
"1716000","0.045","0.045","0.045"
"1747200","0.03","0.03","0.03"
"1778400","0.03","0.03","0.03"
"1809600","0.04","0.04","0.04"
"1840800","0.07","0.07","0.07"
"1872000","0.02","0.02","0.02"
"1903200","0.015","0.015","0.015"
"1934400","0.03","0.03","0.03"
"1965600","0.05","0.05","0.05"
"1996800","0.02","0.02","0.02"
"2028000","0.025","0.025","0.025"
"2059200","0.055","0.055","0.055"
"2090400","0.04","0.04","0.04"
"2121600","0.04","0.04","0.04"
"2152800","0.04","0.04","0.04"
"2184000","0.06","0.06","0.06"
"2215200","0.045","0.045","0.045"
"2246400","0.035","0.035","0.035"
"2277600","0.045","0.045","0.045"
"2308800","0.035","0.035","0.035"
"2340000","0.035","0.035","0.035"
"2371200","0.015","0.015","0.015"
"2402400","0.065","0.065","0.065"
"2433600","0.03","0.03","0.03"
"2464800","0.035","0.035","0.035"
"2496000","0.035","0.035","0.035"
"2527200","0.025","0.025","0.025"
"2558400","0.05","0.05","0.05"
"2589600","0.05","0.05","0.05"
"2620800","0.05","0.05","0.05"
"2652000","0.025","0.025","0.025"
"2683200","0.03","0.03","0.03"
"2714400","0.065","0.065","0.065"
"2745600","0.07","0.07","0.07"
"2776800","0.07","0.07","0.07"
"2808000","0.04","0.04","0.04"
"2839200","0.045","0.045","0.045"
"2870400","0.07","0.07","0.07"
"2901600","0.03","0.03","0.03"
"2932800","0.055","0.055","0.055"
"2964000","0.105","0.105","0.105"
"2995200","0.055","0.055","0.055"
"3026400","0.165","0.165","0.165"
"3057600","0.55","0.55","0.55"
"3088800","0.66","0.66","0.66"
"3120000","0.605","0.605","0.605"
"3151200","0.315","0.315","0.315"
"3182400","0.495","0.495","0.495"
"3213600","0.674","0.674","0.674"
"3244800","0.664","0.664","0.664"
"3276000","0.685","0.685","0.685"
"3307200","0.48","0.48","0.48"
"3338400","0.386","0.386","0.386"
"3369600","0.463","0.463","0.463"
"3400800","0.484","0.484","0.484"
"3432000","0.408","0.408","0.408"
"3463200","0.425","0.425","0.425"
"3494400","0.402","0.402","0.402"
"3525600","0.356","0.356","0.356"
"3556800","0.306","0.306","0.306"
"3588000","0.21","0.21","0.21"
"3619200","0.08","0.08","0.08"
"3650400","0.075","0.075","0.075"
"3681600","0.06","0.06","0.06"
"3712800","0.155","0.155","0.155"
"3744000","0.161","0.161","0.161"
"3775200","0.217","0.217","0.217"
"3806400","0.2","0.2","0.2"
"3837600","0.315","0.315","0.315"
"3868800","0.405","0.405","0.405"
"3900000","0.41","0.41","0.41"
"3931200","0.35","0.35","0.35"
"3962400","0.33","0.33","0.33"
"3993600","0.35","0.35","0.35"
"4024800","0.34","0.34","0.34"
"4056000","0.265","0.265","0.265"
"4087200","0.33","0.33","0.33"
"4118400","0.27","0.27","0.27"
"4149600","0.3","0.3","0.3"
"4180800","0.35","0.35","0.35"
"4212000","0.433","0.433","0.433"
"4243200","0.4","0.4","0.4"
"4274400","0.515","0.515","0.515"
"4305600","0.44","0.44","0.44"
"4336800","0.34","0.34","0.34"
"4368000","0.312","0.312","0.312"
"4399200","0.395","0.395","0.395"
"4430400","0.535","0.535","0.535"
"4461600","0.577","0.577","0.577"
"4492800","0.61","0.61","0.61"
"4524000","0.517","0.517","0.517"
"4555200","0.565","0.565","0.565"
"4586400","0.591","0.591","0.591"
"4617600","0.655","0.655","0.655"
"4648800","0.613","0.613","0.613"
"4680000","0.607","0.607","0.607"
"4711200","0.607","0.607","0.607"
"4742400","0.559","0.559","0.559"
"4773600","0.617","0.617","0.617"
"4804800","0.61","0.61","0.61"
"4836000","0.635","0.635","0.635"
"4867200","0.65","0.65","0.65"
"4898400","0.629","0.629","0.629"
"4929600","0.633","0.633","0.633"
"4960800","0.588","0.588","0.588"
"4992000","0.565","0.565","0.565"
"5023200","0.582","0.582","0.582"
"5054400","0.649","0.649","0.649"
"5085600","0.685","0.685","0.685"
"5116800","0.627","0.627","0.627"
"5148000","0.715","0.715","0.715"
"5179200","0.64","0.64","0.64"
"5210400","0.586","0.586","0.586"
"5241600","0.655","0.655","0.655"
"5272800","0.625","0.625","0.625"
"5304000","0.685","0.685","0.685"
"5335200","0.65","0.65","0.65"
"5366400","0.671","0.671","0.671"
"5397600","0.65","0.65","0.65"
"5428800","0.661","0.661","0.661"
"5460000","0.687","0.687","0.687"
"5491200","0.695","0.695","0.695"
"5522400","0.722","0.722","0.722"
"5553600","0.721","0.721","0.721"
"5584800","0.724","0.724","0.724"
"5616000","0.69","0.69","0.69"
"5647200","0.69","0.69","0.69"
"5678400","0.729","0.729","0.729"
"5709600","0.71","0.71","0.71"
"5740800","0.745","0.745","0.745"
"5772000","0.724","0.724","0.724"
"5803200","0.674","0.674","0.674"
"5834400","0.805","0.805","0.805"
"5865600","0.799","0.799","0.799"
"5896800","0.774","0.774","0.774"
"5928000","0.77","0.77","0.77"
"5959200","0.763","0.763","0.763"
"5990400","0.847","0.847","0.847"
"6021600","0.791","0.791","0.791"
"6052800","0.739","0.739","0.739"
"6084000","0.774","0.774","0.774"
"6115200","0.727","0.727","0.727"
"6146400","0.72","0.72","0.72"
"6177600","0.639","0.639","0.639"
"6208800","0.725","0.725","0.725"
"6240000","0.809","0.809","0.809"
"6271200","0.78","0.78","0.78"
"6302400","0.765","0.765","0.765"
"6333600","0.795","0.795","0.795"
"6364800","0.79","0.79","0.79"
"6396000","0.768","0.768","0.768"
"6427200","0.739","0.739","0.739"
"6458400","0.745","0.745","0.745"
"6489600","0.745","0.745","0.745"
"6520800","0.735","0.735","0.735"
"6552000","0.715","0.715","0.715"
"6583200","0.64","0.64","0.64"
"6614400","0.671","0.671","0.671"
"6645600","0.754","0.754","0.754"
"6676800","0.725","0.725","0.725"
"6708000","0.762","0.762","0.762"
"6739200","0.729","0.729","0.729"
"6770400","0.703","0.703","0.703"
"6801600","0.724","0.724","0.724"
"6832800","0.732","0.732","0.732"
"6864000","0.677","0.677","0.677"
"6895200","0.745","0.745","0.745"
"6926400","0.714","0.714","0.714"
"6957600","0.716","0.716","0.716"
"6988800","0.761","0.761","0.761"
"7020000","0.79","0.79","0.79"
"7051200","0.774","0.774","0.774"
"7082400","0.79","0.79","0.79"
"7113600","0.782","0.782","0.782"
"7144800","0.69","0.69","0.69"
"7176000","0.752","0.752","0.752"
