"Step","reverse-6floor-seed2 - test_success_rate","reverse-6floor-seed2 - test_success_rate__MIN","reverse-6floor-seed2 - test_success_rate__MAX"
"31200","0","0","0"
"62400","0","0","0"
"93600","0","0","0"
"124800","0","0","0"
"156000","0","0","0"
"187200","0","0","0"
"218400","0","0","0"
"249600","0","0","0"
"280800","0","0","0"
"312000","0","0","0"
"343200","0","0","0"
"374400","0","0","0"
"405600","0","0","0"
"436800","0","0","0"
"468000","0","0","0"
"499200","0","0","0"
"530400","0","0","0"
"561600","0","0","0"
"592800","0","0","0"
"624000","0","0","0"
"655200","0","0","0"
"686400","0","0","0"
"717600","0","0","0"
"748800","0","0","0"
"780000","0","0","0"
"811200","0","0","0"
"842400","0","0","0"
"873600","0","0","0"
"904800","0","0","0"
"936000","0","0","0"
"967200","0","0","0"
"998400","0","0","0"
"1029600","0","0","0"
"1060800","0","0","0"
"1092000","0","0","0"
"1123200","0","0","0"
"1154400","0","0","0"
"1185600","0","0","0"
"1216800","0","0","0"
"1248000","0","0","0"
"1279200","0","0","0"
"1310400","0","0","0"
"1341600","0","0","0"
"1372800","0","0","0"
"1404000","0","0","0"
"1435200","0","0","0"
"1466400","0","0","0"
"1497600","0","0","0"
"1528800","0","0","0"
"1560000","0","0","0"
"1591200","0","0","0"
"1622400","0","0","0"
"1653600","0","0","0"
"1684800","0","0","0"
"1716000","0","0","0"
"1747200","0","0","0"
"1778400","0","0","0"
"1809600","0","0","0"
"1840800","0","0","0"
"1872000","0","0","0"
"1903200","0","0","0"
"1934400","0","0","0"
"1965600","0","0","0"
"1996800","0","0","0"
"2028000","0","0","0"
"2059200","0","0","0"
"2090400","0","0","0"
"2121600","0","0","0"
"2152800","0","0","0"
"2184000","0","0","0"
"2215200","0","0","0"
"2246400","0","0","0"
"2277600","0","0","0"
"2308800","0","0","0"
"2340000","0","0","0"
"2371200","0","0","0"
"2402400","0","0","0"
"2433600","0","0","0"
"2464800","0","0","0"
"2496000","0","0","0"
"2527200","0","0","0"
"2558400","0","0","0"
"2589600","0","0","0"
"2620800","0","0","0"
"2652000","0","0","0"
"2683200","0","0","0"
"2714400","0","0","0"
"2745600","0","0","0"
"2776800","0.005","0.005","0.005"
"2808000","0","0","0"
"2839200","0","0","0"
"2870400","0","0","0"
"2901600","0","0","0"
"2932800","0","0","0"
"2964000","0","0","0"
"2995200","0","0","0"
"3026400","0","0","0"
"3057600","0.022","0.022","0.022"
"3088800","0.02","0.02","0.02"
"3120000","0.007","0.007","0.007"
"3151200","0.003","0.003","0.003"
"3182400","0.005","0.005","0.005"
"3213600","0.031","0.031","0.031"
"3244800","0.018","0.018","0.018"
"3276000","0.028","0.028","0.028"
"3307200","0.01","0.01","0.01"
"3338400","0.013","0.013","0.013"
"3369600","0.006","0.006","0.006"
"3400800","0.013","0.013","0.013"
"3432000","0.004","0.004","0.004"
"3463200","0.005","0.005","0.005"
"3494400","0.013","0.013","0.013"
"3525600","0","0","0"
"3556800","0","0","0"
"3588000","0","0","0"
"3619200","0","0","0"
"3650400","0","0","0"
"3681600","0","0","0"
"3712800","0","0","0"
"3744000","0","0","0"
"3775200","0","0","0"
"3806400","0","0","0"
"3837600","0.001","0.001","0.001"
"3868800","0.001","0.001","0.001"
"3900000","0","0","0"
"3931200","0","0","0"
"3962400","0","0","0"
"3993600","0","0","0"
"4024800","0","0","0"
"4056000","0","0","0"
"4087200","0","0","0"
"4118400","0.005","0.005","0.005"
"4149600","0","0","0"
"4180800","0.005","0.005","0.005"
"4212000","0","0","0"
"4243200","0.011","0.011","0.011"
"4274400","0.016","0.016","0.016"
"4305600","0","0","0"
"4336800","0","0","0"
"4368000","0","0","0"
"4399200","0","0","0"
"4430400","0.009","0.009","0.009"
"4461600","0.019","0.019","0.019"
"4492800","0.006","0.006","0.006"
"4524000","0.008","0.008","0.008"
"4555200","0.007","0.007","0.007"
"4586400","0.002","0.002","0.002"
"4617600","0.006","0.006","0.006"
"4648800","0.005","0.005","0.005"
"4680000","0.008","0.008","0.008"
"4711200","0.002","0.002","0.002"
"4742400","0.01","0.01","0.01"
"4773600","0.003","0.003","0.003"
"4804800","0.011","0.011","0.011"
"4836000","0.01","0.01","0.01"
"4867200","0.008","0.008","0.008"
"4898400","0.008","0.008","0.008"
"4929600","0.022","0.022","0.022"
"4960800","0.008","0.008","0.008"
"4992000","0.006","0.006","0.006"
"5023200","0.008","0.008","0.008"
"5054400","0.015","0.015","0.015"
"5085600","0.025","0.025","0.025"
"5116800","0.01","0.01","0.01"
"5148000","0.023","0.023","0.023"
"5179200","0.021","0.021","0.021"
"5210400","0.019","0.019","0.019"
"5241600","0.005","0.005","0.005"
"5272800","0.008","0.008","0.008"
"5304000","0.016","0.016","0.016"
"5335200","0.014","0.014","0.014"
"5366400","0.014","0.014","0.014"
"5397600","0.011","0.011","0.011"
"5428800","0.018","0.018","0.018"
"5460000","0.009","0.009","0.009"
"5491200","0.021","0.021","0.021"
"5522400","0.015","0.015","0.015"
"5553600","0.014","0.014","0.014"
"5584800","0.029","0.029","0.029"
"5616000","0.013","0.013","0.013"
"5647200","0.023","0.023","0.023"
"5678400","0.017","0.017","0.017"
"5709600","0.01","0.01","0.01"
"5740800","0.013","0.013","0.013"
"5772000","0.012","0.012","0.012"
"5803200","0.011","0.011","0.011"
"5834400","0.037","0.037","0.037"
"5865600","0.028","0.028","0.028"
"5896800","0.022","0.022","0.022"
"5928000","0.019","0.019","0.019"
"5959200","0.018","0.018","0.018"
"5990400","0.01","0.01","0.01"
"6021600","0.023","0.023","0.023"
"6052800","0.026","0.026","0.026"
"6084000","0.02","0.02","0.02"
"6115200","0.019","0.019","0.019"
"6146400","0.02","0.02","0.02"
"6177600","0.01","0.01","0.01"
"6208800","0.023","0.023","0.023"
"6240000","0.017","0.017","0.017"
"6271200","0.023","0.023","0.023"
"6302400","0.015","0.015","0.015"
"6333600","0.02","0.02","0.02"
"6364800","0.027","0.027","0.027"
"6396000","0.009","0.009","0.009"
"6427200","0.013","0.013","0.013"
"6458400","0.009","0.009","0.009"
"6489600","0.006","0.006","0.006"
"6520800","0.025","0.025","0.025"
"6552000","0.017","0.017","0.017"
"6583200","0.014","0.014","0.014"
"6614400","0.008","0.008","0.008"
"6645600","0.018","0.018","0.018"
"6676800","0.008","0.008","0.008"
"6708000","0.008","0.008","0.008"
"6739200","0.01","0.01","0.01"
"6770400","0.004","0.004","0.004"
"6801600","0.008","0.008","0.008"
"6832800","0.017","0.017","0.017"
"6864000","0.009","0.009","0.009"
