"Step","sp3_h1000_negativegrad_seed1 - cover_rate_5step"
"105000","0"
"210000","0"
"315000","0"
"420000","0"
"525000","0"
"630000","0"
"735000","0"
"840000","0"
"945000","0"
"1050000","0"
"1155000","0"
"1260000","0"
"1365000","0"
"1470000","0"
"1575000","0"
"1680000","0"
"1785000","0"
"1890000","0"
"1995000","0"
"2100000","0.0005"
"2205000","0.0024"
"2310000","0.0005"
"2415000","0.0024"
"2520000","0.0008"
"2625000","0.0068000000000000005"
"2730000","0.009"
"2835000","0.0021000000000000003"
"2940000","0.0009"
"3045000","0.0013"
"3150000","0.0021000000000000003"
"3255000","0.0021000000000000003"
"3360000","0.0011"
"3465000","0.004399999999999999"
"3570000","0.0014"
"3675000","0.0022"
"3780000","0.0013"
"3885000","0.007"
"3990000","0.004900000000000001"
"4095000","0.0062"
"4200000","0.007300000000000001"
"4305000","0.0028"
"4410000","0.0035"
"4515000","0.0027"
"4620000","0.0026"
"4725000","0.0039"
"4830000","0.0045"
"4935000","0.0033"
"5040000","0.008399999999999998"
"5145000","0.004900000000000001"
"5250000","0.0053"
"5355000","0.0052"
"5460000","0.007899999999999999"
"5565000","0.0056"
"5670000","0.0040999999999999995"
"5775000","0.0013"
"5880000","0.0060999999999999995"
"5985000","0.006"
"6090000","0.0048"
"6195000","0.0045"
"6300000","0.007300000000000001"
"6405000","0.0037"
"6510000","0.0058"
"6615000","0.006700000000000001"
"6720000","0.0035"
"6825000","0.0038"
"6930000","0.0028"
"7035000","0.005399999999999999"
"7140000","0.0044"
"7245000","0.006699999999999999"
"7350000","0.0054"
"7455000","0.0068000000000000005"
"7560000","0.004"
"7665000","0.0114"
"7770000","0.0121"
"7875000","0.0203"
"7980000","0.0189"
"8085000","0.008100000000000001"
"8190000","0.0085"
"8295000","0.0176"
"8400000","0.016399999999999998"
"8505000","0.0104"
"8610000","0.0068000000000000005"
"8715000","0.013100000000000002"
"8820000","0.0124"
"8925000","0.024"
"9030000","0.0218"
"9135000","0.039799999999999995"
"9240000","0.0173"
"9345000","0.0144"
"9450000","0.0101"
"9555000","0.013"
"9660000","0.0503"
"9765000","0.0465"
"9870000","0.0443"
"9975000","0.030800000000000004"
"10080000","0.0314"
"10185000","0.0238"
"10290000","0.0192"
"10395000","0.023800000000000005"
"10500000","0.0225"
"10605000","0.0254"
"10710000","0.021700000000000004"
"10815000","0.03319999999999999"
"10920000","0.033"
"11025000","0.037"
"11130000","0.0381"
"11235000","0.0367"
"11340000","0.0235"
"11445000","0.047200000000000006"
"11550000","0.0529"
"11655000","0.05790000000000001"
"11760000","0.084"
"11865000","0.0735"
"11970000","0.08530000000000001"
"12075000","0.08220000000000001"
"12180000","0.0932"
"12285000","0.0999"
"12390000","0.088"
"12495000","0.0931"
"12600000","0.0947"
"12705000","0.1062"
"12810000","0.1293"
"12915000","0.1211"
"13020000","0.132"
"13125000","0.1655"
"13230000","0.1589"
"13335000","0.15"
"13440000","0.1525"
"13545000","0.1604"
"13650000","0.1988"
"13755000","0.1757"
"13860000","0.1876"
"13965000","0.1678"
"14070000","0.1951"
"14175000","0.189"
"14280000","0.1875"
"14385000","0.15930000000000002"
"14490000","0.2067"
"14595000","0.2273"
"14700000","0.224"
"14805000","0.23210000000000003"
"14910000","0.1975"
"15015000","0.219"
"15120000","0.25110000000000005"
"15225000","0.2231"
"15330000","0.2395"
"15435000","0.2585"
"15540000","0.27729999999999994"
"15645000","0.30670000000000003"
"15750000","0.3068"
"15855000","0.31939999999999996"
"15960000","0.2658000000000001"
"16065000","0.29979999999999996"
"16170000","0.2904"
"16275000","0.2496"
"16380000","0.2877"
"16485000","0.271"
"16590000","0.30739999999999995"
"16695000","0.3014"
"16800000","0.30219999999999997"
"16905000","0.302"
"17010000","0.32730000000000004"
"17115000","0.3499"
"17220000","0.347"
"17325000","0.3703999999999999"
"17430000","0.3549"
"17535000","0.3904"
"17640000","0.3716"
"17745000","0.411"
"17850000","0.4016"
"17955000","0.4116"
"18060000","0.4266"
"18165000","0.42990000000000006"
"18270000","0.39829999999999993"
"18375000","0.41030000000000005"
"18480000","0.3854"
"18585000","0.3971"
"18690000","0.3799"
"18795000","0.3921"
"18900000","0.3828"
"19005000","0.388"
"19110000","0.38"
"19215000","0.3323"
"19320000","0.32820000000000005"
"19425000","0.4177"
"19530000","0.41820000000000007"
