"Step","reverse_pb_eval1_diversified_seed1 - cover_rate_5step","reverse_pb_eval1_diversified_seed2 - cover_rate_5step","reverse_pb_eval1_diversified_seed3 - cover_rate_5step"
"60000","0.015","0.018","0.021"
"120000","0.017","0.012","0.014"
"180000","0.011","0.016","0.017"
"240000","0.015","0.014","0.016"
"300000","0.012","0.015","0.012"
"360000","0.014","0.015","0.018"
"420000","0.011","0.021","0.016"
"480000","0.015","0.014","0.015"
"540000","0.008","0.018","0.018"
"600000","0.019","0.014","0.012"
"660000","0.016","0.017","0.018"
"720000","0.012","0.016","0.012"
"780000","0.009","0.021","0.008"
"840000","0.017","0.013","0.012"
"900000","0.017","0.018","0.016"
"960000","0.012","0.017","0.013"
"1020000","0.016","0.02","0.02"
"1080000","0.013","0.027","0.009"
"1140000","0.02","0.021","0.014"
"1200000","0.02","0.018","0.019"
"1260000","0.014","0.02","0.014"
"1320000","0.018","0.022","0.015"
"1380000","0.014","0.02","0.02"
"1440000","0.02","0.014","0.016"
"1500000","0.017","0.024","0.015"
"1560000","0.002","0.01","0.017"
"1620000","0.021","0.016","0.019"
"1680000","0.016","0.013","0.012"
"1740000","0.014","0.019","0.014"
"1800000","0.016","0.018","0.015"
"1860000","0.014","0.017","0.016"
"1920000","0.015","0.013","0.016"
"1980000","0.011","0.012","0.018"
"2040000","0.015","0.012","0.017"
"2100000","0.014","0.011","0.017"
"2160000","0.009","0.025","0.017"
"2220000","0.021","0.023","0.018"
"2280000","0.016","0.018","0.02"
"2340000","0.016","0.021","0.023"
"2400000","0.015","0.011","0.019"
"2460000","0.019","0.011","0.017"
"2520000","0.009","0.021","0.013"
"2580000","0.02","0.017","0.012"
"2640000","0.013","0.021","0.013"
"2700000","0.01","0.019","0.012"
"2760000","0.013","0.016","0.016"
"2820000","0.016","0.015","0.021"
"2880000","0.013","0.02","0.019"
"2940000","0.012","0.01","0.016"
"3000000","0.011","0.018","0.02"
"3060000","0.013","0.013","0.015"
"3120000","0.021","0.014","0.011"
"3180000","0.022","0.011","0.027"
"3240000","0.011","0.016","0.018"
"3300000","0.015","0.022","0.012"
"3360000","0.01","0.019","0.02"
"3420000","0.017","0.019","0.016"
"3480000","0.018","0.017","0.019"
"3540000","0.012","0.015","0.03"
"3600000","0.012","0.013","0.018"
"3660000","0.022","0.016","0.023"
"3720000","0.013","0.016","0.024"
"3780000","0.022","0.012","0.014"
"3840000","0.017","0.018","0.019"
"3900000","0.01","0.019","0.023"
"3960000","0.016","0.016","0.022"
"4020000","0.02","0.011","0.017"
"4080000","0.017","0.022","0.024"
"4140000","0.017","0.02","0.012"
"4200000","0.015","0.01","0.017"
"4260000","0.016","0.022","0.024"
"4320000","0.017","0.014","0.012"
"4380000","0.013","0.017","0.018"
"4440000","0.016","0.015","0.016"
"4500000","0.012","0.024","0.017"
"4560000","0.013","0.021","0.018"
"4620000","0.015","0.021","0.011"
"4680000","0.017","0.018","0.017"
"4740000","0.02","0.018","0.016"
"4800000","0.008","0.015","0.027399999999999997"
"4860000","0.022","0.013","0.02"
"4920000","0.021","0.015","0.02"
"4980000","0.02","0.028","0.023"
"5040000","0.01","0.013","0.031"
"5100000","0.018","0.017","0.017"
"5160000","0.013","0.015","0.02"
"5220000","0.013","0.0174","0.01"
"5280000","0.01","0.016","0.018"
"5340000","0.017","0.016","0.018"
"5400000","0.014","0.02","0.023"
"5460000","0.022","0.022","0.019"
"5520000","0.019","0.019","0.027399999999999997"
"5580000","0.012","0.013","0.021"
"5640000","0.02","0.016","0.025"
"5700000","0.022","0.02","0.017"
"5760000","0.012","0.021","0.021"
"5820000","0.012","0.018","0.016"
"5880000","0.018","0.018","0.025"
"5940000","0.015","0.027","0.02"
"6000000","0.009","0.016","0.019"
"6060000","0.016","0.0256","0.032"
"6120000","0.015","0.018","0.034"
"6180000","0.015","0.017","0.019"
"6240000","0.015","0.018","0.03"
"6300000","0.011","0.015","0.023399999999999997"
"6360000","0.013","0.0206","0.027"
"6420000","0.018","0.018","0.019"
"6480000","0.016","0.024","0.028"
"6540000","0.019","0.015","0.03"
"6600000","0.017","0.0176","0.038"
"6660000","0.015","0.026","0.04"
"6720000","0.011","0.015","0.027"
"6780000","0.012","0.016","0.029200000000000004"
"6840000","0.012","0.024","0.049"
"6900000","0.016","0.018","0.0482"
"6960000","0.017","0.018","0.0484"
"7020000","0.013","0.022","0.034"
"7080000","0.017","0.02","0.044"
"7140000","0.016","0.024","0.0488"
"7200000","0.014","0.021","0.038799999999999994"
"7260000","0.019","0.036","0.039"
"7320000","0.011","0.0112","0.051"
"7380000","0.015","0.022","0.0418"
"7440000","0.014","0.016","0.0556"
"7500000","0.019","0.02","0.0614"
"7560000","0.016","0.013","0.0566"
"7620000","0.018","0.018","0.061"
"7680000","0.009","0.02","0.0824"
"7740000","0.014","0.017","0.0586"
"7800000","0.008","0.025","0.07740000000000001"
"7860000","0.013","0.016","0.07579999999999999"
"7920000","0.012","0.02","0.0932"
"7980000","0.015","0.024","0.084"
"8040000","0.022","0.017","0.08940000000000001"
"8100000","0.012","0.022","0.0914"
"8160000","0.01","0.018","0.1004"
"8220000","0.01","0.027","0.0982"
"8280000","0.019","0.021","0.1006"
"8340000","0.01","0.013","0.1036"
"8400000","0.013","0.019","0.1152"
"8460000","0.017","0.023","0.1006"
"8520000","0.013","0.016","0.1048"
"8580000","0.013","0.02","0.1272"
"8640000","0.017","0.022","0.1234"
"8700000","0.014","0.027","0.1152"
"8760000","0.017","0.025","0.119"
"8820000","0.0092","0.0256","0.13340000000000002"
"8880000","0.021","0.031799999999999995","0.134"
"8940000","0.027","0.019","0.1202"
"9000000","0.023","0.027","0.129"
"9060000","0.023","0.024","0.13240000000000002"
"9120000","0.014","0.025","0.12519999999999998"
"9180000","0.02","0.036","0.1452"
"9240000","0.025","0.0282","0.1658"
"9300000","0.029","0.028","0.14639999999999995"
"9360000","0.01","0.0306","0.14980000000000002"
"9420000","0.011","0.027","0.15180000000000002"
"9480000","0.013","0.017","0.15639999999999998"
"9540000","0.014","0.023","0.1576"
"9600000","0.024","0.025","0.16720000000000002"
"9660000","0.019","0.026","0.165"
"9720000","0.017","0.0294","0.17860000000000004"
"9780000","0.019","0.0376","0.163"
"9840000","0.011","0.0436","0.1928"
"9900000","0.021","0.034","0.175"
"9960000","0.02","0.0322","0.1932"
"10020000","0.011","0.039200000000000006","0.179"
"10080000","0.016","0.0334","0.2004"
"10140000","0.024","0.05","0.2236"
"10200000","0.02","0.0482","0.222"
"10260000","0.025","0.052","0.2246"
"10320000","0.01","0.0512","0.2142"
"10380000","0.023","0.0494","0.2264"
"10440000","0.012","0.031","0.2102"
"10500000","0.021","0.045599999999999995","0.2182"
"10560000","0.02","0.056","0.225"
"10620000","0.013","0.051","0.2362"
"10680000","0.014","0.0518","0.2298"
"10740000","0.022","0.057","0.223"
"10800000","0.017","0.055799999999999995","0.2324"
"10860000","0.017","0.0492","0.214"
"10920000","0.02","0.0502","0.2318"
"10980000","0.024","0.071","0.2216"
"11040000","0.018","0.064","0.2402"
"11100000","0.018","0.0702","0.26280000000000003"
"11160000","0.015","0.0716","0.2522"
"11220000","0.023","0.075","0.2588"
"11280000","0.018","0.083","0.2618"
"11340000","0.027","0.07719999999999999","0.26139999999999997"
"11400000","0.024","0.0732","0.2524"
"11460000","0.018","0.0918","0.262"
"11520000","0.014","0.0866","0.2534"
"11580000","0.028","0.075","0.2626"
"11640000","0.022","0.0954","0.25660000000000005"
"11700000","0.018","0.0914","0.2268"
"11760000","0.009","0.108","0.27"
"11820000","0.023","0.11","0.279"
"11880000","0.0186","0.1172","0.2558"
"11940000","0.027","0.1072","0.2636"
"12000000","0.015","0.108","0.26039999999999996"
"12060000","0.025","0.127","0.2764"
"12120000","0.029","0.1154","0.26"
"12180000","0.0172","0.1196","0.2808"
"12240000","0.024","0.122","0.2994"
"12300000","0.013","0.1074","0.2836"
"12360000","0.0192","0.1198","0.30019999999999997"
"12420000","0.018","0.1176","0.2984"
"12480000","0.022","0.1292","0.3138"
"12540000","0.016","0.1358","0.2878"
"12600000","0.017","0.1256","0.3112"
"12660000","0.024","0.135","0.3058"
"12720000","0.02","0.1388","0.30419999999999997"
"12780000","0.014","0.1336","0.2894"
"12840000","0.016","0.12919999999999998","0.3082"
"12900000","0.02","0.1376","0.32939999999999997"
"12960000","0.019","0.1042","0.335"
"13020000","0.014","0.1026","0.32580000000000003"
"13080000","0.016","0.12960000000000002","0.3316"
"13140000","0.025","0.1348","0.35579999999999995"
"13200000","0.019","0.1392","0.337"
"13260000","0.023","0.132","0.32139999999999996"
"13320000","0.024","0.1298","0.3306"
"13380000","0.013","0.1368","0.3396"
"13440000","0.027","0.1418","0.3474"
"13500000","0.0244","0.145","0.35079999999999995"
"13560000","0.027","0.1386","0.2968"
"13620000","0.028","0.1556","0.3416"
"13680000","0.029","0.16560000000000002","0.3488"
"13740000","0.027","0.1734","0.3266"
"13800000","0.028","0.14220000000000002","0.3582"
"13860000","0.02","0.162","0.3462"
"13920000","0.018","0.157","0.3618"
"13980000","0.026","0.1576","0.33039999999999997"
"14040000","0.032","0.1946","0.3492"
"14100000","0.034","0.1792","0.359"
"14160000","0.026","0.1804","0.3484"
"14220000","0.022","0.1874","0.377"
"14280000","0.037","0.1862","0.372"
"14340000","0.0294","0.1762","0.3424"
"14400000","0.0292","0.1868","0.367"
"14460000","0.028","0.2006","0.3744"
"14520000","0.018","0.1834","0.3746"
"14580000","0.021","0.196","0.3966"
"14640000","0.0358","0.2002","0.365"
"14700000","0.019","0.198","0.3778"
"14760000","0.029","0.194","0.3718"
"14820000","0.022","0.2196","0.3703999999999999"
"14880000","0.03","0.20960000000000004","0.3338"
"14940000","0.029","0.19639999999999996","0.3818"
"15000000","0.03","0.2002","0.4082"
"15060000","0.036","0.195","0.3828"
"15120000","0.038","0.221","0.4034"
"15180000","0.033","0.217","0.3918"
"15240000","0.039","0.204","0.3752"
"15300000","0.0224","0.2024","0.40679999999999994"
"15360000","0.042","0.1974","0.3984"
"15420000","0.0312","0.203","0.389"
"15480000","0.036","0.2154","0.4062"
"15540000","0.032","0.2402","0.409"
"15600000","0.0338","0.24759999999999996","0.3974"
"15660000","0.038","0.2238","0.3918"
"15720000","0.0484","0.225","0.40220000000000006"
"15780000","0.0406","0.2266","0.4026"
"15840000","0.0456","0.238","0.4206"
"15900000","0.0488","0.2256","0.4136"
"15960000","0.045","0.2438","0.4376"
"16020000","0.047","0.2238","0.4346"
"16080000","0.0534","0.24220000000000003","0.4326"
"16140000","0.052","0.23939999999999995","0.4216"
"16200000","0.047","0.259","0.4408"
"16260000","0.0448","0.2372","0.46279999999999993"
"16320000","0.068","0.2242","0.4398"
"16380000","0.042","0.248","0.4408"
"16440000","0.0502","0.23439999999999997","0.4326"
"16500000","0.0576","0.2218","0.432"
"16560000","0.0486","0.2328","0.4646"
"16620000","0.0586","0.2576","0.43"
"16680000","0.0704","0.274","0.4588"
"16740000","0.056","0.2516","0.4462"
"16800000","0.0614","0.25060000000000004","0.46820000000000006"
"16860000","0.0644","0.267","0.4532"
"16920000","0.0576","0.262","0.4514"
"16980000","0.059","0.2548","0.4468"
"17040000","0.0658","0.243","0.4596"
"17100000","0.06","0.244","0.477"
"17160000","0.065","0.26659999999999995","0.4606"
"17220000","0.07840000000000001","0.2726","0.4672"
"17280000","0.0778","0.25739999999999996","0.458"
"17340000","0.062200000000000005","0.23839999999999997","0.48020000000000007"
"17400000","0.0636","0.2358","0.4586"
"17460000","0.079","0.25179999999999997","0.468"
"17520000","0.083","0.26180000000000003","0.5075999999999999"
"17580000","0.08259999999999999","0.25880000000000003","0.489"
"17640000","0.081","0.2652","0.479"
"17700000","0.0824","0.26339999999999997","0.5006"
"17760000","0.08","0.2578","0.487"
"17820000","0.0968","0.2418","0.4926"
"17880000","0.0984","0.25360000000000005","0.5045999999999999"
"17940000","0.088","0.283","0.5025999999999999"
"18000000","0.08259999999999999","0.26180000000000003","0.4826"
"18060000","0.089","0.254","0.5058"
"18120000","0.0944","0.2496","0.5004000000000001"
"18180000","0.107","0.271","0.5171999999999999"
"18240000","0.114","0.2488","0.4982"
"18300000","0.1184","0.2542","0.476"
"18360000","0.1112","0.25079999999999997","0.49140000000000006"
"18420000","0.092","0.2746","0.4956"
"18480000","0.1388","0.25039999999999996","0.5154"
"18540000","0.11980000000000002","0.279","0.5107999999999999"
"18600000","0.1156","0.26520000000000005","0.525"
"18660000","0.1336","0.2832","0.5172"
"18720000","0.1264","0.285","0.5232"
"18780000","0.138","0.2508","0.525"
"18840000","0.1108","0.272","0.5106"
"18900000","0.1208","0.2676","0.5398"
"18960000","0.1112","0.2828","0.5276"
"19020000","0.1042","0.2726","0.5502"
"19080000","0.1148","0.2846","0.5632"
"19140000","0.1274","0.2698","0.5364000000000001"
"19200000","0.1114","0.2686","0.5232"
"19260000","0.12919999999999998","0.2644","0.5531999999999999"
"19320000","0.1084","0.26580000000000004","0.539"
"19380000","0.1168","0.2776","0.5658"
"19440000","0.141","0.2772","0.5448"
"19500000","0.1034","0.2896","0.519"
"19560000","0.1428","0.27920000000000006","0.5436"
"19620000","0.13140000000000002","0.2736","0.5418000000000001"
"19680000","0.123","0.2866","0.5277999999999999"
"19740000","0.1172","0.27","0.5432"
"19800000","0.1422","0.2812","0.5538"
"19860000","0.134","0.30419999999999997","0.54"
"19920000","0.12919999999999998","0.299","0.5508"
"19980000","0.1504","0.289","0.5388"
"20040000","0.1356","0.2824","0.548"
"20100000","0.148","0.3044","0.5505999999999999"
"20160000","0.1336","0.2676","0.5454"
"20220000","0.13340000000000002","0.2936","0.5654"
"20280000","0.1512","0.2826","0.5711999999999999"
"20340000","0.12979999999999997","0.2852","0.5754"
"20400000","0.1502","0.2944","0.5762"
"20460000","0.1586","0.2928","0.5762"
"20520000","0.16419999999999998","0.261","0.5636"
"20580000","0.144","0.2968","0.553"
"20640000","0.1652","0.2988","0.5734000000000001"
"20700000","0.1452","0.2766","0.5681999999999999"
"20760000","0.1662","0.2906","0.5722"
"20820000","0.16820000000000002","0.293","0.5662"
"20880000","0.1688","0.2838","0.5745999999999999"
"20940000","0.16219999999999998","0.29440000000000005","0.581"
"21000000","0.1706","0.28920000000000007","0.5816"
"21060000","0.1594","0.31260000000000004","0.5903999999999999"
"21120000","0.15860000000000002","0.28520000000000006","0.5912000000000001"
"21180000","0.155","0.32139999999999996","0.5835999999999999"
"21240000","0.1542","0.30560000000000004","0.5605999999999999"
"21300000","0.15719999999999998","0.31539999999999996","0.584"
"21360000","0.1556","0.2936","0.5632"
"21420000","0.15780000000000002","0.30060000000000003","0.5728"
"21480000","0.162","0.30319999999999997","0.579"
"21540000","0.166","0.30639999999999995","0.5834"
"21600000","0.172","0.30160000000000003","0.6038"
"21660000","0.1726","0.308","0.596"
"21720000","0.1782","0.30679999999999996","0.5943999999999999"
"21780000","0.1768","0.29","0.5726"
"21840000","0.1714","0.302","0.624"
"21900000","0.1626","0.2886","0.6096"
"21960000","0.1788","0.288","0.5893999999999999"
"22020000","0.1724","0.29719999999999996","0.5852"
"22080000","0.1778","0.31279999999999997","0.5892000000000001"
"22140000","0.1874","0.3082","0.6034"
"22200000","0.1928","0.30619999999999997","0.576"
"22260000","0.1808","0.2926","0.593"
"22320000","0.17720000000000002","0.30319999999999997","0.5798"
"22380000","0.1858","0.331","0.6154000000000001"
"22440000","0.197","0.3116","0.5834000000000001"
"22500000","0.1826","0.30660000000000004","0.6016"
"22560000","0.17859999999999998","0.30779999999999996","0.587"
"22620000","0.1732","0.32080000000000003","0.6102000000000001"
"22680000","0.181","0.30279999999999996","0.617"
"22740000","0.2006","0.3028","0.5908"
"22800000","0.2194","0.2914","0.6038"
"22860000","0.1902","0.29519999999999996","0.5958000000000001"
"22920000","0.2164","0.30979999999999996","0.6073999999999999"
"22980000","0.2176","0.29860000000000003","0.6048"
"23040000","0.2202","0.3034","0.617"
"23100000","0.2022","0.2936","0.6164"
"23160000","0.1944","0.3018","0.6235999999999999"
"23220000","0.20160000000000003","0.31039999999999995","0.5906"
"23280000","0.1924","0.3088","0.6214"
"23340000","0.191","0.3034","0.5798"
"23400000","0.207","0.30879999999999996","0.6194"
"23460000","0.209","0.32139999999999996","0.611"
"23520000","0.2342","0.29279999999999995","0.6062"
"23580000","0.2058","0.2878","0.6282000000000001"
"23640000","0.2168","0.2974","0.6032000000000001"
"23700000","0.2328","0.313","0.6008"
"23760000","0.2138","0.29719999999999996","0.6045999999999999"
"23820000","0.2254","0.3088","0.6136"
"23880000","0.2148","0.29519999999999996","0.6134000000000001"
"23940000","0.2424","0.3058","0.6342000000000001"
"24000000","0.2086","0.31920000000000004","0.6162000000000001"
"24060000","0.222","0.30639999999999995","0.605"
"24120000","0.2212","0.309","0.609"
"24180000","0.2352","0.3194","0.6274"
"24240000","0.23460000000000003","0.3204","0.634"
"24300000","0.21520000000000003","0.314","0.6292000000000001"
"24360000","0.237","0.32120000000000004","0.6154"
"24420000","0.23","0.3326","0.6142000000000001"
"24480000","0.2386","0.322","0.6364000000000001"
"24540000","0.23","0.30160000000000003","0.598"
"24600000","0.2212","0.31420000000000003","0.6262000000000001"
"24660000","0.2394","0.31539999999999996","0.6123999999999999"
"24720000","0.2298","0.28620000000000007","0.6048"
"24780000","0.226","0.30639999999999995","0.6225999999999999"
"24840000","0.2132","0.3082","0.605"
"24900000","0.2338","0.3072","0.598"
"24960000","0.2334","0.3266","0.6142000000000001"
"25020000","0.2312","0.32039999999999996","0.6332"
"25080000","0.20460000000000003","0.3092","0.6276"
"25140000","0.2252","0.3008","0.6217999999999999"
"25200000","0.2562","0.3008","0.6227999999999999"
"25260000","0.2234","0.3288","0.622"
"25320000","0.2554","0.34579999999999994","0.6124"
"25380000","0.2394","0.32439999999999997","0.5893999999999999"
"25440000","0.2316","0.33020000000000005","0.6252000000000001"
"25500000","0.228","0.3262","0.6023999999999999"
"25560000","0.2448","0.32839999999999997","0.6315999999999999"
"25620000","0.2516","0.3238","0.614"
"25680000","0.235","0.3524","0.6307999999999999"
"25740000","0.227","0.326","0.6345999999999999"
"25800000","0.2402","0.32639999999999997","0.6406000000000001"
"25860000","0.2534","0.3182","0.6264"
"25920000","0.2504","0.3276","0.6492"
"25980000","0.2282","0.32320000000000004","0.6304"
"26040000","0.254","0.3142","0.6022"
"26100000","0.2534","0.3088","0.6225999999999999"
"26160000","0.2468","0.3266","0.617"
"26220000","0.2296","0.33320000000000005","0.6316000000000002"
"26280000","0.2466","0.324","0.6277999999999999"
"26340000","0.239","0.3388","0.6234"
"26400000","0.2296","0.335","0.638"
"26460000","0.2252","0.3326","0.6128000000000001"
"26520000","0.231","0.356","0.6396"
"26580000","0.2268","0.3394","0.6492"
"26640000","0.251","0.34759999999999996","0.646"
"26700000","0.235","0.318","0.6285999999999999"
"26760000","0.24120000000000005","0.34459999999999996","0.6507999999999999"
"26820000","0.26780000000000004","0.361","0.66"
"26880000","0.2464","0.329","0.6434"
"26940000","0.2554","0.3504","0.654"
"27000000","0.2458","0.34379999999999994","0.6412"
"27060000","0.27","0.3462","0.6347999999999999"
"27120000","0.2758","0.3434","0.646"
"27180000","0.252","0.3446","0.6356"
"27240000","0.241","0.31139999999999995","0.659"
"27300000","0.2598","0.3302","0.6396"
"27360000","0.26739999999999997","0.3428","0.6676000000000001"
"27420000","0.2534","0.342","0.645"
"27480000","0.25680000000000003","0.3454","0.6467999999999999"
"27540000","0.2698","0.3378","0.6542"
"27600000","0.2712","0.3348","0.6442"
"27660000","0.25639999999999996","0.32739999999999997","0.6514000000000001"
"27720000","0.2572","0.31579999999999997","0.679"
"27780000","0.277","0.319","0.6348"
"27840000","0.26480000000000004","0.35479999999999995","0.6692"
"27900000","0.26539999999999997","0.345","0.6654"
"27960000","0.2528","0.3332","0.6542"
"28020000","0.2722","0.3426","0.6716"
"28080000","0.2654","0.34120000000000006","0.6542"
"28140000","0.28279999999999994","0.33379999999999993","0.661"
"28200000","0.254","0.34420000000000006","0.649"
"28260000","0.2806","0.34820000000000007","0.6502"
"28320000","0.2776","0.3404","0.6446000000000001"
"28380000","0.26959999999999995","0.3468","0.6612"
"28440000","0.2762","0.3426","0.6554"
"28500000","0.2728","0.32539999999999997","0.6557999999999999"
"28560000","0.273","0.3456","0.6601999999999999"
"28620000","0.2776","0.3298","0.6544"
"28680000","0.27640000000000003","0.3458","0.6721999999999999"
"28740000","0.2872","0.357","0.6685999999999999"
"28800000","0.2866","0.3506","0.6655999999999999"
"28860000","0.2962","0.34020000000000006","0.6624"
"28920000","0.269","0.356","0.6506000000000001"
"28980000","0.2876","0.352","0.6524000000000001"
"29040000","0.2726","0.333","0.6482"
"29100000","0.2738","0.35","0.6702"
"29160000","0.2766","0.3644","0.6888000000000001"
"29220000","0.2912","0.35619999999999996","0.6538"
"29280000","0.27179999999999993","0.3524","0.6905999999999999"
"29340000","0.2926","0.3402","0.661"
"29400000","0.2838","0.3432","0.675"
"29460000","0.2804","0.3378","0.6592"
"29520000","0.2998","0.3652","0.6926"
"29580000","0.2892","0.3548","0.6794000000000001"
"29640000","0.2952","0.35740000000000005","0.657"
"29700000","0.281","0.3622","0.6792"
"29760000","0.2706","0.3494","0.6934000000000001"
"29820000","0.28120000000000006","0.3484","0.6898"
"29880000","0.3072","0.35420000000000007","0.6795999999999999"
"29940000","0.2804","0.3696","0.6678"
"30000000","0.3114","0.3606","0.676"
"30060000","0.2724","0.3608","0.698"
"30120000","0.2818","0.355","0.6816"
"30180000","0.29619999999999996","0.346","0.6902"
"30240000","0.29560000000000003","0.326","0.6714"
"30300000","0.2878","0.3316","0.6792"
"30360000","0.2778","0.3448","0.691"
"30420000","0.2874","0.344","0.6796"
"30480000","0.2888","0.35379999999999995","0.7016"
"30540000","0.29819999999999997","0.32920000000000005","0.647"
"30600000","0.286","0.344","0.6892"
"30660000","0.2938","0.349","0.6735999999999999"
"30720000","0.2814","0.3522","0.6786"
"30780000","0.3044","0.351","0.6685999999999999"
