"Step","reverse_eval1_diversified_sp_seed3 - cover_rate_1step","reverse_eval1_diversified_sp_seed2 - cover_rate_1step","reverse_eval1_diversified_sp_seed1 - cover_rate_1step"
"35000","0.002","0.0025","0.003"
"70000","0","0","0"
"105000","0.0005","0","0"
"140000","0.0015","0.0005","0"
"175000","0.004","0","0.0015"
"210000","0.004","0.0005","0.0005"
"245000","0.0035","0.0005","0.0005"
"280000","0.0035","0.0025","0.0005"
"315000","0.004","0.0015","0.0015"
"350000","0.002","0.0005","0.0015"
"385000","0.003","0.0005","0.0035"
"420000","0.003","0.0055","0.005"
"455000","0.0035","0.006","0.007"
"490000","0.0025","0.009","0.0095"
"525000","0.005","0.012","0.006"
"560000","0.005","0.0095","0.0055"
"595000","0.0045","0.018","0.0095"
"630000","0.003","0.027","0.005"
"665000","0.0035","0.033","0.008"
"700000","0.0095","0.036","0.008"
"735000","0.006","0.0335","0.009"
"770000","0.0075","0.0425","0.0105"
"805000","0.0125","0.0825","0.0085"
"840000","0.01","0.1355","0.0125"
"875000","0.0145","0.152","0.014"
"910000","0.023","0.2015","0.012"
"945000","0.04","0.1905","0.0145"
"980000","0.049","0.2015","0.0125"
"1015000","0.095","0.253","0.0155"
"1050000","0.1065","0.2635","0.014"
"1085000","0.1125","0.278","0.023"
"1120000","0.1105","0.261","0.027"
"1155000","0.1225","0.284","0.0235"
"1190000","0.1035","0.296","0.027"
"1225000","0.12","0.3115","0.032"
"1260000","0.1285","0.3195","0.0285"
"1295000","0.138","0.321","0.0325"
"1330000","0.1385","0.33","0.032"
"1365000","0.1365","0.332","0.045"
"1400000","0.1485","0.3425","0.053"
"1435000","0.135","0.333","0.0445"
"1470000","0.1415","0.3545","0.059"
"1505000","0.136","0.3685","0.065"
"1540000","0.168","0.353","0.0545"
"1575000","0.175","0.36","0.0485"
"1610000","0.1695","0.3635","0.065"
"1645000","0.155","0.3635","0.0895"
"1680000","0.159","0.375","0.0775"
"1715000","0.159","0.385","0.077"
"1750000","0.165","0.403","0.0805"
"1785000","0.161","0.406","0.082"
"1820000","0.1455","0.417","0.1005"
"1855000","0.163","0.419","0.0965"
"1890000","0.1795","0.419","0.096"
"1925000","0.17","0.4335","0.094"
"1960000","0.187","0.43","0.098"
"1995000","0.1985","0.433","0.0975"
"2030000","0.1835","0.445","0.0985"
"2065000","0.195","0.4325","0.096"
"2100000","0.172","0.445","0.1"
"2135000","0.1775","0.4575","0.101"
"2170000","0.1765","0.469","0.089"
"2205000","0.191","0.4495","0.095"
"2240000","0.19","0.445","0.097"
"2275000","0.187","0.4665","0.1045"
"2310000","0.1895","0.4675","0.101"
"2345000","0.197","0.471","0.09"
"2380000","0.193","0.4775","0.094"
"2415000","0.176","0.4655","0.086"
"2450000","0.179","0.489","0.0715"
"2485000","0.189","0.4585","0.0745"
"2520000","0.188","0.4895","0.087"
"2555000","0.1715","0.4845","0.096"
"2590000","0.1585","0.49","0.084"
"2625000","0.158","0.491","0.0875"
"2660000","0.1515","0.47","0.0945"
"2695000","0.1325","0.4885","0.076"
"2730000","0.126","0.5095","0.092"
"2765000","0.1005","0.5025","0.079"
"2800000","0.1105","0.509","0.075"
"2835000","0.114","0.508","0.081"
"2870000","0.107","0.5065","0.069"
"2905000","0.128","0.4985","0.0735"
"2940000","0.116","0.5185","0.086"
"2975000","0.1205","0.5045","0.0715"
"3010000","0.123","0.5045","0.073"
"3045000","0.142","0.5165","0.077"
"3080000","0.1205","0.4965","0.09"
"3115000","0.1445","0.5335","0.076"
"3150000","0.1505","0.5145","0.068"
"3185000","0.143","0.5255","0.0755"
"3220000","0.157","0.5035","0.0725"
"3255000","0.134","0.4925","0.0755"
"3290000","0.146","0.511","0.0775"
"3325000","0.1435","0.515","0.0885"
"3360000","0.148","0.5255","0.08"
"3395000","0.1395","0.535","0.0775"
"3430000","0.1395","0.5425","0.093"
"3465000","0.1305","0.515","0.0855"
"3500000","0.147","0.524","0.0925"
"3535000","0.138","0.5315","0.093"
"3570000","0.1295","0.526","0.0865"
"3605000","0.146","0.543","0.0835"
"3640000","0.1235","0.543","0.088"
"3675000","0.116","0.5405","0.11"
"3710000","0.1145","0.535","0.0885"
"3745000","0.124","0.5375","0.098"
"3780000","0.116","0.542","0.1085"
"3815000","0.1285","0.545","0.1045"
"3850000","0.1195","0.548","0.1155"
"3885000","0.133","0.55","0.1045"
"3920000","0.134","0.56","0.109"
"3955000","0.144","0.551","0.135"
"3990000","0.1445","0.5675","0.1245"
"4025000","0.1325","0.5535","0.119"
"4060000","0.149","0.571","0.1075"
"4095000","0.147","0.5685","0.1275"
"4130000","0.1415","0.5665","0.128"
"4165000","0.1305","0.5735","0.1315"
"4200000","0.15","0.568","0.1185"
"4235000","0.1455","0.5825","0.13"
"4270000","0.1505","0.5565","0.124"
"4305000","0.162","0.552","0.1385"
"4340000","0.1285","0.592","0.1455"
"4375000","0.1395","0.5945","0.132"
"4410000","0.131","0.5865","0.1385"
"4445000","0.1215","0.579","0.1485"
"4480000","0.135","0.583","0.1445"
"4515000","0.134","0.587","0.1515"
"4550000","0.137","0.587","0.1425"
"4585000","0.1355","0.591","0.1445"
"4620000","0.1395","0.6145","0.142"
"4655000","0.1335","0.602","0.1355"
"4690000","0.143","0.5935","0.146"
"4725000","0.152","0.608","0.136"
"4760000","0.145","0.611","0.159"
"4795000","0.138","0.5955","0.1745"
"4830000","0.146","0.626","0.158"
"4865000","0.1485","0.6105","0.1725"
"4900000","0.1365","0.616","0.1595"
"4935000","0.147","0.6055","0.1605"
"4970000","0.136","0.619","0.1705"
"5005000","0.142","0.622","0.1695"
"5040000","0.1315","0.6235","0.1775"
"5075000","0.151","0.6165","0.1605"
"5110000","0.127","0.657","0.165"
"5145000","0.1565","0.648","0.183"
"5180000","0.16","0.641","0.1865"
"5215000","0.162","0.628","0.1705"
"5250000","0.1695","0.631","0.1855"
"5285000","0.156","0.6405","0.1925"
"5320000","0.176","0.637","0.1775"
"5355000","0.193","0.653","0.1905"
"5390000","0.164","0.6375","0.1725"
"5425000","0.1655","0.6355","0.1725"
"5460000","0.1835","0.6285","0.175"
"5495000","0.177","0.633","0.188"
"5530000","0.1705","0.631","0.177"
"5565000","0.163","0.6565","0.2215"
"5600000","0.15","0.6545","0.204"
"5635000","0.1625","0.6355","0.1945"
"5670000","0.1675","0.6505","0.181"
"5705000","0.1465","0.636","0.2155"
"5740000","0.1625","0.643","0.2115"
"5775000","0.1555","0.655","0.179"
"5810000","0.157","0.6575","0.18"
"5845000","0.1705","0.6435","0.1925"
"5880000","0.152","0.668","0.193"
"5915000","0.167","0.681","0.221"
"5950000","0.18","0.6725","0.1985"
"5985000","0.176","0.6565","0.205"
"6020000","0.1795","0.6405","0.1935"
"6055000","0.182","0.6645","0.1945"
"6090000","0.1745","0.6785","0.198"
"6125000","0.1755","0.681","0.207"
"6160000","0.173","0.66","0.172"
"6195000","0.171","0.671","0.195"
"6230000","0.1905","0.6915","0.1865"
"6265000","0.2045","0.675","0.1775"
"6300000","0.198","0.685","0.201"
"6335000","0.216","0.6635","0.205"
"6370000","0.206","0.69","0.179"
"6405000","0.203","0.6755","0.191"
"6440000","0.2135","0.6695","0.18"
"6475000","0.2135","0.686","0.1925"
"6510000","0.2005","0.6855","0.199"
"6545000","0.1895","0.668","0.211"
"6580000","0.219","0.6585","0.2335"
"6615000","0.193","0.6765","0.219"
"6650000","0.21","0.6635","0.202"
"6685000","0.2085","0.6775","0.2125"
"6720000","0.1955","0.657","0.1925"
"6755000","0.2175","0.6825","0.214"
