"Step","reverse_pb_eval1_novelty_seed1 - cover_rate_5step","reverse_pb_eval1_novelty_seed2 - cover_rate_5step","reverse_pb_eval1_novelty_seed3 - cover_rate_5step"
"60000","0.015","0.018","0.021"
"120000","0.017","0.012","0.014"
"180000","0.011","0.016","0.017"
"240000","0.015","0.014","0.016"
"300000","0.012","0.016","0.012"
"360000","0.014","0.014","0.018"
"420000","0.011","0.019","0.016"
"480000","0.015","0.014","0.015"
"540000","0.012","0.016","0.017"
"600000","0.018","0.013","0.01"
"660000","0.017","0.017","0.015"
"720000","0.012","0.016","0.013"
"780000","0.01","0.023","0.009"
"840000","0.019","0.011","0.013"
"900000","0.016","0.017","0.016"
"960000","0.012","0.013","0.012"
"1020000","0.019","0.021","0.016"
"1080000","0.012","0.027","0.012"
"1140000","0.018","0.02","0.016"
"1200000","0.02","0.015","0.019"
"1260000","0.012","0.02","0.016"
"1320000","0.018","0.024","0.021"
"1380000","0.013","0.017","0.02"
"1440000","0.021","0.014","0.019"
"1500000","0.015","0.021","0.016"
"1560000","0.003","0.008","0.014"
"1620000","0.021","0.017","0.024"
"1680000","0.015","0.011","0.016"
"1740000","0.014","0.017","0.017"
"1800000","0.015","0.013","0.014"
"1860000","0.013","0.021","0.015"
"1920000","0.019","0.014","0.019"
"1980000","0.012","0.017","0.015"
"2040000","0.015","0.012","0.019"
"2100000","0.013","0.015","0.017"
"2160000","0.01","0.026","0.017"
"2220000","0.021","0.023","0.02"
"2280000","0.017","0.021","0.021"
"2340000","0.015","0.019","0.022"
"2400000","0.016","0.009","0.019"
"2460000","0.018","0.014","0.019"
"2520000","0.01","0.02","0.013"
"2580000","0.02","0.018","0.015"
"2640000","0.013","0.022","0.016"
"2700000","0.012","0.019","0.012"
"2760000","0.011","0.015","0.015"
"2820000","0.014","0.017","0.022"
"2880000","0.01","0.019","0.023"
"2940000","0.013","0.009","0.019"
"3000000","0.011","0.026","0.019"
"3060000","0.012","0.014","0.016"
"3120000","0.019","0.012","0.011"
"3180000","0.021","0.011","0.022"
"3240000","0.011","0.019","0.017"
"3300000","0.015","0.023","0.012"
"3360000","0.01","0.018","0.017"
"3420000","0.017","0.019","0.018"
"3480000","0.016","0.019","0.016"
"3540000","0.014","0.011","0.032"
"3600000","0.013","0.013","0.02"
"3660000","0.02","0.018","0.024"
"3720000","0.013","0.019","0.019"
"3780000","0.021","0.011","0.018"
"3840000","0.017","0.016","0.018"
"3900000","0.015","0.019","0.022"
"3960000","0.017","0.018","0.024"
"4020000","0.022","0.015","0.015"
"4080000","0.016","0.019","0.029"
"4140000","0.02","0.014","0.014"
"4200000","0.014","0.013","0.018"
"4260000","0.014","0.021","0.021"
"4320000","0.018","0.02","0.018"
"4380000","0.012","0.015","0.02"
"4440000","0.018","0.014","0.018"
"4500000","0.011","0.022","0.022"
"4560000","0.013","0.02","0.019"
"4620000","0.015","0.02","0.025"
"4680000","0.016","0.024","0.025"
"4740000","0.02","0.018","0.022"
"4800000","0.007","0.017","0.025"
"4860000","0.021","0.022","0.023"
"4920000","0.019","0.017","0.03"
"4980000","0.021","0.024","0.028"
"5040000","0.01","0.015","0.034"
"5100000","0.018","0.018","0.0284"
"5160000","0.012","0.016","0.0278"
"5220000","0.018","0.017","0.023"
"5280000","0.01","0.014","0.033"
"5340000","0.014","0.02","0.037"
"5400000","0.015","0.022","0.04"
"5460000","0.02","0.0216","0.035"
"5520000","0.018","0.014","0.0396"
"5580000","0.012","0.013","0.0528"
"5640000","0.02","0.018","0.0566"
"5700000","0.021","0.016","0.054"
"5760000","0.013","0.021","0.044"
"5820000","0.009","0.017","0.057"
"5880000","0.017","0.0182","0.0506"
"5940000","0.015","0.0264","0.062"
"6000000","0.012","0.014","0.0574"
"6060000","0.014","0.027","0.0886"
"6120000","0.016","0.02","0.0644"
"6180000","0.016","0.02","0.072"
"6240000","0.014","0.021","0.0924"
"6300000","0.013","0.0172","0.07740000000000001"
"6360000","0.014","0.024","0.1134"
"6420000","0.018","0.017","0.103"
"6480000","0.015","0.021","0.093"
"6540000","0.017","0.016","0.11"
"6600000","0.015","0.019","0.1138"
"6660000","0.016","0.026","0.1124"
"6720000","0.011","0.017","0.1262"
"6780000","0.011","0.019","0.1162"
"6840000","0.012","0.023399999999999997","0.1318"
"6900000","0.016","0.02","0.13720000000000002"
"6960000","0.016","0.022","0.146"
"7020000","0.012","0.022","0.1418"
"7080000","0.019","0.021","0.15539999999999998"
"7140000","0.011","0.026","0.143"
"7200000","0.016","0.019","0.1698"
"7260000","0.02","0.03","0.167"
"7320000","0.012","0.014","0.1876"
"7380000","0.014","0.017","0.1482"
"7440000","0.016","0.015","0.18"
"7500000","0.018","0.026","0.1966"
"7560000","0.013","0.014","0.1992"
"7620000","0.018","0.021","0.1888"
"7680000","0.009","0.014","0.181"
"7740000","0.015","0.019600000000000003","0.1914"
"7800000","0.009","0.03","0.2298"
"7860000","0.01","0.021","0.2216"
"7920000","0.015","0.021","0.234"
"7980000","0.014","0.021","0.2192"
"8040000","0.021","0.024","0.2258"
"8100000","0.012","0.023","0.231"
"8160000","0.01","0.0222","0.2308"
"8220000","0.009","0.0232","0.2316"
"8280000","0.018","0.0264","0.225"
"8340000","0.009","0.0192","0.238"
"8400000","0.016","0.0254","0.2558"
"8460000","0.015","0.025","0.251"
"8520000","0.012","0.022","0.263"
"8580000","0.01","0.015","0.249"
"8640000","0.014","0.026","0.2736"
"8700000","0.015","0.038","0.2796"
"8760000","0.012","0.026","0.26839999999999997"
"8820000","0.009","0.026","0.2774"
"8880000","0.018","0.0266","0.286"
"8940000","0.019","0.0306","0.26239999999999997"
"9000000","0.019","0.023","0.2826"
"9060000","0.02","0.0294","0.25220000000000004"
"9120000","0.01","0.0344","0.2784"
"9180000","0.015","0.0312","0.2764"
"9240000","0.021","0.0286","0.3088"
"9300000","0.021","0.0426","0.281"
"9360000","0.008","0.033","0.292"
"9420000","0.009","0.023399999999999997","0.30219999999999997"
"9480000","0.012","0.02","0.304"
"9540000","0.018","0.032600000000000004","0.2914"
"9600000","0.02","0.027399999999999997","0.3202"
"9660000","0.02","0.026","0.3032"
"9720000","0.016","0.029","0.30160000000000003"
"9780000","0.012","0.05","0.3"
"9840000","0.01","0.035","0.3262"
"9900000","0.02","0.031","0.32120000000000004"
"9960000","0.011","0.028","0.3188"
"10020000","0.011","0.043","0.3104"
"10080000","0.01","0.0358","0.3158"
"10140000","0.023","0.039799999999999995","0.3444"
"10200000","0.016","0.024","0.31639999999999996"
"10260000","0.021","0.051","0.3376"
"10320000","0.009","0.0432","0.3398"
"10380000","0.018","0.047","0.333"
"10440000","0.01","0.021","0.338"
"10500000","0.019","0.037","0.3548"
"10560000","0.012","0.051","0.3548"
"10620000","0.01","0.028","0.33979999999999994"
"10680000","0.015","0.0424","0.345"
"10740000","0.021","0.0438","0.355"
"10800000","0.016","0.0406","0.35279999999999995"
"10860000","0.015","0.038","0.3472"
"10920000","0.011","0.0432","0.3628"
"10980000","0.024","0.056","0.3354"
"11040000","0.016","0.036","0.352"
"11100000","0.018","0.0514","0.3638"
"11160000","0.011","0.037","0.3464"
"11220000","0.018","0.051","0.3582"
"11280000","0.015","0.0442","0.3756"
"11340000","0.016","0.044","0.3568"
"11400000","0.019","0.042","0.3794"
"11460000","0.014","0.0538","0.3718"
"11520000","0.012","0.055200000000000006","0.353"
"11580000","0.019","0.0412","0.3584"
"11640000","0.017","0.038","0.35660000000000003"
"11700000","0.012","0.051","0.3556"
"11760000","0.012","0.056","0.353"
"11820000","0.021","0.061799999999999994","0.3864"
"11880000","0.011","0.048","0.35919999999999996"
"11940000","0.02","0.045","0.3713999999999999"
"12000000","0.013","0.061799999999999994","0.3878"
"12060000","0.016","0.0668","0.3994"
"12120000","0.023","0.0626","0.3754"
"12180000","0.014","0.0578","0.3806000000000001"
"12240000","0.018","0.0518","0.387"
"12300000","0.012","0.0578","0.3816000000000001"
"12360000","0.018","0.0574","0.40320000000000006"
"12420000","0.014","0.0718","0.39"
"12480000","0.017","0.0644","0.4016"
"12540000","0.013","0.068","0.3862"
"12600000","0.012","0.0588","0.3884"
"12660000","0.022","0.072","0.3996"
"12720000","0.014","0.06459999999999999","0.395"
"12780000","0.01","0.053","0.3824"
"12840000","0.011","0.07519999999999999","0.4094"
"12900000","0.011","0.076","0.40779999999999994"
"12960000","0.014","0.0564","0.3878"
"13020000","0.01","0.0534","0.3744"
"13080000","0.006","0.06680000000000001","0.40279999999999994"
"13140000","0.017","0.0684","0.3938"
"13200000","0.012","0.0644","0.3878"
"13260000","0.014","0.0836","0.3908"
"13320000","0.018","0.0678","0.3854"
"13380000","0.01","0.0782","0.4056"
"13440000","0.022","0.08","0.4026"
"13500000","0.019","0.079","0.397"
"13560000","0.023","0.07440000000000001","0.3726"
"13620000","0.018","0.07859999999999999","0.387"
"13680000","0.011","0.0864","0.394"
"13740000","0.028","0.0942","0.4082"
"13800000","0.02","0.0846","0.422"
"13860000","0.014","0.0804","0.3784"
"13920000","0.016","0.088","0.393"
"13980000","0.0182","0.079","0.395"
"14040000","0.03","0.088","0.3916"
"14100000","0.023","0.0834","0.4102"
"14160000","0.013","0.08059999999999999","0.3982"
"14220000","0.013","0.08719999999999999","0.4096"
"14280000","0.026","0.0824","0.3966"
"14340000","0.015","0.0856","0.3974"
"14400000","0.012","0.0918","0.4104"
"14460000","0.014","0.078","0.3914"
"14520000","0.014","0.076","0.404"
"14580000","0.014","0.07959999999999999","0.4122"
"14640000","0.019","0.086","0.413"
"14700000","0.015","0.088","0.401"
"14760000","0.017","0.0814","0.3918"
"14820000","0.013","0.1094","0.4114"
"14880000","0.0182","0.0858","0.4"
"14940000","0.016","0.1008","0.398"
"15000000","0.014","0.097","0.4206"
"15060000","0.021","0.1012","0.3792"
"15120000","0.025","0.0994","0.416"
"15180000","0.022","0.105","0.4286"
"15240000","0.015","0.0988","0.3954"
"15300000","0.015","0.102","0.3906"
"15360000","0.022","0.0948","0.4006"
"15420000","0.015","0.0994","0.4008"
"15480000","0.023399999999999997","0.094","0.4028"
"15540000","0.012","0.1058","0.4014"
"15600000","0.014","0.1332","0.4144"
"15660000","0.018","0.1012","0.40420000000000006"
"15720000","0.02","0.1022","0.406"
"15780000","0.0142","0.1146","0.4166"
"15840000","0.02","0.1008","0.419"
"15900000","0.018","0.1034","0.433"
"15960000","0.024","0.1174","0.4452"
"16020000","0.02","0.111","0.4038"
"16080000","0.018","0.1044","0.4304"
"16140000","0.017","0.1112","0.4046"
"16200000","0.018","0.108","0.41279999999999994"
"16260000","0.015","0.1182","0.4214"
"16320000","0.017","0.1128","0.42140000000000005"
"16380000","0.017","0.1138","0.4286"
"16440000","0.0288","0.104","0.408"
"16500000","0.0214","0.1114","0.4266"
"16560000","0.0206","0.0966","0.4162"
"16620000","0.02","0.1058","0.4278"
"16680000","0.024","0.1028","0.4264"
"16740000","0.019","0.13040000000000002","0.4202"
"16800000","0.018","0.109","0.4322"
"16860000","0.021","0.113","0.4187999999999999"
"16920000","0.02","0.1092","0.427"
"16980000","0.0216","0.1012","0.40879999999999994"
"17040000","0.0266","0.1166","0.41720000000000007"
"17100000","0.0238","0.1182","0.421"
"17160000","0.026","0.1276","0.40620000000000006"
"17220000","0.018","0.123","0.4176"
"17280000","0.016","0.1272","0.43040000000000006"
"17340000","0.009","0.1098","0.4228"
"17400000","0.016","0.1332","0.4068"
"17460000","0.019","0.1222","0.4256"
"17520000","0.0176","0.13","0.4382"
"17580000","0.028","0.1318","0.4286"
"17640000","0.022","0.1284","0.4126"
"17700000","0.027","0.138","0.4204"
"17760000","0.02","0.1174","0.4302"
"17820000","0.019","0.1414","0.4348"
"17880000","0.022","0.1396","0.4258"
"17940000","0.026","0.14739999999999998","0.4304"
"18000000","0.019","0.15","0.431"
"18060000","0.016","0.15660000000000002","0.4208"
"18120000","0.012","0.1308","0.4168"
"18180000","0.023399999999999997","0.16419999999999998","0.4134"
"18240000","0.024","0.144","0.4168"
"18300000","0.0238","0.1554","0.4408"
"18360000","0.0132","0.1374","0.4278"
"18420000","0.019600000000000003","0.148","0.4136"
"18480000","0.019","0.1318","0.4156"
"18540000","0.025","0.137","0.4256"
"18600000","0.0158","0.141","0.4156"
"18660000","0.02","0.1494","0.4237999999999999"
"18720000","0.022","0.1252","0.4262"
"18780000","0.023","0.1404","0.4333999999999999"
"18840000","0.021","0.1442","0.411"
"18900000","0.027","0.15","0.43"
"18960000","0.022","0.15480000000000002","0.4316"
"19020000","0.018","0.15580000000000002","0.4378"
"19080000","0.0252","0.151","0.4472"
"19140000","0.023","0.1512","0.4276"
"19200000","0.031","0.15059999999999998","0.4444"
"19260000","0.0318","0.14","0.4214"
"19320000","0.042","0.15159999999999998","0.437"
"19380000","0.031","0.1586","0.4276"
"19440000","0.029","0.1586","0.4494"
"19500000","0.024","0.1628","0.4346"
"19560000","0.037","0.1596","0.4308"
"19620000","0.029","0.1442","0.44"
"19680000","0.0374","0.1468","0.4374"
"19740000","0.0314","0.14420000000000002","0.4456"
"19800000","0.039","0.1684","0.4346"
"19860000","0.0374","0.167","0.4406000000000001"
"19920000","0.0386","0.16440000000000002","0.445"
"19980000","0.038799999999999994","0.16960000000000003","0.4368"
"20040000","0.04959999999999999","0.1566","0.4442"
"20100000","0.051","0.1628","0.4538"
"20160000","0.037","0.1574","0.446"
"20220000","0.0466","0.16760000000000003","0.4358"
"20280000","0.0434","0.147","0.4444"
"20340000","0.034","0.141","0.4246"
"20400000","0.039799999999999995","0.1542","0.4522"
"20460000","0.0502","0.15819999999999998","0.4552"
"20520000","0.0496","0.15780000000000002","0.4442"
"20580000","0.038799999999999994","0.17060000000000003","0.4252"
"20640000","0.0562","0.1678","0.426"
"20700000","0.0562","0.15580000000000002","0.4384"
"20760000","0.06659999999999999","0.15380000000000002","0.431"
"20820000","0.0486","0.1742","0.4276"
"20880000","0.06","0.1584","0.4326"
"20940000","0.062","0.1554","0.4494"
"21000000","0.07759999999999999","0.1638","0.424"
"21060000","0.056","0.1702","0.4428"
"21120000","0.055200000000000006","0.1564","0.4518"
"21180000","0.0708","0.184","0.4372"
"21240000","0.0508","0.1638","0.451"
"21300000","0.07479999999999999","0.174","0.4406000000000001"
"21360000","0.061","0.1684","0.4382"
"21420000","0.063","0.16219999999999998","0.4536"
"21480000","0.0512","0.169","0.447"
"21540000","0.0714","0.1802","0.4648"
"21600000","0.08020000000000001","0.1646","0.462"
"21660000","0.069","0.1664","0.45159999999999995"
"21720000","0.055","0.1664","0.4494"
"21780000","0.0846","0.16019999999999998","0.4586"
"21840000","0.0702","0.15419999999999998","0.44"
"21900000","0.055799999999999995","0.1438","0.4516"
"21960000","0.07640000000000001","0.16540000000000002","0.445"
"22020000","0.0632","0.174","0.46079999999999993"
"22080000","0.0738","0.1946","0.436"
"22140000","0.07080000000000002","0.1946","0.4452"
"22200000","0.0768","0.1608","0.453"
"22260000","0.0752","0.1754","0.4372"
"22320000","0.0554","0.189","0.4478"
"22380000","0.0578","0.181","0.4542"
"22440000","0.08139999999999999","0.1988","0.4418"
"22500000","0.0722","0.2032","0.4388"
"22560000","0.07740000000000001","0.1906","0.4343999999999999"
"22620000","0.07479999999999999","0.214","0.473"
"22680000","0.0906","0.1818","0.4548"
"22740000","0.087","0.1862","0.4564"
"22800000","0.0824","0.1876","0.4432"
"22860000","0.0832","0.1664","0.4396000000000001"
"22920000","0.0828","0.1846","0.4414"
"22980000","0.081","0.19839999999999997","0.4494"
"23040000","0.091","0.1712","0.4426000000000001"
"23100000","0.08259999999999999","0.1726","0.4616"
"23160000","0.0722","0.17980000000000002","0.4356"
"23220000","0.069","0.1604","0.4506"
"23280000","0.08120000000000001","0.176","0.46"
"23340000","0.0836","0.1692","0.4404"
"23400000","0.0762","0.1834","0.4492"
"23460000","0.083","0.194","0.4598"
"23520000","0.0966","0.15880000000000002","0.4406000000000001"
"23580000","0.09","0.1682","0.4624"
"23640000","0.0868","0.182","0.471"
"23700000","0.1004","0.1964","0.45"
"23760000","0.0914","0.1914","0.4668"
"23820000","0.0948","0.2074","0.457"
"23880000","0.077","0.198","0.46"
"23940000","0.0884","0.1988","0.4758"
"24000000","0.0898","0.1966","0.46179999999999993"
"24060000","0.07659999999999999","0.1942","0.4638"
"24120000","0.0956","0.1694","0.4562"
"24180000","0.0828","0.1852","0.4664"
"24240000","0.0972","0.1894","0.4644"
"24300000","0.0848","0.2044","0.46020000000000005"
"24360000","0.1012","0.1754","0.4666"
"24420000","0.0996","0.1872","0.4638"
"24480000","0.0942","0.1962","0.4692"
"24540000","0.093","0.1636","0.46620000000000006"
"24600000","0.07940000000000001","0.19639999999999996","0.4624"
"24660000","0.0896","0.1836","0.463"
"24720000","0.0904","0.17060000000000003","0.4818"
"24780000","0.0702","0.153","0.4594"
"24840000","0.102","0.1844","0.4676"
"24900000","0.0966","0.1962","0.4594"
"24960000","0.1222","0.1962","0.4622"
"25020000","0.1024","0.1802","0.4686"
"25080000","0.0938","0.1936","0.48"
"25140000","0.0886","0.17959999999999998","0.478"
"25200000","0.1132","0.184","0.4696"
"25260000","0.1008","0.2112","0.4828"
"25320000","0.0958","0.2078","0.4798"
"25380000","0.0862","0.1848","0.4608"
"25440000","0.107","0.188","0.4738"
"25500000","0.1112","0.2058","0.4598"
"25560000","0.098","0.1904","0.472"
"25620000","0.098","0.2012","0.468"
"25680000","0.0928","0.211","0.4586"
"25740000","0.0932","0.2008","0.473"
"25800000","0.0976","0.206","0.477"
"25860000","0.086","0.1884","0.486"
"25920000","0.115","0.1936","0.4756"
"25980000","0.0976","0.1932","0.4652"
"26040000","0.1048","0.207","0.4618"
"26100000","0.1142","0.1904","0.4786"
"26160000","0.1068","0.2056","0.4698"
"26220000","0.1116","0.2","0.4596"
"26280000","0.0966","0.2032","0.4738"
"26340000","0.10019999999999998","0.214","0.458"
"26400000","0.1126","0.2058","0.4722"
"26460000","0.11","0.204","0.4738"
"26520000","0.1046","0.2294","0.467"
"26580000","0.1082","0.2018","0.477"
"26640000","0.105","0.2136","0.467"
"26700000","0.1114","0.1892","0.48"
"26760000","0.1194","0.2062","0.4682"
"26820000","0.1036","0.214","0.4712"
"26880000","0.1278","0.156","0.4816"
"26940000","0.1084","0.2034","0.4844"
"27000000","0.0924","0.2018","0.4628"
"27060000","0.1238","0.198","0.4858"
"27120000","0.1338","0.1912","0.4648"
"27180000","0.1212","0.197","0.4754"
"27240000","0.11419999999999998","0.1838","0.4876"
"27300000","0.1022","0.20160000000000003","0.477"
"27360000","0.1042","0.2192","0.4854"
"27420000","0.1188","0.2176","0.4724"
"27480000","0.1132","0.1878","0.4736"
"27540000","0.13019999999999998","0.1932","0.489"
"27600000","0.126","0.209","0.475"
"27660000","0.11","0.1864","0.483"
"27720000","0.131","0.2018","0.481"
"27780000","0.13019999999999998","0.1894","0.4807999999999999"
"27840000","0.126","0.2262","0.4832"
"27900000","0.12639999999999998","0.2224","0.4914"
"27960000","0.1316","0.211","0.4764"
"28020000","0.1182","0.2102","0.4912"
"28080000","0.14","0.2024","0.4847999999999999"
"28140000","0.1236","0.2074","0.491"
"28200000","0.1112","0.1972","0.4892"
"28260000","0.138","0.2026","0.486"
"28320000","0.1298","0.2106","0.4806"
"28380000","0.118","0.206","0.4966"
"28440000","0.1316","0.205","0.4894"
"28500000","0.12919999999999998","0.1982","0.4972"
"28560000","0.118","0.2222","0.5016"
"28620000","0.108","0.1974","0.4736"
"28680000","0.119","0.206","0.4802"
"28740000","0.12680000000000002","0.21","0.4908"
"28800000","0.1232","0.2186","0.486"
"28860000","0.12819999999999998","0.22279999999999997","0.492"
"28920000","0.1378","0.2124","0.4792"
"28980000","0.1342","0.2166","0.4872"
"29040000","0.1234","0.202","0.4898"
"29100000","0.13820000000000002","0.20339999999999997","0.4928"
"29160000","0.14320000000000002","0.2206","0.4948"
"29220000","0.1458","0.2288","0.4966"
"29280000","0.1384","0.219","0.4894"
"29340000","0.13219999999999998","0.2314","0.486"
"29400000","0.1328","0.2226","0.4892"
"29460000","0.13140000000000002","0.2214","0.4992"
"29520000","0.1238","0.227","0.5047999999999999"
"29580000","0.134","0.2158","0.5017999999999999"
"29640000","0.15139999999999998","0.2294","0.4804"
"29700000","0.1306","0.2434","0.5016"
"29760000","0.1368","0.2158","0.497"
"29820000","0.1262","0.214","0.4888"
"29880000","0.13440000000000002","0.214","0.4968"
"29940000","0.1426","0.2444","0.497"
"30000000","0.1256","0.2368","0.4876"
"30060000","0.15180000000000002","0.217","0.503"
"30120000","0.1378","0.2462","0.4924"
"30180000","0.157","0.2186","0.4988"
"30240000","0.145","0.222","0.4844"
"30300000","0.163","0.2304","0.5016"
"30360000","0.16260000000000002","0.2318","0.4894"
"30420000","0.163","0.2248","0.49"
"30480000","0.1368","0.244","0.498"
"30540000","0.1454","0.2036","0.4908"
"30600000","0.1584","0.2148","0.4983999999999999"
"30660000","0.1434","0.2212","0.483"
"30720000","0.1496","0.22479999999999997","0.4702"
"30780000","0.1468","0.2358","0.4818"
"30840000","0.1616","0.2378","0.4942"
"30900000","0.15919999999999998","0.242","0.4894"
"30960000","0.14179999999999998","0.2524","0.4976"
"31020000","0.15819999999999998","0.2186","0.4886"
"31080000","0.1564","0.23439999999999997","0.4916"
"31140000","0.1644","0.23560000000000003","0.4973999999999999"
"31200000","0.1522","0.2406","0.4928"
"31260000","0.1418","0.2436","0.4908"
"31320000","0.167","0.2306","0.4898"
"31380000","0.1692","0.226","0.4892"
"31440000","0.1788","0.2302","0.48540000000000005"
"31500000","0.16","0.2348","0.4776"
"31560000","0.1442","0.2176","0.4836"
"31620000","0.1688","0.2312","0.5006"
"31680000","0.16319999999999998","0.2282","0.4938"
"31740000","0.135","0.2456","0.498"
"31800000","0.15419999999999998","0.2418","0.4848"
"31860000","0.1498","0.2324","0.4822000000000001"
"31920000","0.1468","0.2238","0.4782"
"31980000","0.17560000000000003","0.2434","0.48"
"32040000","0.1444","0.23260000000000003","0.4836"
