"Step","reverse_eval1_novelty_sp_seed1 - cover_rate_1step"
"35000","0.003"
"70000","0"
"105000","0"
"140000","0"
"175000","0.0015"
"210000","0.0005"
"245000","0.0005"
"280000","0.0005"
"315000","0.0015"
"350000","0.0015"
"385000","0.0035"
"420000","0.005"
"455000","0.007"
"490000","0.0095"
"525000","0.006"
"560000","0.0055"
"595000","0.0095"
"630000","0.005"
"665000","0.008"
"700000","0.008"
"735000","0.009"
"770000","0.0105"
"805000","0.0085"
"840000","0.0125"
"875000","0.014"
"910000","0.012"
"945000","0.0145"
"980000","0.0125"
"1015000","0.0155"
"1050000","0.014"
"1085000","0.023"
"1120000","0.027"
"1155000","0.0235"
"1190000","0.027"
"1225000","0.032"
"1260000","0.0285"
"1295000","0.0325"
"1330000","0.032"
"1365000","0.0435"
"1400000","0.056"
"1435000","0.038"
"1470000","0.04"
"1505000","0.057"
"1540000","0.059"
"1575000","0.061"
"1610000","0.0695"
"1645000","0.082"
"1680000","0.073"
"1715000","0.085"
"1750000","0.072"
"1785000","0.0795"
"1820000","0.0825"
"1855000","0.0825"
"1890000","0.0895"
"1925000","0.0895"
"1960000","0.09"
"1995000","0.0795"
"2030000","0.093"
"2065000","0.0925"
"2100000","0.094"
"2135000","0.094"
"2170000","0.0985"
"2205000","0.103"
"2240000","0.0965"
"2275000","0.114"
"2310000","0.1045"
"2345000","0.0975"
"2380000","0.096"
"2415000","0.0865"
"2450000","0.0835"
"2485000","0.086"
"2520000","0.0825"
"2555000","0.0965"
"2590000","0.0825"
"2625000","0.091"
"2660000","0.095"
"2695000","0.0795"
"2730000","0.0805"
"2765000","0.0735"
"2800000","0.079"
"2835000","0.083"
"2870000","0.084"
"2905000","0.099"
"2940000","0.1065"
"2975000","0.09"
"3010000","0.1015"
"3045000","0.092"
"3080000","0.0965"
"3115000","0.0985"
"3150000","0.0875"
"3185000","0.08"
"3220000","0.0885"
"3255000","0.085"
"3290000","0.0935"
"3325000","0.1035"
"3360000","0.1065"
"3395000","0.1065"
"3430000","0.1135"
"3465000","0.113"
"3500000","0.115"
"3535000","0.106"
"3570000","0.114"
"3605000","0.1085"
"3640000","0.108"
"3675000","0.12"
"3710000","0.1245"
"3745000","0.1095"
"3780000","0.1275"
"3815000","0.132"
"3850000","0.1235"
