"Step","reverse_pb_eval1_parentsampling_seed1 - cover_rate_5step","reverse_pb_eval1_parentsampling_seed2 - cover_rate_5step","reverse_pb_eval1_parentsampling_seed3 - cover_rate_5step"
"60000","0.015","0.018","0.021"
"120000","0.017","0.016","0.016"
"180000","0.011","0.017","0.018"
"240000","0.013","0.014","0.018"
"300000","0.013","0.015","0.011"
"360000","0.015","0.012","0.018"
"420000","0.011","0.018","0.019"
"480000","0.018","0.013","0.017"
"540000","0.011","0.018","0.021"
"600000","0.019","0.013","0.011"
"660000","0.018","0.017","0.013"
"720000","0.011","0.015","0.015"
"780000","0.009","0.024","0.01"
"840000","0.017","0.011","0.016"
"900000","0.017","0.016","0.017"
"960000","0.011","0.017","0.015"
"1020000","0.018","0.02","0.015"
"1080000","0.014","0.029","0.01"
"1140000","0.015","0.022","0.013"
"1200000","0.021","0.017","0.017"
"1260000","0.011","0.019","0.017"
"1320000","0.017","0.022","0.015"
"1380000","0.013","0.018","0.017"
"1440000","0.02","0.016","0.018"
"1500000","0.017","0.015","0.018"
"1560000","0.004","0.01","0.014"
"1620000","0.021","0.0158","0.021"
"1680000","0.016","0.018","0.016"
"1740000","0.015","0.015","0.016"
"1800000","0.015","0.014","0.016"
"1860000","0.014","0.017","0.016"
"1920000","0.017","0.014","0.02"
"1980000","0.012","0.016","0.016"
"2040000","0.015","0.012","0.016"
"2100000","0.014","0.017","0.015"
"2160000","0.01","0.024","0.017"
"2220000","0.023","0.023","0.021"
"2280000","0.016","0.014","0.021"
"2340000","0.014","0.016","0.021"
"2400000","0.014","0.01","0.017"
"2460000","0.018","0.012","0.017"
"2520000","0.009","0.019","0.013"
"2580000","0.02","0.015","0.01"
"2640000","0.013","0.021","0.015"
"2700000","0.012","0.017","0.014"
"2760000","0.011","0.013","0.016"
"2820000","0.014","0.015","0.018"
"2880000","0.012","0.019","0.021"
"2940000","0.013","0.009","0.017"
"3000000","0.012","0.02","0.018"
"3060000","0.012","0.013","0.013"
"3120000","0.021","0.009","0.01"
"3180000","0.023","0.007","0.022"
"3240000","0.011","0.016","0.016"
"3300000","0.014","0.022","0.013"
"3360000","0.012","0.016","0.019"
"3420000","0.019","0.016","0.016"
"3480000","0.018","0.017","0.013"
"3540000","0.012","0.013","0.026"
"3600000","0.014","0.017","0.018"
"3660000","0.021","0.014","0.024"
"3720000","0.013","0.019","0.021"
"3780000","0.022","0.01","0.01"
"3840000","0.018","0.014","0.018"
"3900000","0.013","0.017","0.024"
"3960000","0.018","0.019","0.021"
"4020000","0.021","0.01","0.016"
"4080000","0.017","0.019","0.023"
"4140000","0.021","0.014","0.011"
"4200000","0.015","0.008","0.014"
"4260000","0.017","0.021","0.021"
"4320000","0.02","0.015","0.009"
"4380000","0.016","0.017","0.02"
"4440000","0.018","0.013","0.015"
"4500000","0.014","0.02","0.017"
"4560000","0.015","0.021","0.017"
"4620000","0.016","0.023","0.015"
"4680000","0.016","0.017","0.011"
"4740000","0.021","0.018","0.015"
"4800000","0.01","0.014","0.017"
"4860000","0.019","0.012","0.014"
"4920000","0.02","0.016","0.019"
"4980000","0.021","0.022","0.016"
"5040000","0.009","0.013","0.022"
"5100000","0.017","0.017","0.017"
"5160000","0.014","0.019","0.014"
"5220000","0.018","0.017","0.011"
"5280000","0.011","0.018","0.013"
"5340000","0.014","0.019","0.014"
"5400000","0.014","0.017","0.017"
"5460000","0.022","0.02","0.016"
"5520000","0.018","0.015","0.02"
"5580000","0.013","0.014","0.017"
"5640000","0.021","0.015","0.016"
"5700000","0.021","0.012","0.011"
"5760000","0.013","0.022","0.013"
"5820000","0.008","0.013","0.017"
"5880000","0.017","0.014","0.018"
"5940000","0.015","0.025","0.013"
"6000000","0.012","0.012","0.015"
"6060000","0.015","0.019","0.025"
"6120000","0.02","0.018","0.019"
"6180000","0.014","0.018","0.015"
"6240000","0.015","0.016","0.014"
"6300000","0.014","0.013","0.0134"
"6360000","0.015","0.018","0.019"
"6420000","0.019","0.014","0.013"
"6480000","0.012","0.025","0.015"
"6540000","0.019","0.014","0.015"
"6600000","0.015","0.016","0.022"
"6660000","0.022","0.023","0.023"
"6720000","0.012","0.014","0.013"
"6780000","0.012","0.014","0.012"
"6840000","0.013","0.018","0.0198"
"6900000","0.017","0.016","0.016"
"6960000","0.017","0.015","0.016"
"7020000","0.011","0.021","0.012"
"7080000","0.019","0.013","0.018"
"7140000","0.013","0.023","0.013"
"7200000","0.018","0.017","0.014"
"7260000","0.021","0.029","0.013"
"7320000","0.009","0.011","0.012"
"7380000","0.018","0.017","0.013"
"7440000","0.015","0.013","0.02"
"7500000","0.019","0.017","0.017"
