"Step","reverse_parentsampling_sp_seed1 - cover_rate_1step"
"35000","0.003"
"68250","0"
"103250","0"
"138250","0.0005"
"171500","0.0005"
"206500","0.0005"
"241500","0.0015"
"276500","0.0015"
"311500","0.003"
"344750","0.0035"
"379750","0.0025"
"414750","0.0035"
"448000","0.005"
"483000","0.009"
"516250","0.005"
"549500","0.004"
"582750","0.009"
"616000","0.0085"
"649250","0.0095"
"682500","0.0065"
"715750","0.0125"
"749000","0.0075"
"782390","0.0115"
"816060","0.0105"
"850220","0.03"
"885220","0.059"
"920220","0.0805"
"955220","0.0875"
"990220","0.1115"
"1025220","0.13"
"1060220","0.1395"
"1095220","0.1335"
"1130220","0.1685"
"1165220","0.182"
"1200220","0.205"
"1235220","0.1865"
"1270220","0.217"
"1305220","0.2085"
"1340220","0.235"
"1375220","0.231"
"1410220","0.233"
"1445220","0.2375"
"1480220","0.226"
"1515220","0.2445"
"1550220","0.248"
"1585220","0.2425"
"1620220","0.258"
"1655220","0.266"
"1690220","0.2585"
"1725220","0.254"
"1760220","0.248"
"1795220","0.248"
"1830220","0.244"
"1865220","0.247"
"1900220","0.2485"
"1935220","0.2665"
"1970220","0.2635"
"2005220","0.2745"
"2040220","0.261"
"2075220","0.2575"
"2110220","0.2705"
"2145220","0.254"
"2180220","0.264"
"2215220","0.2535"
"2250220","0.2625"
"2285220","0.2605"
"2320220","0.2585"
"2355220","0.2585"
"2390220","0.2715"
"2425220","0.2865"
"2460220","0.264"
"2495220","0.261"
"2530220","0.271"
"2565220","0.2515"
"2600220","0.236"
"2635220","0.246"
"2670220","0.229"
"2705220","0.2285"
"2740220","0.2105"
"2775220","0.218"
"2810220","0.215"
"2845220","0.218"
"2880220","0.2325"
"2915220","0.2305"
"2950220","0.226"
"2985220","0.224"
"3020220","0.232"
"3055220","0.235"
"3090220","0.222"
"3125220","0.2255"
"3160220","0.2415"
"3195220","0.2505"
"3230220","0.266"
"3265220","0.257"
"3300220","0.2685"
"3335220","0.2695"
"3370220","0.275"
"3405220","0.2615"
"3440220","0.267"
"3475220","0.269"
"3510220","0.284"
"3545220","0.2985"
"3580220","0.285"
"3615220","0.2965"
"3650220","0.286"
"3685220","0.279"
"3720220","0.289"
"3755220","0.2885"
"3790220","0.2595"
"3825220","0.2675"
"3860220","0.255"
"3895220","0.258"
"3930220","0.268"
"3965220","0.261"
"4000220","0.287"
"4035220","0.2875"
"4070220","0.2775"
"4105220","0.2965"
"4140220","0.2785"
"4175220","0.2725"
"4210220","0.253"
"4245220","0.283"
"4280220","0.287"
"4315220","0.3125"
"4350220","0.2775"
"4385220","0.285"
"4420220","0.2985"
"4455220","0.285"
"4490220","0.3"
"4525220","0.2965"
"4560220","0.284"
"4595220","0.2755"
"4630220","0.2815"
