"Step","reverse_pb_eval1_final_version_seed1 - cover_rate_1step"
"60000","0.015"
"120000","0.017"
"180000","0.011"
"240000","0.015"
"300000","0.012"
"360000","0.014"
"420000","0.011"
"480000","0.015"
"540000","0.008"
"600000","0.019"
"660000","0.014"
"720000","0.011"
"780000","0.011"
"840000","0.017"
"900000","0.017"
"960000","0.012"
"1020000","0.016"
"1080000","0.012"
"1140000","0.016"
"1200000","0.019"
"1260000","0.012"
"1320000","0.016"
"1380000","0.013"
"1440000","0.021"
"1500000","0.017"
"1560000","0.004"
"1620000","0.021"
"1680000","0.014"
"1740000","0.012"
"1800000","0.015"
"1860000","0.013"
"1920000","0.016"
"1980000","0.013"
"2040000","0.015"
"2100000","0.015"
"2160000","0.011"
"2220000","0.023"
"2280000","0.016"
"2340000","0.015"
"2400000","0.014"
"2460000","0.019"
"2520000","0.01"
"2580000","0.019"
"2640000","0.013"
"2700000","0.013"
"2760000","0.01"
"2820000","0.014"
"2880000","0.01"
"2940000","0.011"
"3000000","0.01"
"3060000","0.013"
"3120000","0.023"
"3180000","0.02"
"3240000","0.011"
"3300000","0.015"
"3360000","0.011"
"3420000","0.018"
"3480000","0.016"
"3540000","0.014"
"3600000","0.012"
"3660000","0.02"
"3720000","0.013"
"3780000","0.022"
"3840000","0.015"
"3900000","0.01"
"3960000","0.019"
"4020000","0.019"
"4080000","0.016"
"4140000","0.019"
"4200000","0.014"
"4260000","0.017"
"4320000","0.018"
"4380000","0.013"
"4440000","0.019"
"4500000","0.016"
"4560000","0.014"
"4620000","0.017"
"4680000","0.017"
"4740000","0.021"
"4800000","0.011"
"4860000","0.023"
"4920000","0.018"
"4980000","0.022"
"5040000","0.011"
"5100000","0.016"
"5160000","0.013"
"5220000","0.016"
"5280000","0.01"
"5340000","0.013"
"5400000","0.014"
"5460000","0.024"
"5520000","0.019"
"5580000","0.011"
"5640000","0.02"
"5700000","0.02"
"5760000","0.014"
"5820000","0.008"
"5880000","0.017"
"5940000","0.013"
"6000000","0.008"
"6060000","0.015"
"6120000","0.016"
"6180000","0.015"
"6240000","0.013"
"6300000","0.011"
"6360000","0.011"
"6420000","0.019"
"6480000","0.012"
"6540000","0.016"
"6600000","0.015"
"6660000","0.014"
"6720000","0.01"
"6780000","0.011"
"6840000","0.013"
"6900000","0.016"
"6960000","0.017"
"7020000","0.014"
"7080000","0.021"
"7140000","0.011"
"7200000","0.014"
"7260000","0.022"
"7320000","0.011"
"7380000","0.016"
"7440000","0.014"
"7500000","0.02"
"7560000","0.01"
"7620000","0.02"
"7680000","0.009"
"7740000","0.015"
"7800000","0.011"
"7860000","0.011"
"7920000","0.014"
"7980000","0.012"
"8040000","0.021"
"8100000","0.011"
"8160000","0.007"
"8220000","0.009"
"8280000","0.017"
"8340000","0.009"
"8400000","0.013"
"8460000","0.014"
"8520000","0.012"
"8580000","0.013"
"8640000","0.013"
"8700000","0.013"
"8760000","0.013"
"8820000","0.008"
"8880000","0.018"
"8940000","0.018"
"9000000","0.02"
"9060000","0.021"
"9120000","0.008"
"9180000","0.013"
"9240000","0.021"
"9300000","0.02"
"9360000","0.007"
"9420000","0.009"
"9480000","0.012"
"9540000","0.015"
"9600000","0.018"
"9660000","0.02"
"9720000","0.017"
"9780000","0.012"
"9840000","0.009"
"9900000","0.019"
"9960000","0.011"
"10020000","0.012"
"10080000","0.01"
"10140000","0.021"
"10200000","0.015"
"10260000","0.025"
"10320000","0.008"
"10380000","0.023"
"10440000","0.01"
"10500000","0.017"
"10560000","0.012"
"10620000","0.01"
"10680000","0.014"
"10740000","0.022"
"10800000","0.015"
"10860000","0.013"
"10920000","0.012"
"10980000","0.022"
"11040000","0.014"
"11100000","0.015"
"11160000","0.014"
"11220000","0.016"
"11280000","0.013"
"11340000","0.014"
"11400000","0.018"
"11460000","0.016"
"11520000","0.012"
"11580000","0.019"
"11640000","0.016"
"11700000","0.013"
"11760000","0.006"
"11820000","0.02"
"11880000","0.012"
"11940000","0.021"
"12000000","0.01"
"12060000","0.012"
"12120000","0.023"
"12180000","0.015"
"12240000","0.019"
"12300000","0.01"
"12360000","0.016"
"12420000","0.012"
"12480000","0.017"
"12540000","0.013"
"12600000","0.012"
"12660000","0.018"
"12720000","0.012"
"12780000","0.01"
"12840000","0.012"
"12900000","0.01"
"12960000","0.016"
"13020000","0.008"
"13080000","0.007"
"13140000","0.016"
"13200000","0.014"
"13260000","0.014"
"13320000","0.017"
"13380000","0.011"
"13440000","0.019"
"13500000","0.016"
"13560000","0.022"
"13620000","0.016"
"13680000","0.011"
"13740000","0.022"
"13800000","0.02"
"13860000","0.012"
"13920000","0.016"
"13980000","0.018"
"14040000","0.025"
"14100000","0.02"
"14160000","0.012"
"14220000","0.011"
"14280000","0.023"
"14340000","0.013"
"14400000","0.014"
"14460000","0.013"
"14520000","0.013"
"14580000","0.013"
"14640000","0.019"
"14700000","0.01"
"14760000","0.016"
"14820000","0.013"
"14880000","0.014"
"14940000","0.015"
"15000000","0.017"
"15060000","0.017"
"15120000","0.021"
"15180000","0.021"
"15240000","0.014"
"15300000","0.011"
"15360000","0.016"
"15420000","0.012"
"15480000","0.015"
"15540000","0.01"
"15600000","0.015"
"15660000","0.012"
"15720000","0.018"
"15780000","0.012"
"15840000","0.017"
"15900000","0.016"
"15960000","0.02"
"16020000","0.018"
"16080000","0.015"
"16140000","0.016"
"16200000","0.017"
"16260000","0.012"
"16320000","0.017"
"16380000","0.012"
