"Step","reverse_eval1_sp_seed1 - cover_rate_5step"
"35000","0.003"
"70000","0"
"105000","0"
"140000","0"
"175000","0.0015"
"210000","0.0005"
"245000","0.0005"
"280000","0.0005"
"315000","0.0015"
"350000","0.0015"
"385000","0.0032"
"420000","0.005"
"455000","0.0066"
"490000","0.0094"
"525000","0.004900000000000001"
"560000","0.0055"
"595000","0.0092"
"630000","0.005"
"665000","0.0077"
"700000","0.008"
"735000","0.008899999999999998"
"770000","0.0112"
"805000","0.0083"
"840000","0.012399999999999998"
"875000","0.0142"
"910000","0.0119"
"945000","0.0142"
"980000","0.0123"
"1015000","0.0154"
"1050000","0.014"
"1085000","0.0226"
"1120000","0.0277"
"1155000","0.023399999999999997"
"1190000","0.0267"
"1225000","0.032299999999999995"
"1260000","0.027399999999999997"
"1295000","0.032600000000000004"
"1330000","0.0337"
"1365000","0.042"
"1400000","0.0519"
"1435000","0.0376"
"1470000","0.04290000000000001"
"1505000","0.0588"
"1540000","0.0609"
"1575000","0.0607"
"1610000","0.06880000000000001"
"1645000","0.08059999999999999"
"1680000","0.0733"
"1715000","0.0859"
"1750000","0.0719"
"1785000","0.0825"
"1820000","0.08170000000000001"
"1855000","0.0831"
"1890000","0.0904"
"1925000","0.0895"
"1960000","0.095"
"1995000","0.07890000000000001"
"2030000","0.0921"
"2065000","0.0913"
"2100000","0.0945"
"2135000","0.08880000000000002"
"2170000","0.094"
"2205000","0.1064"
"2240000","0.09829999999999998"
"2275000","0.1092"
"2310000","0.10430000000000002"
"2345000","0.0972"
"2380000","0.0999"
"2415000","0.0842"
"2450000","0.0904"
"2485000","0.0905"
"2520000","0.0875"
"2555000","0.0952"
"2590000","0.0819"
"2625000","0.08969999999999999"
"2660000","0.093"
"2695000","0.07759999999999999"
"2730000","0.0807"
"2765000","0.074"
"2800000","0.0792"
"2835000","0.08209999999999999"
"2870000","0.08439999999999999"
"2905000","0.0963"
"2940000","0.10720000000000002"
"2975000","0.0873"
"3010000","0.1047"
"3045000","0.0977"
"3080000","0.0983"
"3115000","0.0944"
"3150000","0.0867"
"3185000","0.0798"
"3220000","0.0892"
"3255000","0.0862"
"3290000","0.0946"
"3325000","0.1033"
"3360000","0.106"
"3395000","0.1107"
"3430000","0.1159"
"3465000","0.1115"
