"Step","VACL_sl_oldversion_minarchivelength_seed3 - cover_rate_5step"
"21000","0.18"
"42000","0.184"
"63000","0.21"
"84000","0.15"
"105000","0.23799999999999996"
"126000","0.202"
"147000","0.22"
"168000","0.234"
"189000","0.166"
"210000","0.224"
"231000","0.18"
"252000","0.166"
"273000","0.18"
"294000","0.25"
"315000","0.182"
"336000","0.17"
"357000","0.138"
"378000","0.236"
"399000","0.198"
"420000","0.206"
"441000","0.198"
"462000","0.19"
"483000","0.244"
"504000","0.196"
"525000","0.198"
"546000","0.152"
"567000","0.18"
"588000","0.228"
"609000","0.156"
"630000","0.108"
"651000","0.2"
"672000","0.16399999999999998"
"693000","0.204"
"714000","0.32799999999999996"
"735000","0.184"
"756000","0.146"
"777000","0.182"
"798000","0.21600000000000005"
"819000","0.188"
"840000","0.138"
"861000","0.07"
"882000","0.168"
"903000","0.174"
"924000","0.228"
"945000","0.156"
"966000","0.172"
"987000","0.18000000000000005"
"1008000","0.168"
"1029000","0.166"
"1050000","0.202"
"1071000","0.172"
"1092000","0.23"
"1113000","0.21799999999999997"
"1134000","0.25799999999999995"
"1155000","0.162"
"1176000","0.24"
"1197000","0.26"
"1218000","0.154"
"1239000","0.188"
"1260000","0.19"
"1281000","0.182"
"1302000","0.232"
"1323000","0.246"
"1344000","0.194"
"1365000","0.16"
"1386000","0.174"
"1407000","0.21600000000000005"
"1428000","0.17799999999999996"
"1449000","0.2"
"1470000","0.194"
"1491000","0.18600000000000003"
"1512000","0.162"
"1533000","0.224"
"1554000","0.17"
"1575000","0.21"
"1596000","0.24"
"1617000","0.214"
"1638000","0.24799999999999997"
"1659000","0.17"
"1680000","0.246"
"1701000","0.17600000000000002"
"1722000","0.1"
"1743000","0.17600000000000002"
"1764000","0.2"
"1785000","0.114"
"1806000","0.15"
"1827000","0.23200000000000004"
"1848000","0.23"
"1869000","0.112"
"1890000","0.13"
"1911000","0.17800000000000002"
"1932000","0.172"
"1953000","0.2"
"1974000","0.18600000000000003"
"1995000","0.184"
"2016000","0.256"
"2037000","0.18600000000000003"
"2058000","0.194"
"2079000","0.17"
"2100000","0.21600000000000005"
"2121000","0.09"
"2142000","0.128"
"2163000","0.104"
"2184000","0.102"
"2205000","0.21600000000000005"
"2226000","0.172"
"2247000","0.12"
"2268000","0.156"
"2289000","0.198"
"2310000","0.18"
"2331000","0.14400000000000002"
"2352000","0.19"
"2373000","0.16"
"2394000","0.19"
"2415000","0.196"
"2436000","0.11"
"2457000","0.224"
"2478000","0.21"
"2499000","0.112"
"2520000","0.218"
"2541000","0.18600000000000003"
"2562000","0.168"
"2583000","0.166"
"2604000","0.21600000000000005"
"2625000","0.246"
"2646000","0.146"
"2667000","0.1"
"2688000","0.17600000000000002"
"2709000","0.09"
"2730000","0.114"
"2751000","0.106"
"2772000","0.08"
"2793000","0.18"
"2814000","0.158"
"2835000","0.182"
"2856000","0.16399999999999998"
"2877000","0.188"
"2898000","0.12"
"2919000","0.102"
"2940000","0.134"
"2961000","0.182"
"2982000","0.134"
"3003000","0.122"
"3024000","0.108"
"3045000","0.212"
"3066000","0.16399999999999998"
"3087000","0.228"
"3108000","0.182"
"3129000","0.138"
"3150000","0.13"
"3171000","0.17"
"3192000","0.21"
"3213000","0.11"
"3234000","0.162"
"3255000","0.19"
"3276000","0.126"
"3297000","0.22"
"3318000","0.17"
"3339000","0.21799999999999997"
"3360000","0.16399999999999998"
"3381000","0.14400000000000002"
"3402000","0.114"
"3423000","0.18600000000000003"
"3444000","0.16"
"3465000","0.13"
"3486000","0.166"
"3507000","0.17600000000000002"
"3528000","0.18"
"3549000","0.17800000000000002"
"3570000","0.174"
"3591000","0.18"
"3612000","0.154"
"3633000","0.122"
"3654000","0.098"
"3675000","0.17"
"3696000","0.188"
"3717000","0.21"
"3738000","0.204"
"3759000","0.154"
"3780000","0.208"
"3801000","0.208"
"3822000","0.14800000000000002"
"3843000","0.21600000000000005"
"3864000","0.18"
"3885000","0.27"
"3906000","0.204"
"3927000","0.29"
"3948000","0.24"
"3969000","0.21600000000000005"
"3990000","0.14200000000000002"
"4011000","0.224"
"4032000","0.206"
"4053000","0.236"
"4074000","0.17600000000000002"
"4095000","0.28800000000000003"
"4116000","0.234"
"4137000","0.236"
"4158000","0.222"
"4179000","0.22"
"4200000","0.22"
"4221000","0.272"
"4242000","0.27"
"4263000","0.332"
"4284000","0.204"
"4305000","0.272"
"4326000","0.23200000000000004"
"4347000","0.28800000000000003"
"4368000","0.26"
"4389000","0.306"
"4410000","0.27"
"4431000","0.28600000000000003"
"4452000","0.21600000000000005"
"4473000","0.272"
"4494000","0.304"
"4515000","0.226"
"4536000","0.384"
"4557000","0.256"
"4578000","0.416"
"4599000","0.29"
"4620000","0.314"
"4641000","0.312"
"4662000","0.246"
"4683000","0.28600000000000003"
"4704000","0.21"
"4725000","0.304"
"4746000","0.32"
"4767000","0.294"
"4788000","0.276"
"4809000","0.284"
"4830000","0.308"
"4851000","0.326"
"4872000","0.29"
"4893000","0.35600000000000004"
"4914000","0.266"
"4935000","0.308"
"4956000","0.354"
"4977000","0.314"
"4998000","0.37"
"5019000","0.38"
"5040000","0.392"
"5061000","0.462"
"5082000","0.43799999999999994"
"5103000","0.398"
"5124000","0.36599999999999994"
"5145000","0.398"
"5166000","0.336"
"5187000","0.426"
"5208000","0.386"
"5229000","0.45"
"5250000","0.406"
"5271000","0.424"
"5292000","0.344"
"5313000","0.326"
"5334000","0.412"
"5355000","0.446"
"5376000","0.35"
"5397000","0.37200000000000005"
"5418000","0.37200000000000005"
"5439000","0.488"
"5460000","0.362"
"5481000","0.332"
"5502000","0.3559999999999999"
