"Step","sl_amigo_seed1 - cover_rate_5step"
"7000","0.02"
"14000","0.01"
"21000","0"
"28000","0"
"35000","0"
"42000","0"
"49000","0"
"56000","0.008"
"63000","0.05"
"70000","0.07600000000000001"
"77000","0.184"
"84000","0.19199999999999995"
"91000","0.26"
"98000","0.248"
"105000","0.278"
"112000","0.204"
"119000","0.208"
"126000","0.12"
"133000","0.144"
"140000","0.23200000000000004"
"147000","0.184"
"154000","0.15200000000000002"
"161000","0.168"
"168000","0.166"
"175000","0.266"
"182000","0.21"
"189000","0.166"
"196000","0.182"
"203000","0.22"
"210000","0.23"
"217000","0.272"
"224000","0.26"
"231000","0.28600000000000003"
"238000","0.25"
"245000","0.202"
"252000","0.2"
"259000","0.262"
"266000","0.206"
"273000","0.226"
"280000","0.312"
"287000","0.33"
"294000","0.302"
"301000","0.19"
"308000","0.2"
"315000","0.28"
"322000","0.224"
"329000","0.236"
"336000","0.276"
"343000","0.22"
"350000","0.234"
"357000","0.308"
"364000","0.28800000000000003"
"371000","0.354"
"378000","0.36"
"385000","0.4"
"392000","0.33"
"399000","0.26"
"406000","0.33399999999999996"
"413000","0.41"
"420000","0.41"
"427000","0.384"
"434000","0.316"
"441000","0.46"
"448000","0.368"
"455000","0.47"
"462000","0.406"
"469000","0.41"
"476000","0.342"
"483000","0.39"
"490000","0.45"
"497000","0.42"
"504000","0.36"
"511000","0.384"
"518000","0.31"
"525000","0.422"
"532000","0.33199999999999996"
"539000","0.28"
"546000","0.3"
"553000","0.36"
"560000","0.4"
"567000","0.32"
"574000","0.35"
"581000","0.326"
"588000","0.28200000000000003"
"595000","0.344"
"602000","0.29"
"609000","0.25"
"616000","0.354"
"623000","0.306"
"630000","0.35"
"637000","0.36"
"644000","0.27399999999999997"
"651000","0.38"
"658000","0.3"
"665000","0.4"
"672000","0.3"
"679000","0.42"
"686000","0.28600000000000003"
"693000","0.4"
"700000","0.41"
"707000","0.37"
"714000","0.35"
"721000","0.5"
"728000","0.31"
"735000","0.41"
"742000","0.42"
"749000","0.32"
"756000","0.4"
"763000","0.4"
"770000","0.37"
"777000","0.34"
"784000","0.41"
"791000","0.28"
"798000","0.37"
"805000","0.47"
"812000","0.34"
"819000","0.38"
"826000","0.38"
"833000","0.42"
"840000","0.35"
"847000","0.37"
"854000","0.37"
"861000","0.392"
"868000","0.43"
"875000","0.324"
"882000","0.39"
"889000","0.42"
"896000","0.28200000000000003"
"903000","0.43"
"910000","0.41"
"917000","0.33"
