"Step","gan_sl_seed3 - 2cover_rate_1step"
"14000","0"
"28000","0.17"
"42000","0.22"
"56000","0.23"
"70000","0.22"
"84000","0.25"
"98000","0.23"
"112000","0.15"
"126000","0.22"
"140000","0.23"
"154000","0.2"
"168000","0.25"
"182000","0.16"
"196000","0.18"
"210000","0.17"
"224000","0.15"
"238000","0.17"
"252000","0.19"
"266000","0.17"
"280000","0.18"
"294000","0.15"
"308000","0.2"
"322000","0.1"
"336000","0.16"
"350000","0.2"
"364000","0.25"
"378000","0.3"
"392000","0.18"
"406000","0.17"
"420000","0.2"
"434000","0.17"
"448000","0.24"
"462000","0.17"
"476000","0.15"
"490000","0.23"
"504000","0.2"
"518000","0.18"
"532000","0.21"
"546000","0.18"
"560000","0.17"
"574000","0.23"
"588000","0.19"
"602000","0.21"
"616000","0.17"
"630000","0.13"
"644000","0.18"
"658000","0.2"
"672000","0.22"
"686000","0.23"
"700000","0.13"
"714000","0.15"
"728000","0.15"
"742000","0.21"
"756000","0.21"
"770000","0.25"
"784000","0.12"
"798000","0.19"
"812000","0.21"
"826000","0.18"
"840000","0.18"
"854000","0.15"
"868000","0.15"
"882000","0.2"
"896000","0.19"
"910000","0.22"
"924000","0.22"
"938000","0.16"
"952000","0.15"
"966000","0.25"
"980000","0.22"
"994000","0.22"
"1008000","0.22"
"1022000","0.24"
"1036000","0.15"
"1050000","0.18"
"1064000","0.19"
"1078000","0.15"
"1092000","0.23"
"1106000","0.2"
"1120000","0.13"
"1134000","0.17"
"1148000","0.18"
"1162000","0.23"
"1176000","0.32"
"1190000","0.18"
"1204000","0.16"
"1218000","0.14"
"1232000","0.2"
"1246000","0.23"
"1260000","0.21"
"1274000","0.18"
"1288000","0.2"
"1302000","0.27"
"1316000","0.25"
"1330000","0.18"
"1344000","0.12"
"1358000","0.2"
"1372000","0.21"
"1386000","0.22"
"1400000","0.16"
"1414000","0.2"
"1428000","0.21"
"1442000","0.19"
"1456000","0.13"
"1470000","0.14"
"1484000","0.16"
"1498000","0.12"
"1512000","0.17"
"1526000","0.17"
"1540000","0.18"
"1554000","0.25"
"1568000","0.14"
"1582000","0.16"
"1596000","0.15"
"1610000","0.17"
"1624000","0.2"
"1638000","0.18"
"1652000","0.17"
"1666000","0.17"
"1680000","0.15"
"1694000","0.2"
"1708000","0.26"
"1722000","0.2"
"1736000","0.13"
"1750000","0.17"
"1764000","0.19"
"1778000","0.15"
"1792000","0.13"
"1806000","0.16"
"1820000","0.16"
"1834000","0.16"
"1848000","0.22"
"1862000","0.15"
"1876000","0.12"
"1890000","0.2"
"1904000","0.14"
"1918000","0.15"
"1932000","0.18"
"1946000","0.14"
"1960000","0.15"
"1974000","0.18"
"1988000","0.24"
"2002000","0.09"
"2016000","0.08"
"2030000","0.2"
"2044000","0.14"
"2058000","0.14"
"2072000","0.19"
"2086000","0.18"
"2100000","0.2"
"2114000","0.21"
"2128000","0.19"
"2142000","0.15"
"2156000","0.27"
"2170000","0.22"
"2184000","0.18"
"2198000","0.22"
"2212000","0.1"
"2226000","0.2"
"2240000","0.17"
"2254000","0.1"
"2268000","0.19"
"2282000","0.19"
"2296000","0.24"
"2310000","0.27"
"2324000","0.17"
"2338000","0.15"
"2352000","0.19"
"2366000","0.19"
"2380000","0.19"
"2394000","0.19"
"2408000","0.14"
"2422000","0.2"
"2436000","0.17"
"2450000","0.11"
"2464000","0.17"
"2478000","0.19"
"2492000","0.16"
"2506000","0.18"
"2520000","0.13"
"2534000","0.26"
"2548000","0.17"
"2562000","0.19"
"2576000","0.19"
"2590000","0.11"
"2604000","0.17"
"2618000","0.18"
"2632000","0.15"
"2646000","0.16"
"2660000","0.18"
"2674000","0.18"
"2688000","0.16"
"2702000","0.24"
"2716000","0.15"
"2730000","0.17"
"2744000","0.24"
"2758000","0.21"
"2772000","0.18"
"2786000","0.21"
"2800000","0.13"
"2814000","0.15"
"2828000","0.18"
"2842000","0.21"
"2856000","0.17"
"2870000","0.21"
"2884000","0.17"
"2898000","0.18"
"2912000","0.22"
"2926000","0.15"
"2940000","0.23"
"2954000","0.18"
"2968000","0.19"
"2982000","0.18"
"2996000","0.2"
"3010000","0.16"
"3024000","0.16"
"3038000","0.18"
"3052000","0.15"
"3066000","0.18"
"3080000","0.21"
"3094000","0.19"
"3108000","0.16"
"3122000","0.19"
"3136000","0.2"
"3150000","0.22"
"3164000","0.17"
"3178000","0.25"
"3192000","0.22"
"3206000","0.23"
"3220000","0.2"
"3234000","0.29"
"3248000","0.28"
"3262000","0.26"
"3276000","0.18"
"3290000","0.26"
"3304000","0.25"
"3318000","0.27"
"3332000","0.32"
"3346000","0.26"
"3360000","0.16"
"3374000","0.23"
"3388000","0.19"
"3402000","0.17"
"3416000","0.17"
"3430000","0.24"
"3444000","0.19"
"3458000","0.38"
"3472000","0.19"
"3486000","0.2"
"3500000","0.24"
"3514000","0.29"
"3528000","0.32"
"3542000","0.22"
"3556000","0.27"
"3570000","0.25"
"3584000","0.25"
"3598000","0.26"
"3612000","0.27"
"3626000","0.27"
"3640000","0.24"
"3654000","0.28"
"3668000","0.27"
"3682000","0.3"
"3696000","0.27"
"3710000","0.28"
"3724000","0.27"
"3738000","0.29"
"3752000","0.19"
"3766000","0.24"
"3780000","0.21"
"3794000","0.22"
"3808000","0.26"
"3822000","0.32"
"3836000","0.25"
"3850000","0.26"
"3864000","0.29"
"3878000","0.27"
"3892000","0.27"
"3906000","0.26"
"3920000","0.2"
"3934000","0.18"
"3948000","0.25"
"3962000","0.27"
"3976000","0.29"
"3990000","0.22"
"4004000","0.2"
"4018000","0.33"
"4032000","0.24"
"4046000","0.26"
"4060000","0.18"
"4074000","0.26"
"4088000","0.32"
"4102000","0.31"
"4116000","0.29"
"4130000","0.23"
"4144000","0.27"
"4158000","0.25"
"4172000","0.2"
"4186000","0.28"
"4200000","0.25"
"4214000","0.2"
"4228000","0.23"
"4242000","0.26"
"4256000","0.19"
"4270000","0.29"
"4284000","0.35"
"4298000","0.32"
"4312000","0.19"
"4326000","0.22"
"4340000","0.29"
"4354000","0.18"
"4368000","0.24"
"4382000","0.25"
"4396000","0.24"
"4410000","0.26"
"4424000","0.35"
"4438000","0.25"
"4452000","0.25"
"4466000","0.29"
"4480000","0.38"
"4494000","0.19"
"4508000","0.27"
"4522000","0.3"
"4536000","0.35"
"4550000","0.22"
"4564000","0.27"
"4578000","0.31"
"4592000","0.29"
"4606000","0.33"
"4620000","0.28"
"4634000","0.36"
"4648000","0.3"
"4662000","0.24"
"4676000","0.26"
"4690000","0.33"
"4704000","0.26"
"4718000","0.28"
"4732000","0.34"
"4746000","0.12"
"4760000","0.33"
"4774000","0.28"
"4788000","0.27"
"4802000","0.27"
"4816000","0.26"
"4830000","0.39"
"4844000","0.42"
"4858000","0.32"
"4872000","0.31"
"4886000","0.24"
"4900000","0.29"
"4914000","0.31"
"4928000","0.31"
"4942000","0.2"
"4956000","0.38"
"4970000","0.23"
"4984000","0.3"
"4998000","0.32"
"5012000","0.27"
"5026000","0.33"
"5040000","0.31"
"5054000","0.32"
"5068000","0.26"
"5082000","0.34"
"5096000","0.43"
"5110000","0.33"
"5124000","0.37"
"5138000","0.39"
"5152000","0.32"
"5166000","0.24"
"5180000","0.21"
"5194000","0.37"
"5208000","0.29"
"5222000","0.29"
"5236000","0.31"
"5250000","0.3"
"5264000","0.35"
"5278000","0.37"
"5292000","0.38"
"5306000","0.19"
"5320000","0.28"
"5334000","0.32"
"5348000","0.3"
"5362000","0.21"
"5376000","0.26"
"5390000","0.27"
"5404000","0.35"
"5418000","0.21"
"5432000","0.39"
"5446000","0.35"
"5460000","0.26"
"5474000","0.19"
"5488000","0.34"
"5502000","0.32"
"5516000","0.38"
"5530000","0.27"
"5544000","0.34"
"5558000","0.36"
"5572000","0.31"
"5586000","0.31"
"5600000","0.34"
"5614000","0.35"
"5628000","0.22"
"5642000","0.35"
"5656000","0.29"
"5670000","0.29"
"5684000","0.28"
"5698000","0.26"
"5712000","0.26"
"5726000","0.29"
"5740000","0.28"
"5754000","0.34"
"5768000","0.33"
"5782000","0.36"
"5796000","0.25"
"5810000","0.3"
"5824000","0.36"
"5838000","0.35"
"5852000","0.3"
"5866000","0.34"
"5880000","0.31"
"5894000","0.35"
"5908000","0.28"
"5922000","0.32"
"5936000","0.3"
"5950000","0.29"
"5964000","0.37"
"5978000","0.36"
"5992000","0.31"
"6006000","0.36"
"6020000","0.33"
"6034000","0.26"
"6048000","0.32"
"6062000","0.36"
"6076000","0.32"
"6090000","0.34"
"6104000","0.38"
"6118000","0.32"
"6132000","0.31"
"6146000","0.23"
"6160000","0.39"
"6174000","0.42"
"6188000","0.32"
"6202000","0.38"
"6216000","0.37"
"6230000","0.4"
"6244000","0.42"
"6258000","0.43"
"6272000","0.41"
"6286000","0.3"
"6300000","0.38"
"6314000","0.31"
"6328000","0.4"
"6342000","0.37"
"6356000","0.31"
"6370000","0.34"
"6384000","0.41"
"6398000","0.35"
"6412000","0.29"
"6426000","0.36"
"6440000","0.3"
"6454000","0.39"
"6468000","0.39"
"6482000","0.41"
"6496000","0.33"
"6510000","0.42"
"6524000","0.38"
"6538000","0.34"
"6552000","0.36"
"6566000","0.36"
"6580000","0.31"
"6594000","0.31"
"6608000","0.32"
"6622000","0.26"
"6636000","0.43"
"6650000","0.33"
"6664000","0.35"
"6678000","0.34"
"6692000","0.34"
"6706000","0.34"
"6720000","0.32"
"6734000","0.35"
"6748000","0.33"
"6762000","0.26"
"6776000","0.29"
"6790000","0.35"
"6804000","0.38"
"6818000","0.4"
"6832000","0.31"
"6846000","0.31"
"6860000","0.32"
"6874000","0.29"
"6888000","0.37"
"6902000","0.34"
"6916000","0.47"
"6930000","0.38"
"6944000","0.36"
"6958000","0.34"
"6972000","0.34"
"6986000","0.31"
"7000000","0.3"
"7014000","0.33"
"7028000","0.27"
"7042000","0.29"
"7056000","0.38"
"7070000","0.43"
"7084000","0.38"
"7098000","0.4"
"7112000","0.25"
"7126000","0.37"
"7140000","0.33"
"7154000","0.34"
"7168000","0.29"
"7182000","0.37"
"7196000","0.32"
"7210000","0.39"
"7224000","0.36"
"7238000","0.34"
"7252000","0.33"
"7266000","0.35"
"7280000","0.3"
"7294000","0.37"
"7308000","0.38"
"7322000","0.37"
"7336000","0.42"
"7350000","0.31"
"7364000","0.29"
"7378000","0.27"
"7392000","0.33"
"7406000","0.39"
"7420000","0.34"
"7434000","0.44"
"7448000","0.29"
"7462000","0.36"
"7476000","0.37"
"7490000","0.4"
"7504000","0.42"
"7518000","0.43"
"7532000","0.38"
"7546000","0.31"
"7560000","0.37"
"7574000","0.36"
"7588000","0.31"
"7602000","0.29"
"7616000","0.34"
"7630000","0.36"
"7644000","0.37"
"7658000","0.36"
"7672000","0.45"
"7686000","0.39"
"7700000","0.4"
"7714000","0.31"
"7728000","0.36"
"7742000","0.38"
"7756000","0.29"
"7770000","0.37"
"7784000","0.37"
"7798000","0.32"
"7812000","0.38"
"7826000","0.27"
"7840000","0.32"
"7854000","0.28"
"7868000","0.38"
"7882000","0.33"
"7896000","0.45"
"7910000","0.32"
"7924000","0.35"
"7938000","0.37"
"7952000","0.37"
"7966000","0.43"
"7980000","0.46"
"7994000","0.4"
"8008000","0.43"
"8022000","0.45"
"8036000","0.36"
"8050000","0.41"
"8064000","0.37"
"8078000","0.34"
"8092000","0.4"
"8106000","0.48"
"8120000","0.5"
"8134000","0.43"
"8148000","0.44"
"8162000","0.43"
"8176000","0.42"
"8190000","0.52"
"8204000","0.4"
"8218000","0.5"
"8232000","0.37"
"8246000","0.38"
"8260000","0.41"
"8274000","0.44"
"8288000","0.39"
"8302000","0.4"
"8316000","0.39"
"8330000","0.35"
"8344000","0.42"
"8358000","0.41"
"8372000","0.42"
"8386000","0.37"
"8400000","0.34"
"8414000","0.4"
"8428000","0.36"
"8442000","0.37"
"8456000","0.34"
"8470000","0.34"
"8484000","0.45"
"8498000","0.42"
"8512000","0.42"
"8526000","0.44"
"8540000","0.42"
"8554000","0.43"
"8568000","0.49"
"8582000","0.45"
"8596000","0.52"
"8610000","0.42"
"8624000","0.42"
"8638000","0.36"
"8652000","0.51"
"8666000","0.46"
"8680000","0.48"
"8694000","0.38"
"8708000","0.43"
"8722000","0.38"
"8736000","0.39"
"8750000","0.51"
"8764000","0.46"
"8778000","0.46"
"8792000","0.47"
"8806000","0.47"
"8820000","0.48"
"8834000","0.44"
"8848000","0.49"
"8862000","0.47"
"8876000","0.34"
"8890000","0.47"
"8904000","0.43"
"8918000","0.47"
"8932000","0.45"
"8946000","0.48"
"8960000","0.44"
"8974000","0.53"
"8988000","0.52"
"9002000","0.45"
"9016000","0.47"
"9030000","0.43"
"9044000","0.37"
"9058000","0.47"
"9072000","0.44"
"9086000","0.42"
"9100000","0.5"
"9114000","0.45"
"9128000","0.5"
"9142000","0.5"
"9156000","0.39"
"9170000","0.49"
"9184000","0.56"
"9198000","0.59"
"9212000","0.51"
"9226000","0.51"
"9240000","0.51"
"9254000","0.45"
"9268000","0.51"
"9282000","0.5"
"9296000","0.55"
"9310000","0.51"
"9324000","0.51"
"9338000","0.52"
"9352000","0.51"
"9366000","0.53"
"9380000","0.49"
"9394000","0.49"
"9408000","0.6"
"9422000","0.37"
"9436000","0.43"
"9450000","0.54"
"9464000","0.41"
"9478000","0.41"
"9492000","0.45"
"9506000","0.45"
"9520000","0.44"
"9534000","0.51"
"9548000","0.42"
"9562000","0.36"
"9576000","0.46"
"9590000","0.52"
"9604000","0.46"
"9618000","0.4"
"9632000","0.48"
"9646000","0.45"
"9660000","0.43"
"9674000","0.47"
"9688000","0.54"
"9702000","0.51"
"9716000","0.43"
"9730000","0.48"
"9744000","0.5"
"9758000","0.57"
"9772000","0.44"
"9786000","0.44"
"9800000","0.48"
"9814000","0.52"
"9828000","0.47"
"9842000","0.57"
"9856000","0.47"
"9870000","0.54"
"9884000","0.52"
"9898000","0.56"
"9912000","0.55"
"9926000","0.52"
"9940000","0.54"
"9954000","0.52"
"9968000","0.44"
"9982000","0.54"
"9996000","0.52"
"10010000","0.58"
"10024000","0.42"
"10038000","0.49"
"10052000","0.53"
"10066000","0.49"
"10080000","0.47"
"10094000","0.46"
"10108000","0.49"
"10122000","0.6"
"10136000","0.54"
"10150000","0.42"
"10164000","0.55"
"10178000","0.48"
"10192000","0.39"
"10206000","0.53"
"10220000","0.5"
"10234000","0.64"
"10248000","0.54"
"10262000","0.41"
"10276000","0.51"
"10290000","0.5"
"10304000","0.52"
"10318000","0.54"
"10332000","0.57"
"10346000","0.64"
"10360000","0.62"
"10374000","0.6"
"10388000","0.48"
"10402000","0.5"
"10416000","0.61"
"10430000","0.59"
"10444000","0.51"
"10458000","0.64"
"10472000","0.57"
"10486000","0.54"
"10500000","0.59"
"10514000","0.62"
"10528000","0.57"
"10542000","0.55"
"10556000","0.52"
"10570000","0.51"
"10584000","0.48"
"10598000","0.56"
"10612000","0.55"
"10626000","0.56"
"10640000","0.54"
"10654000","0.47"
"10668000","0.5"
"10682000","0.53"
"10696000","0.53"
"10710000","0.47"
"10724000","0.53"
"10738000","0.58"
"10752000","0.54"
"10766000","0.58"
"10780000","0.52"
"10794000","0.63"
"10808000","0.55"
"10822000","0.47"
"10836000","0.5"
"10850000","0.51"
"10864000","0.46"
"10878000","0.51"
"10892000","0.52"
"10906000","0.53"
"10920000","0.47"
"10934000","0.67"
"10948000","0.52"
"10962000","0.57"
"10976000","0.7"
"10990000","0.62"
"11004000","0.62"
"11018000","0.55"
"11032000","0.55"
"11046000","0.57"
"11060000","0.6"
"11074000","0.54"
"11088000","0.56"
"11102000","0.56"
"11116000","0.51"
"11130000","0.58"
"11144000","0.52"
"11158000","0.62"
"11172000","0.65"
"11186000","0.61"
"11200000","0.64"
"11214000","0.65"
"11228000","0.63"
"11242000","0.54"
"11256000","0.46"
"11270000","0.49"
"11284000","0.57"
"11298000","0.58"
"11312000","0.52"
"11326000","0.42"
"11340000","0.57"
"11354000","0.48"
"11368000","0.55"
"11382000","0.49"
"11396000","0.53"
"11410000","0.57"
"11424000","0.48"
"11438000","0.51"
"11452000","0.48"
"11466000","0.6"
"11480000","0.49"
"11494000","0.6"
"11508000","0.57"
"11522000","0.64"
"11536000","0.61"
"11550000","0.57"
"11564000","0.57"
"11578000","0.55"
"11592000","0.68"
"11606000","0.64"
"11620000","0.57"
"11634000","0.56"
"11648000","0.62"
"11662000","0.67"
"11676000","0.65"
"11690000","0.6"
"11704000","0.6"
"11718000","0.52"
"11732000","0.56"
"11746000","0.63"
"11760000","0.57"
"11774000","0.61"
"11788000","0.6"
"11802000","0.55"
"11816000","0.6"
"11830000","0.51"
"11844000","0.54"
"11858000","0.58"
"11872000","0.55"
"11886000","0.59"
"11900000","0.7"
"11914000","0.63"
"11928000","0.56"
"11942000","0.58"
"11956000","0.66"
"11970000","0.61"
"11984000","0.57"
"11998000","0.62"
"12012000","0.6"
"12026000","0.61"
"12040000","0.52"
"12054000","0.58"
"12068000","0.53"
"12082000","0.63"
"12096000","0.53"
"12110000","0.63"
"12124000","0.55"
"12138000","0.58"
"12152000","0.55"
"12166000","0.5"
"12180000","0.58"
"12194000","0.55"
"12208000","0.51"
"12222000","0.53"
"12236000","0.52"
"12250000","0.56"
"12264000","0.56"
"12278000","0.63"
"12292000","0.6"
"12306000","0.6"
"12320000","0.5"
"12334000","0.62"
"12348000","0.59"
"12362000","0.67"
"12376000","0.54"
"12390000","0.6"
"12404000","0.61"
"12418000","0.66"
"12432000","0.65"
"12446000","0.65"
"12460000","0.62"
"12474000","0.6"
"12488000","0.62"
"12502000","0.53"
"12516000","0.49"
"12530000","0.57"
"12544000","0.55"
"12558000","0.52"
"12572000","0.6"
"12586000","0.57"
"12600000","0.61"
"12614000","0.64"
"12628000","0.55"
"12642000","0.59"
"12656000","0.48"
"12670000","0.57"
"12684000","0.62"
"12698000","0.6"
"12712000","0.45"
"12726000","0.6"
"12740000","0.63"
"12754000","0.54"
"12768000","0.56"
"12782000","0.52"
"12796000","0.55"
"12810000","0.64"
"12824000","0.61"
"12838000","0.54"
"12852000","0.54"
"12866000","0.63"
"12880000","0.54"
"12894000","0.55"
"12908000","0.5"
"12922000","0.55"
"12936000","0.6"
"12950000","0.55"
"12964000","0.6"
"12978000","0.59"
"12992000","0.5"
"13006000","0.59"
"13020000","0.59"
"13034000","0.47"
"13048000","0.47"
"13062000","0.53"
"13076000","0.58"
"13090000","0.58"
"13104000","0.56"
"13118000","0.58"
"13132000","0.68"
"13146000","0.61"
"13160000","0.58"
"13174000","0.62"
"13188000","0.65"
"13202000","0.58"
"13216000","0.64"
"13230000","0.62"
"13244000","0.66"
"13258000","0.59"
"13272000","0.7"
"13286000","0.54"
"13300000","0.53"
"13314000","0.66"
"13328000","0.61"
"13342000","0.6"
"13356000","0.62"
"13370000","0.58"
"13384000","0.62"
"13398000","0.64"
"13412000","0.69"
"13426000","0.53"
"13440000","0.59"
"13454000","0.67"
"13468000","0.65"
"13482000","0.56"
"13496000","0.56"
"13510000","0.57"
"13524000","0.56"
"13538000","0.61"
"13552000","0.56"
"13566000","0.51"
"13580000","0.55"
"13594000","0.55"
"13608000","0.44"
"13622000","0.42"
"13636000","0.52"
"13650000","0.59"
"13664000","0.55"
"13678000","0.63"
"13692000","0.55"
"13706000","0.63"
"13720000","0.76"
"13734000","0.58"
"13748000","0.57"
"13762000","0.55"
"13776000","0.54"
"13790000","0.55"
"13804000","0.59"
"13818000","0.52"
"13832000","0.63"
"13846000","0.63"
"13860000","0.65"
"13874000","0.63"
"13888000","0.61"
"13902000","0.68"
"13916000","0.62"
