"Step","sl_reverse_finalversion_seed1 - cover_rate_5step"
"7000","0.172"
"14000","0.15"
"21000","0.196"
"28000","0.196"
"35000","0.19"
"42000","0.212"
"49000","0.23"
"56000","0.15"
"63000","0.228"
"70000","0.16"
"77000","0.158"
"84000","0.28"
"91000","0.17"
"98000","0.21"
"105000","0.206"
"112000","0.18"
"119000","0.22"
"126000","0.194"
"133000","0.24"
"140000","0.204"
"147000","0.252"
"154000","0.174"
"161000","0.16"
"168000","0.198"
"175000","0.188"
"182000","0.15999999999999998"
"189000","0.204"
"196000","0.21"
"203000","0.27"
"210000","0.282"
"217000","0.18600000000000003"
"224000","0.226"
"231000","0.206"
"238000","0.282"
"245000","0.18"
"252000","0.158"
"259000","0.134"
"266000","0.16399999999999998"
"273000","0.202"
"280000","0.32199999999999995"
"287000","0.158"
"294000","0.17"
"301000","0.21600000000000005"
"308000","0.21600000000000005"
"315000","0.14"
"322000","0.19"
"329000","0.17200000000000004"
"336000","0.202"
"343000","0.14400000000000002"
"350000","0.152"
"357000","0.21"
"364000","0.174"
"371000","0.2"
"378000","0.204"
"385000","0.254"
"392000","0.27"
"399000","0.192"
"406000","0.11600000000000002"
"413000","0.14400000000000002"
"420000","0.12"
"427000","0.172"
"434000","0.19"
"441000","0.182"
"448000","0.21"
"455000","0.234"
"462000","0.21"
"469000","0.154"
"476000","0.174"
"483000","0.17"
"490000","0.174"
"497000","0.14800000000000002"
"504000","0.172"
"511000","0.19"
"518000","0.17"
"525000","0.08"
"532000","0.13"
"539000","0.17"
"546000","0.17800000000000002"
"553000","0.234"
"560000","0.17600000000000002"
"567000","0.118"
"574000","0.20200000000000004"
"581000","0.19"
"588000","0.18"
"595000","0.18"
"602000","0.244"
"609000","0.14"
"616000","0.146"
"623000","0.214"
"630000","0.28"
"637000","0.17600000000000002"
"644000","0.18"
"651000","0.222"
"658000","0.154"
"665000","0.196"
"672000","0.156"
"679000","0.23"
"686000","0.146"
"693000","0.156"
"700000","0.218"
"707000","0.14800000000000002"
"714000","0.23"
"721000","0.12"
"728000","0.20799999999999996"
"735000","0.14400000000000002"
"742000","0.138"
"749000","0.14"
"756000","0.136"
"763000","0.222"
"770000","0.212"
"777000","0.2"
"784000","0.19"
"791000","0.17"
"798000","0.218"
"805000","0.184"
"812000","0.154"
"819000","0.19"
"826000","0.206"
"833000","0.13"
"840000","0.18799999999999997"
"847000","0.138"
"854000","0.174"
"861000","0.19"
"868000","0.204"
"875000","0.18"
"882000","0.21600000000000005"
"889000","0.17799999999999996"
"896000","0.206"
"903000","0.17"
"910000","0.19"
"917000","0.246"
"924000","0.218"
"931000","0.184"
"938000","0.208"
"945000","0.182"
"952000","0.198"
"959000","0.12"
"966000","0.266"
"973000","0.15"
"980000","0.25"
"987000","0.17600000000000002"
"994000","0.242"
"1001000","0.126"
"1008000","0.17200000000000004"
"1015000","0.204"
"1022000","0.184"
"1029000","0.172"
"1036000","0.218"
"1043000","0.18"
"1050000","0.202"
"1057000","0.154"
"1064000","0.154"
"1071000","0.15"
"1078000","0.14"
"1085000","0.162"
"1092000","0.228"
"1099000","0.23"
"1106000","0.146"
"1113000","0.15"
"1120000","0.174"
"1127000","0.224"
"1134000","0.15"
"1141000","0.13"
"1148000","0.16399999999999998"
"1155000","0.188"
"1162000","0.196"
"1169000","0.19"
"1176000","0.152"
"1183000","0.166"
"1190000","0.142"
"1197000","0.17"
"1204000","0.21"
"1211000","0.16399999999999998"
"1218000","0.2"
"1225000","0.21600000000000005"
"1232000","0.14"
"1239000","0.2"
"1246000","0.15"
"1253000","0.19"
"1260000","0.238"
"1267000","0.244"
"1274000","0.254"
"1281000","0.23"
"1288000","0.196"
"1295000","0.202"
"1302000","0.16200000000000003"
"1309000","0.17800000000000002"
"1316000","0.146"
"1323000","0.166"
"1330000","0.23"
"1337000","0.17600000000000002"
"1344000","0.14"
"1351000","0.184"
"1358000","0.196"
"1365000","0.18"
"1372000","0.196"
"1379000","0.226"
"1386000","0.2"
"1393000","0.106"
"1400000","0.158"
"1407000","0.21"
"1414000","0.196"
"1421000","0.26"
"1428000","0.202"
"1435000","0.21"
"1442000","0.212"
"1449000","0.234"
"1456000","0.208"
"1463000","0.17600000000000002"
"1470000","0.204"
"1477000","0.196"
"1484000","0.21"
"1491000","0.16"
"1498000","0.182"
"1505000","0.142"
"1512000","0.28200000000000003"
"1519000","0.266"
