"Step","sl_unif_seed3 - 2cover_rate"
"7000","0.04"
"14000","0.09"
"21000","0.116"
"28000","0.07"
"35000","0.168"
"42000","0.194"
"49000","0.16"
"56000","0.17"
"63000","0.13"
"70000","0.15"
"77000","0.188"
"84000","0.124"
"91000","0.19200000000000003"
"98000","0.246"
"105000","0.138"
"112000","0.142"
"119000","0.218"
"126000","0.19"
"133000","0.17"
"140000","0.136"
"147000","0.194"
"154000","0.25"
"161000","0.16"
"168000","0.23"
"175000","0.26"
"182000","0.19"
"189000","0.276"
"196000","0.196"
"203000","0.2"
"210000","0.244"
"217000","0.23"
"224000","0.18"
"231000","0.2"
"238000","0.31"
"245000","0.29"
"252000","0.434"
"259000","0.384"
"266000","0.388"
"273000","0.33799999999999997"
"280000","0.354"
"287000","0.36"
"294000","0.374"
"301000","0.38"
"308000","0.376"
"315000","0.314"
"322000","0.302"
"329000","0.388"
"336000","0.306"
"343000","0.38"
"350000","0.36"
"357000","0.324"
"364000","0.37799999999999995"
"371000","0.316"
"378000","0.4"
"385000","0.314"
"392000","0.314"
"399000","0.48"
"406000","0.406"
"413000","0.34600000000000003"
"420000","0.4"
"427000","0.28"
"434000","0.382"
"441000","0.3559999999999999"
"448000","0.47"
"455000","0.41"
"462000","0.4"
"469000","0.38"
"476000","0.43"
"483000","0.46"
"490000","0.43"
"497000","0.436"
"504000","0.5"
"511000","0.404"
"518000","0.456"
"525000","0.36"
"532000","0.4"
"539000","0.37799999999999995"
"546000","0.41"
"553000","0.308"
"560000","0.362"
"567000","0.35200000000000004"
"574000","0.33799999999999997"
"581000","0.46"
"588000","0.526"
"595000","0.4479999999999999"
"602000","0.43"
"609000","0.444"
"616000","0.37"
"623000","0.326"
"630000","0.33"
"637000","0.468"
"644000","0.392"
"651000","0.43"
"658000","0.316"
"665000","0.36"
"672000","0.35200000000000004"
"679000","0.344"
"686000","0.42"
"693000","0.368"
"700000","0.422"
"707000","0.33799999999999997"
"714000","0.342"
"721000","0.436"
"728000","0.31"
"735000","0.43"
"742000","0.4159999999999999"
"749000","0.41"
"756000","0.3"
"763000","0.394"
"770000","0.446"
"777000","0.404"
"784000","0.36199999999999993"
"791000","0.368"
"798000","0.364"
"805000","0.284"
"812000","0.33"
"819000","0.44"
"826000","0.34"
"833000","0.282"
"840000","0.366"
"847000","0.366"
"854000","0.51"
"861000","0.456"
"868000","0.38"
"875000","0.38"
"882000","0.304"
"889000","0.36"
"896000","0.456"
"903000","0.36"
"910000","0.33"
"917000","0.376"
"924000","0.42"
"931000","0.456"
"938000","0.42"
"945000","0.41"
"952000","0.408"
"959000","0.434"
"966000","0.28"
"973000","0.4"
"980000","0.42"
"987000","0.32799999999999996"
"994000","0.44"
"1001000","0.382"
"1008000","0.39"
"1015000","0.34"
"1022000","0.43"
"1029000","0.4"
"1036000","0.39"
"1043000","0.37"
"1050000","0.33"
"1057000","0.33"
"1064000","0.43"
"1071000","0.3"
"1078000","0.35"
"1085000","0.36"
"1092000","0.39"
"1099000","0.44"
"1106000","0.37"
"1113000","0.412"
"1120000","0.38"
"1127000","0.384"
"1134000","0.43"
"1141000","0.43"
"1148000","0.368"
"1155000","0.376"
"1162000","0.36599999999999994"
"1169000","0.384"
"1176000","0.382"
"1183000","0.362"
"1190000","0.49"
"1197000","0.416"
"1204000","0.342"
"1211000","0.434"
"1218000","0.404"
"1225000","0.29"
"1232000","0.4"
"1239000","0.418"
"1246000","0.388"
"1253000","0.4"
"1260000","0.44"
"1267000","0.53"
"1274000","0.35"
"1281000","0.384"
"1288000","0.392"
"1295000","0.4320000000000001"
"1302000","0.45"
"1309000","0.404"
"1316000","0.474"
"1323000","0.402"
"1330000","0.41"
"1337000","0.41"
"1344000","0.33"
"1351000","0.442"
"1358000","0.416"
"1365000","0.37"
"1372000","0.392"
"1379000","0.386"
"1386000","0.36"
"1393000","0.37200000000000005"
"1400000","0.362"
"1407000","0.416"
"1414000","0.376"
"1421000","0.428"
"1428000","0.39"
"1435000","0.39"
"1442000","0.476"
"1449000","0.418"
"1456000","0.394"
"1463000","0.39"
"1470000","0.278"
"1477000","0.396"
"1484000","0.34"
"1491000","0.35"
"1498000","0.412"
"1505000","0.45"
"1512000","0.37"
"1519000","0.336"
"1526000","0.472"
"1533000","0.31"
"1540000","0.4"
"1547000","0.34600000000000003"
"1554000","0.366"
"1561000","0.404"
"1568000","0.39"
"1575000","0.376"
"1582000","0.366"
"1589000","0.446"
"1596000","0.38"
"1603000","0.354"
"1610000","0.374"
"1617000","0.44"
"1624000","0.318"
"1631000","0.424"
"1638000","0.32"
"1645000","0.33"
"1652000","0.464"
"1659000","0.4479999999999999"
"1666000","0.4"
"1673000","0.342"
"1680000","0.36"
"1687000","0.44"
"1694000","0.44"
"1701000","0.39"
"1708000","0.27"
"1715000","0.486"
"1722000","0.36"
"1729000","0.426"
"1736000","0.42"
"1743000","0.4479999999999999"
"1750000","0.466"
"1757000","0.4"
"1764000","0.396"
"1771000","0.35600000000000004"
"1778000","0.41"
"1785000","0.4"
"1792000","0.38"
"1799000","0.456"
"1806000","0.39"
"1813000","0.414"
"1820000","0.388"
"1827000","0.42599999999999993"
"1834000","0.458"
"1841000","0.398"
"1848000","0.384"
"1855000","0.39"
"1862000","0.374"
"1869000","0.434"
"1876000","0.35"
"1883000","0.422"
"1890000","0.4320000000000001"
"1897000","0.454"
"1904000","0.35"
"1911000","0.39"
"1918000","0.4"
"1925000","0.36"
"1932000","0.37"
"1939000","0.34600000000000003"
"1946000","0.43599999999999994"
"1953000","0.408"
"1960000","0.354"
"1967000","0.32599999999999996"
"1974000","0.36"
"1981000","0.508"
"1988000","0.33799999999999997"
"1995000","0.396"
"2002000","0.42"
"2009000","0.32"
"2016000","0.4159999999999999"
"2023000","0.37200000000000005"
"2030000","0.482"
"2037000","0.386"
"2044000","0.4"
"2051000","0.384"
"2058000","0.4"
"2065000","0.402"
"2072000","0.37799999999999995"
"2079000","0.35600000000000004"
"2086000","0.336"
"2093000","0.41"
"2100000","0.34600000000000003"
"2107000","0.33799999999999997"
"2114000","0.36"
"2121000","0.41"
"2128000","0.408"
"2135000","0.37799999999999995"
"2142000","0.33399999999999996"
"2149000","0.452"
"2156000","0.38"
"2163000","0.4159999999999999"
"2170000","0.38400000000000006"
"2177000","0.37"
"2184000","0.42"
"2191000","0.404"
"2198000","0.348"
"2205000","0.344"
"2212000","0.38"
"2219000","0.324"
"2226000","0.34"
"2233000","0.38"
"2240000","0.326"
"2247000","0.394"
"2254000","0.33799999999999997"
"2261000","0.312"
"2268000","0.37"
"2275000","0.37"
"2282000","0.45"
"2289000","0.398"
"2296000","0.386"
"2303000","0.396"
"2310000","0.382"
"2317000","0.412"
"2324000","0.4640000000000001"
"2331000","0.344"
"2338000","0.35200000000000004"
"2345000","0.36"
"2352000","0.332"
"2359000","0.434"
"2366000","0.32"
"2373000","0.336"
"2380000","0.362"
"2387000","0.37"
"2394000","0.41"
"2401000","0.426"
"2408000","0.33599999999999997"
"2415000","0.34600000000000003"
"2422000","0.394"
"2429000","0.4"
"2436000","0.358"
"2443000","0.392"
"2450000","0.374"
"2457000","0.396"
"2464000","0.362"
"2471000","0.43799999999999994"
"2478000","0.442"
"2485000","0.39"
"2492000","0.318"
"2499000","0.354"
"2506000","0.388"
"2513000","0.316"
"2520000","0.3"
"2527000","0.44"
"2534000","0.354"
"2541000","0.416"
"2548000","0.35600000000000004"
"2555000","0.4320000000000001"
"2562000","0.392"
"2569000","0.35200000000000004"
"2576000","0.38"
"2583000","0.474"
"2590000","0.452"
"2597000","0.364"
"2604000","0.436"
"2611000","0.392"
"2618000","0.396"
"2625000","0.39"
"2632000","0.394"
"2639000","0.41"
"2646000","0.428"
"2653000","0.42"
"2660000","0.396"
"2667000","0.392"
"2674000","0.4"
"2681000","0.4"
"2688000","0.436"
"2695000","0.342"
"2702000","0.318"
"2709000","0.38"
"2716000","0.414"
"2723000","0.312"
"2730000","0.412"
"2737000","0.39"
"2744000","0.424"
"2751000","0.456"
"2758000","0.446"
"2765000","0.38"
"2772000","0.35600000000000004"
"2779000","0.28800000000000003"
"2786000","0.29200000000000004"
"2793000","0.362"
"2800000","0.45"
