"Step","solved_badinit_pb_seed2 - cover_rate_5step"
"180000","0.118"
"360000","0.134"
"540000","0.109"
"720000","0.107"
"900000","0.103"
"1080000","0.09"
"1260000","0.118"
"1440000","0.121"
"1620000","0.104"
"1800000","0.114"
"1980000","0.115"
"2160000","0.114"
"2340000","0.097"
"2520000","0.107"
"2700000","0.115"
"2880000","0.113"
"3060000","0.117"
"3240000","0.12"
"3420000","0.132"
"3600000","0.125"
"3780000","0.153"
"3960000","0.113"
"4140000","0.112"
"4320000","0.114"
"4500000","0.135"
"4680000","0.12"
"4860000","0.121"
"5040000","0.13"
"5220000","0.125"
"5400000","0.116"
"5580000","0.118"
"5760000","0.115"
"5940000","0.111"
"6120000","0.126"
"6300000","0.125"
"6480000","0.118"
"6660000","0.1242"
"6840000","0.123"
"7020000","0.125"
"7200000","0.109"
"7380000","0.119"
"7560000","0.113"
"7740000","0.125"
"7920000","0.108"
"8100000","0.112"
"8280000","0.113"
"8460000","0.122"
"8640000","0.111"
"8820000","0.114"
"9000000","0.093"
"9180000","0.109"
"9360000","0.1076"
"9540000","0.122"
"9720000","0.12"
"9900000","0.117"
"10080000","0.1034"
"10260000","0.127"
"10440000","0.136"
"10620000","0.118"
"10800000","0.0988"
"10980000","0.1328"
"11160000","0.1342"
"11340000","0.12"
"11520000","0.128"
"11700000","0.1332"
"11880000","0.14959999999999998"
"12060000","0.133"
"12240000","0.121"
"12420000","0.1468"
"12600000","0.1398"
"12780000","0.1164"
"12960000","0.147"
"13140000","0.13439999999999996"
"13320000","0.131"
"13500000","0.11719999999999998"
"13680000","0.133"
"13860000","0.1378"
"14040000","0.1514"
"14220000","0.13"
"14400000","0.136"
"14580000","0.147"
"14760000","0.13360000000000002"
"14940000","0.1342"
"15120000","0.1444"
"15300000","0.1412"
"15480000","0.1594"
"15660000","0.1574"
"15840000","0.172"
"16020000","0.1754"
"16200000","0.1864"
"16380000","0.185"
"16560000","0.1854"
"16740000","0.20660000000000003"
"16920000","0.2066"
"17100000","0.1712"
"17280000","0.2166"
"17460000","0.1814"
"17640000","0.2396"
"17820000","0.2528"
"18000000","0.218"
"18180000","0.2438"
"18360000","0.2206"
"18540000","0.2372"
"18720000","0.2374"
"18900000","0.23860000000000003"
"19080000","0.2304"
"19260000","0.2288"
"19440000","0.23360000000000003"
"19620000","0.2542"
"19800000","0.2408"
"19980000","0.2338"
"20160000","0.2122"
"20340000","0.2412"
"20520000","0.2376"
"20700000","0.2238"
"20880000","0.24879999999999997"
"21060000","0.26480000000000004"
"21240000","0.2408"
"21420000","0.2328"
"21600000","0.2708"
"21780000","0.2304"
"21960000","0.2458"
"22140000","0.2222"
"22320000","0.2586"
"22500000","0.238"
"22680000","0.2528"
"22860000","0.26080000000000003"
"23040000","0.24039999999999995"
"23220000","0.2518"
"23400000","0.2312"
"23580000","0.2358"
"23760000","0.2374"
"23940000","0.2056"
"24120000","0.247"
"24300000","0.2254"
"24480000","0.2082"
"24660000","0.2118"
"24840000","0.229"
"25020000","0.23260000000000003"
"25200000","0.2032"
"25380000","0.2434"
"25560000","0.2166"
"25740000","0.253"
"25920000","0.2382"
"26100000","0.23939999999999995"
"26280000","0.2196"
"26460000","0.2424"
"26640000","0.2414"
"26820000","0.23039999999999997"
"27000000","0.25680000000000003"
"27180000","0.2524"
"27360000","0.238"
"27540000","0.2552"
"27720000","0.25539999999999996"
"27900000","0.263"
"28080000","0.2194"
"28260000","0.284"
"28440000","0.2826"
"28620000","0.254"
"28800000","0.2764"
"28980000","0.2546"
"29160000","0.30160000000000003"
"29340000","0.27279999999999993"
"29520000","0.26280000000000003"
"29700000","0.30939999999999995"
"29880000","0.30679999999999996"
"30060000","0.30560000000000004"
"30240000","0.305"
"30420000","0.31360000000000005"
"30600000","0.286"
"30780000","0.30920000000000003"
"30960000","0.31039999999999995"
"31140000","0.3004"
"31320000","0.3096"
"31500000","0.293"
"31680000","0.295"
"31860000","0.3346"
"32040000","0.31079999999999997"
"32220000","0.3276"
"32400000","0.30739999999999995"
"32580000","0.31479999999999997"
"32760000","0.31260000000000004"
"32940000","0.2932"
"33120000","0.30619999999999997"
"33300000","0.2992"
"33480000","0.3306"
"33660000","0.3376"
"33840000","0.326"
"34020000","0.30079999999999996"
"34200000","0.303"
"34380000","0.31"
"34560000","0.31439999999999996"
"34740000","0.30579999999999996"
"34920000","0.30639999999999995"
"35100000","0.30839999999999995"
"35280000","0.2942000000000001"
"35460000","0.3142"
"35640000","0.3382"
"35820000","0.33880000000000005"
"36000000","0.3018"
"36180000","0.3376"
"36360000","0.3232"
"36540000","0.3136"
"36720000","0.3052"
"36900000","0.3356"
"37080000","0.2866"
"37260000","0.356"
"37440000","0.3646"
"37620000","0.3286"
"37800000","0.3212"
"37980000","0.3362"
"38160000","0.3314"
"38340000","0.328"
"38520000","0.334"
"38700000","0.3334"
"38880000","0.3088"
"39060000","0.3462"
"39240000","0.3214"
"39420000","0.3346"
"39600000","0.3516"
"39780000","0.33080000000000004"
"39960000","0.3676"
"40140000","0.3691999999999999"
"40320000","0.3368"
"40500000","0.381"
"40680000","0.35960000000000003"
"40860000","0.373"
"41040000","0.3582"
"41220000","0.368"
"41400000","0.40420000000000006"
"41580000","0.3944"
"41760000","0.3888"
"41940000","0.3812"
"42120000","0.3904"
"42300000","0.442"
"42480000","0.403"
"42660000","0.4206"
"42840000","0.4343999999999999"
"43020000","0.4054"
"43200000","0.4026"
"43380000","0.4276"
"43560000","0.3952"
"43740000","0.417"
"43920000","0.4116"
"44100000","0.4248"
"44280000","0.3996"
"44460000","0.3862"
"44640000","0.422"
"44820000","0.4186"
"45000000","0.427"
"45180000","0.3972"
"45360000","0.398"
"45540000","0.3642"
"45720000","0.3772"
"45900000","0.3974"
"46080000","0.397"
"46260000","0.3846"
"46440000","0.421"
"46620000","0.393"
"46800000","0.4008"
"46980000","0.3878"
"47160000","0.379"
"47340000","0.3946"
"47520000","0.4212"
"47700000","0.3906"
"47880000","0.391"
"48060000","0.4172"
"48240000","0.4328"
"48420000","0.4268"
"48600000","0.435"
"48780000","0.4262"
"48960000","0.4348"
"49140000","0.4352"
"49320000","0.4754"
"49500000","0.4368"
"49680000","0.425"
"49860000","0.402"
"50040000","0.403"
"50220000","0.4206"
"50400000","0.452"
"50580000","0.4238"
"50760000","0.4662"
"50940000","0.4282"
"51120000","0.4646"
"51300000","0.4566"
"51480000","0.4416000000000001"
"51660000","0.4536"
"51840000","0.473"
"52020000","0.4574"
"52200000","0.4908"
"52380000","0.4596"
"52560000","0.4604"
"52740000","0.508"
"52920000","0.4664"
"53100000","0.4862"
"53280000","0.483"
"53460000","0.5134"
"53640000","0.5306000000000001"
"53820000","0.5266000000000001"
"54000000","0.5094000000000001"
"54180000","0.5114"
"54360000","0.5347999999999999"
"54540000","0.5094"
"54720000","0.5196"
"54900000","0.5128"
"55080000","0.5314"
"55260000","0.4943999999999999"
"55440000","0.516"
"55620000","0.5144"
"55800000","0.5232"
"55980000","0.4926"
"56160000","0.5282"
"56340000","0.5196"
"56520000","0.5322"
"56700000","0.4906"
"56880000","0.5007999999999999"
"57060000","0.5012"
"57240000","0.5114000000000001"
"57420000","0.532"
"57600000","0.5257999999999999"
"57780000","0.5122000000000001"
"57960000","0.5446"
"58140000","0.51"
"58320000","0.5262"
"58500000","0.5618"
"58680000","0.523"
"58860000","0.5364000000000001"
"59040000","0.502"
"59220000","0.5602"
"59400000","0.5385999999999999"
"59580000","0.5548"
"59760000","0.53"
"59940000","0.5565999999999999"
"60120000","0.5462"
"60300000","0.5344"
"60480000","0.5684"
"60660000","0.5574"
"60840000","0.536"
"61020000","0.5658"
"61200000","0.5304"
"61380000","0.559"
"61560000","0.5164"
"61740000","0.5456"
"61920000","0.5314"
"62100000","0.53"
"62280000","0.516"
"62460000","0.551"
"62640000","0.5191999999999999"
"62820000","0.5486"
"63000000","0.525"
"63180000","0.517"
"63360000","0.4882"
"63540000","0.5254"
"63720000","0.539"
"63900000","0.5018"
"64080000","0.5096"
"64260000","0.4868"
"64440000","0.4876"
"64620000","0.5296000000000001"
"64800000","0.5294"
"64980000","0.5384000000000001"
"65160000","0.5414"
"65340000","0.5216000000000001"
"65520000","0.4892"
"65700000","0.4994"
"65880000","0.5244"
"66060000","0.5146"
"66240000","0.5451999999999999"
"66420000","0.555"
"66600000","0.5465999999999999"
"66780000","0.539"
"66960000","0.533"
"67140000","0.5272"
"67320000","0.5406"
"67500000","0.5282"
"67680000","0.5394"
"67860000","0.5378000000000001"
"68040000","0.5174"
"68220000","0.5177999999999999"
"68400000","0.5412"
"68580000","0.5556"
"68760000","0.5298"
"68940000","0.537"
"69120000","0.541"
"69300000","0.5212"
"69480000","0.55"
"69660000","0.5424"
"69840000","0.5362"
"70020000","0.5357999999999999"
"70200000","0.5294000000000001"
"70380000","0.5404000000000001"
"70560000","0.5546"
"70740000","0.5141999999999999"
"70920000","0.5578"
"71100000","0.534"
"71280000","0.5126"
"71460000","0.5176000000000001"
"71640000","0.4992"
"71820000","0.5028"
"72000000","0.4754"
"72180000","0.516"
"72360000","0.5036"
"72540000","0.4918"
"72720000","0.5344"
"72900000","0.5236000000000001"
"73080000","0.5017999999999999"
"73260000","0.5024000000000001"
"73440000","0.51"
