"Step","solved_pb - cover_rate_5step","solved_pb_seed2 - cover_rate_5step","solved_pb_seed3 - cover_rate_5step"
"180000","0.125","0.131","0.119"
"360000","0.119","0.14","0.123"
"540000","0.111","0.114","0.114"
"720000","0.089","0.129","0.122"
"900000","0.097","0.112","0.1"
"1080000","0.096","0.107","0.124"
"1260000","0.11","0.143","0.119"
"1440000","0.12","0.144","0.104"
"1620000","0.098","0.139","0.113"
"1800000","0.122","0.13","0.125"
"1980000","0.121","0.139","0.122"
"2160000","0.121","0.139","0.134"
"2340000","0.106","0.1336","0.115"
"2520000","0.118","0.155","0.15"
"2700000","0.133","0.1684","0.15880000000000002"
"2880000","0.102","0.21","0.1772"
"3060000","0.13","0.199","0.2082"
"3240000","0.115","0.22960000000000003","0.2258"
"3420000","0.13","0.2076","0.2474"
"3600000","0.132","0.237","0.2612"
"3780000","0.121","0.2426","0.305"
"3960000","0.12","0.24","0.3252"
"4140000","0.126","0.2516","0.3148"
"4320000","0.118","0.278","0.3306"
"4500000","0.119","0.2934","0.3364"
"4680000","0.134","0.31039999999999995","0.345"
"4860000","0.12","0.331","0.349"
"5040000","0.134","0.3314","0.35520000000000007"
"5220000","0.15","0.3628","0.388"
"5400000","0.136","0.3788","0.3882"
"5580000","0.134","0.3988","0.3898"
"5760000","0.1554","0.3718","0.3703999999999999"
"5940000","0.181","0.4006","0.35819999999999996"
"6120000","0.1806","0.4262","0.387"
"6300000","0.1924","0.4204","0.394"
"6480000","0.198","0.389","0.4174"
"6660000","0.238","0.4262","0.4104"
"6840000","0.259","0.4244","0.4118"
"7020000","0.2778","0.41820000000000007","0.402"
"7200000","0.2422","0.4313999999999999","0.4076"
"7380000","0.31439999999999996","0.4088","0.4262"
"7560000","0.28720000000000007","0.423","0.4504"
"7740000","0.2902","0.4343999999999999","0.4338"
"7920000","0.278","0.413","0.4442"
"8100000","0.30960000000000004","0.4044","0.4574"
"8280000","0.33120000000000005","0.4448","0.4454"
"8460000","0.32280000000000003","0.4282","0.4406000000000001"
"8640000","0.3558","0.4378","0.4458"
"8820000","0.3554","0.4434","0.4648"
"9000000","0.3384","0.4328","0.4372"
"9180000","0.342","0.4668","0.438"
"9360000","0.3612","0.46720000000000006","0.4706"
"9540000","0.3872","0.4624","0.4764000000000001"
"9720000","0.3912","0.47","0.4834000000000001"
"9900000","0.356","0.4586","0.4794"
"10080000","0.3646","0.4712","0.5052"
"10260000","0.36019999999999996","0.48440000000000005","0.4962"
"10440000","0.3676","0.4762","0.483"
"10620000","0.346","0.4646","0.4834"
"10800000","0.3954","0.4343999999999999","0.5231999999999999"
"10980000","0.4106","0.493","0.5042"
"11160000","0.384","0.4512000000000001","0.5076"
"11340000","0.4162","0.4744","0.5306000000000001"
"11520000","0.384","0.4817999999999999","0.5157999999999999"
"11700000","0.4238","0.4882","0.546"
"11880000","0.4436000000000001","0.4902","0.5356000000000001"
"12060000","0.4054","0.4981999999999999","0.5432"
"12240000","0.4196","0.5074000000000001","0.5124"
"12420000","0.39679999999999993","0.5382","0.5058"
"12600000","0.4546","0.514","0.5256000000000001"
"12780000","0.4674","0.5012000000000001","0.538"
"12960000","0.4353999999999999","0.5344","0.5272"
"13140000","0.4565999999999999","0.5194","0.5375999999999999"
"13320000","0.4724","0.5022","0.5412"
"13500000","0.4646","0.5207999999999999","0.5247999999999999"
"13680000","0.476","0.5296","0.543"
"13860000","0.473","0.5524","0.5538"
"14040000","0.4834","0.5404","0.5554000000000001"
"14220000","0.49280000000000007","0.5648","0.5552"
"14400000","0.5212","0.5578","0.5595999999999999"
"14580000","0.5092000000000001","0.5512","0.5628"
"14760000","0.5164","0.5608","0.549"
"14940000","0.49900000000000005","0.5554","0.5588"
"15120000","0.4986","0.5494","0.5714000000000001"
"15300000","0.5078","0.5584000000000001","0.5774"
"15480000","0.4786","0.5744","0.5708"
"15660000","0.5085999999999999","0.5746","0.5432"
"15840000","0.5236","0.5832","0.572"
"16020000","0.5312","0.6155999999999999","0.5962000000000001"
"16200000","0.5306000000000001","0.6145999999999999","0.561"
"16380000","0.5312","0.5978","0.5758"
"16560000","0.5058","0.594","0.58"
"16740000","0.5017999999999999","0.5978","0.5984"
"16920000","0.5346","0.5962000000000001","0.57"
"17100000","0.5434","0.6166","0.5848"
"17280000","0.5615999999999999","0.6137999999999999","0.5684000000000001"
"17460000","0.5274","0.598","0.6086"
"17640000","0.5654000000000001","0.6366","0.583"
"17820000","0.5492","0.6442","0.6078"
"18000000","0.5684000000000001","0.6431999999999999","0.5906"
"18180000","0.5646","0.6376","0.5784000000000001"
"18360000","0.5404000000000001","0.669","0.588"
"18540000","0.5812","0.6063999999999999","0.5784000000000001"
"18720000","0.5648000000000001","0.6484","0.6104"
"18900000","0.5822","0.6542","0.6117999999999999"
"19080000","0.5578","0.6407999999999999","0.5893999999999999"
"19260000","0.5678","0.6544000000000001","0.6108"
"19440000","0.5842","0.6422","0.6215999999999999"
"19620000","0.5861999999999999","0.6754","0.6337999999999999"
"19800000","0.5761999999999999","0.6572","0.6092000000000001"
"19980000","0.5904","0.652","0.6056"
"20160000","0.6154","0.6604","0.6236"
"20340000","0.6042000000000001","0.6604000000000001","0.6134"
"20520000","0.6102000000000001","0.653","0.6206"
"20700000","0.6078","0.6848","0.6124"
"20880000","0.619","0.6634","0.6416000000000001"
"21060000","0.6177999999999999","0.668","0.6275999999999999"
"21240000","0.6644","0.661","0.6005999999999999"
"21420000","0.626","0.6818","0.6304"
"21600000","0.6296","0.6732","0.6517999999999999"
"21780000","0.6142000000000001","0.683","0.6462"
"21960000","0.6214000000000001","0.6945999999999999","0.6446"
"22140000","0.631","0.7172000000000001","0.6398"
"22320000","0.655","0.705","0.681"
"22500000","0.6394000000000001","0.7186","0.6775999999999999"
"22680000","0.637","0.7246","0.656"
