"Step","solved_sp - cover_rate_5step","solved_sp_seed2 - cover_rate_5step","solved_sp_seed3 - cover_rate_5step"
"105000","0","0","0.0001"
"210000","0.0015","0.002","0"
"315000","0.0065","0.0022","0.0005"
"420000","0.005","0.0072","0.0022"
"525000","0.0065","0.007300000000000001","0.0026"
"630000","0.0105","0.008","0.0035999999999999995"
"735000","0.008","0.0055","0.005900000000000001"
"840000","0.0129","0.006","0.0093"
"945000","0.025299999999999996","0.0103","0.0101"
"1050000","0.0517","0.016399999999999998","0.0151"
"1155000","0.0603","0.0613","0.0935"
"1260000","0.10069999999999998","0.1399","0.1121"
"1365000","0.1402","0.1467","0.1793"
"1470000","0.22","0.14139999999999997","0.2705"
"1575000","0.2345","0.1748","0.31329999999999997"
"1680000","0.254","0.17510000000000003","0.32689999999999997"
"1785000","0.3073","0.2528","0.3235"
"1890000","0.33039999999999997","0.2772","0.33809999999999996"
"1995000","0.3205","0.3078","0.3335"
"2100000","0.31610000000000005","0.3028","0.3391"
"2205000","0.30820000000000003","0.32989999999999997","0.3294"
"2310000","0.2924","0.3259","0.3531"
"2415000","0.2927","0.3338","0.3579"
"2520000","0.32089999999999996","0.3354","0.3475"
"2625000","0.3461","0.3525","0.34379999999999994"
"2730000","0.34720000000000006","0.34129999999999994","0.3655"
"2835000","0.3638","0.3406","0.3963"
"2940000","0.31239999999999996","0.3496","0.3773"
"3045000","0.3182","0.3653","0.4149"
"3150000","0.32259999999999994","0.3501","0.41229999999999994"
"3255000","0.3286","0.34970000000000007","0.4115"
"3360000","0.3204","0.3454","0.4342"
"3465000","0.3458","0.3356","0.4600999999999999"
"3570000","0.32119999999999993","0.33479999999999993","0.4607"
"3675000","0.294","0.3396","0.48990000000000006"
"3780000","0.26409999999999995","0.3569","0.5057"
"3885000","0.3057","0.3648","0.5133"
"3990000","0.3037","0.3703999999999999","0.5222"
"4095000","0.3431","0.3915","0.5468"
"4200000","0.3625","0.3863","0.5306000000000001"
"4305000","0.3703999999999999","0.3938","0.5276000000000001"
"4410000","0.3842","0.4078","0.5453"
"4515000","0.3788","0.416","0.543"
"4620000","0.3843","0.4018","0.5659"
"4725000","0.39069999999999994","0.4323999999999999","0.5879000000000001"
"4830000","0.4201","0.4329","0.5725"
"4935000","0.4308","0.4656","0.597"
"5040000","0.4377","0.4478","0.593"
"5145000","0.4453","0.4784","0.6113"
"5250000","0.4492","0.4721","0.626"
"5355000","0.4506","0.4837","0.6055"
"5460000","0.4732","0.4863","0.6040999999999999"
"5565000","0.4517","0.5032000000000001","0.6336999999999999"
"5670000","0.494","0.5158","0.6367999999999999"
"5775000","0.4948999999999999","0.4926","0.6379000000000001"
"5880000","0.4871","0.5113","0.6394"
"5985000","0.5205","0.5294","0.6327999999999999"
"6090000","0.5142","0.5312","0.629"
"6195000","0.5141","0.5223","0.6430999999999999"
"6300000","0.5093","0.5485","0.6568999999999999"
"6405000","0.5229","0.5486","0.6774000000000001"
"6510000","0.5068","0.563","0.6765999999999999"
"6615000","0.5241","0.5444000000000001","0.6683"
"6720000","0.5323","0.5512999999999999","0.6656"
"6825000","0.5596","0.5677000000000001","0.6798"
"6930000","0.5327000000000001","0.591","0.676"
"7035000","0.5316","0.5697000000000001","0.6774"
"7140000","0.5449","0.5875","0.6861999999999999"
"7245000","0.5616","0.607","0.6739"
"7350000","0.5724000000000001","0.6140999999999999","0.6796"
"7455000","0.5792999999999999","0.6024","0.6843"
"7560000","0.6033","0.625","0.6718"
"7665000","0.6045","0.6185","0.6838"
"7770000","0.5934","0.6205","0.7042999999999999"
"7875000","0.6115999999999999","0.6333","0.6884000000000001"
"7980000","0.6167","0.6333","0.7085"
"8085000","0.6117","0.6486","0.6752999999999999"
"8190000","0.6232","0.625","0.7195"
"8295000","0.6247999999999999","0.6318","0.6982"
"8400000","0.6226","0.6337999999999999","0.723"
"8505000","0.6414","0.632","0.7233999999999999"
"8610000","0.6295","0.6347999999999999","0.7105999999999999"
"8715000","0.6616000000000001","0.6684","0.718"
"8820000","0.6466000000000001","0.6651","0.7235"
"8925000","0.657","0.6489000000000001","0.7172"
"9030000","0.6452","0.6435","0.7168"
"9135000","0.6255","0.6510999999999999","0.723"
"9240000","0.6457999999999999","0.6664","0.7346"
"9345000","0.6573","0.6575","0.7238000000000001"
"9450000","0.6664000000000001","0.6934000000000001","0.7155"
"9555000","0.6898","0.6752999999999999","0.7301"
"9660000","0.6813","0.6764","0.7352000000000001"
"9765000","0.6703000000000001","0.6848000000000001","0.7383"
"9870000","0.6901","0.6801","0.7552000000000001"
"9975000","0.6742","0.6733","0.7507999999999999"
"10080000","0.6871","0.6708000000000001","0.7473"
"10185000","0.6932","0.6997000000000001","0.7419000000000001"
"10290000","0.694","0.6945","0.7497"
"10395000","0.6782","0.7005","0.7681"
"10500000","0.6975","0.7161000000000001","0.7593000000000001"
"10605000","0.707","0.7166","0.7619000000000001"
"10710000","0.6988","0.7259","0.7562000000000001"
"10815000","0.6955999999999999","0.7194","0.7637"
"10920000","0.7209","0.7156999999999999","0.7614000000000001"
"11025000","0.7034","0.7078","0.7487999999999999"
"11130000","0.7239000000000001","0.7189000000000001","0.7693999999999999"
"11235000","0.7228000000000001","0.7104","0.7691999999999999"
"11340000","0.7276","0.7045","0.7723000000000001"
"11445000","0.7437999999999999","0.7077","0.7742"
"11550000","0.7524000000000001","0.7146999999999999","0.7653"
"11655000","0.7395","0.7338999999999999","0.7707999999999999"
"11760000","0.7435999999999999","0.7082999999999999","0.7615999999999999"
"11865000","0.7393","0.7285","0.7744000000000001"
"11970000","0.7505000000000002","0.7455","0.7565"
"12075000","0.7302000000000001","0.7211","0.7535"
"12180000","0.7667999999999999","0.7299000000000001","0.7713"
"12285000","0.7483000000000001","0.7132999999999999","0.769"
"12390000","0.7537999999999999","0.741","0.7695"
"12495000","0.7777000000000001","0.7287","0.7867000000000001"
"12600000","0.7607","0.758","0.7709"
"12705000","0.7737999999999999","0.731","0.7947000000000001"
"12810000","0.7850999999999999","0.7340999999999999","0.7898999999999999"
"12915000","0.7658","0.7392000000000001","0.7888999999999999"
"13020000","0.7883","0.7637","0.7735"
"13125000","0.7854000000000001","0.7318","0.7885"
"13230000","0.7938","0.731","0.7702"
"13335000","0.7816","0.756","0.7976"
"13440000","0.7774","0.7643","0.7857000000000001"
"13545000","0.7868999999999998","0.7611","0.7677"
"13650000","0.7925999999999999","0.7645","0.7737999999999999"
"13755000","0.7922","0.7663","0.7884"
"13860000","0.8172999999999999","0.7753","0.7874000000000001"
"13965000","0.7967","0.7617999999999999","0.7913"
"14070000","0.8128","0.7795","0.7783000000000001"
"14175000","0.8165","0.7769000000000001","0.7985999999999999"
"14280000","0.8115","0.7768999999999999","0.7932"
"14385000","0.8203","0.7699000000000001","0.8082999999999999"
"14490000","0.8247000000000001","0.7765","0.8076"
"14595000","0.8252","0.792","0.8136"
"14700000","0.8034000000000001","0.7631999999999999","0.7963"
"14805000","0.8204000000000001","0.769","0.8142"
"14910000","0.8292","0.776","0.8075"
"15015000","0.8165","0.7988","0.8168"
"15120000","0.8228","0.7945999999999999","0.8068"
"15225000","0.8268","0.791","0.8025"
"15330000","0.8308","0.8044","0.8152"
"15435000","0.8246999999999999","0.791","0.8168"
"15540000","0.8409","0.8046","0.8178999999999998"
"15645000","0.8376","0.8114000000000001","0.8129"
"15750000","0.8438","0.8014","0.8045"
"15855000","0.8489000000000001","0.7957000000000001","0.8186"
"15960000","0.8358","0.7972","0.8224000000000001"
"16065000","0.8488","0.7897000000000001","0.8299000000000001"
"16170000","0.8366","0.7980999999999999","0.8388"
"16275000","0.847","0.8035","0.8225"
"16380000","0.8507","0.7940999999999999","0.8302"
"16485000","0.8392999999999999","0.8015","0.8292999999999999"
"16590000","0.8409","0.7905","0.8311"
"16695000","0.835","0.8124000000000001","0.8378"
"16800000","0.8443999999999999","0.8259","0.8246999999999999"
"16905000","0.8507","0.7950999999999999","0.8282999999999999"
"17010000","0.8421","0.8199","0.8334999999999999"
"17115000","0.8497","0.8059","0.8268"
"17220000","0.8485999999999999","0.8114000000000001","0.8304000000000001"
"17325000","0.8518999999999999","0.8294","0.8412"
"17430000","0.8372","0.8271","0.8513999999999999"
"17535000","0.8344000000000001","0.8251","0.8539"
"17640000","0.8555","0.8295","0.8523"
"17745000","0.8546","0.8068000000000001","0.844"
"17850000","0.8438","0.8171999999999999","0.8281000000000001"
"17955000","0.8683","0.836","0.8316"
"18060000","0.8664","0.7957000000000001","0.8348"
"18165000","0.8707999999999999","0.8043","0.8189"
"18270000","0.8667999999999999","0.8112999999999999","0.8329000000000001"
"18375000","0.8609000000000001","0.8208","0.8538"
"18480000","0.8655","0.8045","0.8461"
"18585000","0.8663","0.8302","0.848"
"18690000","0.8673","0.8301","0.8466"
"18795000","0.8939000000000001","0.8277","0.8421000000000001"
"18900000","0.8811","0.8122","0.8468"
"19005000","0.8886000000000001","0.8255","0.8327"
"19110000","0.8856","0.8162","0.8473999999999999"
"19215000","0.8854","0.8132999999999999","0.8603"
"19320000","0.8811","0.825","0.8565999999999999"
"19425000","0.8633","0.8204","0.8612000000000001"
"19530000","0.8886","0.8318","0.8653"
"19635000","0.8842","0.8271","0.858"
"19740000","0.8920999999999999","0.8179","0.8557"
"19845000","0.9008","0.8349","0.8712000000000001"
"19950000","0.9004000000000001","0.8427","0.8787"
"20055000","0.9133","0.8314","0.8382"
"20160000","0.9055","0.8323","0.8786"
"20265000","0.9036","0.8098","0.8556"
"20370000","0.9131","0.8378","0.8468"
"20475000","0.9202","0.8422000000000001","0.8482"
"20580000","0.9186","0.8353","0.8497"
"20685000","0.9048","0.8323","0.8536999999999999"
"20790000","0.9243","0.8415","0.8351000000000001"
"20895000","0.9039","0.8303","0.8367"
"21000000","0.9119","0.8617999999999999","0.8246"
"21105000","0.9092","0.8528","0.8325"
"21210000","0.9268","0.8315999999999999","0.8324"
"21315000","0.909","0.8209000000000001","0.8373999999999999"
"21420000","0.9182","0.8351000000000001","0.8468"
"21525000","0.9242","0.841","0.8532000000000001"
"21630000","0.9343","0.8356999999999999","0.8512000000000001"
"21735000","0.9226","0.8408","0.829"
"21840000","0.9358","0.8306","0.851"
"21945000","0.9223","0.8465999999999999","0.8492999999999999"
"22050000","0.9324","0.8334000000000001","0.8351000000000001"
"22155000","0.9426","0.8335999999999999","0.848"
"22260000","0.9257","0.8277","0.8609000000000001"
"22365000","0.9315","0.8436","0.8645"
"22470000","0.9187","0.8281000000000001","0.8496"
"22575000","0.9378","0.8412000000000001","0.8563999999999999"
"22680000","0.9356","0.8442999999999999","0.8593"
