"Step","solved_sp3_leftup_rightdown_seed3 - cover_rate_5step","solved_sp3_leftup_rightdown_seed2 - cover_rate_5step","solved_sp3_leftup_rightdown_seed1 - cover_rate_5step"
"105000","0.0040999999999999995","0.0033","0.0095"
"210000","0.004","0.0054","0.0121"
"315000","0.0107","0.0070999999999999995","0.0145"
"420000","0.0115","0.0134","0.0209"
"525000","0.0098","0.0114","0.022"
"630000","0.0104","0.0128","0.0353"
"735000","0.019","0.0145","0.0321"
"840000","0.0209","0.0122","0.0387"
"945000","0.032100000000000004","0.0114","0.0401"
"1050000","0.0432","0.015","0.046"
"1155000","0.0609","0.0184","0.06380000000000001"
"1260000","0.0581","0.0214","0.0677"
"1365000","0.0861","0.022900000000000004","0.065"
"1470000","0.087","0.0295","0.08919999999999999"
"1575000","0.1032","0.038200000000000005","0.1055"
"1680000","0.1009","0.0442","0.1121"
"1785000","0.1177","0.0707","0.123"
"1890000","0.11780000000000002","0.0891","0.13219999999999998"
"1995000","0.1332","0.0847","0.1561"
"2100000","0.1437","0.1054","0.1723"
"2205000","0.14389999999999997","0.1096","0.1802"
"2310000","0.15289999999999998","0.1238","0.1814"
"2415000","0.1647","0.1355","0.1989"
"2520000","0.1662","0.1362","0.1943"
"2625000","0.1764","0.1817","0.2034"
"2730000","0.1907","0.198","0.2152"
"2835000","0.1705","0.2053","0.1906"
"2940000","0.1745","0.2184","0.2102"
"3045000","0.1697","0.21420000000000003","0.2237"
"3150000","0.181","0.2228","0.2143"
"3255000","0.1895","0.2226","0.234"
"3360000","0.181","0.2186","0.2138"
"3465000","0.199","0.2362","0.2356"
"3570000","0.1884","0.2298","0.22889999999999996"
"3675000","0.1925","0.2453","0.2197"
"3780000","0.1885","0.23660000000000003","0.2325"
"3885000","0.17980000000000002","0.221","0.2433"
"3990000","0.1902","0.23160000000000003","0.25570000000000004"
"4095000","0.1766","0.257","0.25089999999999996"
"4200000","0.1739","0.2492","0.2265"
"4305000","0.19","0.2553","0.24750000000000005"
"4410000","0.2035","0.2406","0.2673"
"4515000","0.1846","0.2319","0.2466"
"4620000","0.2074","0.222","0.2543"
"4725000","0.1929","0.2459","0.2557"
"4830000","0.1835","0.2712","0.2427"
"4935000","0.1927","0.2386","0.2461"
"5040000","0.18270000000000003","0.27429999999999993","0.2428"
"5145000","0.1969","0.2382","0.25060000000000004"
"5250000","0.2099","0.2754","0.25"
"5355000","0.1665","0.261","0.2583000000000001"
"5460000","0.1737","0.273","0.25939999999999996"
"5565000","0.1746","0.26459999999999995","0.26509999999999995"
"5670000","0.168","0.2801","0.261"
"5775000","0.1789","0.266","0.26430000000000003"
"5880000","0.1962","0.2623","0.2505"
"5985000","0.2031","0.2529","0.2651"
"6090000","0.2007","0.264","0.2415"
"6195000","0.1871","0.26489999999999997","0.2512"
"6300000","0.186","0.2723","0.27029999999999993"
"6405000","0.19140000000000004","0.2742","0.2397"
"6510000","0.1909","0.26320000000000005","0.2605"
"6615000","0.1896","0.2446","0.25889999999999996"
"6720000","0.2059","0.2686","0.2468"
"6825000","0.2093","0.25","0.2626"
"6930000","0.2208","0.25830000000000003","0.2636"
"7035000","0.1924","0.26170000000000004","0.24599999999999997"
"7140000","0.1987","0.2483","0.2606"
"7245000","0.1982","0.2702","0.2555"
"7350000","0.1721","0.29779999999999995","0.25239999999999996"
"7455000","0.2015","0.2397","0.2481"
"7560000","0.1986","0.2533","0.2443"
"7665000","0.1855","0.2334","0.28320000000000006"
"7770000","0.1872","0.2385","0.2577"
"7875000","0.1554","0.2679","0.2803"
"7980000","0.168","0.2605","0.27990000000000004"
"8085000","0.1843","0.26880000000000004","0.2726"
"8190000","0.1918","0.2694","0.27940000000000004"
"8295000","0.19810000000000005","0.2565","0.2811"
"8400000","0.2194","0.2717","0.2602"
"8505000","0.2008","0.281","0.27729999999999994"
"8610000","0.2072","0.2463","0.28279999999999994"
"8715000","0.2267","0.249","0.2821"
"8820000","0.236","0.266","0.2804"
"8925000","0.239","0.25610000000000005","0.2841"
"9030000","0.2233","0.2444","0.2978"
"9135000","0.2339","0.25","0.286"
"9240000","0.23489999999999997","0.2615","0.284"
"9345000","0.2281","0.24570000000000003","0.28730000000000006"
"9450000","0.2357","0.25229999999999997","0.3119"
"9555000","0.236","0.245","0.29960000000000003"
"9660000","0.2342","0.2461","0.301"
"9765000","0.2195","0.26780000000000004","0.287"
"9870000","0.2337","0.28","0.3034"
"9975000","0.2361","0.26039999999999996","0.28520000000000006"
"10080000","0.25349999999999995","0.2766","0.2836"
"10185000","0.22090000000000004","0.2671","0.297"
"10290000","0.2044","0.2736","0.2985"
"10395000","0.23260000000000003","0.269","0.29220000000000007"
"10500000","0.2236","0.2623","0.2931"
"10605000","0.2129","0.2463","0.27699999999999997"
"10710000","0.2256","0.25589999999999996","0.2913"
"10815000","0.2275","0.2586","0.2945"
"10920000","0.247","0.256","0.2804"
"11025000","0.24669999999999995","0.25739999999999996","0.291"
"11130000","0.2392","0.2595","0.299"
"11235000","0.2454","0.2729","0.3195"
"11340000","0.2633","0.2642","0.2864"
"11445000","0.23840000000000003","0.2811","0.30360000000000004"
"11550000","0.2604","0.2765","0.31839999999999996"
"11655000","0.26","0.2874","0.3115"
"11760000","0.26020000000000004","0.2719","0.29760000000000003"
"11865000","0.261","0.2821","0.31170000000000003"
"11970000","0.2504","0.2856","0.3071"
"12075000","0.277","0.2864","0.339"
"12180000","0.2722","0.28079999999999994","0.318"
"12285000","0.26039999999999996","0.2657","0.2916"
"12390000","0.26270000000000004","0.277","0.2904"
"12495000","0.2805","0.27490000000000003","0.3105"
"12600000","0.2719","0.2859","0.3246"
"12705000","0.2863","0.281","0.3026"
"12810000","0.2673","0.311","0.30560000000000004"
"12915000","0.27770000000000006","0.2798","0.3157"
"13020000","0.2676","0.30689999999999995","0.3045"
"13125000","0.2791","0.2891","0.30839999999999995"
"13230000","0.26730000000000004","0.28979999999999995","0.30810000000000004"
"13335000","0.27670000000000006","0.30739999999999995","0.2994"
"13440000","0.29240000000000005","0.3093","0.295"
"13545000","0.2837","0.2969","0.309"
"13650000","0.2797","0.30510000000000004","0.3119"
"13755000","0.2697","0.3055","0.31479999999999997"
"13860000","0.2646","0.303","0.3017"
"13965000","0.27970000000000006","0.3053","0.30889999999999995"
"14070000","0.2785","0.303","0.3093"
"14175000","0.2806","0.3125","0.31489999999999996"
"14280000","0.2847","0.33169999999999994","0.301"
"14385000","0.2952","0.3295","0.30910000000000004"
"14490000","0.28420000000000006","0.31970000000000004","0.30419999999999997"
"14595000","0.3115","0.3221","0.29690000000000005"
"14700000","0.29719999999999996","0.31289999999999996","0.3146"
"14805000","0.2825","0.3157","0.30519999999999997"
"14910000","0.2851","0.326","0.30540000000000006"
"15015000","0.28940000000000005","0.32489999999999997","0.3173"
"15120000","0.3068","0.3336","0.3145"
"15225000","0.28929999999999995","0.3495","0.3301"
"15330000","0.30739999999999995","0.3389","0.3234"
"15435000","0.2925","0.3263","0.31229999999999997"
"15540000","0.3196","0.3419","0.34770000000000006"
"15645000","0.3083000000000001","0.3514","0.3077"
"15750000","0.309","0.35","0.3255"
"15855000","0.30180000000000007","0.3319","0.3222"
"15960000","0.3394","0.3538","0.313"
"16065000","0.3207","0.3628","0.3306"
"16170000","0.3384","0.3778","0.31689999999999996"
"16275000","0.3254","0.3626","0.3213"
"16380000","0.33109999999999995","0.3708","0.3314"
"16485000","0.3253000000000001","0.3657","0.33979999999999994"
"16590000","0.31279999999999997","0.3631","0.3251"
"16695000","0.31910000000000005","0.359","0.3158"
"16800000","0.31970000000000004","0.398","0.32630000000000003"
"16905000","0.31610000000000005","0.3907000000000001","0.32639999999999997"
"17010000","0.32330000000000003","0.4024","0.3125"
"17115000","0.3409","0.3837","0.3282"
"17220000","0.3152","0.4189","0.3305"
"17325000","0.3455","0.4264","0.323"
"17430000","0.3493","0.4118","0.31210000000000004"
"17535000","0.3414","0.422","0.32139999999999996"
"17640000","0.3411","0.4661","0.31460000000000005"
"17745000","0.357","0.4438","0.32009999999999994"
"17850000","0.35719999999999996","0.46220000000000006","0.3373"
"17955000","0.37","0.4654","0.3368"
"18060000","0.3854","0.4775","0.31839999999999996"
"18165000","0.3822","0.4627","0.3434"
"18270000","0.3621","0.4732","0.32420000000000004"
"18375000","0.3492","0.47320000000000007","0.324"
"18480000","0.3702","0.4905","0.31639999999999996"
"18585000","0.3651","0.5043000000000001","0.3325"
"18690000","0.3867","0.5109","0.32839999999999997"
"18795000","0.3879","0.5025","0.3436"
"18900000","0.3837","0.507","0.3321"
"19005000","0.3637","0.5206000000000001","0.323"
"19110000","0.3933","0.5167","0.325"
"19215000","0.3839","0.5298999999999999","0.3374"
"19320000","0.3869","0.5117999999999999","0.3425"
"19425000","0.4048","0.5429","0.3396"
"19530000","0.39879999999999993","0.5263","0.3353"
"19635000","0.388","0.5297999999999999","0.328"
"19740000","0.3924","0.5283","0.3281"
"19845000","0.4084","0.5385","0.329"
"19950000","0.4055","0.56","0.30519999999999997"
"20055000","0.40820000000000006","0.5596","0.3325"
"20160000","0.4462","0.5699000000000001","0.3382"
"20265000","0.42","0.5640999999999999","0.3451"
"20370000","0.4376","0.5728","0.33820000000000006"
"20475000","0.4202","0.5486000000000001","0.35740000000000005"
"20580000","0.4211","0.5324000000000001","0.32959999999999995"
"20685000","0.4684","0.5516","0.32989999999999997"
"20790000","0.4688000000000001","0.5763","0.3215"
"20895000","0.4664","0.5793999999999999","0.34970000000000007"
"21000000","0.4564","0.59","0.3345"
"21105000","0.4462","0.5684","0.30760000000000004"
"21210000","0.4706","0.5872999999999999","0.3348"
"21315000","0.445","0.5883999999999999","0.3274"
"21420000","0.4659","0.5736999999999999","0.3479"
"21525000","0.4547000000000001","0.5973999999999999","0.34429999999999994"
"21630000","0.474","0.6109000000000001","0.34"
"21735000","0.4574","0.5856","0.3359"
"21840000","0.4948000000000001","0.5825","0.355"
"21945000","0.4992","0.5837","0.33620000000000005"
"22050000","0.5319","0.5868000000000001","0.3337"
"22155000","0.5005","0.5732999999999999","0.3552"
"22260000","0.5105","0.6043","0.3476"
"22365000","0.5207","0.5795","0.342"
"22470000","0.5157","0.5928","0.3546"
"22575000","0.5293","0.6085","0.3469"
"22680000","0.5175","0.6340999999999999","0.3513"
"22785000","0.5137999999999999","0.6437","0.3541"
"22890000","0.5345","0.6197","0.3502"
"22995000","0.5288999999999999","0.6415","0.3641"
"23100000","0.5245","0.6455","0.3526"
"23205000","0.5331","0.6477","0.3671"
"23310000","0.5025","0.6431999999999999","0.3592"
"23415000","0.5115999999999999","0.6365","0.3739"
"23520000","0.5467000000000001","0.6237","0.3609"
"23625000","0.5227999999999999","0.6316999999999999","0.34840000000000004"
"23730000","0.5135","0.633","0.3698999999999999"
"23835000","0.523","0.6507999999999999","0.3736"
"23940000","0.5303","0.6213","0.3707"
"24045000","0.52","0.6487","0.3708000000000001"
"24150000","0.5308","0.6354","0.3646"
"24255000","0.5287000000000001","0.6325999999999999","0.3937"
"24360000","0.5546","0.6457999999999999","0.3809"
"24465000","0.5576","0.6406","0.3779"
"24570000","0.5674","0.6397999999999999","0.387"
"24675000","0.5630999999999999","0.6423000000000001","0.393"
"24780000","0.5685","0.6357","0.3937"
"24885000","0.5552","0.6535","0.3758"
"24990000","0.5623","0.6630999999999999","0.3908"
"25095000","0.5619","0.6364","0.3848000000000001"
"25200000","0.5731","0.6431999999999999","0.3939"
"25305000","0.57","0.6436","0.3778"
"25410000","0.5782","0.6643","0.386"
"25515000","0.5635","0.6452","0.3982"
"25620000","0.5861","0.6431","0.39579999999999993"
"25725000","0.5948","0.6743000000000001","0.3813"
"25830000","0.5745","0.6842999999999999","0.3989"
"25935000","0.5997","0.6496999999999999","0.40170000000000006"
"26040000","0.592","0.6415","0.4141"
"26145000","0.5706","0.6681","0.4129"
"26250000","0.5972999999999999","0.651","0.3919"
"26355000","0.6035","0.64","0.388"
"26460000","0.5923","0.665","0.4265"
"26565000","0.6098","0.6615999999999999","0.4013"
"26670000","0.6026","0.6507000000000001","0.3873"
"26775000","0.5864","0.6631","0.3895"
"26880000","0.6064","0.6752999999999999","0.4164"
"26985000","0.577","0.6583","0.3993"
"27090000","0.591","0.6533","0.3889"
"27195000","0.6062000000000001","0.664","0.4172"
"27300000","0.5932999999999999","0.6626000000000001","0.40929999999999994"
"27405000","0.6003","0.6957000000000001","0.39879999999999993"
"27510000","0.5907","0.6942999999999999","0.4176"
"27615000","0.6109","0.6828","0.392"
"27720000","0.6169000000000001","0.6865999999999999","0.3995"
"27825000","0.6045","0.7182999999999999","0.3852"
"27930000","0.6113999999999999","0.6673000000000001","0.4168"
"28035000","0.6139","0.6899000000000001","0.4126"
"28140000","0.6182000000000001","0.6598999999999999","0.4053"
"28245000","0.6095","0.6852999999999999","0.4355"
"28350000","0.6103","0.6826000000000001","0.4175"
"28455000","0.6257999999999999","0.6742999999999999","0.4234"
"28560000","0.6171","0.6782999999999999","0.4201"
"28665000","0.6283","0.6859000000000001","0.4278"
"28770000","0.617","0.6962999999999999","0.4049"
"28875000","0.632","0.6928","0.4033"
"28980000","0.6303","0.6942999999999999","0.4374"
"29085000","0.6355","0.6921999999999999","0.4362"
"29190000","0.6407","0.7085","0.4291"
"29295000","0.6437","0.6939","0.4338999999999999"
"29400000","0.6387","0.69","0.4429"
"29505000","0.6449","0.6815","0.4328999999999999"
"29610000","0.6476000000000001","0.7084","0.4431000000000001"
"29715000","0.6676","0.6797000000000001","0.4223"
"29820000","0.641","0.6868999999999998","0.4341"
"29925000","0.6537","0.6817","0.4329"
"30030000","0.673","0.6792","0.4237"
"30135000","0.6545","0.7082","0.4454"
"30240000","0.6476000000000001","0.6967000000000001","0.4479"
"30345000","0.6633","0.7024","0.4587000000000001"
"30450000","0.6456000000000001","0.6989","0.4349"
"30555000","0.6373","0.6985","0.4297"
"30660000","0.6417","0.7015","0.4313999999999999"
"30765000","0.6509000000000001","0.6962999999999999","0.4269"
"30870000","0.6514000000000001","0.6935","0.4336"
"30975000","0.6563000000000001","0.7019000000000001","0.4609"
"31080000","0.6532","0.6967","0.4372"
"31185000","0.6698","0.7122999999999999","0.4538"
"31290000","0.6655","0.7192000000000001","0.468"
"31395000","0.6825","0.7061","0.4493"
"31500000","0.6594","0.7135999999999999","0.4705"
"31605000","0.6649","0.7046999999999999","0.4511"
"31710000","0.6995999999999999","0.7207","0.46270000000000006"
"31815000","0.6675999999999999","0.704","0.4526"
"31920000","0.676","0.7025","0.4695"
"32025000","0.6775","0.689","0.4749"
"32130000","0.6807000000000001","0.6938000000000001","0.44400000000000006"
"32235000","0.6761000000000001","0.7141000000000001","0.4723"
"32340000","0.6694000000000001","0.6909","0.4554"
"32445000","0.6566000000000001","0.704","0.4600999999999999"
"32550000","0.6593","0.7102","0.48630000000000007"
"32655000","0.6719","0.7243999999999999","0.4591"
"32760000","0.6835","0.7002","0.4936"
"32865000","0.6603000000000001","0.6952","0.4852"
"32970000","0.6855999999999999","0.7085999999999999","0.4816"
"33075000","0.6831","0.6938","0.4526"
"33180000","0.6853999999999999","0.7097","0.4763"
"33285000","0.6929000000000001","0.7387","0.49240000000000006"
"33390000","0.6769000000000001","0.6952","0.4759"
"33495000","0.6809000000000001","0.7098","0.4831999999999999"
"33600000","0.7087","0.705","0.4841"
"33705000","0.6932","0.7009","0.4604"
"33810000","0.7002999999999999","0.6971","0.4663"
"33915000","0.66","0.7362000000000001","0.4813"
"34020000","0.6828","0.7227","0.4801999999999999"
"34125000","0.6879000000000001","0.7202000000000001","0.4734"
"34230000","0.6742999999999999","0.7299","0.4857999999999999"
"34335000","0.6853999999999999","0.7034000000000001","0.4941"
"34440000","0.6683000000000001","0.7209","0.4841"
"34545000","0.6962999999999999","0.7105","0.4947"
"34650000","0.6806","0.744","0.4932"
"34755000","0.6792999999999999","0.7185","0.4867999999999999"
"34860000","0.6811","0.7417999999999999","0.4874"
"34965000","0.6969","0.7198000000000001","0.4831"
"35070000","0.6830999999999999","0.7369","0.5024000000000001"
"35175000","0.6655","0.7266999999999999","0.4907"
"35280000","0.6728","0.7261","0.4881"
"35385000","0.6778","0.7255999999999999","0.4914"
"35490000","0.6713","0.7326999999999999","0.4826"
