"Step","solved_sp3_leftup_rightdown_seed1 - cover_rate_5step"
"105000","0.0095"
"210000","0.0121"
"315000","0.0145"
"420000","0.0209"
"525000","0.022"
"630000","0.0353"
"735000","0.0321"
"840000","0.0387"
"945000","0.0401"
"1050000","0.046"
"1155000","0.06380000000000001"
"1260000","0.0677"
"1365000","0.065"
"1470000","0.08919999999999999"
"1575000","0.1055"
"1680000","0.1121"
"1785000","0.123"
"1890000","0.13219999999999998"
"1995000","0.1561"
"2100000","0.1723"
"2205000","0.1802"
"2310000","0.1814"
"2415000","0.1989"
"2520000","0.1943"
"2625000","0.2034"
"2730000","0.2152"
"2835000","0.1906"
"2940000","0.2102"
"3045000","0.2237"
"3150000","0.2143"
"3255000","0.234"
"3360000","0.2138"
"3465000","0.2356"
"3570000","0.22889999999999996"
"3675000","0.2197"
"3780000","0.2325"
"3885000","0.2433"
"3990000","0.25570000000000004"
"4095000","0.25089999999999996"
"4200000","0.2265"
"4305000","0.24750000000000005"
"4410000","0.2673"
"4515000","0.2466"
"4620000","0.2543"
"4725000","0.2557"
"4830000","0.2427"
"4935000","0.2461"
"5040000","0.2428"
"5145000","0.25060000000000004"
"5250000","0.25"
"5355000","0.2583000000000001"
"5460000","0.25939999999999996"
"5565000","0.26509999999999995"
"5670000","0.261"
"5775000","0.26430000000000003"
"5880000","0.2505"
"5985000","0.2651"
"6090000","0.2415"
"6195000","0.2512"
"6300000","0.27029999999999993"
"6405000","0.2397"
"6510000","0.2605"
"6615000","0.25889999999999996"
"6720000","0.2468"
"6825000","0.2626"
"6930000","0.2636"
"7035000","0.24599999999999997"
"7140000","0.2606"
"7245000","0.2555"
"7350000","0.25239999999999996"
"7455000","0.2481"
"7560000","0.2443"
"7665000","0.28320000000000006"
"7770000","0.2577"
"7875000","0.2803"
"7980000","0.27990000000000004"
"8085000","0.2726"
"8190000","0.27940000000000004"
"8295000","0.2811"
"8400000","0.2602"
"8505000","0.27729999999999994"
"8610000","0.28279999999999994"
"8715000","0.2821"
"8820000","0.2804"
"8925000","0.2841"
"9030000","0.2978"
"9135000","0.286"
"9240000","0.284"
"9345000","0.28730000000000006"
"9450000","0.3119"
"9555000","0.29960000000000003"
"9660000","0.301"
"9765000","0.287"
"9870000","0.3034"
"9975000","0.28520000000000006"
"10080000","0.2836"
"10185000","0.297"
"10290000","0.2985"
"10395000","0.29220000000000007"
"10500000","0.2931"
"10605000","0.27699999999999997"
"10710000","0.2913"
"10815000","0.2945"
"10920000","0.2804"
"11025000","0.291"
"11130000","0.299"
"11235000","0.3195"
"11340000","0.2864"
"11445000","0.30360000000000004"
"11550000","0.31839999999999996"
"11655000","0.3115"
"11760000","0.29760000000000003"
"11865000","0.31170000000000003"
"11970000","0.3071"
"12075000","0.339"
"12180000","0.318"
"12285000","0.2916"
"12390000","0.2904"
"12495000","0.3105"
"12600000","0.3246"
"12705000","0.3026"
"12810000","0.30560000000000004"
"12915000","0.3157"
"13020000","0.3045"
"13125000","0.30839999999999995"
"13230000","0.30810000000000004"
"13335000","0.2994"
"13440000","0.295"
"13545000","0.309"
"13650000","0.3119"
"13755000","0.31479999999999997"
"13860000","0.3017"
"13965000","0.30889999999999995"
"14070000","0.3093"
"14175000","0.31489999999999996"
"14280000","0.301"
"14385000","0.30910000000000004"
"14490000","0.30419999999999997"
"14595000","0.29690000000000005"
"14700000","0.3146"
"14805000","0.30519999999999997"
"14910000","0.30540000000000006"
"15015000","0.3173"
"15120000","0.3145"
"15225000","0.3301"
"15330000","0.3234"
"15435000","0.31229999999999997"
"15540000","0.34770000000000006"
"15645000","0.3077"
"15750000","0.3255"
"15855000","0.3222"
"15960000","0.313"
"16065000","0.3306"
"16170000","0.31689999999999996"
"16275000","0.3213"
"16380000","0.3314"
"16485000","0.33979999999999994"
"16590000","0.3251"
"16695000","0.3158"
"16800000","0.32630000000000003"
"16905000","0.32639999999999997"
"17010000","0.3125"
"17115000","0.3282"
"17220000","0.3305"
"17325000","0.323"
"17430000","0.31210000000000004"
"17535000","0.32139999999999996"
"17640000","0.31460000000000005"
"17745000","0.32009999999999994"
"17850000","0.3373"
"17955000","0.3368"
"18060000","0.31839999999999996"
"18165000","0.3434"
"18270000","0.32420000000000004"
"18375000","0.324"
"18480000","0.31639999999999996"
"18585000","0.3325"
"18690000","0.32839999999999997"
"18795000","0.3436"
"18900000","0.3321"
"19005000","0.323"
"19110000","0.325"
"19215000","0.3374"
"19320000","0.3425"
"19425000","0.3396"
"19530000","0.3353"
"19635000","0.328"
"19740000","0.3281"
"19845000","0.329"
"19950000","0.30519999999999997"
"20055000","0.3325"
"20160000","0.3382"
"20265000","0.3451"
"20370000","0.33820000000000006"
"20475000","0.35740000000000005"
"20580000","0.32959999999999995"
"20685000","0.32989999999999997"
"20790000","0.3215"
"20895000","0.34970000000000007"
"21000000","0.3345"
"21105000","0.30760000000000004"
"21210000","0.3348"
"21315000","0.3274"
"21420000","0.3479"
"21525000","0.34429999999999994"
"21630000","0.34"
"21735000","0.3359"
"21840000","0.355"
"21945000","0.33620000000000005"
"22050000","0.3337"
"22155000","0.3552"
"22260000","0.3476"
"22365000","0.342"
"22470000","0.3546"
"22575000","0.3469"
"22680000","0.3513"
"22785000","0.3541"
"22890000","0.3502"
"22995000","0.3641"
"23100000","0.3526"
"23205000","0.3671"
"23310000","0.3592"
"23415000","0.3739"
"23520000","0.3609"
"23625000","0.34840000000000004"
"23730000","0.3698999999999999"
"23835000","0.3736"
"23940000","0.3707"
"24045000","0.3708000000000001"
"24150000","0.3646"
"24255000","0.3937"
"24360000","0.3809"
"24465000","0.3779"
"24570000","0.387"
"24675000","0.393"
"24780000","0.3937"
"24885000","0.3758"
"24990000","0.3908"
"25095000","0.3848000000000001"
"25200000","0.3939"
"25305000","0.3778"
"25410000","0.386"
"25515000","0.3982"
"25620000","0.39579999999999993"
"25725000","0.3813"
"25830000","0.3989"
"25935000","0.40170000000000006"
"26040000","0.4141"
"26145000","0.4129"
"26250000","0.3919"
"26355000","0.388"
"26460000","0.4265"
"26565000","0.4013"
"26670000","0.3873"
"26775000","0.3895"
"26880000","0.4164"
"26985000","0.3993"
"27090000","0.3889"
"27195000","0.4172"
"27300000","0.40929999999999994"
"27405000","0.39879999999999993"
"27510000","0.4176"
"27615000","0.392"
"27720000","0.3995"
"27825000","0.3852"
"27930000","0.4168"
"28035000","0.4126"
"28140000","0.4053"
"28245000","0.4355"
"28350000","0.4175"
"28455000","0.4234"
"28560000","0.4201"
"28665000","0.4278"
"28770000","0.4049"
"28875000","0.4033"
"28980000","0.4374"
"29085000","0.4362"
"29190000","0.4291"
"29295000","0.4338999999999999"
"29400000","0.4429"
"29505000","0.4328999999999999"
"29610000","0.4431000000000001"
"29715000","0.4223"
"29820000","0.4341"
"29925000","0.4329"
"30030000","0.4237"
"30135000","0.4454"
"30240000","0.4479"
"30345000","0.4587000000000001"
"30450000","0.4349"
"30555000","0.4297"
"30660000","0.4313999999999999"
"30765000","0.4269"
"30870000","0.4336"
"30975000","0.4609"
"31080000","0.4372"
"31185000","0.4538"
"31290000","0.468"
"31395000","0.4493"
"31500000","0.4705"
"31605000","0.4511"
"31710000","0.46270000000000006"
"31815000","0.4526"
"31920000","0.4695"
"32025000","0.4749"
"32130000","0.44400000000000006"
"32235000","0.4723"
"32340000","0.4554"
"32445000","0.4600999999999999"
"32550000","0.48630000000000007"
"32655000","0.4591"
"32760000","0.4936"
"32865000","0.4852"
"32970000","0.4816"
"33075000","0.4526"
"33180000","0.4763"
"33285000","0.49240000000000006"
"33390000","0.4759"
"33495000","0.4831999999999999"
"33600000","0.4841"
"33705000","0.4604"
"33810000","0.4663"
"33915000","0.4813"
"34020000","0.4801999999999999"
"34125000","0.4734"
"34230000","0.4857999999999999"
"34335000","0.4941"
"34440000","0.4841"
"34545000","0.4947"
"34650000","0.4932"
"34755000","0.4867999999999999"
"34860000","0.4874"
