"Step","sp_8agents_seed1 - 8cover_rate"
"35000","0.005300000000000001"
"70000","0.0022"
"105000","0.0006"
"140000","0"
"175000","0"
"210000","0"
"245000","0"
"280000","0"
"315000","0"
"350000","0.00005"
"385000","0"
"420000","0"
"455000","0.001"
"490000","0.0005"
"525000","0.00085"
"560000","0.00025"
"595000","0.0003"
"630000","0.00025"
"665000","0.00055"
"700000","0.00065"
"735000","0.0001"
"770000","0.00005"
"805000","0"
"840000","0"
"875000","0"
"910000","0"
"945000","0"
"980000","0"
"1015000","0"
"1050000","0"
"1085000","0"
"1120000","0"
"1155000","0.00005"
"1190000","0"
"1225000","0"
"1260000","0"
"1295000","0"
"1330000","0"
"1365000","0"
"1400000","0"
"1435000","0"
"1470000","0.0001"
"1505000","0.00015"
"1540000","0.0005"
"1575000","0.00005"
"1610000","0.0007"
"1645000","0.00175"
"1680000","0.00075"
"1715000","0.00025"
"1750000","0.00025"
"1785000","0.00025"
"1820000","0.00075"
"1855000","0.002"
"1890000","0.00225"
"1925000","0.00185"
"1960000","0.0005"
"1995000","0.00165"
"2030000","0.00165"
"2065000","0.0021000000000000003"
"2100000","0.00175"
"2135000","0.00175"
"2170000","0.00215"
"2205000","0.00455"
"2240000","0.00115"
"2275000","0.00145"
"2310000","0.002599999999999999"
"2345000","0.00095"
"2380000","0.0015"
"2415000","0.00175"
"2450000","0.00135"
"2485000","0.0019"
"2520000","0.00215"
"2555000","0.00025"
"2590000","0.00085"
"2625000","0.0012"
"2660000","0.00025"
"2695000","0.0005"
"2730000","0.002"
"2765000","0.0015"
"2800000","0.0007"
"2835000","0.001"
"2870000","0.0014"
"2905000","0.0011"
"2940000","0.00225"
"2975000","0.00175"
"3010000","0.003"
"3045000","0.00225"
"3080000","0.00115"
"3115000","0.0014"
"3150000","0.0016"
"3185000","0.00145"
"3220000","0.00125"
"3255000","0.002"
"3290000","0.0032"
"3325000","0.00415"
"3360000","0.0012"
"3395000","0.00275"
"3430000","0.0024500000000000004"
"3465000","0.00395"
"3500000","0.00225"
"3535000","0.00375"
"3570000","0.0032"
"3605000","0.0029500000000000004"
"3640000","0.0032"
"3675000","0.0015"
"3710000","0.00075"
"3745000","0.001"
"3780000","0.0029500000000000004"
"3815000","0.0012"
"3850000","0.00275"
"3885000","0.0025499999999999997"
"3920000","0.0026500000000000004"
"3955000","0.0019"
"3990000","0.0033"
"4025000","0.00025"
"4060000","0.0006000000000000001"
"4095000","0.00125"
"4130000","0"
"4165000","0.00285"
"4200000","0"
"4235000","0.00025"
"4270000","0.00025"
"4305000","0"
"4340000","0.0001"
"4375000","0"
"4410000","0"
"4445000","0.0005"
"4480000","0.00025"
"4515000","0"
"4550000","0.00025"
"4585000","0.0005"
"4620000","0.00075"
"4655000","0.00225"
"4690000","0.0035"
"4725000","0.002"
"4760000","0.0045"
"4795000","0.00375"
"4830000","0.00275"
"4865000","0.00225"
"4900000","0.00225"
"4935000","0.00075"
"4970000","0.00225"
"5005000","0.00075"
"5040000","0.00075"
"5075000","0.001"
"5110000","0.001"
"5145000","0.00075"
"5180000","0.00025"
"5215000","0.0005"
"5250000","0"
"5285000","0.00025"
"5320000","0"
"5355000","0.0005"
"5390000","0.00025"
"5425000","0.00025"
"5460000","0.0005"
"5495000","0.003"
"5530000","0.0015"
"5565000","0.001"
"5600000","0.00025"
"5635000","0"
"5670000","0.0003"
"5705000","0.00025"
"5740000","0.00025"
"5775000","0"
"5810000","0"
"5845000","0.0005"
"5880000","0.0005"
"5915000","0.00125"
"5950000","0.00025"
"5985000","0.0005"
"6020000","0.00025"
"6055000","0.0005"
"6090000","0.00075"
"6125000","0.00025"
"6160000","0.00025"
"6195000","0.00025"
"6230000","0"
"6265000","0"
"6300000","0"
"6335000","0"
"6370000","0.00025"
"6405000","0.00005"
"6440000","0"
"6475000","0.0005"
"6510000","0.00025"
"6545000","0"
"6580000","0.00025"
"6615000","0"
"6650000","0.00005"
"6685000","0"
"6720000","0"
"6755000","0"
"6790000","0"
"6825000","0"
"6860000","0"
"6895000","0"
"6930000","0"
"6965000","0"
"7000000","0"
"7035000","0"
"7070000","0"
"7105000","0"
"7140000","0"
"7175000","0"
"7210000","0"
"7245000","0"
"7280000","0"
"7315000","0"
"7350000","0"
"7385000","0"
"7420000","0"
"7455000","0.00025"
"7490000","0.00025"
"7525000","0.0003"
"7560000","0.00005"
"7595000","0.00025"
"7630000","0"
"7665000","0.00025"
"7700000","0.001"
"7735000","0"
"7770000","0.00025"
"7805000","0"
"7840000","0"
"7875000","0"
"7910000","0"
"7945000","0"
"7980000","0"
"8015000","0"
"8050000","0.0001"
"8085000","0"
"8120000","0"
"8155000","0"
"8190000","0"
"8225000","0"
"8260000","0"
"8295000","0"
"8330000","0"
"8365000","0"
"8400000","0"
"8435000","0"
"8470000","0"
"8505000","0"
"8540000","0"
"8575000","0"
"8610000","0"
"8645000","0"
"8680000","0"
"8715000","0"
"8750000","0"
"8785000","0"
"8820000","0"
"8855000","0"
"8890000","0"
"8925000","0"
"8960000","0"
"8995000","0"
"9030000","0"
"9065000","0"
"9100000","0"
"9135000","0"
"9170000","0"
"9205000","0"
"9240000","0"
"9275000","0"
"9310000","0"
"9345000","0"
"9380000","0"
"9415000","0"
"9450000","0"
"9485000","0"
"9520000","0"
"9555000","0"
"9590000","0"
"9625000","0"
"9660000","0"
"9695000","0"
"9730000","0"
"9765000","0"
"9800000","0"
"9835000","0"
"9870000","0"
"9905000","0"
"9940000","0"
"9975000","0"
"10010000","0"
"10045000","0"
"10080000","0"
"10115000","0"
"10150000","0"
"10185000","0"
"10220000","0"
"10255000","0"
"10290000","0"
"10325000","0"
"10360000","0"
"10395000","0"
"10430000","0"
"10465000","0"
"10500000","0"
"10535000","0"
"10570000","0"
"10605000","0"
"10640000","0"
"10675000","0"
"10710000","0"
"10745000","0"
"10780000","0"
"10815000","0"
"10850000","0"
"10885000","0"
"10920000","0"
"10955000","0"
"10990000","0"
"11025000","0"
"11060000","0"
"11095000","0"
"11130000","0"
"11165000","0"
"11200000","0"
"11235000","0"
"11270000","0"
"11305000","0"
"11340000","0"
"11375000","0.0001"
"11410000","0.00015"
"11445000","0.00005"
"11480000","0.0006"
"11515000","0.0004"
"11550000","0.0008999999999999999"
"11585000","0.0012"
"11620000","0.002"
"11655000","0.0014"
"11690000","0.00215"
"11725000","0.0012"
"11760000","0.0022"
"11795000","0.0022"
"11830000","0.0016500000000000002"
"11865000","0.0027"
"11900000","0.0021000000000000003"
"11935000","0.0020499999999999997"
"11970000","0.0032"
"12005000","0.0023000000000000004"
"12040000","0.0031999999999999997"
"12075000","0.00385"
"12110000","0.0038"
"12145000","0.0027"
"12180000","0.0028"
"12215000","0.0039"
"12250000","0.00995"
"12285000","0.00635"
"12320000","0.0062"
"12355000","0.0053"
"12390000","0.0076"
"12425000","0.0050999999999999995"
"12460000","0.0057"
"12495000","0.0104"
"12530000","0.00525"
"12565000","0.00675"
"12600000","0.00595"
"12635000","0.006300000000000001"
"12670000","0.0116"
"12705000","0.00985"
"12740000","0.00625"
"12775000","0.00505"
"12810000","0.0058000000000000005"
"12845000","0.006"
"12880000","0.00945"
"12915000","0.00925"
"12950000","0.0060999999999999995"
"12985000","0.004900000000000001"
"13020000","0.004849999999999999"
"13055000","0.0050999999999999995"
"13090000","0.0057"
"13125000","0.0055"
"13160000","0.00625"
"13195000","0.0029"
"13230000","0.00215"
"13265000","0.0027"
"13300000","0.0020499999999999997"
"13335000","0.002"
"13370000","0.00215"
"13405000","0.00315"
"13440000","0.0029500000000000004"
"13475000","0.0034"
"13510000","0.00215"
"13545000","0.001"
"13580000","0.00135"
"13615000","0.00115"
"13650000","0.00075"
"13685000","0.00075"
"13720000","0.00165"
"13755000","0.0012"
"13790000","0.0017"
"13825000","0.00065"
"13860000","0.00005"
"13895000","0"
"13930000","0"
"13965000","0"
"14000000","0.002"
"14035000","0.00075"
"14070000","0"
"14105000","0"
"14140000","0.00215"
"14175000","0.00095"
"14210000","0.00025"
"14245000","0"
"14280000","0.002"
"14315000","0.00155"
"14350000","0.0025499999999999997"
"14385000","0.0047"
"14420000","0.00215"
"14455000","0.0056500000000000005"
"14490000","0.0025"
"14525000","0.0014"
"14560000","0.00215"
"14595000","0"
"14630000","0.00025"
"14665000","0"
"14700000","0"
"14735000","0"
"14770000","0"
"14805000","0"
"14840000","0"
"14875000","0"
"14910000","0"
"14945000","0"
"14980000","0"
"15015000","0.00015"
"15050000","0"
"15085000","0"
"15120000","0"
"15155000","0"
"15190000","0"
"15225000","0"
"15260000","0"
"15295000","0"
"15330000","0"
"15365000","0"
"15400000","0"
"15435000","0"
"15470000","0"
"15505000","0"
