"Step","sp_active_expansion_seed3 - cover_rate_1step"
"105000","0"
"210000","0.0005"
"315000","0"
"420000","0.0005"
"525000","0.0005"
"630000","0"
"735000","0.003"
"840000","0.001"
"945000","0.0065"
"1050000","0.007"
"1155000","0.0065"
"1260000","0.009"
"1365000","0.0055"
"1470000","0.0065"
"1575000","0.0085"
"1680000","0.007"
"1785000","0.011"
"1890000","0.0085"
"1995000","0.007"
"2100000","0.009"
"2205000","0.009"
"2310000","0.016"
"2415000","0.018"
"2520000","0.015"
"2625000","0.014"
"2730000","0.02"
"2835000","0.02"
"2940000","0.0205"
"3045000","0.0325"
"3150000","0.0285"
"3255000","0.0275"
"3360000","0.026"
"3465000","0.0315"
"3570000","0.0345"
"3675000","0.043"
"3780000","0.0635"
"3885000","0.075"
"3990000","0.083"
"4095000","0.0995"
"4200000","0.109"
"4305000","0.1255"
"4410000","0.1335"
"4515000","0.118"
"4620000","0.1165"
"4725000","0.127"
"4830000","0.144"
"4935000","0.135"
"5040000","0.144"
"5145000","0.1475"
"5250000","0.134"
"5355000","0.1575"
"5460000","0.1445"
"5565000","0.1665"
"5670000","0.153"
"5775000","0.1495"
"5880000","0.1505"
"5985000","0.141"
"6090000","0.163"
"6195000","0.1705"
"6300000","0.1505"
"6405000","0.1885"
"6510000","0.2005"
"6615000","0.203"
"6720000","0.1965"
"6825000","0.2045"
"6930000","0.2"
"7035000","0.213"
"7140000","0.2085"
"7245000","0.211"
"7350000","0.2275"
"7455000","0.2255"
"7560000","0.2185"
"7665000","0.2205"
"7770000","0.2255"
"7875000","0.2325"
"7980000","0.228"
"8085000","0.239"
"8190000","0.238"
"8295000","0.236"
"8400000","0.255"
"8505000","0.236"
"8610000","0.258"
"8715000","0.248"
"8820000","0.2725"
"8925000","0.2565"
"9030000","0.2565"
"9135000","0.2795"
"9240000","0.239"
"9345000","0.2375"
"9450000","0.2335"
"9555000","0.2295"
"9660000","0.235"
"9765000","0.256"
"9870000","0.26"
"9975000","0.2145"
"10080000","0.243"
"10185000","0.249"
"10290000","0.2565"
"10395000","0.262"
"10500000","0.2665"
"10605000","0.2695"
"10710000","0.2785"
"10815000","0.26"
"10920000","0.2625"
"11025000","0.2775"
"11130000","0.2775"
"11235000","0.297"
"11340000","0.2635"
"11445000","0.263"
"11550000","0.2885"
"11655000","0.277"
"11760000","0.2785"
"11865000","0.283"
"11970000","0.2915"
"12075000","0.2875"
"12180000","0.3125"
"12285000","0.2775"
"12390000","0.3025"
"12495000","0.32"
"12600000","0.3095"
"12705000","0.3115"
"12810000","0.3265"
"12915000","0.2965"
"13020000","0.3105"
"13125000","0.3075"
"13230000","0.295"
"13335000","0.2875"
"13440000","0.3005"
"13545000","0.3055"
"13650000","0.317"
"13755000","0.33"
"13860000","0.3455"
"13965000","0.334"
"14070000","0.321"
"14175000","0.3355"
"14280000","0.3465"
"14385000","0.347"
"14490000","0.3285"
"14595000","0.362"
"14700000","0.3435"
"14805000","0.375"
"14910000","0.3765"
"15015000","0.3685"
"15120000","0.359"
"15225000","0.381"
"15330000","0.3745"
"15435000","0.4045"
"15540000","0.399"
"15645000","0.4005"
"15750000","0.399"
"15855000","0.4145"
"15960000","0.408"
"16065000","0.42"
"16170000","0.4045"
"16275000","0.3965"
"16380000","0.4215"
"16485000","0.4085"
"16590000","0.427"
"16695000","0.415"
"16800000","0.417"
"16905000","0.409"
"17010000","0.4415"
"17115000","0.4335"
"17220000","0.4365"
"17325000","0.437"
"17430000","0.4355"
