"Step","sp_min0.25_seed2 - cover_rate_1step"
"105000","0"
"210000","0.002"
"315000","0.0025"
"420000","0.0065"
"525000","0.0075"
"630000","0.008"
"735000","0.0055"
"840000","0.006"
"945000","0.0105"
"1050000","0.0165"
"1155000","0.07"
"1260000","0.1325"
"1365000","0.2335"
"1470000","0.2465"
"1575000","0.2695"
"1680000","0.3155"
"1785000","0.271"
"1890000","0.3045"
"1995000","0.3315"
"2100000","0.344"
"2205000","0.354"
"2310000","0.3355"
"2415000","0.3435"
"2520000","0.3385"
"2625000","0.3395"
"2730000","0.356"
"2835000","0.3735"
"2940000","0.364"
"3045000","0.3795"
"3150000","0.3785"
"3255000","0.386"
"3360000","0.4035"
"3465000","0.4145"
"3570000","0.45"
"3675000","0.4405"
"3780000","0.431"
"3885000","0.4225"
"3990000","0.4155"
"4095000","0.4315"
"4200000","0.433"
"4305000","0.4485"
"4410000","0.4725"
"4515000","0.4445"
"4620000","0.4445"
"4725000","0.457"
"4830000","0.472"
"4935000","0.4705"
"5040000","0.487"
"5145000","0.4795"
"5250000","0.486"
"5355000","0.4675"
"5460000","0.4665"
"5565000","0.4785"
"5670000","0.4975"
"5775000","0.4855"
"5880000","0.4995"
"5985000","0.5035"
"6090000","0.517"
"6195000","0.516"
"6300000","0.544"
"6405000","0.535"
"6510000","0.5485"
"6615000","0.5275"
"6720000","0.554"
"6825000","0.57"
"6930000","0.5565"
"7035000","0.5415"
"7140000","0.573"
"7245000","0.5835"
"7350000","0.556"
"7455000","0.5305"
"7560000","0.544"
"7665000","0.5385"
"7770000","0.5435"
"7875000","0.5635"
"7980000","0.5615"
"8085000","0.5665"
"8190000","0.563"
"8295000","0.575"
"8400000","0.5745"
"8505000","0.5875"
"8610000","0.5645"
"8715000","0.6045"
"8820000","0.5945"
"8925000","0.6075"
"9030000","0.583"
"9135000","0.6025"
"9240000","0.5965"
"9345000","0.6245"
"9450000","0.631"
"9555000","0.6275"
"9660000","0.642"
"9765000","0.6155"
"9870000","0.621"
"9975000","0.613"
"10080000","0.6095"
"10185000","0.6195"
"10290000","0.6345"
"10395000","0.6105"
"10500000","0.6135"
"10605000","0.609"
"10710000","0.6165"
"10815000","0.6235"
"10920000","0.609"
"11025000","0.6375"
"11130000","0.641"
