"Step","sp_uniform_from_activeAndsolve_seed3 - cover_rate_1step"
"105000","0"
"210000","0"
"315000","0.0005"
"420000","0.002"
"525000","0.0025"
"630000","0.004"
"735000","0.0055"
"840000","0.0095"
"945000","0.0095"
"1050000","0.0155"
"1155000","0.0905"
"1260000","0.109"
"1365000","0.177"
"1470000","0.206"
"1575000","0.276"
"1680000","0.286"
"1785000","0.311"
"1890000","0.3105"
"1995000","0.352"
"2100000","0.3935"
"2205000","0.385"
"2310000","0.3405"
"2415000","0.345"
"2520000","0.306"
"2625000","0.3095"
"2730000","0.353"
"2835000","0.3875"
"2940000","0.323"
"3045000","0.38"
"3150000","0.4125"
"3255000","0.3725"
"3360000","0.3885"
"3465000","0.4175"
"3570000","0.431"
"3675000","0.4705"
"3780000","0.48"
"3885000","0.471"
"3990000","0.468"
"4095000","0.4925"
"4200000","0.4715"
"4305000","0.499"
"4410000","0.498"
"4515000","0.5"
"4620000","0.5075"
"4725000","0.5235"
"4830000","0.5025"
"4935000","0.513"
"5040000","0.531"
"5145000","0.522"
"5250000","0.5175"
"5355000","0.505"
"5460000","0.514"
"5565000","0.5225"
"5670000","0.54"
"5775000","0.539"
"5880000","0.555"
"5985000","0.573"
"6090000","0.5535"
"6195000","0.5845"
"6300000","0.583"
"6405000","0.6095"
"6510000","0.594"
"6615000","0.617"
"6720000","0.5985"
"6825000","0.627"
"6930000","0.6085"
"7035000","0.6245"
"7140000","0.624"
"7245000","0.6285"
"7350000","0.6245"
"7455000","0.6045"
"7560000","0.5985"
"7665000","0.6025"
"7770000","0.632"
"7875000","0.6305"
"7980000","0.647"
"8085000","0.6395"
"8190000","0.646"
"8295000","0.634"
"8400000","0.6525"
"8505000","0.664"
"8610000","0.656"
"8715000","0.651"
"8820000","0.649"
"8925000","0.6585"
"9030000","0.6515"
"9135000","0.6435"
"9240000","0.6565"
"9345000","0.675"
"9450000","0.6485"
"9555000","0.6815"
"9660000","0.6685"
"9765000","0.677"
"9870000","0.6795"
"9975000","0.6535"
"10080000","0.6985"
"10185000","0.6745"
"10290000","0.694"
"10395000","0.693"
"10500000","0.689"
"10605000","0.6895"
"10710000","0.6865"
"10815000","0.6985"
"10920000","0.7005"
"11025000","0.715"
"11130000","0.7015"
"11235000","0.7035"
"11340000","0.696"
"11445000","0.69"
"11550000","0.6865"
"11655000","0.694"
"11760000","0.688"
"11865000","0.701"
"11970000","0.694"
"12075000","0.701"
"12180000","0.7155"
"12285000","0.718"
"12390000","0.722"
"12495000","0.7265"
"12600000","0.716"
"12705000","0.72"
"12810000","0.706"
"12915000","0.7135"
"13020000","0.7015"
"13125000","0.71"
"13230000","0.712"
"13335000","0.7195"
"13440000","0.7215"
"13545000","0.717"
"13650000","0.713"
"13755000","0.7295"
"13860000","0.7145"
"13965000","0.7175"
"14070000","0.7155"
"14175000","0.7225"
"14280000","0.7315"
"14385000","0.738"
"14490000","0.726"
"14595000","0.7405"
"14700000","0.7105"
"14805000","0.732"
"14910000","0.7285"
"15015000","0.73"
"15120000","0.7245"
"15225000","0.741"
"15330000","0.729"
"15435000","0.75"
"15540000","0.746"
"15645000","0.7555"
"15750000","0.738"
"15855000","0.7555"
"15960000","0.741"
"16065000","0.742"
"16170000","0.752"
"16275000","0.7485"
"16380000","0.7505"
"16485000","0.769"
"16590000","0.7585"
"16695000","0.751"
"16800000","0.7565"
"16905000","0.7705"
"17010000","0.7545"
"17115000","0.7685"
"17220000","0.7495"
"17325000","0.7655"
"17430000","0.7755"
"17535000","0.7635"
"17640000","0.779"
"17745000","0.78"
"17850000","0.777"
"17955000","0.7835"
"18060000","0.8"
"18165000","0.764"
"18270000","0.776"
"18375000","0.799"
"18480000","0.786"
"18585000","0.8015"
"18690000","0.8045"
"18795000","0.797"
"18900000","0.7995"
"19005000","0.7955"
"19110000","0.798"
"19215000","0.804"
"19320000","0.804"
"19425000","0.801"
"19530000","0.8015"
"19635000","0.803"
"19740000","0.804"
"19845000","0.81"
"19950000","0.8165"
"20055000","0.803"
"20160000","0.8055"
"20265000","0.822"
"20370000","0.797"
"20475000","0.817"
"20580000","0.81"
"20685000","0.8005"
"20790000","0.8175"
"20895000","0.8225"
"21000000","0.795"
"21105000","0.7945"
"21210000","0.7975"
"21315000","0.7975"
"21420000","0.82"
"21525000","0.8225"
"21630000","0.815"
"21735000","0.8275"
